Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
LIN|2025-09-02 13:30|477.1700|477.1700|473.8800|476.0700|249824|1.1000|0.0000|2.1900|BEARISH
LIN|2025-09-02 14:30|476.1950|476.3200|474.6200|475.1450|127869|1.0500|0.1250|0.5250|BEARISH
LIN|2025-09-02 15:30|475.0200|475.2200|473.2200|473.2450|100301|1.7750|0.2000|0.0250|BEARISH
LIN|2025-09-02 16:30|473.4100|474.6950|472.5000|474.4000|78148|0.9900|0.2950|0.9100|BULLISH
LIN|2025-09-02 17:30|474.5200|475.4800|474.3200|474.9550|89961|0.4350|0.5250|0.2000|BULLISH
LIN|2025-09-02 18:30|474.9600|475.0600|473.9250|474.4100|98761|0.5500|0.1000|0.4850|BEARISH
LIN|2025-09-02 19:30|474.4900|474.6800|473.7800|473.9500|170231|0.5400|0.1900|0.1700|BEARISH
LIN|2025-09-03 13:30|471.8100|473.4900|470.0000|472.6000|154508|0.7900|0.8900|1.8100|BULLISH
LIN|2025-09-03 14:30|472.9700|474.2300|472.7500|473.8400|105197|0.8700|0.3900|0.2200|BULLISH
LIN|2025-09-03 15:30|473.9850|474.1500|472.6050|472.8400|73517|1.1450|0.1650|0.2350|BEARISH
LIN|2025-09-03 16:30|472.8443|473.3700|472.3300|473.3700|49487|0.5257|0.0000|0.5143|BULLISH
LIN|2025-09-03 17:30|473.5000|473.5000|472.0947|473.0640|73794|0.4360|0.0000|0.9693|BEARISH
LIN|2025-09-03 18:30|473.1300|473.6100|471.4900|471.6650|88755|1.4650|0.4800|0.1750|BEARISH
LIN|2025-09-03 19:30|471.6600|472.1000|471.2100|471.6410|255955|0.0190|0.4400|0.4310|BEARISH
LIN|2025-09-04 13:30|470.7600|472.4200|468.6800|469.9363|136311|0.8237|1.6600|1.2563|BEARISH
LIN|2025-09-04 14:30|469.9250|470.9850|469.8850|470.5350|169835|0.6100|0.4500|0.0400|BULLISH
LIN|2025-09-04 15:30|470.2000|471.9800|470.0000|471.8800|145369|1.6800|0.1000|0.2000|BULLISH
LIN|2025-09-04 16:30|471.9100|472.3325|471.6250|472.0200|52149|0.1100|0.3125|0.2850|BULLISH
LIN|2025-09-04 17:30|471.8200|472.5128|471.3160|471.8700|50747|0.0500|0.6428|0.5040|BULLISH
LIN|2025-09-04 18:30|471.9400|472.2800|471.6500|472.0100|87135|0.0700|0.2700|0.2900|BULLISH
LIN|2025-09-04 19:30|472.0000|472.9300|471.6400|472.3300|158895|0.3300|0.6000|0.3600|BULLISH
LIN|2025-09-05 13:30|471.1500|475.0500|469.7000|471.3550|242770|0.2050|3.6950|1.4500|BULLISH
LIN|2025-09-05 14:30|471.5050|471.5050|467.6125|469.0350|120262|2.4700|0.0000|1.4225|BEARISH
LIN|2025-09-05 15:30|468.9000|469.0300|467.4200|467.5200|83656|1.3800|0.1300|0.1000|BEARISH
LIN|2025-09-05 16:30|467.6500|467.8400|466.7600|467.3300|54561|0.3200|0.1900|0.5700|BEARISH
LIN|2025-09-05 17:30|467.4950|467.9000|466.5900|467.6600|60674|0.1650|0.2400|0.9050|BULLISH
LIN|2025-09-05 18:30|467.6500|469.7300|467.6500|469.2900|81299|1.6400|0.4400|0.0000|BULLISH
LIN|2025-09-05 19:30|469.0300|469.5800|468.7500|469.4100|128892|0.3800|0.1700|0.2800|BULLISH
LIN|2025-09-08 13:30|469.5200|471.6750|466.6000|470.5650|214109|1.0450|1.1100|2.9200|BULLISH
LIN|2025-09-08 14:30|470.6200|474.9200|470.6200|474.3200|167919|3.7000|0.6000|0.0000|BULLISH
LIN|2025-09-08 15:30|474.2900|475.0700|472.9300|473.1200|115701|1.1700|0.7800|0.1900|BEARISH
LIN|2025-09-08 16:30|473.2300|473.7050|472.6900|473.6350|96891|0.4050|0.0700|0.5400|BULLISH
LIN|2025-09-08 17:30|473.7400|473.8400|471.3200|471.5550|93510|2.1850|0.1000|0.2350|BEARISH
LIN|2025-09-08 18:30|471.5500|472.0900|471.0100|471.0900|190280|0.4600|0.5400|0.0800|BEARISH
LIN|2025-09-08 19:30|471.1000|474.8200|471.0300|474.7800|350481|3.6800|0.0400|0.0700|BULLISH
LIN|2025-09-09 13:30|473.1200|474.2800|470.3800|473.0200|310717|0.1000|1.1600|2.6400|BEARISH
LIN|2025-09-09 14:30|473.0150|473.0200|471.6500|471.8497|138931|1.1653|0.0050|0.1997|BEARISH
LIN|2025-09-09 15:30|471.9750|471.9800|470.6500|471.4100|94136|0.5650|0.0050|0.7600|BEARISH
LIN|2025-09-09 16:30|471.2400|472.2050|471.0800|472.1000|101781|0.8600|0.1050|0.1600|BULLISH
LIN|2025-09-09 17:30|472.0920|473.0400|471.7850|472.8700|114714|0.7780|0.1700|0.3070|BULLISH
LIN|2025-09-09 18:30|472.9800|474.0300|472.8500|473.3550|118748|0.3750|0.6750|0.1300|BULLISH
LIN|2025-09-09 19:30|473.3000|474.5200|473.1000|473.4500|283399|0.1500|1.0700|0.2000|BULLISH
LIN|2025-09-10 13:30|472.9300|474.9320|470.7900|474.2600|286340|1.3300|0.6720|2.1400|BULLISH
LIN|2025-09-10 14:30|474.0750|474.3400|470.0500|470.0712|127683|4.0038|0.2650|0.0212|BEARISH
LIN|2025-09-10 15:30|470.2550|471.6800|469.4850|470.8500|124626|0.5950|0.8300|0.7700|BULLISH
LIN|2025-09-10 16:30|470.9500|471.0550|469.7300|470.5500|70320|0.4000|0.1050|0.8200|BEARISH
LIN|2025-09-10 17:30|470.5800|472.3908|470.3100|472.1800|77080|1.6000|0.2108|0.2700|BULLISH
LIN|2025-09-10 18:30|472.0700|472.7500|471.0289|471.1975|88175|0.8725|0.6800|0.1686|BEARISH
LIN|2025-09-10 19:30|470.9300|473.0000|470.7000|472.6300|166022|1.7000|0.3700|0.2300|BULLISH
LIN|2025-09-11 13:30|473.2650|476.6200|472.4800|474.8901|245822|1.6251|1.7299|0.7850|BULLISH
LIN|2025-09-11 14:30|474.8350|479.5900|474.8200|479.1800|142586|4.3450|0.4100|0.0150|BULLISH
LIN|2025-09-11 15:30|479.3000|479.8300|478.7300|479.0750|104189|0.2250|0.5300|0.3450|BEARISH
LIN|2025-09-11 16:30|479.1600|480.0600|478.7772|479.7530|98831|0.5930|0.3070|0.3828|BULLISH
LIN|2025-09-11 17:30|479.9750|482.4100|479.7150|482.2935|121695|2.3185|0.1165|0.2600|BULLISH
LIN|2025-09-11 18:30|482.1600|483.6200|481.8100|482.3600|196992|0.2000|1.2600|0.3500|BULLISH
LIN|2025-09-11 19:30|482.4100|484.3950|482.3600|483.5900|304394|1.1800|0.8050|0.0500|BULLISH
LIN|2025-09-12 13:30|479.1600|483.6599|479.1400|482.3750|137618|3.2150|1.2849|0.0200|BULLISH
LIN|2025-09-12 14:30|482.6700|483.9150|481.9950|481.9950|109085|0.6750|1.2450|0.0000|BEARISH
LIN|2025-09-12 15:30|481.9700|482.1200|480.5197|480.8400|70778|1.1300|0.1500|0.3203|BEARISH
LIN|2025-09-12 16:30|480.7600|481.1850|480.1850|480.8500|89690|0.0900|0.3350|0.5750|BULLISH
LIN|2025-09-12 17:30|480.8700|481.5500|480.7099|481.3300|103702|0.4600|0.2200|0.1601|BULLISH
LIN|2025-09-12 18:30|481.4850|482.9200|481.3800|482.0700|110675|0.5850|0.8500|0.1050|BULLISH
LIN|2025-09-12 19:30|482.2300|483.1200|481.7400|481.9200|152236|0.3100|0.8900|0.1800|BEARISH
LIN|2025-09-15 13:30|481.9900|483.1800|479.7047|481.2700|129014|0.7200|1.1900|1.5653|BEARISH
LIN|2025-09-15 14:30|481.5100|482.2500|479.9000|480.0750|93344|1.4350|0.7400|0.1750|BEARISH
LIN|2025-09-15 15:30|480.0750|480.1200|477.9800|479.0900|99835|0.9850|0.0450|1.1100|BEARISH
LIN|2025-09-15 16:30|478.9300|478.9300|476.9650|477.2900|92106|1.6400|0.0000|0.3250|BEARISH
LIN|2025-09-15 17:30|477.4900|478.5000|476.6200|477.2539|85843|0.2361|1.0100|0.6339|BEARISH
LIN|2025-09-15 18:30|477.1325|477.6800|476.0900|476.1675|109965|0.9650|0.5475|0.0775|BEARISH
LIN|2025-09-15 19:30|476.1275|477.0600|475.5200|476.8500|185720|0.7225|0.2100|0.6075|BULLISH
LIN|2025-09-16 13:30|476.4400|478.4350|471.1600|472.7600|155869|3.6800|1.9950|1.6000|BEARISH
LIN|2025-09-16 14:30|473.0200|473.8200|471.2950|472.9000|78657|0.1200|0.8000|1.6050|BEARISH
LIN|2025-09-16 15:30|472.7500|473.3450|470.9000|472.8500|116113|0.1000|0.4950|1.8500|BULLISH
LIN|2025-09-16 16:30|472.9050|473.4300|472.2100|472.6500|45769|0.2550|0.5250|0.4400|BEARISH
LIN|2025-09-16 17:30|472.6300|473.1900|472.0050|472.5700|51733|0.0600|0.5600|0.5650|BEARISH
LIN|2025-09-16 18:30|472.4950|473.1950|472.2250|472.6250|96666|0.1300|0.5700|0.2700|BULLISH
LIN|2025-09-16 19:30|472.6500|472.8500|471.0600|471.3000|144318|1.3500|0.2000|0.2400|BEARISH
LIN|2025-09-17 13:30|474.0800|475.0650|472.0100|474.0300|137068|0.0500|0.9850|2.0200|BEARISH
LIN|2025-09-17 14:30|474.0300|475.5700|473.7100|473.7100|81083|0.3200|1.5400|0.0000|BEARISH
LIN|2025-09-17 15:30|473.7450|474.7450|473.3122|473.9700|111453|0.2250|0.7750|0.4328|BULLISH
LIN|2025-09-17 16:30|474.0200|475.9700|473.9100|475.3100|61918|1.2900|0.6600|0.1100|BULLISH
LIN|2025-09-17 17:30|475.6300|478.7999|474.9200|477.6850|112007|2.0550|1.1149|0.7100|BULLISH
LIN|2025-09-17 18:30|477.4951|477.6100|474.7700|477.2500|319356|0.2451|0.1149|2.4800|BEARISH
LIN|2025-09-17 19:30|477.1800|481.3800|477.0100|479.9000|445937|2.7200|1.4800|0.1700|BULLISH
LIN|2025-09-18 13:30|478.7400|479.9400|471.2950|475.3650|295685|3.3750|1.2000|4.0700|BEARISH
LIN|2025-09-18 14:30|475.3700|475.7600|473.1100|474.5200|175221|0.8500|0.3900|1.4100|BEARISH
LIN|2025-09-18 15:30|474.8900|477.0200|474.1400|477.0000|118151|2.1100|0.0200|0.7500|BULLISH
LIN|2025-09-18 16:30|477.1300|478.5400|476.7500|477.6300|149498|0.5000|0.9100|0.3800|BULLISH
LIN|2025-09-18 17:30|477.6200|478.5400|476.3050|476.3050|110296|1.3150|0.9200|0.0000|BEARISH
LIN|2025-09-18 18:30|476.3050|478.1800|475.7880|476.9250|150528|0.6200|1.2550|0.5170|BULLISH
LIN|2025-09-18 19:30|476.9250|477.0500|475.4900|476.0000|197809|0.9250|0.1250|0.5100|BEARISH
LIN|2025-09-19 13:30|478.0700|478.0700|474.0000|476.3700|884168|1.7000|0.0000|2.3700|BEARISH
LIN|2025-09-19 14:30|476.1600|476.3200|475.4000|475.7300|128106|0.4300|0.1600|0.3300|BEARISH
LIN|2025-09-19 15:30|475.5832|476.7997|475.2100|476.3700|68109|0.7868|0.4297|0.3732|BULLISH
