Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
LNC|2025-09-02 13:30|42.0500|42.4000|41.3150|42.3600|210121|0.3100|0.0400|0.7350|BULLISH
LNC|2025-09-02 14:30|42.3600|42.4400|42.1350|42.2050|101546|0.1550|0.0800|0.0700|BEARISH
LNC|2025-09-02 15:30|42.1900|42.2500|41.9800|42.0600|130702|0.1300|0.0600|0.0800|BEARISH
LNC|2025-09-02 16:30|42.0600|42.2500|42.0200|42.2400|107026|0.1800|0.0100|0.0400|BULLISH
LNC|2025-09-02 17:30|42.2400|42.5300|42.2400|42.4050|137334|0.1650|0.1250|0.0000|BULLISH
LNC|2025-09-02 18:30|42.4100|42.5590|42.3400|42.5050|183659|0.0950|0.0540|0.0700|BULLISH
LNC|2025-09-02 19:30|42.5000|42.6850|42.4900|42.6700|312561|0.1700|0.0150|0.0100|BULLISH
LNC|2025-09-03 13:30|42.4400|42.9500|42.4400|42.6300|169012|0.1900|0.3200|0.0000|BULLISH
LNC|2025-09-03 14:30|42.6400|42.9350|42.6001|42.8674|189501|0.2274|0.0676|0.0399|BULLISH
LNC|2025-09-03 15:30|42.8800|43.0300|42.8400|42.9300|436040|0.0500|0.1000|0.0400|BULLISH
LNC|2025-09-03 16:30|42.9300|43.1950|42.9300|43.1750|159888|0.2450|0.0200|0.0000|BULLISH
LNC|2025-09-03 17:30|43.1800|43.2000|42.9900|43.1100|650978|0.0700|0.0200|0.1200|BEARISH
LNC|2025-09-03 18:30|43.0900|43.1400|42.9300|42.9550|193361|0.1350|0.0500|0.0250|BEARISH
LNC|2025-09-03 19:30|42.9600|43.3000|42.9600|43.3000|411790|0.3400|0.0000|0.0000|BULLISH
LNC|2025-09-04 13:30|43.2800|43.6600|42.9700|43.1800|228168|0.1000|0.3800|0.2100|BEARISH
LNC|2025-09-04 14:30|43.2000|43.2700|43.0100|43.2400|123077|0.0400|0.0300|0.1900|BULLISH
LNC|2025-09-04 15:30|43.2300|43.3050|43.1900|43.2500|79229|0.0200|0.0550|0.0400|BULLISH
LNC|2025-09-04 16:30|43.2600|43.2800|43.0600|43.1750|113916|0.0850|0.0200|0.1150|BEARISH
LNC|2025-09-04 17:30|43.1800|43.3300|43.0800|43.2750|94520|0.0950|0.0550|0.1000|BULLISH
LNC|2025-09-04 18:30|43.2700|43.3400|43.0600|43.0650|202030|0.2050|0.0700|0.0050|BEARISH
LNC|2025-09-04 19:30|43.0800|43.2450|43.0650|43.2100|287107|0.1300|0.0350|0.0150|BULLISH
LNC|2025-09-05 13:30|43.3500|43.4800|42.8100|42.8165|197138|0.5335|0.1300|0.0065|BEARISH
LNC|2025-09-05 14:30|42.8300|42.8300|42.2200|42.4300|135434|0.4000|0.0000|0.2100|BEARISH
LNC|2025-09-05 15:30|42.4200|42.5300|42.3050|42.3600|98549|0.0600|0.1100|0.0550|BEARISH
LNC|2025-09-05 16:30|42.3550|42.4200|42.1616|42.1616|94909|0.1934|0.0650|0.0000|BEARISH
LNC|2025-09-05 17:30|42.1650|42.2000|42.0000|42.1600|113537|0.0050|0.0350|0.1600|BEARISH
LNC|2025-09-05 18:30|42.1900|42.3100|42.0900|42.1900|291171|0.0000|0.1200|0.1000|BULLISH
LNC|2025-09-05 19:30|42.2000|42.2600|42.0750|42.1000|430379|0.1000|0.0600|0.0250|BEARISH
LNC|2025-09-08 13:30|42.1600|42.1600|40.3668|40.8150|448818|1.3450|0.0000|0.4482|BEARISH
LNC|2025-09-08 14:30|40.8400|41.4100|40.8000|41.2400|413688|0.4000|0.1700|0.0400|BULLISH
LNC|2025-09-08 15:30|41.2500|41.2900|40.8900|41.0400|568403|0.2100|0.0400|0.1500|BEARISH
LNC|2025-09-08 16:30|41.0500|41.0800|40.8200|40.8250|171583|0.2250|0.0300|0.0050|BEARISH
LNC|2025-09-08 17:30|40.8300|41.2100|40.8300|41.1500|273748|0.3200|0.0600|0.0000|BULLISH
LNC|2025-09-08 18:30|41.1600|41.4100|41.1600|41.2400|314802|0.0800|0.1700|0.0000|BULLISH
LNC|2025-09-08 19:30|41.2500|41.8250|41.2400|41.7000|747153|0.4500|0.1250|0.0100|BULLISH
LNC|2025-09-09 13:30|42.0800|42.2610|41.6800|42.0000|486969|0.0800|0.1810|0.3200|BEARISH
LNC|2025-09-09 14:30|41.9900|42.0400|41.6900|42.0300|215954|0.0400|0.0100|0.3000|BULLISH
LNC|2025-09-09 15:30|42.0400|42.0600|41.6350|41.7600|136860|0.2800|0.0200|0.1250|BEARISH
LNC|2025-09-09 16:30|41.7500|41.7500|41.4400|41.5600|123073|0.1900|0.0000|0.1200|BEARISH
LNC|2025-09-09 17:30|41.5500|41.7000|41.4800|41.6650|128800|0.1150|0.0350|0.0700|BULLISH
LNC|2025-09-09 18:30|41.6700|41.7750|41.5250|41.6100|202484|0.0600|0.1050|0.0850|BEARISH
LNC|2025-09-09 19:30|41.6100|41.6350|41.4750|41.5700|418090|0.0400|0.0250|0.0950|BEARISH
LNC|2025-09-10 13:30|41.6000|41.9000|41.4250|41.5100|218243|0.0900|0.3000|0.0850|BEARISH
LNC|2025-09-10 14:30|41.5000|41.5000|41.0200|41.0650|153546|0.4350|0.0000|0.0450|BEARISH
LNC|2025-09-10 15:30|41.0700|41.3800|41.0700|41.2800|123604|0.2100|0.1000|0.0000|BULLISH
LNC|2025-09-10 16:30|41.2700|41.4200|41.1400|41.2950|175476|0.0250|0.1250|0.1300|BULLISH
LNC|2025-09-10 17:30|41.2800|41.4750|41.2750|41.4600|114389|0.1800|0.0150|0.0050|BULLISH
LNC|2025-09-10 18:30|41.4500|41.6100|41.4000|41.4000|157450|0.0500|0.1600|0.0000|BEARISH
LNC|2025-09-10 19:30|41.4050|41.6000|41.3050|41.5350|286722|0.1300|0.0650|0.1000|BULLISH
LNC|2025-09-11 13:30|41.5200|41.7800|41.2200|41.6900|165698|0.1700|0.0900|0.3000|BULLISH
LNC|2025-09-11 14:30|41.7100|41.9500|41.6750|41.8400|212536|0.1300|0.1100|0.0350|BULLISH
LNC|2025-09-11 15:30|41.8500|41.8800|41.6950|41.8400|120153|0.0100|0.0300|0.1450|BEARISH
LNC|2025-09-11 16:30|41.8400|41.9450|41.7550|41.8250|126680|0.0150|0.1050|0.0700|BEARISH
LNC|2025-09-11 17:30|41.8300|42.0350|41.8300|41.9400|117514|0.1100|0.0950|0.0000|BULLISH
LNC|2025-09-11 18:30|41.9400|42.0450|41.8450|42.0450|162410|0.1050|0.0000|0.0950|BULLISH
LNC|2025-09-11 19:30|42.0500|42.2100|42.0500|42.1400|375128|0.0900|0.0700|0.0000|BULLISH
LNC|2025-09-12 13:30|42.0200|42.2597|41.8400|42.0900|168192|0.0700|0.1697|0.1800|BULLISH
LNC|2025-09-12 14:30|42.1100|42.2350|42.0500|42.1800|128034|0.0700|0.0550|0.0600|BULLISH
LNC|2025-09-12 15:30|42.1900|42.3000|42.1250|42.2900|108198|0.1000|0.0100|0.0650|BULLISH
LNC|2025-09-12 16:30|42.2999|42.4500|42.2999|42.3400|100485|0.0401|0.1100|0.0000|BULLISH
LNC|2025-09-12 17:30|42.3350|42.3350|42.1700|42.2600|93023|0.0750|0.0000|0.0900|BEARISH
LNC|2025-09-12 18:30|42.2700|42.3450|42.1350|42.3050|290544|0.0350|0.0400|0.1350|BULLISH
LNC|2025-09-12 19:30|42.3050|42.3150|42.1050|42.1600|319301|0.1450|0.0100|0.0550|BEARISH
LNC|2025-09-15 13:30|42.0400|42.0400|41.6901|42.0100|166043|0.0300|0.0000|0.3199|BEARISH
LNC|2025-09-15 14:30|42.0000|42.0000|41.6000|41.6100|139670|0.3900|0.0000|0.0100|BEARISH
LNC|2025-09-15 15:30|41.6150|41.7000|41.4900|41.6800|142351|0.0650|0.0200|0.1250|BULLISH
LNC|2025-09-15 16:30|41.6700|41.7000|41.3800|41.4300|124694|0.2400|0.0300|0.0500|BEARISH
LNC|2025-09-15 17:30|41.4300|41.5400|41.2700|41.3300|131687|0.1000|0.1100|0.0600|BEARISH
LNC|2025-09-15 18:30|41.3200|41.3900|41.2000|41.2090|176049|0.1110|0.0700|0.0090|BEARISH
LNC|2025-09-15 19:30|41.2100|41.2400|41.0700|41.2350|413350|0.0250|0.0050|0.1400|BULLISH
LNC|2025-09-16 13:30|40.7700|41.0200|39.7500|39.7830|319985|0.9870|0.2500|0.0330|BEARISH
LNC|2025-09-16 14:30|39.7800|39.9800|39.6550|39.6600|333910|0.1200|0.2000|0.0050|BEARISH
LNC|2025-09-16 15:30|39.6600|39.7000|39.5100|39.5100|210374|0.1500|0.0400|0.0000|BEARISH
LNC|2025-09-16 16:30|39.5200|39.5500|39.0900|39.1500|283282|0.3700|0.0300|0.0600|BEARISH
LNC|2025-09-16 17:30|39.1600|39.3400|39.1000|39.3400|272372|0.1800|0.0000|0.0600|BULLISH
LNC|2025-09-16 18:30|39.3500|39.4300|39.0590|39.0950|378196|0.2550|0.0800|0.0360|BEARISH
LNC|2025-09-16 19:30|39.1000|39.5000|39.0950|39.4100|772924|0.3100|0.0900|0.0050|BULLISH
LNC|2025-09-17 13:30|39.6800|39.8400|39.4130|39.5555|202223|0.1245|0.1600|0.1425|BEARISH
LNC|2025-09-17 14:30|39.5600|39.6950|39.4455|39.4500|167454|0.1100|0.1350|0.0045|BEARISH
LNC|2025-09-17 15:30|39.4550|39.6600|39.3950|39.5400|162615|0.0850|0.1200|0.0600|BULLISH
LNC|2025-09-17 16:30|39.5500|39.6600|39.4500|39.4600|132179|0.0900|0.1100|0.0100|BEARISH
LNC|2025-09-17 17:30|39.4650|40.2430|39.4600|40.1400|337262|0.6750|0.1030|0.0050|BULLISH
LNC|2025-09-17 18:30|40.1700|40.1700|39.2050|39.4800|340157|0.6900|0.0000|0.2750|BEARISH
LNC|2025-09-17 19:30|39.4800|39.5300|39.3100|39.3700|479092|0.1100|0.0500|0.0600|BEARISH
LNC|2025-09-18 13:30|39.4300|39.6400|39.1400|39.6400|238596|0.2100|0.0000|0.2900|BULLISH
LNC|2025-09-18 14:30|39.6300|39.6803|39.2200|39.4000|188590|0.2300|0.0503|0.1800|BEARISH
LNC|2025-09-18 15:30|39.4100|39.6100|39.4100|39.5900|169668|0.1800|0.0200|0.0000|BULLISH
LNC|2025-09-18 16:30|39.5850|39.7950|39.5850|39.6550|146901|0.0700|0.1400|0.0000|BULLISH
LNC|2025-09-18 17:30|39.6500|39.6600|39.4700|39.5700|168315|0.0800|0.0100|0.1000|BEARISH
LNC|2025-09-18 18:30|39.5700|39.8300|39.4900|39.7150|211400|0.1450|0.1150|0.0800|BULLISH
LNC|2025-09-18 19:30|39.7200|39.8400|39.5850|39.7950|406873|0.0750|0.0450|0.1350|BULLISH
LNC|2025-09-19 13:30|41.3200|41.3450|40.6000|40.8100|701579|0.5100|0.0250|0.2100|BEARISH
LNC|2025-09-19 14:30|40.8050|40.9000|40.4400|40.5200|248438|0.2850|0.0950|0.0800|BEARISH
LNC|2025-09-19 15:30|40.5100|41.3400|40.4200|40.9000|808520|0.3900|0.4400|0.0900|BULLISH
LNC|2025-09-19 16:30|40.9200|41.1800|40.8800|40.9400|288025|0.0200|0.2400|0.0400|BULLISH
LNC|2025-09-19 17:30|40.9450|41.1100|40.9311|40.9950|262430|0.0500|0.1150|0.0139|BULLISH
LNC|2025-09-19 18:30|40.9950|41.1490|40.8750|41.1490|252855|0.1540|0.0000|0.1200|BULLISH
LNC|2025-09-19 19:30|41.1400|41.3100|41.0900|41.2500|488653|0.1100|0.0600|0.0500|BULLISH
LNC|2025-09-22 13:30|40.7300|41.0999|40.4200|40.9000|184141|0.1700|0.1999|0.3100|BULLISH
LNC|2025-09-22 14:30|40.8800|41.2450|40.8450|41.1100|164079|0.2300|0.1350|0.0350|BULLISH
LNC|2025-09-22 15:30|41.1200|41.2400|41.0250|41.1700|154784|0.0500|0.0700|0.0950|BULLISH
LNC|2025-09-22 16:30|41.1600|41.2400|41.0700|41.1050|142826|0.0550|0.0800|0.0350|BEARISH
