Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
LRCX|2025-09-02 13:30|95.0200|97.2600|94.6400|96.5600|4413751|1.5400|0.7000|0.3800|BULLISH
LRCX|2025-09-02 14:30|96.5350|96.5900|95.8000|96.5500|1502048|0.0150|0.0400|0.7350|BULLISH
LRCX|2025-09-02 15:30|96.5400|96.5400|95.6100|95.9250|1509806|0.6150|0.0000|0.3150|BEARISH
LRCX|2025-09-02 16:30|95.9200|96.6600|95.9100|96.6100|891865|0.6900|0.0500|0.0100|BULLISH
LRCX|2025-09-02 17:30|96.6300|96.9400|96.4259|96.5100|1077731|0.1200|0.3100|0.0841|BEARISH
LRCX|2025-09-02 18:30|96.5100|97.0700|96.5100|96.9600|1032475|0.4500|0.1100|0.0000|BULLISH
LRCX|2025-09-02 19:30|96.9700|97.1900|96.7250|96.9800|1842129|0.0100|0.2100|0.2450|BULLISH
LRCX|2025-09-03 13:30|97.0100|97.3000|96.4600|96.9400|2423428|0.0700|0.2900|0.4800|BEARISH
LRCX|2025-09-03 14:30|96.9700|97.4000|96.7300|96.8000|1381546|0.1700|0.4300|0.0700|BEARISH
LRCX|2025-09-03 15:30|96.7900|97.2600|96.6300|97.0551|635739|0.2651|0.2049|0.1600|BULLISH
LRCX|2025-09-03 16:30|97.0550|97.1600|96.6950|96.9250|619033|0.1300|0.1050|0.2300|BEARISH
LRCX|2025-09-03 17:30|96.9200|97.0400|96.5200|96.9301|724509|0.0101|0.1099|0.4000|BULLISH
LRCX|2025-09-03 18:30|96.9200|97.2900|96.8100|96.9800|772133|0.0600|0.3100|0.1100|BULLISH
LRCX|2025-09-03 19:30|96.9900|97.8550|96.9850|97.7100|1769346|0.7200|0.1450|0.0050|BULLISH
LRCX|2025-09-04 13:30|97.3600|99.6300|97.1590|99.6000|1394639|2.2400|0.0300|0.2010|BULLISH
LRCX|2025-09-04 14:30|99.6050|100.2400|99.3400|100.1600|1132522|0.5550|0.0800|0.2650|BULLISH
LRCX|2025-09-04 15:30|100.1800|100.4200|100.0120|100.0700|817140|0.1100|0.2400|0.0580|BEARISH
LRCX|2025-09-04 16:30|99.9900|100.3100|99.7600|100.0300|781931|0.0400|0.2800|0.2300|BULLISH
LRCX|2025-09-04 17:30|100.0500|100.6550|99.9300|100.6000|836177|0.5500|0.0550|0.1200|BULLISH
