Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
LUV|2025-09-02 13:30|32.3200|32.9400|32.0700|32.5300|2118080|0.2100|0.4100|0.2500|BULLISH
LUV|2025-09-02 14:30|32.5150|32.5400|31.7700|31.8550|891036|0.6600|0.0250|0.0850|BEARISH
LUV|2025-09-02 15:30|31.8500|31.9250|31.7050|31.7250|575089|0.1250|0.0750|0.0200|BEARISH
LUV|2025-09-02 16:30|31.7250|31.9950|31.7150|31.9450|460016|0.2200|0.0500|0.0100|BULLISH
LUV|2025-09-02 17:30|31.9450|31.9800|31.8550|31.9050|431284|0.0400|0.0350|0.0500|BEARISH
LUV|2025-09-02 18:30|31.9075|32.1750|31.8350|32.1650|705943|0.2575|0.0100|0.0725|BULLISH
LUV|2025-09-02 19:30|32.1650|32.3000|32.1100|32.2500|1084146|0.0850|0.0500|0.0550|BULLISH
LUV|2025-09-03 13:30|32.1600|33.3500|32.1200|32.7600|836740|0.6000|0.5900|0.0400|BULLISH
LUV|2025-09-03 14:30|32.7600|32.8900|32.5150|32.5400|359088|0.2200|0.1300|0.0250|BEARISH
LUV|2025-09-03 15:30|32.5450|32.5900|32.2951|32.3750|368607|0.1700|0.0450|0.0799|BEARISH
LUV|2025-09-03 16:30|32.3750|32.4600|32.3500|32.3750|285871|0.0000|0.0850|0.0250|BULLISH
LUV|2025-09-03 17:30|32.3701|32.3800|32.2050|32.2850|347260|0.0851|0.0099|0.0800|BEARISH
LUV|2025-09-03 18:30|32.2850|32.3200|32.1850|32.3200|478400|0.0350|0.0000|0.1000|BULLISH
LUV|2025-09-03 19:30|32.3150|32.4650|32.3000|32.3500|960751|0.0350|0.1150|0.0150|BULLISH
LUV|2025-09-04 13:30|32.3700|32.6800|31.4550|31.7350|1751665|0.6350|0.3100|0.2800|BEARISH
LUV|2025-09-04 14:30|31.7300|31.8300|31.4600|31.7750|918175|0.0450|0.0550|0.2700|BULLISH
LUV|2025-09-04 15:30|31.7750|32.2500|31.6550|31.7650|1168494|0.0100|0.4750|0.1100|BEARISH
LUV|2025-09-04 16:30|31.7600|31.8200|31.3550|31.3900|756530|0.3700|0.0600|0.0350|BEARISH
LUV|2025-09-04 17:30|31.3900|31.4300|31.0350|31.1250|1052389|0.2650|0.0400|0.0900|BEARISH
LUV|2025-09-04 18:30|31.1250|31.1300|30.9100|30.9250|1069928|0.2000|0.0050|0.0150|BEARISH
LUV|2025-09-04 19:30|30.9250|31.1500|30.9000|31.1050|1884203|0.1800|0.0450|0.0250|BULLISH
LUV|2025-09-05 13:30|31.2300|31.8600|30.9900|31.3500|1264877|0.1200|0.5100|0.2400|BULLISH
LUV|2025-09-05 14:30|31.3550|31.5350|31.2150|31.4950|835163|0.1400|0.0400|0.1400|BULLISH
LUV|2025-09-05 15:30|31.4950|31.5000|31.2350|31.3250|527283|0.1700|0.0050|0.0900|BEARISH
LUV|2025-09-05 16:30|31.3250|31.4350|31.1200|31.1350|592910|0.1900|0.1100|0.0150|BEARISH
LUV|2025-09-05 17:30|31.1300|31.2481|31.0200|31.1000|588813|0.0300|0.1181|0.0800|BEARISH
LUV|2025-09-05 18:30|31.1000|31.1800|31.0000|31.1550|896840|0.0550|0.0250|0.1000|BULLISH
LUV|2025-09-05 19:30|31.1550|31.3950|31.1100|31.3900|1903584|0.2350|0.0050|0.0450|BULLISH
LUV|2025-09-08 13:30|31.2700|31.8550|31.2100|31.7350|1342632|0.4650|0.1200|0.0600|BULLISH
LUV|2025-09-08 14:30|31.7350|31.7700|31.4650|31.6150|1169958|0.1200|0.0350|0.1500|BEARISH
LUV|2025-09-08 15:30|31.6100|31.6251|31.2300|31.2700|761904|0.3400|0.0151|0.0400|BEARISH
LUV|2025-09-08 16:30|31.2650|31.3600|31.2050|31.3150|475424|0.0500|0.0450|0.0600|BULLISH
LUV|2025-09-08 17:30|31.3150|31.4079|31.1950|31.4050|649970|0.0900|0.0029|0.1200|BULLISH
LUV|2025-09-08 18:30|31.4100|31.5750|31.4100|31.5450|979250|0.1350|0.0300|0.0000|BULLISH
LUV|2025-09-08 19:30|31.5450|31.7400|31.5150|31.7200|1788528|0.1750|0.0200|0.0300|BULLISH
LUV|2025-09-09 13:30|31.6099|31.6800|31.2200|31.3150|781315|0.2949|0.0701|0.0950|BEARISH
LUV|2025-09-09 14:30|31.3150|31.4250|31.2450|31.3850|501346|0.0700|0.0400|0.0700|BULLISH
LUV|2025-09-09 15:30|31.3850|31.4358|30.9801|30.9950|701729|0.3900|0.0508|0.0149|BEARISH
LUV|2025-09-09 16:30|30.9950|31.0050|30.6350|30.9100|1010302|0.0850|0.0100|0.2750|BEARISH
LUV|2025-09-09 17:30|30.8950|31.1200|30.8600|31.0950|688784|0.2000|0.0250|0.0350|BULLISH
LUV|2025-09-09 18:30|31.0950|31.4950|30.9600|31.0250|1112020|0.0700|0.4000|0.0650|BEARISH
LUV|2025-09-09 19:30|31.0300|31.0600|30.9700|30.9800|1139358|0.0500|0.0300|0.0100|BEARISH
LUV|2025-09-10 13:30|30.8100|31.4250|30.6200|31.3200|1155980|0.5100|0.1050|0.1900|BULLISH
LUV|2025-09-10 14:30|31.3200|31.3350|30.7600|30.7750|915769|0.5450|0.0150|0.0150|BEARISH
LUV|2025-09-10 15:30|30.7750|31.0500|30.6700|30.8100|853821|0.0350|0.2400|0.1050|BULLISH
LUV|2025-09-10 16:30|30.8100|30.8350|30.5750|30.6100|789478|0.2000|0.0250|0.0350|BEARISH
LUV|2025-09-10 17:30|30.6050|31.0400|30.5950|31.0400|706627|0.4350|0.0000|0.0100|BULLISH
LUV|2025-09-10 18:30|31.0350|31.1250|30.9623|31.0150|778318|0.0200|0.0900|0.0527|BEARISH
LUV|2025-09-10 19:30|31.0450|31.1400|30.9700|31.1100|1170709|0.0650|0.0300|0.0750|BULLISH
LUV|2025-09-11 13:30|31.3500|31.6000|30.8200|31.5650|1095016|0.2150|0.0350|0.5300|BULLISH
LUV|2025-09-11 14:30|31.5600|31.8400|30.6000|31.1450|2157528|0.4150|0.2800|0.5450|BEARISH
