Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
LVS|2025-09-02 13:30|56.8700|57.4200|56.3943|57.1500|1001410|0.2800|0.2700|0.4757|BULLISH
LVS|2025-09-02 14:30|57.1400|57.2500|56.7700|56.9550|465990|0.1850|0.1100|0.1850|BEARISH
LVS|2025-09-02 15:30|56.9500|56.9600|56.6900|56.7700|560334|0.1800|0.0100|0.0800|BEARISH
LVS|2025-09-02 16:30|56.7650|57.0150|56.7650|56.8350|348255|0.0700|0.1800|0.0000|BULLISH
LVS|2025-09-02 17:30|56.8350|56.9550|56.7400|56.7550|372695|0.0800|0.1200|0.0150|BEARISH
LVS|2025-09-02 18:30|56.7550|56.9900|56.7350|56.8250|888271|0.0700|0.1650|0.0200|BULLISH
LVS|2025-09-02 19:30|56.8300|57.0900|56.8200|57.0150|858734|0.1850|0.0750|0.0100|BULLISH
LVS|2025-09-03 13:30|56.9100|56.9100|55.8050|56.0000|602198|0.9100|0.0000|0.1950|BEARISH
LVS|2025-09-03 14:30|56.0100|56.0950|55.6100|55.6646|531828|0.3454|0.0850|0.0546|BEARISH
LVS|2025-09-03 15:30|55.6700|55.7000|55.3700|55.4300|453311|0.2400|0.0300|0.0600|BEARISH
LVS|2025-09-03 16:30|55.4300|55.8100|55.3900|55.4250|577133|0.0050|0.3800|0.0350|BEARISH
LVS|2025-09-03 17:30|55.4250|55.5000|55.2600|55.4050|706547|0.0200|0.0750|0.1450|BEARISH
LVS|2025-09-03 18:30|55.4000|55.4500|55.2000|55.3050|692404|0.0950|0.0500|0.1050|BEARISH
LVS|2025-09-03 19:30|55.3050|55.4100|55.2900|55.3700|1193568|0.0650|0.0400|0.0150|BULLISH
LVS|2025-09-04 13:30|55.4100|55.4100|54.7500|55.2600|873870|0.1500|0.0000|0.5100|BEARISH
LVS|2025-09-04 14:30|55.2500|55.2500|54.6908|54.8950|375450|0.3550|0.0000|0.2042|BEARISH
