Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
LYB|2025-09-02 13:30|55.5850|56.0300|54.7400|55.4450|870095|0.1400|0.4450|0.7050|BEARISH
LYB|2025-09-02 14:30|55.3800|55.4499|54.6300|55.0000|621673|0.3800|0.0699|0.3700|BEARISH
LYB|2025-09-02 15:30|54.9950|55.3850|54.9350|55.1800|419492|0.1850|0.2050|0.0600|BULLISH
LYB|2025-09-02 16:30|55.1900|55.3700|55.0500|55.2550|490292|0.0650|0.1150|0.1400|BULLISH
LYB|2025-09-02 17:30|55.2700|55.6200|55.2300|55.5400|490515|0.2700|0.0800|0.0400|BULLISH
LYB|2025-09-02 18:30|55.5400|55.7000|55.3700|55.6950|455118|0.1550|0.0050|0.1700|BULLISH
LYB|2025-09-02 19:30|55.7000|55.9250|55.6900|55.8450|881696|0.1450|0.0800|0.0100|BULLISH
LYB|2025-09-03 13:30|55.3300|55.9250|54.6750|54.7950|711291|0.5350|0.5950|0.1200|BEARISH
LYB|2025-09-03 14:30|54.8000|54.9700|54.2200|54.4450|541691|0.3550|0.1700|0.2250|BEARISH
LYB|2025-09-03 15:30|54.4600|54.5382|54.1200|54.3400|374436|0.1200|0.0782|0.2200|BEARISH
LYB|2025-09-03 16:30|54.3450|54.7500|54.3450|54.7300|332359|0.3850|0.0200|0.0000|BULLISH
LYB|2025-09-03 17:30|54.7200|54.7450|54.2300|54.7300|314665|0.0100|0.0150|0.4900|BULLISH
LYB|2025-09-03 18:30|54.7300|54.8500|54.0684|54.1250|569256|0.6050|0.1200|0.0566|BEARISH
LYB|2025-09-03 19:30|54.1300|54.2900|54.1050|54.2200|963526|0.0900|0.0700|0.0250|BULLISH
LYB|2025-09-04 13:30|53.7500|53.8150|52.9300|53.2800|911867|0.4700|0.0650|0.3500|BEARISH
LYB|2025-09-04 14:30|53.2700|53.8400|53.0800|53.7665|510971|0.4965|0.0735|0.1900|BULLISH
LYB|2025-09-04 15:30|53.7374|54.6800|53.7000|54.6100|452120|0.8726|0.0700|0.0374|BULLISH
LYB|2025-09-04 16:30|54.6100|54.6800|54.3900|54.5408|393189|0.0692|0.0700|0.1508|BEARISH
LYB|2025-09-04 17:30|54.5300|54.7300|54.4100|54.5600|405653|0.0300|0.1700|0.1200|BULLISH
LYB|2025-09-04 18:30|54.5700|54.6500|54.3200|54.3200|587318|0.2500|0.0800|0.0000|BEARISH
LYB|2025-09-04 19:30|54.3100|54.3600|54.1500|54.2800|807625|0.0300|0.0500|0.1300|BEARISH
LYB|2025-09-05 13:30|54.2800|56.2964|54.1700|54.9300|851911|0.6500|1.3664|0.1100|BULLISH
LYB|2025-09-05 14:30|54.9450|54.9700|53.8900|54.4050|507621|0.5400|0.0250|0.5150|BEARISH
LYB|2025-09-05 15:30|54.4100|54.7800|54.2800|54.5400|385213|0.1300|0.2400|0.1300|BULLISH
LYB|2025-09-05 16:30|54.5400|54.5870|54.3100|54.3700|315543|0.1700|0.0470|0.0600|BEARISH
LYB|2025-09-05 17:30|54.3800|54.8300|54.3200|54.7150|419792|0.3350|0.1150|0.0600|BULLISH
