Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
MAA|2025-09-02 13:30|144.8300|145.2950|143.4035|144.0600|68274|0.7700|0.4650|0.6565|BEARISH
MAA|2025-09-02 14:30|144.1000|144.1650|143.0400|143.2800|50035|0.8200|0.0650|0.2400|BEARISH
MAA|2025-09-02 15:30|143.1550|143.3800|142.5900|142.6500|44166|0.5050|0.2250|0.0600|BEARISH
MAA|2025-09-02 16:30|142.5900|142.7100|142.3850|142.5500|28303|0.0400|0.1200|0.1650|BEARISH
MAA|2025-09-02 17:30|142.5600|142.6700|142.1600|142.3350|47601|0.2250|0.1100|0.1750|BEARISH
MAA|2025-09-02 18:30|142.4100|142.4500|141.8975|142.0900|62848|0.3200|0.0400|0.1925|BEARISH
MAA|2025-09-02 19:30|142.1100|142.6000|142.0700|142.3000|193383|0.1900|0.3000|0.0400|BULLISH
MAA|2025-09-03 13:30|141.9100|142.9400|141.8301|142.3500|94074|0.4400|0.5900|0.0799|BULLISH
MAA|2025-09-03 14:30|142.2800|142.7700|142.1650|142.7700|37339|0.4900|0.0000|0.1150|BULLISH
MAA|2025-09-03 15:30|142.7800|143.1300|142.4750|142.5900|56108|0.1900|0.3500|0.1150|BEARISH
MAA|2025-09-03 16:30|142.6200|142.8400|142.4400|142.7500|41159|0.1300|0.0900|0.1800|BULLISH
MAA|2025-09-03 17:30|142.7700|143.1900|142.4300|143.1400|57985|0.3700|0.0500|0.3400|BULLISH
MAA|2025-09-03 18:30|143.1200|143.2300|142.5300|142.9400|78760|0.1800|0.1100|0.4100|BEARISH
MAA|2025-09-03 19:30|142.9500|143.4900|142.9500|143.3800|159559|0.4300|0.1100|0.0000|BULLISH
MAA|2025-09-04 13:30|144.0300|144.4050|143.0000|143.7800|38278|0.2500|0.3750|0.7800|BEARISH
MAA|2025-09-04 14:30|143.7300|143.8050|143.0900|143.2099|23922|0.5201|0.0750|0.1199|BEARISH
MAA|2025-09-04 15:30|143.1900|143.2700|142.6900|142.6900|28524|0.5000|0.0800|0.0000|BEARISH
MAA|2025-09-04 16:30|142.6900|142.8500|142.4100|142.5850|29922|0.1050|0.1600|0.1750|BEARISH
MAA|2025-09-04 17:30|142.5850|143.0400|142.3200|142.9400|74653|0.3550|0.1000|0.2650|BULLISH
MAA|2025-09-04 18:30|142.9500|143.6000|142.8600|143.6000|73417|0.6500|0.0000|0.0900|BULLISH
MAA|2025-09-04 19:30|143.5950|144.0900|143.5300|143.9700|124027|0.3750|0.1200|0.0650|BULLISH
MAA|2025-09-05 13:30|144.7300|146.4100|144.1200|145.4600|89920|0.7300|0.9500|0.6100|BULLISH
MAA|2025-09-05 14:30|145.4200|145.9450|145.1400|145.9100|64675|0.4900|0.0350|0.2800|BULLISH
MAA|2025-09-05 15:30|145.9500|145.9700|145.0500|145.0500|50137|0.9000|0.0200|0.0000|BEARISH
MAA|2025-09-05 16:30|145.1350|145.4000|144.9900|145.0550|46317|0.0800|0.2650|0.0650|BEARISH
MAA|2025-09-05 17:30|145.0550|145.1300|144.5800|144.6650|50368|0.3900|0.0750|0.0850|BEARISH
MAA|2025-09-05 18:30|144.6650|145.1900|144.6650|145.0750|57504|0.4100|0.1150|0.0000|BULLISH
MAA|2025-09-05 19:30|145.0700|145.4700|144.9300|145.4100|146208|0.3400|0.0600|0.1400|BULLISH
MAA|2025-09-08 13:30|143.8600|144.3400|143.5600|143.8700|61053|0.0100|0.4700|0.3000|BULLISH
MAA|2025-09-08 14:30|143.8900|144.5000|143.7672|144.4600|47580|0.5700|0.0400|0.1228|BULLISH
MAA|2025-09-08 15:30|144.4151|144.4700|144.1100|144.2350|42402|0.1801|0.0549|0.1250|BEARISH
MAA|2025-09-08 16:30|144.2800|144.3500|144.0800|144.2500|31492|0.0300|0.0700|0.1700|BEARISH
MAA|2025-09-08 17:30|144.2700|144.3600|143.7600|143.8100|40904|0.4600|0.0900|0.0500|BEARISH
MAA|2025-09-08 18:30|143.7750|143.9700|143.6100|143.6850|58118|0.0900|0.1950|0.0750|BEARISH
MAA|2025-09-08 19:30|143.7200|144.7100|143.6800|144.6800|128447|0.9600|0.0300|0.0400|BULLISH
MAA|2025-09-09 13:30|143.8400|144.4900|143.7000|144.4150|115450|0.5750|0.0750|0.1400|BULLISH
MAA|2025-09-09 14:30|144.3300|145.4200|144.2500|145.3750|136617|1.0450|0.0450|0.0800|BULLISH
MAA|2025-09-09 15:30|145.3600|145.5400|144.1200|144.2100|52421|1.1500|0.1800|0.0900|BEARISH
MAA|2025-09-09 16:30|144.2050|144.5650|144.0800|144.3700|46661|0.1650|0.1950|0.1250|BULLISH
MAA|2025-09-09 17:30|144.5300|144.5800|144.2600|144.3000|40199|0.2300|0.0500|0.0400|BEARISH
MAA|2025-09-09 18:30|144.3050|144.4500|144.1400|144.1700|79311|0.1350|0.1450|0.0300|BEARISH
MAA|2025-09-09 19:30|144.1700|145.5000|144.0800|145.4300|177943|1.2600|0.0700|0.0900|BULLISH
MAA|2025-09-10 13:30|145.3500|145.8000|143.9000|144.0600|91468|1.2900|0.4500|0.1600|BEARISH
MAA|2025-09-10 14:30|144.0100|144.0700|143.3350|143.5600|51096|0.4500|0.0600|0.2250|BEARISH
MAA|2025-09-10 15:30|143.5800|143.7400|143.3428|143.3600|45264|0.2200|0.1600|0.0172|BEARISH
MAA|2025-09-10 16:30|143.3900|143.5900|142.6745|142.7600|59476|0.6300|0.2000|0.0855|BEARISH
MAA|2025-09-10 17:30|142.8150|142.8400|142.1600|142.5350|43974|0.2800|0.0250|0.3750|BEARISH
MAA|2025-09-10 18:30|142.5350|142.7050|141.6900|141.6900|76608|0.8450|0.1700|0.0000|BEARISH
MAA|2025-09-10 19:30|141.6800|141.9000|141.1500|141.4000|220684|0.2800|0.2200|0.2500|BEARISH
MAA|2025-09-11 13:30|141.0000|142.6500|141.0000|142.6500|95730|1.6500|0.0000|0.0000|BULLISH
MAA|2025-09-11 14:30|142.6600|143.3700|142.5400|142.7300|42234|0.0700|0.6400|0.1200|BULLISH
MAA|2025-09-11 15:30|142.7400|143.4800|142.7400|143.2400|58540|0.5000|0.2400|0.0000|BULLISH
MAA|2025-09-11 16:30|143.2100|143.2800|142.7800|143.0900|87767|0.1200|0.0700|0.3100|BEARISH
MAA|2025-09-11 17:30|143.1100|143.7200|142.9600|143.7200|63068|0.6100|0.0000|0.1500|BULLISH
MAA|2025-09-11 18:30|143.6900|144.3500|143.5000|144.3500|83126|0.6600|0.0000|0.1900|BULLISH
