Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
MAS|2025-09-02 13:30|72.1600|72.6100|71.5700|72.3500|351179|0.1900|0.2600|0.5900|BULLISH
MAS|2025-09-02 14:30|72.3800|72.3900|71.6300|71.6600|340242|0.7200|0.0100|0.0300|BEARISH
MAS|2025-09-02 15:30|71.6600|72.1900|71.5300|72.0400|192744|0.3800|0.1500|0.1300|BULLISH
MAS|2025-09-02 16:30|72.0500|72.4300|72.0100|72.4000|139466|0.3500|0.0300|0.0400|BULLISH
MAS|2025-09-02 17:30|72.3850|72.5400|72.0200|72.0400|165564|0.3450|0.1550|0.0200|BEARISH
MAS|2025-09-02 18:30|72.0400|72.2300|72.0400|72.2100|224546|0.1700|0.0200|0.0000|BULLISH
MAS|2025-09-02 19:30|72.2100|72.4300|72.0900|72.3750|467470|0.1650|0.0550|0.1200|BULLISH
MAS|2025-09-03 13:30|72.1100|72.4900|71.6500|71.8800|147463|0.2300|0.3800|0.2300|BEARISH
MAS|2025-09-03 14:30|71.9000|72.1400|71.8100|71.8300|118311|0.0700|0.2400|0.0200|BEARISH
MAS|2025-09-03 15:30|71.8400|72.0800|71.7200|72.0200|85106|0.1800|0.0600|0.1200|BULLISH
MAS|2025-09-03 16:30|72.0500|72.4500|72.0500|72.3945|66426|0.3445|0.0555|0.0000|BULLISH
MAS|2025-09-03 17:30|72.3900|72.3900|71.9400|72.2800|71724|0.1100|0.0000|0.3400|BEARISH
MAS|2025-09-03 18:30|72.2600|72.3600|72.0500|72.1000|113948|0.1600|0.1000|0.0500|BEARISH
MAS|2025-09-03 19:30|72.1100|72.4400|72.1100|72.3200|314128|0.2100|0.1200|0.0000|BULLISH
MAS|2025-09-04 13:30|72.9000|73.0350|72.4550|73.0200|116412|0.1200|0.0150|0.4450|BULLISH
MAS|2025-09-04 14:30|73.0200|73.3250|73.0100|73.2600|117516|0.2400|0.0650|0.0100|BULLISH
MAS|2025-09-04 15:30|73.2800|73.3600|73.2150|73.2650|84563|0.0150|0.0800|0.0500|BEARISH
MAS|2025-09-04 16:30|73.2600|73.3000|73.0550|73.2999|89284|0.0399|0.0001|0.2050|BULLISH
MAS|2025-09-04 17:30|73.2900|73.6700|73.1900|73.5500|113559|0.2600|0.1200|0.1000|BULLISH
MAS|2025-09-04 18:30|73.5600|73.9700|73.4500|73.9300|554042|0.3700|0.0400|0.1100|BULLISH
MAS|2025-09-04 19:30|73.9200|74.0100|73.8000|73.9900|414504|0.0700|0.0200|0.1200|BULLISH
MAS|2025-09-05 13:30|75.0900|76.2800|74.9300|75.2300|453329|0.1400|1.0500|0.1600|BULLISH
MAS|2025-09-05 14:30|75.2600|75.5500|75.0250|75.5350|349958|0.2750|0.0150|0.2350|BULLISH
MAS|2025-09-05 15:30|75.5600|75.8500|75.4400|75.4500|221524|0.1100|0.2900|0.0100|BEARISH
MAS|2025-09-05 16:30|75.4300|75.5900|75.2300|75.4800|172256|0.0500|0.1100|0.2000|BULLISH
