Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
MCHP|2025-09-02 13:30|63.3400|63.8500|62.5400|62.8400|1240821|0.5000|0.5100|0.3000|BEARISH
MCHP|2025-09-02 14:30|62.8500|63.0250|62.2800|62.5822|855912|0.2678|0.1750|0.3022|BEARISH
MCHP|2025-09-02 15:30|62.5900|63.0100|62.3500|62.7800|624715|0.1900|0.2300|0.2400|BULLISH
MCHP|2025-09-02 16:30|62.7700|63.1400|62.7450|63.0500|322959|0.2800|0.0900|0.0250|BULLISH
MCHP|2025-09-02 17:30|63.0500|63.5200|63.0500|63.2400|445082|0.1900|0.2800|0.0000|BULLISH
MCHP|2025-09-02 18:30|63.2400|63.6800|63.1900|63.6450|503305|0.4050|0.0350|0.0500|BULLISH
MCHP|2025-09-02 19:30|63.6400|63.7400|63.4400|63.6270|1122886|0.0130|0.1000|0.1870|BEARISH
MCHP|2025-09-03 13:30|63.5500|63.7500|63.0550|63.1000|826429|0.4500|0.2000|0.0450|BEARISH
MCHP|2025-09-03 14:30|63.0900|63.2700|61.6000|61.8500|713859|1.2400|0.1800|0.2500|BEARISH
MCHP|2025-09-03 15:30|61.8400|62.3600|61.7650|62.0950|872729|0.2550|0.2650|0.0750|BULLISH
MCHP|2025-09-03 16:30|62.1000|62.8421|62.0300|62.7600|491381|0.6600|0.0821|0.0700|BULLISH
MCHP|2025-09-03 17:30|62.7600|62.8200|62.2500|62.7500|441250|0.0100|0.0600|0.5000|BEARISH
MCHP|2025-09-03 18:30|62.7400|63.0600|62.5300|63.0600|604357|0.3200|0.0000|0.2100|BULLISH
MCHP|2025-09-03 19:30|63.0600|63.3300|63.0300|63.2800|1125446|0.2200|0.0500|0.0300|BULLISH
MCHP|2025-09-04 13:30|64.0000|64.3000|61.1000|63.5600|2675459|0.4400|0.3000|2.4600|BEARISH
MCHP|2025-09-04 14:30|63.5500|64.7100|63.4200|64.4750|1286967|0.9250|0.2350|0.1300|BULLISH
MCHP|2025-09-04 15:30|64.4950|64.4950|63.8300|64.1750|840080|0.3200|0.0000|0.3450|BEARISH
MCHP|2025-09-04 16:30|64.1600|64.3000|63.9000|64.1350|501309|0.0250|0.1400|0.2350|BEARISH
MCHP|2025-09-04 17:30|64.1450|64.2700|63.8300|64.1200|519595|0.0250|0.1250|0.2900|BEARISH
MCHP|2025-09-04 18:30|64.1300|64.4200|64.0500|64.2900|656626|0.1600|0.1300|0.0800|BULLISH
MCHP|2025-09-04 19:30|64.3000|64.5350|63.9850|64.4200|1624301|0.1200|0.1150|0.3150|BULLISH
MCHP|2025-09-05 13:30|64.7350|66.3560|64.3600|65.7500|1418620|1.0150|0.6060|0.3750|BULLISH
MCHP|2025-09-05 14:30|65.7500|66.6999|65.3800|66.6999|982768|0.9499|0.0000|0.3700|BULLISH
MCHP|2025-09-05 15:30|66.6950|67.0900|66.0500|66.1800|1009423|0.5150|0.3950|0.1300|BEARISH
MCHP|2025-09-05 16:30|66.1800|66.3200|65.8400|65.9000|499952|0.2800|0.1400|0.0600|BEARISH
MCHP|2025-09-05 17:30|65.9100|66.1600|65.6900|66.0300|578043|0.1200|0.1300|0.2200|BULLISH
MCHP|2025-09-05 18:30|66.0200|66.1700|65.8350|65.9800|659207|0.0400|0.1500|0.1450|BEARISH
MCHP|2025-09-05 19:30|65.9900|66.1500|65.7750|65.9200|1399187|0.0700|0.1600|0.1450|BEARISH
MCHP|2025-09-08 13:30|66.3500|66.5450|65.0506|66.5400|829074|0.1900|0.0050|1.2994|BULLISH
MCHP|2025-09-08 14:30|66.5600|66.8750|66.0100|66.1250|819152|0.4350|0.3150|0.1150|BEARISH
MCHP|2025-09-08 15:30|66.1200|66.2600|65.5200|65.5250|615252|0.5950|0.1400|0.0050|BEARISH
MCHP|2025-09-08 16:30|65.5400|65.7300|65.1900|65.4100|643435|0.1300|0.1900|0.2200|BEARISH
MCHP|2025-09-08 17:30|65.4100|65.5100|64.8300|65.3330|714770|0.0770|0.1000|0.5030|BEARISH
MCHP|2025-09-08 18:30|65.3400|65.4300|65.0500|65.1100|763281|0.2300|0.0900|0.0600|BEARISH
MCHP|2025-09-08 19:30|65.1000|65.3300|65.0350|65.3000|1237321|0.2000|0.0300|0.0650|BULLISH
MCHP|2025-09-09 13:30|65.1888|65.6800|64.4800|64.9150|512732|0.2738|0.4912|0.4350|BEARISH
MCHP|2025-09-09 14:30|64.9000|65.1700|64.4600|65.0100|315403|0.1100|0.1600|0.4400|BULLISH
MCHP|2025-09-09 15:30|65.0300|65.1800|64.4300|64.7400|299276|0.2900|0.1500|0.3100|BEARISH
MCHP|2025-09-09 16:30|64.7450|64.8350|64.4350|64.7800|290229|0.0350|0.0550|0.3100|BULLISH
MCHP|2025-09-09 17:30|64.8050|64.9600|64.5800|64.6700|299050|0.1350|0.1550|0.0900|BEARISH
MCHP|2025-09-09 18:30|64.6700|64.7500|64.4320|64.5000|377823|0.1700|0.0800|0.0680|BEARISH
MCHP|2025-09-09 19:30|64.5000|64.8100|64.4300|64.7600|810642|0.2600|0.0500|0.0700|BULLISH
MCHP|2025-09-10 13:30|64.9100|65.7000|64.1700|64.4800|807802|0.4300|0.7900|0.3100|BEARISH
MCHP|2025-09-10 14:30|64.4750|64.7000|64.2800|64.6900|534950|0.2150|0.0100|0.1950|BULLISH
MCHP|2025-09-10 15:30|64.7000|64.9700|64.4500|64.7050|339183|0.0050|0.2650|0.2500|BULLISH
MCHP|2025-09-10 16:30|64.7000|65.0200|64.6700|64.7800|371869|0.0800|0.2400|0.0300|BULLISH
MCHP|2025-09-10 17:30|64.8100|64.8880|64.6201|64.8650|416988|0.0550|0.0230|0.1899|BULLISH
MCHP|2025-09-10 18:30|64.8600|65.1190|64.7900|64.8400|562591|0.0200|0.2590|0.0500|BEARISH
MCHP|2025-09-10 19:30|64.8400|65.0950|64.6450|64.7400|898429|0.1000|0.2550|0.0950|BEARISH
MCHP|2025-09-11 13:30|64.7400|65.2200|64.1161|64.7500|708714|0.0100|0.4700|0.6239|BULLISH
MCHP|2025-09-11 14:30|64.7700|64.8400|63.7900|64.4700|205698|0.3000|0.0700|0.6800|BEARISH
MCHP|2025-09-11 15:30|64.4600|64.4950|64.0500|64.1450|865183|0.3150|0.0350|0.0950|BEARISH
MCHP|2025-09-11 16:30|64.1300|64.7150|64.0500|64.5950|684272|0.4650|0.1200|0.0800|BULLISH
MCHP|2025-09-11 17:30|64.5900|65.1000|64.5600|64.8700|434287|0.2800|0.2300|0.0300|BULLISH
MCHP|2025-09-11 18:30|64.8600|64.9700|64.6550|64.7800|702184|0.0800|0.1100|0.1250|BEARISH
MCHP|2025-09-11 19:30|64.7800|65.1000|64.7000|65.0200|1091539|0.2400|0.0800|0.0800|BULLISH
MCHP|2025-09-12 13:30|65.1200|65.6500|64.5000|64.6650|525152|0.4550|0.5300|0.1650|BEARISH
MCHP|2025-09-12 14:30|64.6200|64.7700|64.4900|64.5550|359882|0.0650|0.1500|0.0650|BEARISH
MCHP|2025-09-12 15:30|64.5500|64.8000|64.4100|64.5600|336869|0.0100|0.2400|0.1400|BULLISH
MCHP|2025-09-12 16:30|64.5700|64.7700|64.4300|64.7100|318845|0.1400|0.0600|0.1400|BULLISH
MCHP|2025-09-12 17:30|64.7100|64.7900|64.4900|64.7700|380769|0.0600|0.0200|0.2200|BULLISH
MCHP|2025-09-12 18:30|64.7600|64.9750|64.5900|64.7891|471091|0.0291|0.1859|0.1700|BULLISH
MCHP|2025-09-12 19:30|64.7900|64.9100|64.6200|64.6800|934975|0.1100|0.1200|0.0600|BEARISH
MCHP|2025-09-15 13:30|64.0000|64.5300|62.7750|64.4400|1250517|0.4400|0.0900|1.2250|BULLISH
MCHP|2025-09-15 14:30|64.4800|64.6700|63.8250|63.8650|542956|0.6150|0.1900|0.0400|BEARISH
MCHP|2025-09-15 15:30|63.8650|64.1100|63.5800|63.8050|324846|0.0600|0.2450|0.2250|BEARISH
MCHP|2025-09-15 16:30|63.8000|64.2600|63.7400|63.8650|422648|0.0650|0.3950|0.0600|BULLISH
MCHP|2025-09-15 17:30|63.8595|64.1300|63.6200|63.8600|429228|0.0005|0.2700|0.2395|BULLISH
MCHP|2025-09-15 18:30|63.8700|64.1824|63.6000|63.6200|504272|0.2500|0.3124|0.0200|BEARISH
MCHP|2025-09-15 19:30|63.6250|63.6250|63.0100|63.1750|1858092|0.4500|0.0000|0.1650|BEARISH
MCHP|2025-09-16 13:30|63.6400|64.4900|63.4000|64.1000|999807|0.4600|0.3900|0.2400|BULLISH
MCHP|2025-09-16 14:30|64.0850|64.0850|63.3000|63.3400|744458|0.7450|0.0000|0.0400|BEARISH
MCHP|2025-09-16 15:30|63.3400|63.7200|63.2900|63.6800|644383|0.3400|0.0400|0.0500|BULLISH
MCHP|2025-09-16 16:30|63.6800|63.9300|63.5200|63.7100|499039|0.0300|0.2200|0.1600|BULLISH
MCHP|2025-09-16 17:30|63.7100|64.3250|63.6600|64.1050|709662|0.3950|0.2200|0.0500|BULLISH
MCHP|2025-09-16 18:30|64.1100|64.4900|64.1100|64.3000|903589|0.1900|0.1900|0.0000|BULLISH
MCHP|2025-09-16 19:30|64.3100|64.7200|64.2700|64.4300|1486176|0.1200|0.2900|0.0400|BULLISH
MCHP|2025-09-17 13:30|64.3900|65.7500|63.9900|65.3900|799770|1.0000|0.3600|0.4000|BULLISH
MCHP|2025-09-17 14:30|65.3700|65.7100|65.2000|65.5800|482250|0.2100|0.1300|0.1700|BULLISH
MCHP|2025-09-17 15:30|65.5950|65.9950|65.5400|65.9600|480130|0.3650|0.0350|0.0550|BULLISH
MCHP|2025-09-17 16:30|65.9500|66.3450|65.8000|66.0700|731711|0.1200|0.2750|0.1500|BULLISH
MCHP|2025-09-17 17:30|66.0900|67.6200|65.9748|66.7400|1246870|0.6500|0.8800|0.1152|BULLISH
MCHP|2025-09-17 18:30|66.8000|66.8200|64.8900|65.9200|1100032|0.8800|0.0200|1.0300|BEARISH
MCHP|2025-09-17 19:30|65.8600|66.1500|65.5950|65.7800|1181423|0.0800|0.2900|0.1850|BEARISH
MCHP|2025-09-18 13:30|67.0250|67.8654|66.6225|67.7100|1196001|0.6850|0.1554|0.4025|BULLISH
MCHP|2025-09-18 14:30|67.7100|67.8300|66.8700|67.4000|1188362|0.3100|0.1200|0.5300|BEARISH
MCHP|2025-09-18 15:30|67.4050|67.8400|67.0200|67.4700|606544|0.0650|0.3700|0.3850|BULLISH
MCHP|2025-09-18 16:30|67.4600|67.4800|66.3900|66.5900|729412|0.8700|0.0200|0.2000|BEARISH
MCHP|2025-09-18 17:30|66.5800|66.6800|65.9600|66.0300|647445|0.5500|0.1000|0.0700|BEARISH
MCHP|2025-09-18 18:30|66.0300|66.6100|65.9800|66.2500|873218|0.2200|0.3600|0.0500|BULLISH
MCHP|2025-09-18 19:30|66.2500|66.5000|66.1250|66.2500|1604722|0.0000|0.2500|0.1250|BULLISH
MCHP|2025-09-19 13:30|66.3100|66.5000|63.8750|64.2700|1456408|2.0400|0.1900|0.3950|BEARISH
MCHP|2025-09-19 14:30|64.2950|64.6800|64.0400|64.1200|626984|0.1750|0.3850|0.0800|BEARISH
MCHP|2025-09-19 15:30|64.1200|64.6450|64.0900|64.5100|362520|0.3900|0.1350|0.0300|BULLISH
MCHP|2025-09-19 16:30|64.5200|64.5800|64.2000|64.2900|357988|0.2300|0.0600|0.0900|BEARISH
MCHP|2025-09-19 17:30|64.2950|64.8800|64.2900|64.7100|672182|0.4150|0.1700|0.0050|BULLISH
