Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
MCK|2025-09-02 13:30|687.3300|696.0300|684.5100|696.0300|167653|8.7000|0.0000|2.8200|BULLISH
MCK|2025-09-02 14:30|695.1600|696.4700|693.1900|693.7500|94149|1.4100|1.3100|0.5600|BEARISH
MCK|2025-09-02 15:30|693.6100|694.0802|691.4400|691.7150|50904|1.8950|0.4702|0.2750|BEARISH
MCK|2025-09-02 16:30|691.4400|692.1689|690.4228|691.8716|48474|0.4316|0.2973|1.0172|BULLISH
MCK|2025-09-02 17:30|692.1200|692.2500|691.0000|691.7650|61798|0.3550|0.1300|0.7650|BEARISH
MCK|2025-09-02 18:30|691.7800|691.7800|689.9995|691.0000|64610|0.7800|0.0000|1.0005|BEARISH
MCK|2025-09-02 19:30|691.0900|692.0750|690.1800|691.6000|158018|0.5099|0.4750|0.9100|BULLISH
MCK|2025-09-03 13:30|695.0700|695.0700|686.0850|686.9250|68521|8.1450|0.0000|0.8400|BEARISH
MCK|2025-09-03 14:30|686.9200|689.6250|686.5800|689.6200|32312|2.7000|0.0050|0.3400|BULLISH
MCK|2025-09-03 15:30|689.4000|690.6900|687.5800|688.2600|30938|1.1400|1.2900|0.6800|BEARISH
MCK|2025-09-03 16:30|688.2200|688.3400|685.4701|686.1600|38768|2.0600|0.1201|0.6899|BEARISH
MCK|2025-09-03 17:30|686.1600|689.6150|686.1600|689.0300|23680|2.8701|0.5850|0.0000|BULLISH
MCK|2025-09-03 18:30|689.3050|689.3250|686.9250|687.8500|37145|1.4550|0.0200|0.9250|BEARISH
MCK|2025-09-03 19:30|687.8500|691.0300|687.8500|691.0300|75143|3.1801|0.0000|0.0000|BULLISH
MCK|2025-09-04 13:30|690.5700|695.6100|688.3650|695.6100|67206|5.0400|0.0000|2.2050|BULLISH
MCK|2025-09-04 14:30|695.6100|696.7500|690.6300|693.2250|192898|2.3850|1.1400|2.5950|BEARISH
MCK|2025-09-04 15:30|693.9200|695.3500|692.8800|694.2700|46390|0.3500|1.0800|1.0400|BULLISH
MCK|2025-09-04 16:30|694.3700|694.8050|692.6500|694.4350|34218|0.0650|0.3700|1.7200|BULLISH
MCK|2025-09-04 17:30|694.5200|694.5200|689.9200|689.9200|48189|4.6000|0.0000|0.0000|BEARISH
MCK|2025-09-04 18:30|690.4900|693.6350|690.0700|690.9800|69400|0.4900|2.6550|0.4200|BULLISH
MCK|2025-09-04 19:30|690.9600|691.8000|690.3150|691.1400|97741|0.1800|0.6600|0.6450|BULLISH
MCK|2025-09-05 13:30|689.8000|689.8000|682.3500|687.3300|77419|2.4700|0.0000|4.9800|BEARISH
MCK|2025-09-05 14:30|687.4350|689.5000|686.3700|689.5000|42307|2.0650|0.0000|1.0650|BULLISH
MCK|2025-09-05 15:30|690.1250|690.7099|688.2300|689.2100|25419|0.9150|0.5849|0.9800|BEARISH
MCK|2025-09-05 16:30|689.5500|689.8900|688.4400|689.1800|22417|0.3700|0.3400|0.7400|BEARISH
MCK|2025-09-05 17:30|688.8855|689.0300|686.7600|686.7600|32798|2.1255|0.1445|0.0000|BEARISH
MCK|2025-09-05 18:30|687.1500|687.5850|686.7900|686.9200|42014|0.2300|0.4350|0.1300|BEARISH
MCK|2025-09-05 19:30|687.0400|687.5000|685.3500|687.1900|99702|0.1500|0.3100|1.6900|BULLISH
MCK|2025-09-08 13:30|688.0000|693.1339|683.3750|689.3150|69660|1.3150|3.8189|4.6250|BULLISH
MCK|2025-09-08 14:30|689.6500|691.0350|688.6750|690.1500|47811|0.5000|0.8849|0.9750|BULLISH
MCK|2025-09-08 15:30|690.3550|691.1300|690.0000|690.6900|42084|0.3350|0.4400|0.3550|BULLISH
MCK|2025-09-08 16:30|690.3907|691.3300|689.4500|689.9600|24911|0.4307|0.9393|0.5100|BEARISH
MCK|2025-09-08 17:30|690.1675|691.6575|690.1625|691.3800|37978|1.2125|0.2775|0.0050|BULLISH
MCK|2025-09-08 18:30|691.6500|692.6000|691.3600|692.4450|64712|0.7950|0.1550|0.2900|BULLISH
MCK|2025-09-08 19:30|692.5300|697.5600|692.3800|697.0500|159212|4.5200|0.5100|0.1500|BULLISH
MCK|2025-09-09 13:30|693.9900|696.0497|692.8600|694.2250|55311|0.2350|1.8247|1.1300|BULLISH
MCK|2025-09-09 14:30|694.2200|701.6399|693.0100|700.5800|65786|6.3600|1.0599|1.2100|BULLISH
MCK|2025-09-09 15:30|701.2200|703.4500|700.5800|701.1850|41998|0.0350|2.2300|0.6050|BEARISH
MCK|2025-09-09 16:30|701.3300|704.3700|700.8700|704.0300|41368|2.7000|0.3400|0.4600|BULLISH
MCK|2025-09-09 17:30|704.4500|705.7550|704.1950|705.1750|45880|0.7250|0.5800|0.2550|BULLISH
MCK|2025-09-09 18:30|705.2650|707.1800|704.9500|704.9500|44862|0.3150|1.9150|0.0000|BEARISH
MCK|2025-09-09 19:30|704.4600|705.6300|703.5000|705.5600|88094|1.1000|0.0700|0.9600|BULLISH
MCK|2025-09-10 13:30|701.0400|709.2050|701.0400|707.7350|96641|6.6950|1.4700|0.0000|BULLISH
MCK|2025-09-10 14:30|707.6950|707.6950|701.8450|704.5200|79005|3.1750|0.0000|2.6750|BEARISH
MCK|2025-09-10 15:30|704.6700|705.7500|698.9350|700.1913|43429|4.4787|1.0800|1.2563|BEARISH
MCK|2025-09-10 16:30|701.2499|701.9521|698.7700|701.4450|35821|0.1951|0.5071|2.4799|BULLISH
MCK|2025-09-10 17:30|701.9900|703.9350|701.9900|703.3400|24040|1.3500|0.5950|0.0000|BULLISH
MCK|2025-09-10 18:30|703.7150|705.3800|703.6900|704.1800|44572|0.4650|1.2000|0.0250|BULLISH
MCK|2025-09-10 19:30|704.3700|706.9000|703.9500|705.9150|105078|1.5450|0.9850|0.4200|BULLISH
MCK|2025-09-11 13:30|707.1600|720.1200|706.0000|719.9800|142764|12.8200|0.1400|1.1600|BULLISH
MCK|2025-09-11 14:30|719.9800|725.9900|719.2400|725.4900|96496|5.5100|0.5000|0.7400|BULLISH
MCK|2025-09-11 15:30|725.4850|727.3100|723.4097|725.3100|57045|0.1750|1.8250|1.9003|BEARISH
MCK|2025-09-11 16:30|725.2350|726.3650|724.1550|724.6900|44063|0.5450|1.1300|0.5350|BEARISH
MCK|2025-09-11 17:30|724.3900|725.8700|723.5150|725.1200|40042|0.7300|0.7500|0.8750|BULLISH
MCK|2025-09-11 18:30|724.5700|725.7400|723.1150|724.2850|64423|0.2850|1.1700|1.1700|BEARISH
MCK|2025-09-11 19:30|724.6892|724.7100|718.3300|719.2600|150637|5.4292|0.0208|0.9300|BEARISH
MCK|2025-09-12 13:30|717.6000|724.0000|713.6300|715.8500|100874|1.7500|6.4000|2.2200|BEARISH
MCK|2025-09-12 14:30|715.8750|717.0500|714.3650|715.7600|37668|0.1150|1.1750|1.3950|BEARISH
MCK|2025-09-12 15:30|715.2000|715.8850|713.7550|714.9401|38149|0.2599|0.6850|1.1851|BEARISH
MCK|2025-09-12 16:30|715.4725|715.9004|711.0000|711.1550|37651|4.3174|0.4279|0.1550|BEARISH
MCK|2025-09-12 17:30|711.1800|715.3700|710.7600|714.0100|63516|2.8300|1.3600|0.4200|BULLISH
MCK|2025-09-12 18:30|713.9400|715.3400|713.0000|714.0700|47226|0.1300|1.2700|0.9400|BULLISH
MCK|2025-09-12 19:30|714.0000|714.0000|710.5800|710.9800|96778|3.0200|0.0000|0.4000|BEARISH
MCK|2025-09-15 13:30|711.6100|715.2900|703.9800|703.9900|85886|7.6200|3.6800|0.0100|BEARISH
MCK|2025-09-15 14:30|703.4200|711.3900|702.0050|710.2150|52273|6.7950|1.1750|1.4150|BULLISH
MCK|2025-09-15 15:30|709.7000|710.2799|706.8600|708.4600|36455|1.2400|0.5799|1.6000|BEARISH
MCK|2025-09-15 16:30|708.0700|710.0000|706.5900|708.0900|36289|0.0200|1.9100|1.4800|BULLISH
MCK|2025-09-15 17:30|708.7663|708.7663|705.6800|705.9100|48192|2.8563|0.0000|0.2300|BEARISH
MCK|2025-09-15 18:30|705.8700|706.1600|700.9800|704.3000|94661|1.5700|0.2900|3.3200|BEARISH
MCK|2025-09-15 19:30|704.4750|705.7800|702.2600|702.6700|130228|1.8050|1.3051|0.4100|BEARISH
MCK|2025-09-16 13:30|705.1000|707.7000|701.7550|702.9500|61139|2.1500|2.6000|1.1950|BEARISH
MCK|2025-09-16 14:30|702.9500|703.3600|699.8560|700.3950|61939|2.5550|0.4100|0.5390|BEARISH
MCK|2025-09-16 15:30|700.4800|703.4200|699.9100|701.2850|28875|0.8050|2.1350|0.5700|BULLISH
MCK|2025-09-16 16:30|700.6600|701.4650|697.0000|698.4450|34137|2.2150|0.8051|1.4450|BEARISH
MCK|2025-09-16 17:30|697.8850|699.2800|694.5100|695.0200|49627|2.8650|1.3950|0.5100|BEARISH
MCK|2025-09-16 18:30|695.9800|696.4000|694.4300|695.9300|92938|0.0500|0.4200|1.5000|BEARISH
MCK|2025-09-16 19:30|696.2550|697.7000|691.6300|692.9500|146718|3.3050|1.4450|1.3200|BEARISH
MCK|2025-09-17 13:30|696.2000|699.7300|694.4700|696.4500|56250|0.2500|3.2800|1.7300|BULLISH
MCK|2025-09-17 14:30|697.1750|700.0000|696.6900|698.6100|38330|1.4350|1.3900|0.4850|BULLISH
MCK|2025-09-17 15:30|698.7800|698.7800|694.0000|694.9800|37802|3.8000|0.0000|0.9800|BEARISH
MCK|2025-09-17 16:30|694.5600|695.1200|694.0000|694.0000|26471|0.5600|0.5600|0.0000|BEARISH
MCK|2025-09-17 17:30|694.6250|697.9100|693.0100|695.1800|43991|0.5550|2.7300|1.6150|BULLISH
MCK|2025-09-17 18:30|695.0750|695.7650|693.1034|693.7400|60316|1.3350|0.6900|0.6366|BEARISH
MCK|2025-09-17 19:30|693.8800|693.8800|691.3416|692.0200|86047|1.8600|0.0000|0.6784|BEARISH
MCK|2025-09-18 13:30|690.9800|697.9800|688.0000|696.0600|61549|5.0800|1.9200|2.9800|BULLISH
MCK|2025-09-18 14:30|696.0800|696.1100|692.6500|693.9900|42769|2.0900|0.0300|1.3400|BEARISH
MCK|2025-09-18 15:30|693.9900|694.4700|690.4500|691.5700|40993|2.4200|0.4800|1.1200|BEARISH
MCK|2025-09-18 16:30|692.6300|693.1550|690.5100|691.3000|26014|1.3300|0.5250|0.7900|BEARISH
MCK|2025-09-18 17:30|691.8300|692.2100|689.7400|690.1000|37169|1.7300|0.3800|0.3600|BEARISH
MCK|2025-09-18 18:30|690.0750|693.0000|689.8400|692.1500|48691|2.0750|0.8500|0.2350|BULLISH
MCK|2025-09-18 19:30|692.0200|692.5700|689.8200|690.0800|106976|1.9400|0.5500|0.2600|BEARISH
MCK|2025-09-19 13:30|690.6700|698.2800|690.6700|693.3250|180452|2.6550|4.9550|0.0000|BULLISH
MCK|2025-09-19 14:30|693.6150|694.5200|691.0600|693.2000|74782|0.4150|0.9050|2.1400|BEARISH
MCK|2025-09-19 15:30|693.1900|694.8150|693.1700|694.7350|33749|1.5450|0.0800|0.0200|BULLISH
