Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
MGM|2025-09-02 13:30|39.1150|39.1200|38.5700|38.8000|817735|0.3150|0.0050|0.2300|BEARISH
MGM|2025-09-02 14:30|38.8000|38.8200|38.4400|38.4900|557777|0.3100|0.0200|0.0500|BEARISH
MGM|2025-09-02 15:30|38.4800|38.6600|38.3600|38.5500|404102|0.0700|0.1100|0.1200|BULLISH
MGM|2025-09-02 16:30|38.5500|38.7300|38.5150|38.7100|331453|0.1600|0.0200|0.0350|BULLISH
MGM|2025-09-02 17:30|38.7100|38.7900|38.6700|38.7550|329196|0.0450|0.0350|0.0400|BULLISH
MGM|2025-09-02 18:30|38.7600|38.9000|38.7600|38.8750|435319|0.1150|0.0250|0.0000|BULLISH
MGM|2025-09-02 19:30|38.8750|38.9500|38.8100|38.8900|881962|0.0150|0.0600|0.0650|BULLISH
MGM|2025-09-03 13:30|38.6600|39.1400|38.5000|38.5150|384768|0.1450|0.4800|0.0150|BEARISH
MGM|2025-09-03 14:30|38.5100|38.6600|38.4600|38.5600|402531|0.0500|0.1000|0.0500|BULLISH
MGM|2025-09-03 15:30|38.5700|38.6000|38.3900|38.4350|327959|0.1350|0.0300|0.0450|BEARISH
MGM|2025-09-03 16:30|38.4300|38.5100|38.3800|38.4100|179434|0.0200|0.0800|0.0300|BEARISH
MGM|2025-09-03 17:30|38.4200|38.4200|38.1807|38.3400|220180|0.0800|0.0000|0.1593|BEARISH
MGM|2025-09-03 18:30|38.3250|38.3400|38.0250|38.0500|408718|0.2750|0.0150|0.0250|BEARISH
MGM|2025-09-03 19:30|38.0600|38.1950|38.0590|38.1200|952699|0.0600|0.0750|0.0010|BULLISH
MGM|2025-09-04 13:30|38.2000|38.3100|37.5700|37.7400|536570|0.4600|0.1100|0.1700|BEARISH
MGM|2025-09-04 14:30|37.7300|37.8100|37.4800|37.6200|432954|0.1100|0.0800|0.1400|BEARISH
MGM|2025-09-04 15:30|37.6200|37.7100|37.3100|37.3450|438132|0.2750|0.0900|0.0350|BEARISH
