Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
MKC|2025-09-02 13:30|70.3800|70.8500|69.2950|69.3350|212094|1.0450|0.4700|0.0400|BEARISH
MKC|2025-09-02 14:30|69.3300|69.3690|68.8900|69.0500|219050|0.2800|0.0390|0.1600|BEARISH
MKC|2025-09-02 15:30|69.0200|69.2000|68.9200|68.9400|191378|0.0800|0.1800|0.0200|BEARISH
MKC|2025-09-02 16:30|68.9450|69.0750|68.8950|68.9000|199890|0.0450|0.1300|0.0050|BEARISH
MKC|2025-09-02 17:30|68.9050|69.0200|68.8100|68.8800|206468|0.0250|0.1150|0.0700|BEARISH
MKC|2025-09-02 18:30|68.8900|68.8900|68.3800|68.6300|340744|0.2600|0.0000|0.2500|BEARISH
MKC|2025-09-02 19:30|68.6400|68.9200|68.5600|68.7750|526438|0.1350|0.1450|0.0800|BULLISH
MKC|2025-09-03 13:30|68.9400|69.2600|68.5500|68.5950|165031|0.3450|0.3200|0.0450|BEARISH
MKC|2025-09-03 14:30|68.6300|68.8168|68.5900|68.7800|145387|0.1500|0.0368|0.0400|BULLISH
MKC|2025-09-03 15:30|68.8000|68.8800|68.6700|68.7000|80485|0.1000|0.0800|0.0300|BEARISH
MKC|2025-09-03 16:30|68.7200|69.0800|68.7150|69.0300|119295|0.3100|0.0500|0.0050|BULLISH
MKC|2025-09-03 17:30|69.0350|69.2400|68.8290|69.2200|99128|0.1850|0.0200|0.2060|BULLISH
MKC|2025-09-03 18:30|69.2200|69.5000|69.2200|69.4850|191819|0.2650|0.0150|0.0000|BULLISH
MKC|2025-09-03 19:30|69.4850|69.9000|69.4400|69.8400|460232|0.3550|0.0600|0.0450|BULLISH
MKC|2025-09-04 13:30|70.1900|70.5800|69.8000|70.1500|205092|0.0400|0.3900|0.3500|BEARISH
MKC|2025-09-04 14:30|70.1600|70.2000|69.7800|69.8600|146740|0.3000|0.0400|0.0800|BEARISH
MKC|2025-09-04 15:30|69.8700|69.9800|69.8100|69.9400|123688|0.0700|0.0400|0.0600|BULLISH
MKC|2025-09-04 16:30|69.9500|70.0400|69.8100|70.0000|116800|0.0500|0.0400|0.1400|BULLISH
MKC|2025-09-04 17:30|70.0100|70.1400|69.8900|70.0500|131203|0.0400|0.0900|0.1200|BULLISH
MKC|2025-09-04 18:30|70.0600|70.1300|69.9550|70.0500|151850|0.0100|0.0700|0.0950|BEARISH
MKC|2025-09-04 19:30|70.0492|70.1600|70.0000|70.1500|340085|0.1008|0.0100|0.0492|BULLISH
MKC|2025-09-05 13:30|70.2700|71.6300|70.2000|71.1700|294273|0.9000|0.4600|0.0700|BULLISH
MKC|2025-09-05 14:30|71.1800|71.3598|70.7700|71.3400|152869|0.1600|0.0198|0.4100|BULLISH
MKC|2025-09-05 15:30|71.3327|71.4000|70.8100|70.8700|117144|0.4627|0.0673|0.0600|BEARISH
MKC|2025-09-05 16:30|70.8500|70.9100|70.6800|70.8200|100404|0.0300|0.0600|0.1400|BEARISH
MKC|2025-09-05 17:30|70.8300|71.0100|70.6900|70.9150|149914|0.0850|0.0950|0.1400|BULLISH
MKC|2025-09-05 18:30|70.9300|71.1785|70.7700|70.8400|464457|0.0900|0.2485|0.0700|BEARISH
MKC|2025-09-05 19:30|70.8500|71.1900|70.7200|70.9400|712962|0.0900|0.2500|0.1300|BULLISH
MKC|2025-09-08 13:30|70.5000|70.5000|69.5100|70.2550|301483|0.2450|0.0000|0.7450|BEARISH
MKC|2025-09-08 14:30|70.2600|70.5200|69.9000|70.0000|310997|0.2600|0.2600|0.1000|BEARISH
MKC|2025-09-08 15:30|70.0100|70.2300|69.7800|70.1500|160501|0.1400|0.0800|0.2300|BULLISH
MKC|2025-09-08 16:30|70.1700|70.2200|69.9950|70.0650|209985|0.1050|0.0500|0.0700|BEARISH
MKC|2025-09-08 17:30|70.0650|70.1340|69.8900|70.0200|127194|0.0450|0.0690|0.1300|BEARISH
MKC|2025-09-08 18:30|70.0350|70.1150|69.8850|69.8900|179865|0.1450|0.0800|0.0050|BEARISH
MKC|2025-09-08 19:30|69.9000|70.2400|69.7300|70.1700|427372|0.2700|0.0700|0.1700|BULLISH
MKC|2025-09-09 13:30|69.8500|70.1800|69.6916|69.8000|152103|0.0500|0.3300|0.1084|BEARISH
MKC|2025-09-09 14:30|69.8200|69.9300|69.5100|69.7700|167329|0.0500|0.1100|0.2600|BEARISH
MKC|2025-09-09 15:30|69.7750|69.9100|69.7700|69.8900|91133|0.1150|0.0200|0.0050|BULLISH
MKC|2025-09-09 16:30|69.8750|69.9100|69.6750|69.7700|80213|0.1050|0.0350|0.0950|BEARISH
MKC|2025-09-09 17:30|69.7950|70.2500|69.7900|70.1800|119702|0.3850|0.0700|0.0050|BULLISH
MKC|2025-09-09 18:30|70.1800|70.2300|69.8300|69.8700|140062|0.3100|0.0500|0.0400|BEARISH
MKC|2025-09-09 19:30|69.8700|69.9100|69.6400|69.6400|410609|0.2300|0.0400|0.0000|BEARISH
MKC|2025-09-10 13:30|69.2200|69.4000|68.1850|68.2500|278421|0.9700|0.1800|0.0650|BEARISH
MKC|2025-09-10 14:30|68.2500|68.2550|67.7100|67.8500|206393|0.4000|0.0050|0.1400|BEARISH
MKC|2025-09-10 15:30|67.8700|68.2600|67.7700|68.1300|179525|0.2600|0.1300|0.1000|BULLISH
MKC|2025-09-10 16:30|68.1200|68.3400|67.9750|68.3400|160538|0.2200|0.0000|0.1450|BULLISH
MKC|2025-09-10 17:30|68.3400|68.5500|68.3300|68.5250|251776|0.1850|0.0250|0.0100|BULLISH
MKC|2025-09-10 18:30|68.5350|68.8600|68.5350|68.6200|328562|0.0850|0.2400|0.0000|BULLISH
MKC|2025-09-10 19:30|68.6800|68.7000|68.3900|68.5800|546625|0.1000|0.0200|0.1900|BEARISH
MKC|2025-09-11 13:30|68.9400|69.6800|68.5750|69.4500|297792|0.5100|0.2300|0.3650|BULLISH
MKC|2025-09-11 14:30|69.4600|69.7100|69.2200|69.5800|177083|0.1200|0.1300|0.2400|BULLISH
MKC|2025-09-11 15:30|69.5700|69.9300|69.3300|69.9200|134658|0.3500|0.0100|0.2400|BULLISH
MKC|2025-09-11 16:30|69.9200|69.9200|69.7000|69.9200|120269|0.0000|0.0000|0.2200|BULLISH
MKC|2025-09-11 17:30|69.9300|70.2150|69.9300|70.1000|240804|0.1700|0.1150|0.0000|BULLISH
MKC|2025-09-11 18:30|70.1100|70.1500|69.9900|70.0800|205116|0.0300|0.0400|0.0900|BEARISH
MKC|2025-09-11 19:30|70.0800|70.0900|69.8100|69.8150|440261|0.2650|0.0100|0.0050|BEARISH
MKC|2025-09-12 13:30|69.4500|69.8900|69.2300|69.3550|173268|0.0950|0.4400|0.1250|BEARISH
MKC|2025-09-12 14:30|69.3550|69.4100|68.9600|68.9700|108741|0.3850|0.0550|0.0100|BEARISH
MKC|2025-09-12 15:30|68.9600|68.9800|68.7200|68.7600|111531|0.2000|0.0200|0.0400|BEARISH
MKC|2025-09-12 16:30|68.7600|68.9800|68.6300|68.9500|112694|0.1900|0.0300|0.1300|BULLISH
