Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
MKTX|2025-09-02 13:30|184.6700|184.9900|183.2050|183.6650|56544|1.0050|0.3200|0.4600|BEARISH
MKTX|2025-09-02 14:30|183.3350|183.3500|180.9900|181.2400|41224|2.0950|0.0150|0.2500|BEARISH
MKTX|2025-09-02 15:30|181.0400|181.0500|179.7750|179.7750|46824|1.2650|0.0100|0.0000|BEARISH
MKTX|2025-09-02 16:30|179.6000|180.1100|179.0976|179.9800|77852|0.3800|0.1300|0.5024|BULLISH
MKTX|2025-09-02 17:30|179.9350|180.9000|179.9350|180.5800|50625|0.6450|0.3200|0.0000|BULLISH
MKTX|2025-09-02 18:30|180.6300|180.7800|179.8800|179.9300|64543|0.7000|0.1500|0.0500|BEARISH
MKTX|2025-09-02 19:30|179.9600|180.7100|179.9600|180.1400|149346|0.1800|0.5700|0.0000|BULLISH
MKTX|2025-09-03 13:30|179.7000|180.2850|179.2600|179.5300|75240|0.1700|0.5850|0.2700|BEARISH
MKTX|2025-09-03 14:30|179.7200|180.7050|179.5800|180.0600|77188|0.3400|0.6450|0.1400|BULLISH
MKTX|2025-09-03 15:30|180.2200|180.3800|179.4900|179.8100|81931|0.4100|0.1600|0.3200|BEARISH
MKTX|2025-09-03 16:30|180.0000|180.6400|179.9300|180.4500|67345|0.4500|0.1900|0.0700|BULLISH
MKTX|2025-09-03 17:30|180.4100|180.5525|179.6950|180.3500|67738|0.0600|0.1425|0.6550|BEARISH
MKTX|2025-09-03 18:30|180.2300|181.0000|179.7000|180.3250|183197|0.0950|0.6750|0.5300|BULLISH
MKTX|2025-09-03 19:30|180.3250|181.6900|180.1500|181.5700|254568|1.2450|0.1200|0.1750|BULLISH
MKTX|2025-09-04 13:30|182.0000|182.7400|180.2500|181.4400|95305|0.5600|0.7400|1.1900|BEARISH
MKTX|2025-09-04 14:30|181.2612|182.2950|181.2612|182.2300|70739|0.9688|0.0650|0.0000|BULLISH
MKTX|2025-09-04 15:30|182.3600|182.6250|181.3900|181.8300|37961|0.5300|0.2650|0.4400|BEARISH
MKTX|2025-09-04 16:30|181.6600|181.6850|181.0450|181.2600|45343|0.4000|0.0250|0.2150|BEARISH
MKTX|2025-09-04 17:30|181.1600|181.1600|178.2250|178.2250|51676|2.9350|0.0000|0.0000|BEARISH
MKTX|2025-09-04 18:30|178.2000|179.8300|178.2000|179.7900|106933|1.5900|0.0400|0.0000|BULLISH
MKTX|2025-09-04 19:30|179.7950|180.6100|179.7800|180.1050|132689|0.3100|0.5050|0.0150|BULLISH
MKTX|2025-09-05 13:30|184.9350|185.5200|183.6700|185.1900|113958|0.2550|0.3300|1.2650|BULLISH
MKTX|2025-09-05 14:30|184.9000|187.9800|184.5200|187.9700|78998|3.0700|0.0100|0.3800|BULLISH
MKTX|2025-09-05 15:30|188.1300|189.5400|188.0900|188.5100|96889|0.3800|1.0300|0.0400|BULLISH
MKTX|2025-09-05 16:30|188.4800|188.7600|188.0160|188.2100|45254|0.2700|0.2800|0.1940|BEARISH
MKTX|2025-09-05 17:30|188.1800|188.5000|187.5800|187.7100|43873|0.4700|0.3200|0.1300|BEARISH
MKTX|2025-09-05 18:30|187.6550|188.0300|187.2400|187.2500|73967|0.4050|0.3750|0.0100|BEARISH
MKTX|2025-09-05 19:30|187.0800|187.5000|187.0150|187.4600|126531|0.3800|0.0400|0.0650|BULLISH
MKTX|2025-09-08 13:30|188.0100|188.1200|184.8700|185.9200|158387|2.0900|0.1100|1.0500|BEARISH
MKTX|2025-09-08 14:30|185.9300|186.8000|185.3500|186.5650|57690|0.6350|0.2350|0.5800|BULLISH
MKTX|2025-09-08 15:30|186.5300|187.0900|186.5100|186.8500|50905|0.3200|0.2400|0.0200|BULLISH
MKTX|2025-09-08 16:30|186.8700|187.1500|186.2200|186.2500|53116|0.6200|0.2800|0.0300|BEARISH
MKTX|2025-09-08 17:30|186.2600|186.7000|184.8650|185.6306|63922|0.6294|0.4400|0.7656|BEARISH
MKTX|2025-09-08 18:30|185.5600|185.5600|184.2800|185.0250|127268|0.5350|0.0000|0.7450|BEARISH
MKTX|2025-09-08 19:30|184.9800|187.3200|184.9800|187.1900|169723|2.2100|0.1300|0.0000|BULLISH
MKTX|2025-09-09 13:30|187.4500|188.2300|186.4100|187.5000|43297|0.0500|0.7300|1.0400|BULLISH
MKTX|2025-09-09 14:30|187.4700|188.1500|187.1400|187.8650|69781|0.3950|0.2850|0.3300|BULLISH
MKTX|2025-09-09 15:30|187.8600|188.4850|187.5100|188.3700|48242|0.5100|0.1150|0.3500|BULLISH
MKTX|2025-09-09 16:30|188.2300|188.5300|186.4800|186.5700|77676|1.6600|0.3000|0.0900|BEARISH
MKTX|2025-09-09 17:30|186.6750|187.1250|186.2500|186.6600|69452|0.0150|0.4500|0.4100|BEARISH
MKTX|2025-09-09 18:30|186.8600|188.2400|186.8600|187.8200|79378|0.9600|0.4200|0.0000|BULLISH
MKTX|2025-09-09 19:30|187.8200|188.2400|187.5700|188.1800|128402|0.3600|0.0600|0.2500|BULLISH
MKTX|2025-09-10 13:30|186.6100|187.8500|185.7900|185.9100|60686|0.7000|1.2400|0.1200|BEARISH
MKTX|2025-09-10 14:30|185.8800|187.2900|185.7200|186.2300|60605|0.3500|1.0600|0.1600|BULLISH
MKTX|2025-09-10 15:30|186.1900|186.4000|184.6850|184.6850|74208|1.5050|0.2100|0.0000|BEARISH
MKTX|2025-09-10 16:30|184.3500|184.6700|183.5450|183.7300|145657|0.6200|0.3200|0.1850|BEARISH
MKTX|2025-09-10 17:30|183.7900|184.2900|183.1900|183.4300|62499|0.3600|0.5000|0.2400|BEARISH
MKTX|2025-09-10 18:30|183.4000|184.7600|183.4000|184.5700|88739|1.1700|0.1900|0.0000|BULLISH
MKTX|2025-09-10 19:30|184.6300|184.8300|183.9250|184.7000|181445|0.0700|0.1300|0.7050|BULLISH
MKTX|2025-09-11 13:30|185.7700|190.4700|185.0600|189.3300|141961|3.5600|1.1400|0.7100|BULLISH
MKTX|2025-09-11 14:30|189.2300|189.2300|187.4150|187.7400|0|1.4900|0.0000|0.3250|BEARISH
MKTX|2025-09-11 15:30|187.8750|188.0600|187.0800|187.1000|147920|0.7750|0.1850|0.0200|BEARISH
MKTX|2025-09-11 16:30|187.0800|187.9700|186.9350|187.7700|60302|0.6900|0.2000|0.1450|BULLISH
MKTX|2025-09-11 17:30|187.6400|188.8700|187.5279|188.5200|64321|0.8800|0.3500|0.1121|BULLISH
