Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
MLM|2025-09-02 13:30|609.9800|616.3200|608.7000|616.3200|36630|6.3400|0.0000|1.2800|BULLISH
MLM|2025-09-02 14:30|616.2150|616.2150|613.2600|614.2100|31121|2.0050|0.0000|0.9500|BEARISH
MLM|2025-09-02 15:30|612.9587|614.6799|611.5050|612.1700|31231|0.7887|1.7212|0.6650|BEARISH
MLM|2025-09-02 16:30|612.6900|614.7100|610.9850|614.7100|27228|2.0200|0.0000|1.7050|BULLISH
MLM|2025-09-02 17:30|615.0600|617.9050|614.7500|617.4350|67341|2.3750|0.4700|0.3100|BULLISH
MLM|2025-09-02 18:30|617.9545|618.0400|615.3300|616.1450|87274|1.8095|0.0854|0.8150|BEARISH
MLM|2025-09-02 19:30|615.9750|616.4200|613.0000|616.1700|180113|0.1950|0.2500|2.9750|BULLISH
MLM|2025-09-03 13:30|616.3800|616.3800|606.4700|606.4700|47892|9.9100|0.0000|0.0000|BEARISH
MLM|2025-09-03 14:30|607.2100|611.6600|606.4155|608.0000|52440|0.7900|3.6600|0.7945|BULLISH
MLM|2025-09-03 15:30|607.3550|609.6600|607.3550|608.0750|36897|0.7200|1.5850|0.0000|BULLISH
MLM|2025-09-03 16:30|608.1700|608.8450|605.7050|608.7900|30260|0.6200|0.0550|2.4650|BULLISH
MLM|2025-09-03 17:30|608.7000|609.7600|607.4800|609.7600|28129|1.0600|0.0000|1.2200|BULLISH
MLM|2025-09-03 18:30|609.6000|609.6000|606.8800|607.3200|38987|2.2800|0.0000|0.4400|BEARISH
MLM|2025-09-03 19:30|607.5400|611.4150|607.3450|610.7600|94986|3.2200|0.6550|0.1950|BULLISH
MLM|2025-09-04 13:30|615.2600|615.2600|608.8850|612.4900|40311|2.7700|0.0000|3.6050|BEARISH
MLM|2025-09-04 14:30|613.1950|614.1099|611.2750|611.8300|34366|1.3650|0.9149|0.5550|BEARISH
MLM|2025-09-04 15:30|611.3700|614.8600|609.8700|614.2700|41416|2.9000|0.5900|1.5000|BULLISH
MLM|2025-09-04 16:30|613.9900|613.9900|611.8800|613.9900|31444|0.0000|0.0000|2.1100|BULLISH
MLM|2025-09-04 17:30|614.4500|615.6100|614.0092|615.4600|24552|1.0100|0.1500|0.4408|BULLISH
MLM|2025-09-04 18:30|615.8350|618.4200|615.0250|618.3850|42905|2.5500|0.0350|0.8100|BULLISH
MLM|2025-09-04 19:30|618.3900|620.1600|617.6100|618.9700|75384|0.5800|1.1900|0.7800|BULLISH
MLM|2025-09-05 13:30|621.6800|622.9600|618.0000|618.4400|39719|3.2400|1.2800|0.4400|BEARISH
MLM|2025-09-05 14:30|618.0900|619.6650|616.1200|618.8650|29953|0.7750|0.8000|1.9700|BULLISH
MLM|2025-09-05 15:30|619.1450|622.7300|618.7317|620.8400|29536|1.6950|1.8900|0.4133|BULLISH
