Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
MOH|2025-09-02 13:30|181.3100|184.8300|180.2901|183.3300|310507|2.0200|1.5000|1.0199|BULLISH
MOH|2025-09-02 14:30|183.3900|184.6499|182.7701|183.3750|145970|0.0150|1.2599|0.6049|BEARISH
MOH|2025-09-02 15:30|183.2600|184.8000|183.1300|184.2400|145204|0.9800|0.5600|0.1300|BULLISH
MOH|2025-09-02 16:30|184.2500|184.2525|182.8000|182.9600|151382|1.2900|0.0025|0.1600|BEARISH
MOH|2025-09-02 17:30|182.9300|183.5000|182.7750|183.2100|152083|0.2800|0.2900|0.1550|BULLISH
MOH|2025-09-02 18:30|183.2500|183.3799|182.5500|183.0850|186364|0.1650|0.1299|0.5350|BEARISH
MOH|2025-09-02 19:30|183.0850|183.8700|183.0100|183.1600|291629|0.0750|0.7100|0.0750|BULLISH
MOH|2025-09-03 13:30|182.1400|184.0000|177.1100|177.8150|308623|4.3250|1.8600|0.7050|BEARISH
MOH|2025-09-03 14:30|178.0600|178.4500|176.6000|177.5000|157860|0.5600|0.3900|0.9000|BEARISH
MOH|2025-09-03 15:30|177.5500|177.7200|176.8600|177.1150|102860|0.4350|0.1700|0.2550|BEARISH
MOH|2025-09-03 16:30|177.1300|178.1700|176.8650|177.3200|115836|0.1900|0.8500|0.2650|BULLISH
MOH|2025-09-03 17:30|177.3050|178.1100|176.7000|178.0200|122266|0.7150|0.0900|0.6050|BULLISH
MOH|2025-09-03 18:30|178.1200|179.1600|177.2200|177.2200|142795|0.9000|1.0400|0.0000|BEARISH
MOH|2025-09-03 19:30|177.2550|177.8000|176.9000|176.9600|274477|0.2950|0.5450|0.0600|BEARISH
MOH|2025-09-04 13:30|170.0000|172.4983|166.4550|169.9350|565984|0.0650|2.4983|3.4800|BEARISH
MOH|2025-09-04 14:30|169.7100|169.8500|167.3100|167.7180|252974|1.9920|0.1400|0.4080|BEARISH
MOH|2025-09-04 15:30|167.7650|169.9500|167.2700|169.6319|156138|1.8669|0.3181|0.4950|BULLISH
MOH|2025-09-04 16:30|169.6300|170.0200|168.7300|168.8400|98047|0.7900|0.3900|0.1100|BEARISH
MOH|2025-09-04 17:30|168.7300|169.7000|168.1500|169.5500|131070|0.8200|0.1500|0.5800|BULLISH
MOH|2025-09-04 18:30|169.4000|170.2950|168.8300|169.7300|208125|0.3300|0.5650|0.5700|BULLISH
MOH|2025-09-04 19:30|169.6400|171.0000|169.4527|170.8300|303262|1.1900|0.1700|0.1873|BULLISH
MOH|2025-09-05 13:30|170.7300|173.8900|169.5400|170.4600|197059|0.2700|3.1600|0.9200|BEARISH
MOH|2025-09-05 14:30|170.3200|173.3411|170.0500|172.7800|115377|2.4600|0.5611|0.2700|BULLISH
MOH|2025-09-05 15:30|172.7901|174.9900|172.5000|174.7250|104060|1.9349|0.2650|0.2901|BULLISH
MOH|2025-09-05 16:30|174.8200|175.4200|174.3300|175.1300|137239|0.3100|0.2900|0.4900|BULLISH
MOH|2025-09-05 17:30|175.3200|175.4600|173.8200|173.9000|165295|1.4200|0.1400|0.0800|BEARISH
MOH|2025-09-05 18:30|173.9800|174.3400|173.6550|173.8250|128036|0.1550|0.3600|0.1700|BEARISH
MOH|2025-09-05 19:30|173.8250|174.6600|173.3700|174.6500|291115|0.8250|0.0100|0.4550|BULLISH
MOH|2025-09-08 13:30|175.4700|175.5050|171.5700|172.8250|156228|2.6450|0.0350|1.2550|BEARISH
MOH|2025-09-08 14:30|172.6300|174.4600|172.4800|173.4800|93392|0.8500|0.9800|0.1500|BULLISH
MOH|2025-09-08 15:30|173.5700|173.8000|172.8300|172.8300|65408|0.7400|0.2300|0.0000|BEARISH
MOH|2025-09-08 16:30|172.8400|173.5600|172.7000|173.4775|64559|0.6375|0.0825|0.1400|BULLISH
MOH|2025-09-08 17:30|173.4400|174.5000|172.8600|173.3600|94696|0.0800|1.0600|0.5000|BEARISH
MOH|2025-09-08 18:30|173.3950|173.9050|173.2200|173.6900|115582|0.2950|0.2150|0.1750|BULLISH
MOH|2025-09-08 19:30|173.7500|175.5900|173.6300|175.5500|253820|1.8000|0.0400|0.1200|BULLISH
MOH|2025-09-09 13:30|177.1415|179.6800|174.6500|175.2882|130568|1.8533|2.5385|0.6382|BEARISH
MOH|2025-09-09 14:30|175.2200|176.2000|174.5000|176.2000|74170|0.9800|0.0000|0.7200|BULLISH
MOH|2025-09-09 15:30|176.2100|178.4600|176.1000|178.3550|114035|2.1450|0.1050|0.1100|BULLISH
MOH|2025-09-09 16:30|178.5199|181.6800|178.1901|181.6600|136208|3.1401|0.0200|0.3298|BULLISH
MOH|2025-09-09 17:30|181.6900|182.7750|179.6360|181.0950|211741|0.5950|1.0850|1.4590|BEARISH
MOH|2025-09-09 18:30|181.1400|181.5400|179.5000|180.5400|144915|0.6000|0.4000|1.0400|BEARISH
MOH|2025-09-09 19:30|180.5500|182.1900|180.4900|181.6000|263157|1.0500|0.5900|0.0600|BULLISH
MOH|2025-09-10 13:30|179.9400|181.5850|176.4800|176.7250|125675|3.2150|1.6450|0.2450|BEARISH
MOH|2025-09-10 14:30|176.6700|177.0200|175.0100|176.7100|182603|0.0400|0.3100|1.6600|BULLISH
MOH|2025-09-10 15:30|176.4400|177.5078|176.0000|176.2200|70860|0.2200|1.0678|0.2200|BEARISH
MOH|2025-09-10 16:30|176.2200|177.3600|175.8400|176.9350|98575|0.7150|0.4250|0.3800|BULLISH
MOH|2025-09-10 17:30|176.9400|178.1350|176.7100|177.6500|91688|0.7100|0.4850|0.2300|BULLISH
MOH|2025-09-10 18:30|177.6600|178.7425|177.5900|177.8350|127262|0.1750|0.9075|0.0700|BULLISH
MOH|2025-09-10 19:30|177.8300|179.3000|177.3800|179.2600|217110|1.4300|0.0400|0.4500|BULLISH
MOH|2025-09-11 13:30|196.0000|197.7850|187.2000|188.8900|477441|7.1100|1.7850|1.6900|BEARISH
MOH|2025-09-11 14:30|188.8950|191.1100|188.8950|189.6300|135358|0.7350|1.4800|0.0000|BULLISH
MOH|2025-09-11 15:30|189.7200|189.7400|187.6550|189.1000|114950|0.6200|0.0200|1.4450|BEARISH
MOH|2025-09-11 16:30|189.1000|190.9500|188.9450|190.5700|121014|1.4700|0.3800|0.1550|BULLISH
MOH|2025-09-11 17:30|190.5050|190.9400|189.6900|189.7450|126730|0.7600|0.4350|0.0550|BEARISH
MOH|2025-09-11 18:30|189.5800|190.0400|188.3400|189.3900|169710|0.1900|0.4600|1.0500|BEARISH
MOH|2025-09-11 19:30|189.3900|189.4650|188.3300|188.4400|229758|0.9500|0.0750|0.1100|BEARISH
MOH|2025-09-12 13:30|187.6150|189.4800|185.7100|187.6950|150972|0.0800|1.7850|1.9050|BULLISH
MOH|2025-09-12 14:30|187.8000|187.9000|183.9200|184.1000|131047|3.7000|0.1000|0.1800|BEARISH
MOH|2025-09-12 15:30|184.3500|185.3000|184.2300|184.6700|77846|0.3200|0.6300|0.1200|BULLISH
MOH|2025-09-12 16:30|184.6600|184.8100|183.2600|183.7200|70003|0.9400|0.1500|0.4600|BEARISH
MOH|2025-09-12 17:30|183.3500|183.7600|182.0000|182.7000|91698|0.6500|0.4100|0.7000|BEARISH
MOH|2025-09-12 18:30|182.8200|183.3400|182.0000|182.0950|132583|0.7250|0.5200|0.0950|BEARISH
MOH|2025-09-12 19:30|182.1000|182.1000|180.3800|180.8700|225878|1.2300|0.0000|0.4900|BEARISH
MOH|2025-09-15 13:30|181.0900|181.6600|175.5050|176.5400|177976|4.5500|0.5700|1.0350|BEARISH
MOH|2025-09-15 14:30|176.5300|177.1700|174.8800|174.9100|114380|1.6200|0.6400|0.0300|BEARISH
MOH|2025-09-15 15:30|175.1050|176.0400|174.7200|175.5400|69788|0.4350|0.5000|0.3850|BULLISH
MOH|2025-09-15 16:30|175.6100|176.9200|175.5500|176.3610|51445|0.7510|0.5590|0.0600|BULLISH
MOH|2025-09-15 17:30|176.4000|177.3700|176.4000|176.8000|58992|0.4000|0.5700|0.0000|BULLISH
MOH|2025-09-15 18:30|176.7600|177.5000|176.5900|177.2200|87041|0.4600|0.2800|0.1700|BULLISH
MOH|2025-09-15 19:30|177.1700|177.4000|176.0900|176.1400|184748|1.0300|0.2300|0.0500|BEARISH
MOH|2025-09-16 13:30|177.4900|178.4400|174.4900|175.2400|151890|2.2500|0.9500|0.7500|BEARISH
MOH|2025-09-16 14:30|175.2875|176.6620|174.3700|176.2500|101787|0.9625|0.4120|0.9175|BULLISH
MOH|2025-09-16 15:30|176.2800|177.9800|176.1400|177.7200|66693|1.4400|0.2600|0.1400|BULLISH
MOH|2025-09-16 16:30|177.6900|178.1100|176.9400|177.6000|67429|0.0900|0.4200|0.6600|BEARISH
MOH|2025-09-16 17:30|177.5950|177.7400|175.8450|176.0800|74673|1.5150|0.1450|0.2350|BEARISH
MOH|2025-09-16 18:30|175.9900|177.3850|175.9900|177.1050|90619|1.1150|0.2800|0.0000|BULLISH
MOH|2025-09-16 19:30|177.0400|177.6100|176.4500|176.4800|178206|0.5600|0.5700|0.0300|BEARISH
MOH|2025-09-17 13:30|176.9200|178.8200|175.9450|178.0300|118845|1.1100|0.7900|0.9750|BULLISH
MOH|2025-09-17 14:30|178.0450|179.3300|177.3500|178.9750|65537|0.9300|0.3550|0.6950|BULLISH
MOH|2025-09-17 15:30|178.9600|179.6400|178.4700|178.7200|65440|0.2400|0.6800|0.2500|BEARISH
MOH|2025-09-17 16:30|178.8100|179.8800|178.7600|179.4600|64390|0.6500|0.4200|0.0500|BULLISH
MOH|2025-09-17 17:30|179.4600|181.1960|178.8400|180.0700|74128|0.6100|1.1260|0.6200|BULLISH
MOH|2025-09-17 18:30|179.9000|179.9800|175.8900|176.0900|133949|3.8100|0.0800|0.2000|BEARISH
MOH|2025-09-17 19:30|176.0900|177.0800|175.6800|176.3200|212702|0.2300|0.7600|0.4100|BULLISH
MOH|2025-09-18 13:30|177.1600|180.2850|176.2500|180.2800|69412|3.1200|0.0050|0.9100|BULLISH
MOH|2025-09-18 14:30|180.2800|180.6600|178.5700|178.6300|70882|1.6500|0.3800|0.0600|BEARISH
MOH|2025-09-18 15:30|178.6100|179.9400|178.6100|179.8300|56448|1.2200|0.1100|0.0000|BULLISH
MOH|2025-09-18 16:30|179.9900|180.7400|179.4900|179.6700|80295|0.3200|0.7500|0.1800|BEARISH
MOH|2025-09-18 17:30|179.8600|180.2500|178.4000|179.0100|60611|0.8500|0.3900|0.6100|BEARISH
MOH|2025-09-18 18:30|179.0700|180.7200|179.0500|180.4500|88916|1.3800|0.2700|0.0200|BULLISH
MOH|2025-09-18 19:30|180.4250|180.9500|179.6800|179.7100|170297|0.7150|0.5250|0.0300|BEARISH
MOH|2025-09-19 13:30|179.0000|179.8350|177.0000|178.7500|136389|0.2500|0.8350|1.7500|BEARISH
MOH|2025-09-19 14:30|178.4800|180.0100|178.1200|179.5400|38963|1.0600|0.4700|0.3600|BULLISH
MOH|2025-09-19 15:30|179.4800|180.4800|178.9200|179.0150|65706|0.4650|1.0000|0.0950|BEARISH
MOH|2025-09-19 16:30|179.0600|179.1100|177.4500|178.1550|57729|0.9050|0.0500|0.7050|BEARISH
MOH|2025-09-19 17:30|178.1100|178.5400|176.0350|176.3850|76804|1.7250|0.4300|0.3500|BEARISH
MOH|2025-09-19 18:30|176.3850|176.8200|175.4396|176.7210|114710|0.3360|0.0990|0.9454|BULLISH
MOH|2025-09-19 19:30|176.6900|176.6900|174.8300|175.1900|336615|1.5000|0.0000|0.3600|BEARISH
MOH|2025-09-22 13:30|174.7900|177.8300|174.0000|177.3550|102466|2.5650|0.4750|0.7900|BULLISH
