Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
MOS|2025-09-02 13:30|33.1600|33.4000|32.9700|33.2200|405888|0.0600|0.1800|0.1900|BULLISH
MOS|2025-09-02 14:30|33.2200|33.2200|33.0550|33.1250|261236|0.0950|0.0000|0.0700|BEARISH
MOS|2025-09-02 15:30|33.1300|33.1950|32.9700|33.0150|216855|0.1150|0.0650|0.0450|BEARISH
MOS|2025-09-02 16:30|33.0150|33.2500|33.0050|33.2250|252602|0.2100|0.0250|0.0100|BULLISH
MOS|2025-09-02 17:30|33.2250|33.3250|33.1000|33.1750|271345|0.0500|0.1000|0.0750|BEARISH
MOS|2025-09-02 18:30|33.1790|33.2900|33.1450|33.2450|254856|0.0660|0.0450|0.0340|BULLISH
MOS|2025-09-02 19:30|33.2450|33.3500|33.2350|33.2350|613857|0.0100|0.1050|0.0000|BEARISH
MOS|2025-09-03 13:30|32.9700|33.0300|32.7000|32.8225|472157|0.1475|0.0600|0.1225|BEARISH
MOS|2025-09-03 14:30|32.8200|32.8900|32.6700|32.8750|347660|0.0550|0.0150|0.1500|BULLISH
MOS|2025-09-03 15:30|32.8800|32.9850|32.7865|32.8150|349828|0.0650|0.1050|0.0285|BEARISH
MOS|2025-09-03 16:30|32.8150|32.9050|32.7300|32.9000|183107|0.0850|0.0050|0.0850|BULLISH
MOS|2025-09-03 17:30|32.8950|33.0100|32.7950|32.8550|283581|0.0400|0.1150|0.0600|BEARISH
MOS|2025-09-03 18:30|32.8550|32.8650|32.6550|32.6800|308127|0.1750|0.0100|0.0250|BEARISH
MOS|2025-09-03 19:30|32.6750|32.7500|32.6100|32.6900|773625|0.0150|0.0600|0.0650|BULLISH
MOS|2025-09-04 13:30|32.4200|32.5600|32.1300|32.2600|592305|0.1600|0.1400|0.1300|BEARISH
MOS|2025-09-04 14:30|32.2600|32.3750|32.1600|32.3350|490264|0.0750|0.0400|0.1000|BULLISH
MOS|2025-09-04 15:30|32.3400|32.5800|32.3250|32.4300|571426|0.0900|0.1500|0.0150|BULLISH
MOS|2025-09-04 16:30|32.4200|32.5350|32.4000|32.4550|281029|0.0350|0.0800|0.0200|BULLISH
MOS|2025-09-04 17:30|32.4550|32.5900|32.4350|32.4850|313861|0.0300|0.1050|0.0200|BULLISH
MOS|2025-09-04 18:30|32.4872|32.6500|32.4700|32.6250|640219|0.1378|0.0250|0.0172|BULLISH
MOS|2025-09-04 19:30|32.6200|32.6300|32.5600|32.5850|725880|0.0350|0.0100|0.0250|BEARISH
MOS|2025-09-05 13:30|32.8800|33.0600|32.4800|32.6400|690358|0.2400|0.1800|0.1600|BEARISH
MOS|2025-09-05 14:30|32.6400|32.6900|32.3100|32.3600|469193|0.2800|0.0500|0.0500|BEARISH
MOS|2025-09-05 15:30|32.3688|32.4800|32.2900|32.4250|393394|0.0562|0.0550|0.0788|BULLISH
MOS|2025-09-05 16:30|32.4300|32.5350|32.3000|32.3000|277977|0.1300|0.1050|0.0000|BEARISH
MOS|2025-09-05 17:30|32.3050|32.3400|32.2200|32.2450|397629|0.0600|0.0350|0.0250|BEARISH
MOS|2025-09-05 18:30|32.2450|32.4200|32.2146|32.4050|436747|0.1600|0.0150|0.0304|BULLISH
MOS|2025-09-05 19:30|32.4050|32.4600|32.3300|32.4450|953728|0.0400|0.0150|0.0750|BULLISH
MOS|2025-09-08 13:30|32.4400|33.0200|32.4000|32.6500|684641|0.2100|0.3700|0.0400|BULLISH
MOS|2025-09-08 14:30|32.6550|32.7600|32.5800|32.7550|354426|0.1000|0.0050|0.0750|BULLISH
MOS|2025-09-08 15:30|32.7550|32.7750|32.4200|32.5050|352577|0.2500|0.0200|0.0850|BEARISH
MOS|2025-09-08 16:30|32.5100|32.5300|32.3500|32.3950|593072|0.1150|0.0200|0.0450|BEARISH
MOS|2025-09-08 17:30|32.3900|32.4500|32.3750|32.3965|364769|0.0065|0.0535|0.0150|BULLISH
MOS|2025-09-08 18:30|32.4000|32.5150|32.3550|32.4000|581010|0.0000|0.1150|0.0450|BULLISH
MOS|2025-09-08 19:30|32.4050|32.6000|32.3750|32.5800|1044319|0.1750|0.0200|0.0300|BULLISH
MOS|2025-09-09 13:30|32.6700|32.7400|32.1900|32.2900|363221|0.3800|0.0700|0.1000|BEARISH
MOS|2025-09-09 14:30|32.2900|32.3200|32.2150|32.2550|291260|0.0350|0.0300|0.0400|BEARISH
MOS|2025-09-09 15:30|32.2550|32.2800|32.1000|32.1600|364098|0.0950|0.0250|0.0600|BEARISH
MOS|2025-09-09 16:30|32.1600|32.2400|32.1250|32.1250|217717|0.0350|0.0800|0.0000|BEARISH
MOS|2025-09-09 17:30|32.1350|32.2150|32.0850|32.2000|228500|0.0650|0.0150|0.0500|BULLISH
MOS|2025-09-09 18:30|32.1950|32.2300|32.1450|32.1450|250291|0.0500|0.0350|0.0000|BEARISH
MOS|2025-09-09 19:30|32.1500|32.1750|32.1150|32.1400|678773|0.0100|0.0250|0.0250|BEARISH
MOS|2025-09-10 13:30|32.2100|32.6200|32.1700|32.4300|252276|0.2200|0.1900|0.0400|BULLISH
MOS|2025-09-10 14:30|32.4300|32.6000|32.3900|32.5450|309847|0.1150|0.0550|0.0400|BULLISH
MOS|2025-09-10 15:30|32.5450|32.8450|32.5200|32.7100|217052|0.1650|0.1350|0.0250|BULLISH
MOS|2025-09-10 16:30|32.7100|32.8713|32.6900|32.8300|313025|0.1200|0.0413|0.0200|BULLISH
MOS|2025-09-10 17:30|32.8300|33.3100|32.8300|33.2750|538576|0.4450|0.0350|0.0000|BULLISH
MOS|2025-09-10 18:30|33.2800|33.4600|33.1400|33.3610|875076|0.0810|0.0990|0.1400|BULLISH
MOS|2025-09-10 19:30|33.3550|33.5500|33.3550|33.4000|1149675|0.0450|0.1500|0.0000|BULLISH
MOS|2025-09-11 13:30|33.3400|33.6900|33.2600|33.4900|839492|0.1500|0.2000|0.0800|BULLISH
MOS|2025-09-11 14:30|33.4900|33.7100|33.4800|33.6650|390346|0.1750|0.0450|0.0100|BULLISH
MOS|2025-09-11 15:30|33.6700|33.7650|33.6425|33.6850|252208|0.0150|0.0800|0.0275|BULLISH
MOS|2025-09-11 16:30|33.6850|33.7250|33.4800|33.6900|397569|0.0050|0.0350|0.2050|BULLISH
MOS|2025-09-11 17:30|33.7000|33.8100|33.6600|33.6900|333441|0.0100|0.1100|0.0300|BEARISH
MOS|2025-09-11 18:30|33.6900|33.7200|33.4800|33.5150|566792|0.1750|0.0300|0.0350|BEARISH
MOS|2025-09-11 19:30|33.5200|33.7000|33.5000|33.6700|1168663|0.1500|0.0300|0.0200|BULLISH
MOS|2025-09-12 13:30|33.6000|33.7800|33.5200|33.6150|353115|0.0150|0.1650|0.0800|BULLISH
MOS|2025-09-12 14:30|33.6200|33.8000|33.5400|33.5400|337480|0.0800|0.1800|0.0000|BEARISH
MOS|2025-09-12 15:30|33.5600|33.6700|33.4900|33.6600|299196|0.1000|0.0100|0.0700|BULLISH
MOS|2025-09-12 16:30|33.6500|33.6750|33.5750|33.6150|210287|0.0350|0.0250|0.0400|BEARISH
