Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
MRNA|2025-09-02 13:30|23.9300|24.1950|23.7300|23.9135|2664397|0.0165|0.2650|0.1835|BEARISH
MRNA|2025-09-02 14:30|23.9150|24.0000|23.5610|23.5950|1640207|0.3200|0.0850|0.0340|BEARISH
MRNA|2025-09-02 15:30|23.5900|23.6200|23.4000|23.5451|1688838|0.0449|0.0300|0.1451|BEARISH
MRNA|2025-09-02 16:30|23.5550|23.7000|23.5200|23.6350|743042|0.0800|0.0650|0.0350|BULLISH
MRNA|2025-09-02 17:30|23.6350|23.9400|23.6315|23.8300|2003913|0.1950|0.1100|0.0035|BULLISH
MRNA|2025-09-02 18:30|23.8350|24.2500|23.8300|24.2150|1273331|0.3800|0.0350|0.0050|BULLISH
MRNA|2025-09-02 19:30|24.2150|24.2400|24.0900|24.1800|3062234|0.0350|0.0250|0.0900|BEARISH
MRNA|2025-09-03 13:30|24.1500|24.6600|23.8100|24.2650|2469351|0.1150|0.3950|0.3400|BULLISH
MRNA|2025-09-03 14:30|24.2600|24.4100|23.8500|23.8800|1124827|0.3800|0.1500|0.0300|BEARISH
MRNA|2025-09-03 15:30|23.8850|24.0750|23.8550|24.0750|812756|0.1900|0.0000|0.0300|BULLISH
MRNA|2025-09-03 16:30|24.0700|24.1375|24.0000|24.0850|730322|0.0150|0.0525|0.0700|BULLISH
MRNA|2025-09-03 17:30|24.0900|24.1100|23.8500|24.0150|738717|0.0750|0.0200|0.1650|BEARISH
MRNA|2025-09-03 18:30|24.0150|24.0250|23.7900|23.8027|847074|0.2123|0.0100|0.0127|BEARISH
MRNA|2025-09-03 19:30|23.8000|24.0700|23.7950|24.0600|1560613|0.2600|0.0100|0.0050|BULLISH
MRNA|2025-09-04 13:30|23.8100|23.8200|23.4600|23.5700|2202936|0.2400|0.0100|0.1100|BEARISH
MRNA|2025-09-04 14:30|23.5600|23.8850|23.5300|23.8158|1476522|0.2558|0.0692|0.0300|BULLISH
MRNA|2025-09-04 15:30|23.8100|24.0200|23.7350|23.9400|822470|0.1300|0.0800|0.0750|BULLISH
MRNA|2025-09-04 16:30|23.9500|24.0150|23.8550|23.8900|490436|0.0600|0.0650|0.0350|BEARISH
MRNA|2025-09-04 17:30|23.9000|24.2300|23.8400|24.1950|841784|0.2950|0.0350|0.0600|BULLISH
MRNA|2025-09-04 18:30|24.1938|24.3400|24.1600|24.2601|1137623|0.0663|0.0799|0.0338|BULLISH
MRNA|2025-09-04 19:30|24.2600|24.3350|24.1600|24.2900|1268285|0.0300|0.0450|0.1000|BULLISH
MRNA|2025-09-05 13:30|24.6500|25.3200|24.6054|24.7500|3600313|0.1000|0.5700|0.0446|BULLISH
