Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
MRVL|2025-09-02 13:30|62.0250|63.6100|61.8140|63.2500|11275710|1.2250|0.3600|0.2110|BULLISH
MRVL|2025-09-02 14:30|63.2400|63.3000|62.3801|62.9817|4845377|0.2583|0.0600|0.6016|BEARISH
MRVL|2025-09-02 15:30|62.9800|63.1900|62.1850|62.7150|3166341|0.2650|0.2100|0.5300|BEARISH
MRVL|2025-09-02 16:30|62.7150|63.2300|62.5350|63.0300|2614656|0.3150|0.2000|0.1800|BULLISH
MRVL|2025-09-02 17:30|63.0400|63.9300|63.0050|63.9250|3176244|0.8850|0.0050|0.0350|BULLISH
MRVL|2025-09-02 18:30|63.9300|64.4000|63.8900|64.0000|4095651|0.0700|0.4000|0.0400|BULLISH
MRVL|2025-09-02 19:30|64.0050|64.6600|63.9301|64.6050|4278566|0.6000|0.0550|0.0749|BULLISH
MRVL|2025-09-03 13:30|64.0450|64.5200|62.9600|63.1400|8384091|0.9050|0.4750|0.1800|BEARISH
MRVL|2025-09-03 14:30|63.1500|63.4700|62.1300|62.1500|5201505|1.0000|0.3200|0.0200|BEARISH
MRVL|2025-09-03 15:30|62.1500|62.6000|62.0100|62.3750|3713527|0.2250|0.2250|0.1400|BULLISH
MRVL|2025-09-03 16:30|62.3800|62.4396|62.0200|62.2397|2638855|0.1403|0.0596|0.2197|BEARISH
MRVL|2025-09-03 17:30|62.2350|62.2850|61.7600|61.8785|2831765|0.3565|0.0500|0.1185|BEARISH
MRVL|2025-09-03 18:30|61.8700|62.1200|61.7200|62.0450|2913758|0.1750|0.0750|0.1500|BULLISH
MRVL|2025-09-03 19:30|62.0450|62.4600|61.9000|62.3100|4615608|0.2650|0.1500|0.1450|BULLISH
MRVL|2025-09-04 13:30|62.1300|62.8900|61.4400|62.8900|6682093|0.7600|0.0000|0.6900|BULLISH
MRVL|2025-09-04 14:30|62.8800|63.4000|62.5400|63.2900|3463842|0.4100|0.1100|0.3400|BULLISH
MRVL|2025-09-04 15:30|63.3000|63.7300|63.1800|63.6500|2839653|0.3500|0.0800|0.1200|BULLISH
MRVL|2025-09-04 16:30|63.6323|64.5100|63.6150|64.3965|3425084|0.7642|0.1135|0.0173|BULLISH
MRVL|2025-09-04 17:30|64.3950|64.5300|64.0800|64.3200|2334517|0.0750|0.1350|0.2400|BEARISH
