Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
MSCI|2025-09-02 13:30|560.6600|565.7900|550.5600|555.7600|181205|4.9000|5.1300|5.2000|BEARISH
MSCI|2025-09-02 14:30|555.2900|555.9600|548.7600|550.6000|91750|4.6900|0.6700|1.8400|BEARISH
MSCI|2025-09-02 15:30|550.2600|550.4100|548.0001|549.2100|74846|1.0500|0.1500|1.2099|BEARISH
MSCI|2025-09-02 16:30|549.8900|554.0300|549.0600|553.8300|91090|3.9400|0.2000|0.8300|BULLISH
MSCI|2025-09-02 17:30|554.8600|554.8600|553.3600|553.5900|45014|1.2700|0.0000|0.2300|BEARISH
MSCI|2025-09-02 18:30|553.5900|553.7900|552.1750|552.9000|78840|0.6900|0.2000|0.7250|BEARISH
MSCI|2025-09-02 19:30|552.9000|554.6800|551.1250|553.7200|160759|0.8199|0.9600|1.7750|BULLISH
MSCI|2025-09-03 13:30|552.6000|558.4400|549.0900|552.9600|115450|0.3600|5.4800|3.5099|BULLISH
MSCI|2025-09-03 14:30|551.8550|555.2900|551.8550|553.6800|62530|1.8250|1.6100|0.0000|BULLISH
MSCI|2025-09-03 15:30|553.3600|554.3650|550.7000|550.9400|66649|2.4200|1.0050|0.2400|BEARISH
MSCI|2025-09-03 16:30|551.0600|552.2800|549.9350|550.9650|46966|0.0950|1.2200|1.0300|BEARISH
MSCI|2025-09-03 17:30|550.9650|551.3000|549.7400|549.7500|66936|1.2150|0.3350|0.0100|BEARISH
MSCI|2025-09-03 18:30|549.8000|551.6000|549.5400|551.3400|88843|1.5400|0.2599|0.2600|BULLISH
MSCI|2025-09-03 19:30|551.3700|552.5300|549.4000|551.0100|279390|0.3600|1.1600|1.6100|BEARISH
MSCI|2025-09-04 13:30|554.1000|556.6000|551.0000|555.1812|93097|1.0812|1.4188|3.1000|BULLISH
MSCI|2025-09-04 14:30|555.4500|556.9800|554.1800|556.7500|57933|1.3000|0.2300|1.2700|BULLISH
MSCI|2025-09-04 15:30|556.7300|557.5950|555.6800|556.1500|76043|0.5800|0.8650|0.4700|BEARISH
MSCI|2025-09-04 16:30|556.2000|556.4800|552.5500|553.4800|48641|2.7200|0.2800|0.9300|BEARISH
MSCI|2025-09-04 17:30|553.4000|555.3800|553.2700|554.5500|60487|1.1500|0.8300|0.1300|BULLISH
MSCI|2025-09-04 18:30|554.7800|556.4100|554.6800|555.5800|51450|0.8000|0.8300|0.1000|BULLISH
