Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
MTB|2025-09-02 13:30|197.9400|198.4600|196.4800|197.2500|126252|0.6900|0.5200|0.7700|BEARISH
MTB|2025-09-02 14:30|197.2500|197.4000|196.1600|196.2075|94700|1.0425|0.1500|0.0475|BEARISH
MTB|2025-09-02 15:30|196.1700|196.3100|195.6100|195.7500|59417|0.4200|0.1400|0.1400|BEARISH
MTB|2025-09-02 16:30|195.9100|196.5800|195.8162|196.4500|65162|0.5400|0.1300|0.0938|BULLISH
MTB|2025-09-02 17:30|196.5900|197.4000|196.5900|197.2200|60599|0.6300|0.1800|0.0000|BULLISH
MTB|2025-09-02 18:30|197.2400|198.0500|197.1400|198.0400|133026|0.8000|0.0100|0.1000|BULLISH
MTB|2025-09-02 19:30|198.0400|198.9300|197.9301|198.9000|230609|0.8600|0.0300|0.1099|BULLISH
MTB|2025-09-03 13:30|199.0600|200.8300|198.5650|199.0600|117278|0.0000|1.7700|0.4950|BULLISH
MTB|2025-09-03 14:30|199.1600|199.3975|198.4200|198.4200|102208|0.7400|0.2375|0.0000|BEARISH
MTB|2025-09-03 15:30|198.4900|198.6000|198.0300|198.0500|75532|0.4400|0.1100|0.0200|BEARISH
MTB|2025-09-03 16:30|198.0000|198.6500|197.8400|198.6500|68310|0.6500|0.0000|0.1600|BULLISH
MTB|2025-09-03 17:30|198.6500|198.8300|197.4720|197.8200|91007|0.8300|0.1800|0.3480|BEARISH
MTB|2025-09-03 18:30|197.8200|197.9700|197.2500|197.4300|101022|0.3900|0.1500|0.1800|BEARISH
MTB|2025-09-03 19:30|197.4600|198.8200|197.4400|198.6300|229106|1.1700|0.1900|0.0200|BULLISH
MTB|2025-09-04 13:30|199.9700|201.0600|198.7400|200.7300|61335|0.7600|0.3300|1.2300|BULLISH
MTB|2025-09-04 14:30|200.7350|201.2200|200.5805|200.7350|52355|0.0000|0.4850|0.1545|BULLISH
MTB|2025-09-04 15:30|200.6400|201.2500|200.4483|201.1100|77913|0.4700|0.1400|0.1917|BULLISH
MTB|2025-09-04 16:30|201.1400|201.4200|200.6000|201.3575|73225|0.2175|0.0625|0.5400|BULLISH
MTB|2025-09-04 17:30|201.3300|202.4600|201.1500|202.4200|75623|1.0900|0.0400|0.1800|BULLISH
MTB|2025-09-04 18:30|202.4300|202.7100|202.0906|202.6400|147331|0.2100|0.0700|0.3394|BULLISH
MTB|2025-09-04 19:30|202.6300|202.8300|202.0200|202.2000|228801|0.4300|0.2000|0.1800|BEARISH
MTB|2025-09-05 13:30|202.8000|203.9600|200.0800|200.2800|151380|2.5200|1.1600|0.2000|BEARISH
MTB|2025-09-05 14:30|200.4000|200.4400|198.9209|200.1175|117543|0.2825|0.0400|1.1966|BEARISH
MTB|2025-09-05 15:30|200.1050|200.6700|199.5500|199.8300|44583|0.2750|0.5650|0.2800|BEARISH
MTB|2025-09-05 16:30|199.9600|200.5700|199.6800|200.0900|39934|0.1300|0.4800|0.2800|BULLISH
MTB|2025-09-05 17:30|200.0500|200.1700|198.9963|199.4400|52053|0.6100|0.1200|0.4437|BEARISH
MTB|2025-09-05 18:30|199.5000|200.0850|199.4700|199.7300|92444|0.2300|0.3550|0.0300|BULLISH
MTB|2025-09-05 19:30|199.7250|200.2300|199.4500|199.6600|173842|0.0650|0.5050|0.2100|BEARISH
MTB|2025-09-08 13:30|199.3450|199.6600|196.3450|197.3600|125891|1.9850|0.3150|1.0150|BEARISH
MTB|2025-09-08 14:30|197.3950|199.4200|197.3800|199.3650|61439|1.9700|0.0550|0.0150|BULLISH
MTB|2025-09-08 15:30|199.2600|199.4800|197.8450|198.1400|53877|1.1200|0.2200|0.2950|BEARISH
MTB|2025-09-08 16:30|198.3800|198.8100|198.1250|198.6350|52610|0.2550|0.1750|0.2550|BULLISH
MTB|2025-09-08 17:30|198.6375|198.7500|197.5650|198.2900|55308|0.3475|0.1125|0.7250|BEARISH
MTB|2025-09-08 18:30|198.2750|199.3250|198.1998|198.6600|75342|0.3850|0.6650|0.0752|BULLISH
MTB|2025-09-08 19:30|198.6700|199.4000|198.5900|199.3800|131670|0.7100|0.0200|0.0800|BULLISH
MTB|2025-09-09 13:30|199.1800|201.1100|199.1450|200.5350|69727|1.3550|0.5750|0.0350|BULLISH
MTB|2025-09-09 14:30|200.5300|201.5000|200.1050|201.3600|64405|0.8300|0.1400|0.4250|BULLISH
MTB|2025-09-09 15:30|201.3400|201.6300|199.2650|199.7000|61765|1.6400|0.2900|0.4350|BEARISH
MTB|2025-09-09 16:30|199.7200|200.1904|199.1628|199.8300|58502|0.1100|0.3604|0.5572|BULLISH
MTB|2025-09-09 17:30|199.7650|200.6000|199.7300|200.4200|57972|0.6550|0.1800|0.0350|BULLISH
MTB|2025-09-09 18:30|200.4500|200.4500|199.1700|199.3650|66828|1.0850|0.0000|0.1950|BEARISH
MTB|2025-09-09 19:30|199.3650|200.0000|199.2800|199.8000|135254|0.4350|0.2000|0.0850|BULLISH
MTB|2025-09-10 13:30|200.6500|200.8200|198.5900|200.2500|176637|0.4000|0.1700|1.6600|BEARISH
MTB|2025-09-10 14:30|200.2600|200.2600|197.4200|197.5700|111878|2.6900|0.0000|0.1500|BEARISH
MTB|2025-09-10 15:30|197.6950|199.3250|197.5950|198.5550|104425|0.8600|0.7700|0.1000|BULLISH
MTB|2025-09-10 16:30|198.5600|199.5675|198.4350|198.8800|58835|0.3200|0.6875|0.1250|BULLISH
MTB|2025-09-10 17:30|198.8800|199.1850|198.3000|198.3700|57904|0.5100|0.3050|0.0700|BEARISH
MTB|2025-09-10 18:30|198.3700|199.0600|198.0200|198.0450|77246|0.3250|0.6900|0.0250|BEARISH
