Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
MTCH|2025-09-02 13:30|36.7200|37.0600|36.6300|36.8710|309306|0.1510|0.1890|0.0900|BULLISH
MTCH|2025-09-02 14:30|36.8800|36.8900|36.5700|36.6050|225707|0.2750|0.0100|0.0350|BEARISH
MTCH|2025-09-02 15:30|36.6050|36.7700|36.5500|36.6600|200474|0.0550|0.1100|0.0550|BULLISH
MTCH|2025-09-02 16:30|36.6600|36.8765|36.6600|36.7700|192054|0.1100|0.1065|0.0000|BULLISH
MTCH|2025-09-02 17:30|36.7750|36.8700|36.7500|36.7600|186990|0.0150|0.0950|0.0100|BEARISH
MTCH|2025-09-02 18:30|36.7600|36.9150|36.7300|36.9050|238364|0.1450|0.0100|0.0300|BULLISH
MTCH|2025-09-02 19:30|36.9050|37.0350|36.9000|36.9900|708716|0.0850|0.0450|0.0050|BULLISH
MTCH|2025-09-03 13:30|36.8300|37.5200|36.7379|37.1850|430737|0.3550|0.3350|0.0921|BULLISH
MTCH|2025-09-03 14:30|37.1900|37.3300|37.0750|37.1100|301066|0.0800|0.1400|0.0350|BEARISH
MTCH|2025-09-03 15:30|37.1100|37.1900|36.9500|37.1800|200837|0.0700|0.0100|0.1600|BULLISH
MTCH|2025-09-03 16:30|37.1700|37.3701|37.1700|37.2518|194723|0.0818|0.1183|0.0000|BULLISH
MTCH|2025-09-03 17:30|37.2600|37.5100|37.2200|37.4600|420813|0.2000|0.0500|0.0400|BULLISH
MTCH|2025-09-03 18:30|37.4593|37.5500|37.3800|37.5450|413967|0.0857|0.0050|0.0793|BULLISH
MTCH|2025-09-03 19:30|37.5450|37.6400|37.4250|37.5800|928374|0.0350|0.0600|0.1200|BULLISH
MTCH|2025-09-04 13:30|37.6000|37.7800|37.1350|37.2000|480939|0.4000|0.1800|0.0650|BEARISH
MTCH|2025-09-04 14:30|37.2050|37.5150|37.1850|37.4650|311157|0.2600|0.0500|0.0200|BULLISH
MTCH|2025-09-04 15:30|37.4650|37.5300|37.2150|37.3500|253133|0.1150|0.0650|0.1350|BEARISH
MTCH|2025-09-04 16:30|37.3450|37.4600|37.2500|37.2850|209882|0.0600|0.1150|0.0350|BEARISH
MTCH|2025-09-04 17:30|37.2891|37.3650|37.2200|37.3550|231716|0.0659|0.0100|0.0691|BULLISH
MTCH|2025-09-04 18:30|37.3550|37.4550|37.2200|37.4350|279132|0.0800|0.0200|0.1350|BULLISH
MTCH|2025-09-04 19:30|37.4350|37.4690|37.3500|37.3900|597245|0.0450|0.0340|0.0400|BEARISH
MTCH|2025-09-05 13:30|37.5100|37.9514|37.4400|37.4900|355132|0.0200|0.4414|0.0500|BEARISH
MTCH|2025-09-05 14:30|37.4700|37.6500|37.3950|37.6300|161744|0.1600|0.0200|0.0750|BULLISH
MTCH|2025-09-05 15:30|37.6550|37.7097|37.5200|37.5800|121190|0.0750|0.0547|0.0600|BEARISH
MTCH|2025-09-05 16:30|37.5700|37.7700|37.4446|37.4500|182056|0.1200|0.2000|0.0054|BEARISH
MTCH|2025-09-05 17:30|37.4600|37.6900|37.4600|37.6350|236389|0.1750|0.0550|0.0000|BULLISH
MTCH|2025-09-05 18:30|37.6450|38.0100|37.6450|37.9950|312509|0.3500|0.0150|0.0000|BULLISH
MTCH|2025-09-05 19:30|37.9950|38.1800|37.9200|38.1800|708122|0.1850|0.0000|0.0750|BULLISH
MTCH|2025-09-08 13:30|38.2400|38.3300|37.8900|38.1300|490303|0.1100|0.0900|0.2400|BEARISH
MTCH|2025-09-08 14:30|38.1200|38.5400|38.1000|38.4800|306803|0.3600|0.0600|0.0200|BULLISH
MTCH|2025-09-08 15:30|38.4550|38.4846|38.3299|38.4200|215398|0.0350|0.0296|0.0901|BEARISH
MTCH|2025-09-08 16:30|38.4200|38.5500|38.3300|38.5050|179603|0.0850|0.0450|0.0900|BULLISH
MTCH|2025-09-08 17:30|38.5200|38.5300|38.3100|38.5150|189319|0.0050|0.0100|0.2050|BEARISH
MTCH|2025-09-08 18:30|38.5200|38.7500|38.4500|38.6700|376464|0.1500|0.0800|0.0700|BULLISH
