Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
NCLH|2025-09-02 13:30|24.1000|24.6050|23.9500|24.3442|2527227|0.2442|0.2608|0.1500|BULLISH
NCLH|2025-09-02 14:30|24.3400|24.3650|24.1500|24.3550|1963810|0.0150|0.0100|0.1900|BULLISH
NCLH|2025-09-02 15:30|24.3600|24.4000|24.2300|24.3599|1481735|0.0001|0.0400|0.1299|BEARISH
NCLH|2025-09-02 16:30|24.3600|24.5850|24.3563|24.5600|1640411|0.2000|0.0250|0.0037|BULLISH
NCLH|2025-09-02 17:30|24.5700|24.6600|24.5450|24.5850|1226082|0.0150|0.0750|0.0250|BULLISH
NCLH|2025-09-02 18:30|24.5800|24.7300|24.5700|24.6500|1579609|0.0700|0.0800|0.0100|BULLISH
NCLH|2025-09-02 19:30|24.6500|24.7400|24.6300|24.7300|1532412|0.0800|0.0100|0.0200|BULLISH
NCLH|2025-09-03 13:30|24.7600|25.5951|24.6400|25.5400|2781878|0.7800|0.0551|0.1200|BULLISH
NCLH|2025-09-03 14:30|25.5350|25.6000|25.2700|25.3201|2789385|0.2149|0.0650|0.0501|BEARISH
NCLH|2025-09-03 15:30|25.3300|25.5500|25.3200|25.5055|1477055|0.1755|0.0445|0.0100|BULLISH
NCLH|2025-09-03 16:30|25.5051|25.6300|25.3950|25.4300|2379491|0.0751|0.1249|0.0350|BEARISH
NCLH|2025-09-03 17:30|25.4350|25.4400|25.2000|25.2900|1862766|0.1450|0.0050|0.0900|BEARISH
NCLH|2025-09-03 18:30|25.2850|25.2950|25.1600|25.1950|1645494|0.0900|0.0100|0.0350|BEARISH
NCLH|2025-09-03 19:30|25.1950|25.4150|25.1900|25.3500|2540080|0.1550|0.0650|0.0050|BULLISH
NCLH|2025-09-04 13:30|25.3200|25.7800|25.2300|25.5250|2592523|0.2050|0.2550|0.0900|BULLISH
NCLH|2025-09-04 14:30|25.5200|25.7100|25.4000|25.6550|1903523|0.1350|0.0550|0.1200|BULLISH
NCLH|2025-09-04 15:30|25.6500|25.7900|25.5900|25.6150|2176770|0.0350|0.1400|0.0250|BEARISH
NCLH|2025-09-04 16:30|25.6158|25.6450|25.5000|25.5250|1409252|0.0908|0.0292|0.0250|BEARISH
NCLH|2025-09-04 17:30|25.5300|25.5350|25.3900|25.4550|1499682|0.0750|0.0050|0.0650|BEARISH
NCLH|2025-09-04 18:30|25.4550|25.7500|25.4200|25.7350|2238038|0.2800|0.0150|0.0350|BULLISH
NCLH|2025-09-04 19:30|25.7300|25.7500|25.5650|25.6050|2419322|0.1250|0.0200|0.0400|BEARISH
NCLH|2025-09-05 13:30|25.7100|26.2300|25.6450|25.6700|3142227|0.0400|0.5200|0.0250|BEARISH
NCLH|2025-09-05 14:30|25.6700|25.8100|25.4550|25.8050|2592469|0.1350|0.0050|0.2150|BULLISH
NCLH|2025-09-05 15:30|25.8058|25.8251|25.6900|25.7100|1579763|0.0958|0.0193|0.0200|BEARISH
NCLH|2025-09-05 16:30|25.7150|25.7900|25.5850|25.5950|1381868|0.1200|0.0750|0.0100|BEARISH
NCLH|2025-09-05 17:30|25.5900|25.6500|25.5142|25.5750|1528107|0.0150|0.0600|0.0608|BEARISH
NCLH|2025-09-05 18:30|25.5800|25.7300|25.5726|25.7150|944645|0.1350|0.0150|0.0074|BULLISH
NCLH|2025-09-05 19:30|25.7150|25.7400|25.6100|25.6700|1802625|0.0450|0.0250|0.0600|BEARISH
NCLH|2025-09-08 13:30|25.4400|25.7400|24.7500|25.0850|5675015|0.3550|0.3000|0.3350|BEARISH
NCLH|2025-09-08 14:30|25.0800|25.1400|24.6100|24.7250|3669697|0.3550|0.0600|0.1150|BEARISH
NCLH|2025-09-08 15:30|24.7250|25.0700|24.6900|25.0684|4087317|0.3434|0.0016|0.0350|BULLISH
NCLH|2025-09-08 16:30|25.0650|25.1250|24.9950|25.0800|2141456|0.0150|0.0450|0.0700|BULLISH
NCLH|2025-09-08 17:30|25.0800|25.2350|24.9500|25.2350|2294777|0.1550|0.0000|0.1300|BULLISH
NCLH|2025-09-08 18:30|25.2350|25.2900|24.6700|24.7050|3484820|0.5300|0.0550|0.0350|BEARISH
NCLH|2025-09-08 19:30|24.7050|24.7299|24.4800|24.5500|8152278|0.1550|0.0249|0.0700|BEARISH
NCLH|2025-09-09 13:30|24.4600|25.2900|24.3600|24.9100|8270542|0.4500|0.3800|0.1000|BULLISH
NCLH|2025-09-09 14:30|24.9050|25.4950|24.9000|25.4200|7656388|0.5150|0.0750|0.0050|BULLISH
NCLH|2025-09-09 15:30|25.4200|25.6000|25.3800|25.4400|3843940|0.0200|0.1600|0.0400|BULLISH
NCLH|2025-09-09 16:30|25.4450|25.5000|25.2450|25.3621|1991387|0.0829|0.0550|0.1171|BEARISH
NCLH|2025-09-09 17:30|25.3600|25.5050|25.2850|25.4600|2280401|0.1000|0.0450|0.0750|BULLISH
NCLH|2025-09-09 18:30|25.4600|25.4800|25.3350|25.4200|2356065|0.0400|0.0200|0.0850|BEARISH
NCLH|2025-09-09 19:30|25.4150|25.4400|25.3300|25.3700|4288376|0.0450|0.0250|0.0400|BEARISH
NCLH|2025-09-10 13:30|25.3700|25.6600|25.1000|25.2850|2401961|0.0850|0.2900|0.1850|BEARISH
NCLH|2025-09-10 14:30|25.2900|25.3050|24.6050|24.6850|3671618|0.6050|0.0150|0.0800|BEARISH
NCLH|2025-09-10 15:30|24.6850|24.8400|24.5200|24.7912|2091561|0.1062|0.0488|0.1650|BULLISH
NCLH|2025-09-10 16:30|24.7950|24.9300|24.7700|24.8050|1184462|0.0100|0.1250|0.0250|BULLISH
NCLH|2025-09-10 17:30|24.8050|25.0500|24.7150|25.0450|1542650|0.2400|0.0050|0.0900|BULLISH
NCLH|2025-09-10 18:30|25.0451|25.2750|24.9750|25.1650|1724409|0.1199|0.1100|0.0701|BULLISH
NCLH|2025-09-10 19:30|25.1650|25.4700|25.1550|25.4500|4076642|0.2850|0.0200|0.0100|BULLISH
NCLH|2025-09-11 13:30|25.8600|26.3450|25.8300|26.2850|4079997|0.4250|0.0600|0.0300|BULLISH
NCLH|2025-09-11 14:30|26.2850|26.5850|26.0400|26.5750|3436565|0.2900|0.0100|0.2450|BULLISH
NCLH|2025-09-11 15:30|26.5750|26.8200|26.4942|26.7350|2913691|0.1600|0.0850|0.0808|BULLISH
NCLH|2025-09-11 16:30|26.7358|26.8900|26.6700|26.8450|1685229|0.1092|0.0450|0.0658|BULLISH
NCLH|2025-09-11 17:30|26.8450|26.9900|26.6000|26.6100|2459047|0.2350|0.1450|0.0100|BEARISH
NCLH|2025-09-11 18:30|26.6200|26.9450|26.4200|26.9100|2754900|0.2900|0.0350|0.2000|BULLISH
NCLH|2025-09-11 19:30|26.9200|27.0100|26.8000|26.9400|3429023|0.0200|0.0700|0.1200|BULLISH
NCLH|2025-09-12 13:30|27.1200|27.1400|26.7200|26.8500|3181667|0.2700|0.0200|0.1300|BEARISH
NCLH|2025-09-12 14:30|26.8600|27.0700|26.8150|26.9500|1885796|0.0900|0.1200|0.0450|BULLISH
NCLH|2025-09-12 15:30|26.9600|27.1700|26.9300|27.1650|1704750|0.2050|0.0050|0.0300|BULLISH
NCLH|2025-09-12 16:30|27.1700|27.1799|26.8550|26.9950|1576853|0.1750|0.0099|0.1400|BEARISH
NCLH|2025-09-12 17:30|27.0000|27.0400|26.8650|26.9450|1111924|0.0550|0.0400|0.0800|BEARISH
NCLH|2025-09-12 18:30|26.9450|27.0600|26.8250|26.8250|1378186|0.1200|0.1150|0.0000|BEARISH
NCLH|2025-09-12 19:30|26.8300|26.8850|26.6450|26.6500|2851469|0.1800|0.0550|0.0050|BEARISH
NCLH|2025-09-15 13:30|26.7300|26.7300|26.0700|26.1350|3614763|0.5950|0.0000|0.0650|BEARISH
NCLH|2025-09-15 14:30|26.1400|26.1550|25.7100|25.8450|2366932|0.2950|0.0150|0.1350|BEARISH
NCLH|2025-09-15 15:30|25.8450|25.9000|25.7450|25.8450|1624395|0.0000|0.0550|0.1000|BULLISH
NCLH|2025-09-15 16:30|25.8450|26.0600|25.8250|25.9950|1446040|0.1500|0.0650|0.0200|BULLISH
NCLH|2025-09-15 17:30|26.0000|26.1100|25.9300|26.0300|1210107|0.0300|0.0800|0.0700|BULLISH
NCLH|2025-09-15 18:30|26.0250|26.1750|25.9800|26.0210|1334443|0.0040|0.1500|0.0410|BEARISH
NCLH|2025-09-15 19:30|26.0250|26.0750|25.9700|26.0050|2605591|0.0200|0.0500|0.0350|BEARISH
NCLH|2025-09-16 13:30|25.9800|25.9800|25.2400|25.2550|2417320|0.7250|0.0000|0.0150|BEARISH
NCLH|2025-09-16 14:30|25.2550|25.3300|25.0700|25.0700|2062924|0.1850|0.0750|0.0000|BEARISH
NCLH|2025-09-16 15:30|25.0700|25.1999|25.0600|25.0950|1681986|0.0250|0.1049|0.0100|BULLISH
NCLH|2025-09-16 16:30|25.0950|25.2000|25.0935|25.1450|1259194|0.0500|0.0550|0.0015|BULLISH
NCLH|2025-09-16 17:30|25.1450|25.4399|25.1450|25.3800|1706514|0.2350|0.0599|0.0000|BULLISH
NCLH|2025-09-16 18:30|25.3850|25.4898|25.3350|25.3750|1951534|0.0100|0.1048|0.0400|BEARISH
NCLH|2025-09-16 19:30|25.3750|25.5900|25.3000|25.5800|2686067|0.2050|0.0100|0.0750|BULLISH
NCLH|2025-09-17 13:30|25.5950|25.8100|25.4000|25.4200|2336444|0.1750|0.2150|0.0200|BEARISH
NCLH|2025-09-17 14:30|25.4150|25.7900|25.3650|25.6150|1232722|0.2000|0.1750|0.0500|BULLISH
NCLH|2025-09-17 15:30|25.6100|25.8600|25.5950|25.6450|2732201|0.0350|0.2150|0.0150|BULLISH
NCLH|2025-09-17 16:30|25.6450|25.7150|25.6100|25.6650|925532|0.0200|0.0500|0.0350|BULLISH
NCLH|2025-09-17 17:30|25.6650|25.9700|25.4850|25.7450|2453340|0.0800|0.2250|0.1800|BULLISH
NCLH|2025-09-17 18:30|25.7400|25.7500|25.1100|25.4850|2352282|0.2550|0.0100|0.3750|BEARISH
NCLH|2025-09-17 19:30|25.4800|25.5400|25.3300|25.3950|2000623|0.0850|0.0600|0.0650|BEARISH
NCLH|2025-09-18 13:30|25.5100|25.6499|25.0300|25.3350|2569306|0.1750|0.1399|0.3050|BEARISH
NCLH|2025-09-18 14:30|25.3350|25.4800|25.3050|25.3950|1878528|0.0600|0.0850|0.0300|BULLISH
NCLH|2025-09-18 15:30|25.3950|25.7675|25.3950|25.7582|2118152|0.3632|0.0093|0.0000|BULLISH
NCLH|2025-09-18 16:30|25.7599|25.8300|25.6900|25.7750|1018335|0.0151|0.0550|0.0699|BULLISH
NCLH|2025-09-18 17:30|25.7750|25.7900|25.3900|25.4200|1382108|0.3550|0.0150|0.0300|BEARISH
NCLH|2025-09-18 18:30|25.4200|25.5350|25.4000|25.4250|740009|0.0050|0.1100|0.0200|BULLISH
NCLH|2025-09-18 19:30|25.4250|25.4700|25.3650|25.4100|1781681|0.0150|0.0450|0.0450|BEARISH
NCLH|2025-09-19 13:30|25.5200|25.5200|24.8700|25.1000|2548622|0.4200|0.0000|0.2300|BEARISH
NCLH|2025-09-19 14:30|25.1020|25.1850|25.0000|25.1150|1163919|0.0130|0.0700|0.1020|BULLISH
NCLH|2025-09-19 15:30|25.1200|25.3800|25.1050|25.3546|1187056|0.2346|0.0254|0.0150|BULLISH
NCLH|2025-09-19 16:30|25.3600|25.4350|25.2900|25.3350|1076339|0.0250|0.0750|0.0450|BEARISH
NCLH|2025-09-19 17:30|25.3400|25.4300|25.2800|25.3200|1007313|0.0200|0.0900|0.0400|BEARISH
NCLH|2025-09-19 18:30|25.3200|25.3700|25.2100|25.2650|1155218|0.0550|0.0500|0.0550|BEARISH
NCLH|2025-09-19 19:30|25.2650|25.3068|25.2000|25.2300|1833307|0.0350|0.0418|0.0300|BEARISH
NCLH|2025-09-22 13:30|25.1300|25.3300|24.7700|25.2000|1573202|0.0700|0.1300|0.3600|BULLISH
NCLH|2025-09-22 14:30|25.1950|25.2500|25.0200|25.1900|1016569|0.0050|0.0550|0.1700|BEARISH
NCLH|2025-09-22 15:30|25.1850|25.3000|25.1400|25.1850|1060550|0.0000|0.1150|0.0450|BULLISH
NCLH|2025-09-22 16:30|25.1850|25.3100|25.1800|25.2650|976273|0.0800|0.0450|0.0050|BULLISH
NCLH|2025-09-22 17:30|25.2650|25.3700|25.2200|25.3350|890435|0.0700|0.0350|0.0450|BULLISH
NCLH|2025-09-22 18:30|25.3350|25.4100|25.3200|25.3550|1254338|0.0200|0.0550|0.0150|BULLISH
NCLH|2025-09-22 19:30|25.3500|25.4490|25.3302|25.3900|1920199|0.0400|0.0590|0.0198|BULLISH
NCLH|2025-09-23 13:30|25.5500|26.0500|25.4901|25.9100|1833472|0.3600|0.1400|0.0599|BULLISH
NCLH|2025-09-23 14:30|25.9000|26.0900|25.8250|25.9800|1136726|0.0800|0.1100|0.0750|BULLISH
