Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
NEM|2025-09-02 13:30|74.9700|75.5500|73.5500|75.3300|4517198|0.3600|0.2200|1.4200|BULLISH
NEM|2025-09-02 14:30|75.3500|75.9850|75.2500|75.8900|2026408|0.5400|0.0950|0.1000|BULLISH
NEM|2025-09-02 15:30|75.8900|76.3800|75.7160|76.3700|1754410|0.4800|0.0100|0.1740|BULLISH
NEM|2025-09-02 16:30|76.3600|76.5200|75.8100|75.9550|1203767|0.4050|0.1600|0.1450|BEARISH
NEM|2025-09-02 17:30|75.9700|76.0700|75.6200|75.6500|883369|0.3200|0.1000|0.0300|BEARISH
NEM|2025-09-02 18:30|75.6450|75.9100|75.0500|75.6200|1497388|0.0250|0.2650|0.5700|BEARISH
NEM|2025-09-02 19:30|75.6200|75.9700|75.6000|75.8600|1672814|0.2400|0.1100|0.0200|BULLISH
NEM|2025-09-03 13:30|76.3000|76.5100|75.7300|76.2000|2005615|0.1000|0.2100|0.4700|BEARISH
NEM|2025-09-03 14:30|76.2200|76.4700|75.5500|76.2950|1336178|0.0750|0.1750|0.6700|BULLISH
NEM|2025-09-03 15:30|76.3000|76.4100|76.0720|76.2050|586721|0.0950|0.1100|0.1330|BEARISH
NEM|2025-09-03 16:30|76.2000|76.2300|75.9300|76.0450|567970|0.1550|0.0300|0.1150|BEARISH
NEM|2025-09-03 17:30|76.0400|76.2900|75.8850|75.9650|739740|0.0750|0.2500|0.0800|BEARISH
NEM|2025-09-03 18:30|75.9600|75.9600|75.2150|75.3025|1219179|0.6575|0.0000|0.0875|BEARISH
NEM|2025-09-03 19:30|75.3100|75.5950|75.2900|75.4300|1150362|0.1200|0.1650|0.0200|BULLISH
NEM|2025-09-04 13:30|74.3500|75.0800|73.4400|74.4300|1988800|0.0800|0.6500|0.9100|BULLISH
NEM|2025-09-04 14:30|74.4700|74.9550|74.3800|74.5300|944017|0.0600|0.4250|0.0900|BULLISH
NEM|2025-09-04 15:30|74.5500|74.9121|74.5300|74.6796|606655|0.1296|0.2325|0.0200|BULLISH
NEM|2025-09-04 16:30|74.6800|75.0250|74.6600|74.9101|497084|0.2301|0.1149|0.0200|BULLISH
NEM|2025-09-04 17:30|74.9100|74.9800|74.7700|74.7800|580491|0.1300|0.0700|0.0100|BEARISH
NEM|2025-09-04 18:30|74.7800|75.0700|74.7800|75.0550|673348|0.2750|0.0150|0.0000|BULLISH
NEM|2025-09-04 19:30|75.0600|75.1800|74.8600|74.8950|1294324|0.1650|0.1200|0.0350|BEARISH
NEM|2025-09-05 13:30|76.1200|76.8500|75.5200|76.3200|1860784|0.2000|0.5300|0.6000|BULLISH
NEM|2025-09-05 14:30|76.3200|76.6100|75.8750|76.5650|1012352|0.2450|0.0450|0.4450|BULLISH
NEM|2025-09-05 15:30|76.5700|77.2650|76.5700|77.1800|849527|0.6100|0.0850|0.0000|BULLISH
NEM|2025-09-05 16:30|77.1800|77.3000|76.7700|76.8400|828271|0.3400|0.1200|0.0700|BEARISH
NEM|2025-09-05 17:30|76.8350|76.8800|76.3100|76.3363|693078|0.4987|0.0450|0.0263|BEARISH
NEM|2025-09-05 18:30|76.3200|76.3400|76.0700|76.2354|1028197|0.0846|0.0200|0.1654|BEARISH
NEM|2025-09-05 19:30|76.2300|76.2600|76.0850|76.1900|1386317|0.0400|0.0300|0.1050|BEARISH
NEM|2025-09-08 13:30|76.6900|77.1799|75.2150|75.7400|2882106|0.9500|0.4899|0.5250|BEARISH
NEM|2025-09-08 14:30|75.7500|76.3000|75.4250|76.0600|1151916|0.3100|0.2400|0.3250|BULLISH
NEM|2025-09-08 15:30|76.0550|76.3400|75.8500|76.3300|645837|0.2750|0.0100|0.2050|BULLISH
NEM|2025-09-08 16:30|76.3300|76.4300|76.0400|76.1300|570900|0.2000|0.1000|0.0900|BEARISH
NEM|2025-09-08 17:30|76.1350|76.1798|75.9200|75.9900|488113|0.1450|0.0448|0.0700|BEARISH
NEM|2025-09-08 18:30|75.9850|76.1800|75.5250|75.5600|1305579|0.4250|0.1950|0.0350|BEARISH
NEM|2025-09-08 19:30|75.5600|75.8800|75.4800|75.7500|1432180|0.1900|0.1300|0.0800|BULLISH
NEM|2025-09-09 13:30|75.9400|76.5650|75.4500|76.3150|2227082|0.3750|0.2500|0.4900|BULLISH
NEM|2025-09-09 14:30|76.3150|76.5500|75.9500|76.0750|1344208|0.2400|0.2350|0.1250|BEARISH
NEM|2025-09-09 15:30|76.0800|76.4400|75.8200|75.8200|1103492|0.2600|0.3600|0.0000|BEARISH
NEM|2025-09-09 16:30|75.8400|75.9000|75.6500|75.6800|766675|0.1600|0.0600|0.0300|BEARISH
NEM|2025-09-09 17:30|75.6850|75.9100|75.5150|75.6200|963842|0.0650|0.2250|0.1050|BEARISH
NEM|2025-09-09 18:30|75.6200|75.7350|75.5050|75.6750|1146531|0.0550|0.0600|0.1150|BULLISH
NEM|2025-09-09 19:30|75.6750|76.0150|75.6200|75.9200|2034433|0.2450|0.0950|0.0550|BULLISH
NEM|2025-09-10 13:30|77.3300|78.4900|77.1400|77.9300|3412964|0.6000|0.5600|0.1900|BULLISH
NEM|2025-09-10 14:30|77.9400|78.0400|77.1500|77.4500|1352516|0.4900|0.1000|0.3000|BEARISH
NEM|2025-09-10 15:30|77.4400|77.9500|77.4300|77.6750|740694|0.2350|0.2750|0.0100|BULLISH
NEM|2025-09-10 16:30|77.6700|78.3650|77.6150|78.1100|1643513|0.4400|0.2550|0.0550|BULLISH
NEM|2025-09-10 17:30|78.1000|78.4400|78.0700|78.3600|828891|0.2600|0.0800|0.0300|BULLISH
NEM|2025-09-10 18:30|78.3600|78.7800|78.3400|78.7550|1154808|0.3950|0.0250|0.0200|BULLISH
NEM|2025-09-10 19:30|78.6750|78.7276|78.3900|78.4750|1434246|0.2000|0.0526|0.0850|BEARISH
NEM|2025-09-11 13:30|77.7350|78.4200|77.5600|78.1700|1681862|0.4350|0.2500|0.1750|BULLISH
NEM|2025-09-11 14:30|78.1600|78.3600|78.0500|78.3100|812914|0.1500|0.0500|0.1100|BULLISH
NEM|2025-09-11 15:30|78.3150|78.9900|78.3000|78.9799|893317|0.6649|0.0101|0.0150|BULLISH
NEM|2025-09-11 16:30|78.9700|79.2300|78.9400|79.0900|576227|0.1200|0.1400|0.0300|BULLISH
NEM|2025-09-11 17:30|79.1000|79.6600|79.0150|79.5181|847669|0.4181|0.1419|0.0850|BULLISH
NEM|2025-09-11 18:30|79.5200|79.7600|79.2950|79.6900|1179192|0.1700|0.0700|0.2250|BULLISH
NEM|2025-09-11 19:30|79.6850|79.7700|79.5350|79.6500|1232969|0.0350|0.0850|0.1150|BEARISH
NEM|2025-09-12 13:30|79.5900|80.0700|79.3312|79.3900|1850348|0.2000|0.4800|0.0588|BEARISH
NEM|2025-09-12 14:30|79.4100|79.4300|78.8500|78.9100|1355931|0.5000|0.0200|0.0600|BEARISH
NEM|2025-09-12 15:30|78.9100|79.0200|78.8200|78.9200|771313|0.0100|0.1000|0.0900|BULLISH
NEM|2025-09-12 16:30|78.9200|78.9900|78.7650|78.7650|734210|0.1550|0.0700|0.0000|BEARISH
NEM|2025-09-12 17:30|78.7650|79.2370|78.7650|79.0300|711420|0.2650|0.2070|0.0000|BULLISH
NEM|2025-09-12 18:30|79.0350|79.4100|79.0100|79.2550|634973|0.2200|0.1550|0.0250|BULLISH
NEM|2025-09-12 19:30|79.2550|79.4150|79.1800|79.2650|992952|0.0100|0.1500|0.0750|BULLISH
NEM|2025-09-15 13:30|78.3100|78.8400|77.6600|78.2200|2339797|0.0900|0.5300|0.5600|BEARISH
NEM|2025-09-15 14:30|78.2200|78.7800|78.2100|78.7400|1329218|0.5200|0.0400|0.0100|BULLISH
NEM|2025-09-15 15:30|78.7400|79.3300|78.5800|79.3100|1264294|0.5700|0.0200|0.1600|BULLISH
NEM|2025-09-15 16:30|79.3050|79.3507|78.7107|78.8600|730869|0.4450|0.0457|0.1493|BEARISH
NEM|2025-09-15 17:30|78.8500|78.9850|78.7450|78.9000|698348|0.0500|0.0850|0.1050|BULLISH
NEM|2025-09-15 18:30|78.9100|79.3800|78.7250|79.3400|884998|0.4300|0.0400|0.1850|BULLISH
NEM|2025-09-15 19:30|79.3400|79.6100|79.1850|79.3650|1478154|0.0250|0.2450|0.1550|BULLISH
NEM|2025-09-16 13:30|79.3300|79.3300|78.6550|78.8000|1822938|0.5300|0.0000|0.1450|BEARISH
NEM|2025-09-16 14:30|78.8100|78.8600|78.1600|78.3450|1352156|0.4650|0.0500|0.1850|BEARISH
NEM|2025-09-16 15:30|78.3400|78.9700|78.1300|78.9600|1517643|0.6200|0.0100|0.2100|BULLISH
NEM|2025-09-16 16:30|78.9700|79.3500|78.8800|79.1800|846015|0.2100|0.1700|0.0900|BULLISH
NEM|2025-09-16 17:30|79.1900|79.6200|79.1450|79.3145|792767|0.1245|0.3055|0.0450|BULLISH
NEM|2025-09-16 18:30|79.3100|79.5300|79.2450|79.3550|785024|0.0450|0.1750|0.0650|BULLISH
NEM|2025-09-16 19:30|79.3550|79.4300|79.0100|79.0400|1306662|0.3150|0.0750|0.0300|BEARISH
NEM|2025-09-17 13:30|78.1800|79.3100|77.5050|79.0810|2091432|0.9010|0.2290|0.6750|BULLISH
NEM|2025-09-17 14:30|79.0900|79.6000|79.0700|79.2300|976218|0.1400|0.3700|0.0200|BULLISH
NEM|2025-09-17 15:30|79.2200|79.2500|78.7700|78.9400|979174|0.2800|0.0300|0.1700|BEARISH
NEM|2025-09-17 16:30|78.9300|79.0364|78.5450|78.6700|821096|0.2600|0.1064|0.1250|BEARISH
