Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
NI|2025-09-02 13:30|42.0200|42.2400|41.6341|42.2300|310635|0.2100|0.0100|0.3859|BULLISH
NI|2025-09-02 14:30|42.2300|42.3882|42.2100|42.3250|170939|0.0950|0.0632|0.0200|BULLISH
NI|2025-09-02 15:30|42.3200|42.3750|42.0550|42.1150|139183|0.2050|0.0550|0.0600|BEARISH
NI|2025-09-02 16:30|42.1100|42.1100|42.0177|42.0600|120407|0.0500|0.0000|0.0423|BEARISH
NI|2025-09-02 17:30|42.0600|42.1350|42.0000|42.0350|185542|0.0250|0.0750|0.0350|BEARISH
NI|2025-09-02 18:30|42.0350|42.0700|41.9650|41.9850|226197|0.0500|0.0350|0.0200|BEARISH
NI|2025-09-02 19:30|41.9900|42.1450|41.9505|42.1450|621893|0.1550|0.0000|0.0395|BULLISH
NI|2025-09-03 13:30|41.9100|42.2300|41.7600|41.8250|312055|0.0850|0.3200|0.0650|BEARISH
NI|2025-09-03 14:30|41.8300|42.0000|41.7700|41.9850|212192|0.1550|0.0150|0.0600|BULLISH
NI|2025-09-03 15:30|41.9900|42.0200|41.7950|41.7950|131628|0.1950|0.0300|0.0000|BEARISH
NI|2025-09-03 16:30|41.8000|41.8050|41.6150|41.6800|150601|0.1200|0.0050|0.0650|BEARISH
NI|2025-09-03 17:30|41.6750|41.8650|41.6650|41.8350|179012|0.1600|0.0300|0.0100|BULLISH
NI|2025-09-03 18:30|41.8300|41.8900|41.7550|41.8100|268952|0.0200|0.0600|0.0550|BEARISH
NI|2025-09-03 19:30|41.8100|41.9300|41.7800|41.8100|821146|0.0000|0.1200|0.0300|BULLISH
NI|2025-09-04 13:30|41.9100|41.9100|39.2800|39.3900|2947252|2.5200|0.0000|0.1100|BEARISH
NI|2025-09-04 14:30|39.3900|39.7000|38.4500|39.1150|3157708|0.2750|0.3100|0.6650|BEARISH
NI|2025-09-04 15:30|39.1100|39.5300|38.6150|39.3750|2157866|0.2650|0.1550|0.4950|BULLISH
NI|2025-09-04 16:30|39.3700|39.7400|39.0100|39.3499|1835944|0.0201|0.3700|0.3399|BEARISH
NI|2025-09-04 17:30|39.3400|39.5600|39.2150|39.2150|1010765|0.1250|0.2200|0.0000|BEARISH
NI|2025-09-04 18:30|39.2150|39.7650|39.1950|39.6700|1245252|0.4550|0.0950|0.0200|BULLISH
NI|2025-09-04 19:30|39.6650|39.8750|39.6200|39.8400|2011574|0.1750|0.0350|0.0450|BULLISH
NI|2025-09-05 13:30|39.4750|39.9800|39.4000|39.6300|1425124|0.1550|0.3500|0.0750|BULLISH
NI|2025-09-05 14:30|39.6400|39.7200|39.4520|39.5050|727446|0.1350|0.0800|0.0530|BEARISH
NI|2025-09-05 15:30|39.5100|39.6350|39.4250|39.5800|729224|0.0700|0.0550|0.0850|BULLISH
NI|2025-09-05 16:30|39.5800|40.5000|39.5750|40.3250|1994594|0.7450|0.1750|0.0050|BULLISH
NI|2025-09-05 17:30|40.3250|40.3800|40.1650|40.3100|1345087|0.0150|0.0550|0.1450|BEARISH
NI|2025-09-05 18:30|40.3050|40.5850|40.2400|40.2950|1105533|0.0100|0.2800|0.0550|BEARISH
NI|2025-09-05 19:30|40.2950|40.4400|40.2950|40.3300|1677662|0.0350|0.1100|0.0000|BULLISH
NI|2025-09-08 13:30|40.3300|40.5200|40.1000|40.2600|544265|0.0700|0.1900|0.1600|BEARISH
NI|2025-09-08 14:30|40.2600|40.3900|40.1600|40.2950|407634|0.0350|0.0950|0.1000|BULLISH
NI|2025-09-08 15:30|40.2950|40.3450|40.1900|40.3250|253601|0.0300|0.0200|0.1050|BULLISH
NI|2025-09-08 16:30|40.3300|40.3500|40.2200|40.2400|203710|0.0900|0.0200|0.0200|BEARISH
NI|2025-09-08 17:30|40.2400|40.3250|40.1750|40.1850|236443|0.0550|0.0850|0.0100|BEARISH
NI|2025-09-08 18:30|40.1850|40.1900|40.0200|40.1050|358117|0.0800|0.0050|0.0850|BEARISH
NI|2025-09-08 19:30|40.1000|40.2700|40.0400|40.2450|800499|0.1450|0.0250|0.0600|BULLISH
NI|2025-09-09 13:30|40.0750|40.4300|40.0443|40.3250|266865|0.2500|0.1050|0.0307|BULLISH
NI|2025-09-09 14:30|40.3300|40.4550|40.2200|40.4150|257314|0.0850|0.0400|0.1100|BULLISH
NI|2025-09-09 15:30|40.4150|40.5250|40.4150|40.5050|209853|0.0900|0.0200|0.0000|BULLISH
NI|2025-09-09 16:30|40.5050|40.5550|40.3900|40.4550|331113|0.0500|0.0500|0.0650|BEARISH
NI|2025-09-09 17:30|40.4600|40.6700|40.4600|40.6350|210369|0.1750|0.0350|0.0000|BULLISH
NI|2025-09-09 18:30|40.6350|40.6600|40.5600|40.5650|249492|0.0700|0.0250|0.0050|BEARISH
NI|2025-09-09 19:30|40.5650|40.6100|40.4800|40.4950|569461|0.0700|0.0450|0.0150|BEARISH
NI|2025-09-10 13:30|40.5600|40.7700|40.3800|40.6550|252138|0.0950|0.1150|0.1800|BULLISH
NI|2025-09-10 14:30|40.6550|40.6650|40.4550|40.5500|225553|0.1050|0.0100|0.0950|BEARISH
NI|2025-09-10 15:30|40.5500|40.6900|40.5400|40.5600|199331|0.0100|0.1300|0.0100|BULLISH
NI|2025-09-10 16:30|40.5650|40.6500|40.5100|40.6250|186381|0.0600|0.0250|0.0550|BULLISH
NI|2025-09-10 17:30|40.6250|40.6850|40.5707|40.6850|279918|0.0600|0.0000|0.0543|BULLISH
NI|2025-09-10 18:30|40.6850|40.8300|40.6850|40.7600|309920|0.0750|0.0700|0.0000|BULLISH
NI|2025-09-10 19:30|40.7481|40.8200|40.6850|40.7400|591068|0.0081|0.0719|0.0550|BEARISH
NI|2025-09-11 13:30|40.7200|41.0250|40.4500|40.7850|389743|0.0650|0.2400|0.2700|BULLISH
NI|2025-09-11 14:30|40.7850|41.0000|40.6650|40.9800|438087|0.1950|0.0200|0.1200|BULLISH
NI|2025-09-11 15:30|40.9900|41.0500|40.8600|41.0350|376195|0.0450|0.0150|0.1300|BULLISH
NI|2025-09-11 16:30|41.0350|41.0900|40.8750|40.8900|224010|0.1450|0.0550|0.0150|BEARISH
NI|2025-09-11 17:30|40.8850|41.0300|40.8400|40.9700|269958|0.0850|0.0600|0.0450|BULLISH
NI|2025-09-11 18:30|40.9650|40.9650|40.7900|40.8900|234608|0.0750|0.0000|0.1000|BEARISH
NI|2025-09-11 19:30|40.9000|41.2000|40.8800|41.1400|914524|0.2400|0.0600|0.0200|BULLISH
NI|2025-09-12 13:30|40.8300|41.1150|40.7500|41.0950|312391|0.2650|0.0200|0.0800|BULLISH
NI|2025-09-12 14:30|41.0950|41.2000|40.9850|41.0300|184202|0.0650|0.1050|0.0450|BEARISH
NI|2025-09-12 15:30|41.0350|41.0750|40.9150|41.0050|183286|0.0300|0.0400|0.0900|BEARISH
NI|2025-09-12 16:30|41.0000|41.0100|40.9200|40.9800|230478|0.0200|0.0100|0.0600|BEARISH
NI|2025-09-12 17:30|40.9750|41.0900|40.9600|41.0500|209765|0.0750|0.0400|0.0150|BULLISH
NI|2025-09-12 18:30|41.0600|41.1351|41.0400|41.0700|240508|0.0100|0.0651|0.0200|BULLISH
NI|2025-09-12 19:30|41.0750|41.1150|40.9800|41.0000|504386|0.0750|0.0400|0.0200|BEARISH
NI|2025-09-15 13:30|41.0400|41.1400|40.7750|40.7900|241064|0.2500|0.1000|0.0150|BEARISH
NI|2025-09-15 14:30|40.7900|40.8900|40.6900|40.6900|546026|0.1000|0.1000|0.0000|BEARISH
NI|2025-09-15 15:30|40.6950|40.7850|40.6350|40.6500|485839|0.0450|0.0900|0.0150|BEARISH
NI|2025-09-15 16:30|40.6600|40.6800|40.5600|40.5700|373713|0.0900|0.0200|0.0100|BEARISH
NI|2025-09-15 17:30|40.5750|40.8250|40.5400|40.8250|533165|0.2500|0.0000|0.0350|BULLISH
NI|2025-09-15 18:30|40.8300|40.8400|40.5450|40.5650|446827|0.2650|0.0100|0.0200|BEARISH
NI|2025-09-15 19:30|40.5700|40.6600|40.5450|40.5600|821714|0.0100|0.0900|0.0150|BEARISH
NI|2025-09-16 13:30|40.4100|40.5600|39.9700|39.9750|458212|0.4350|0.1500|0.0050|BEARISH
NI|2025-09-16 14:30|39.9750|40.1100|39.8600|39.8850|294368|0.0900|0.1350|0.0250|BEARISH
