Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
NOC|2025-09-02 13:30|591.8800|596.1647|585.2600|587.0608|106588|4.8192|4.2847|1.8008|BEARISH
NOC|2025-09-02 14:30|587.9400|590.3300|587.6150|589.9400|62364|2.0000|0.3900|0.3250|BULLISH
NOC|2025-09-02 15:30|589.9800|590.3050|588.3000|588.3400|55786|1.6400|0.3250|0.0400|BEARISH
NOC|2025-09-02 16:30|588.3650|589.1200|587.8800|589.0082|39626|0.6432|0.1118|0.4850|BULLISH
NOC|2025-09-02 17:30|589.1250|589.7000|587.5019|587.7150|46283|1.4100|0.5750|0.2131|BEARISH
NOC|2025-09-02 18:30|587.9600|589.0300|587.5900|588.4400|71346|0.4800|0.5900|0.3700|BULLISH
NOC|2025-09-02 19:30|588.6700|589.3300|587.5300|589.3300|144239|0.6600|0.0000|1.1400|BULLISH
NOC|2025-09-03 13:30|586.5300|588.0000|578.1000|578.6800|87522|7.8500|1.4700|0.5800|BEARISH
NOC|2025-09-03 14:30|578.6700|581.7700|578.2000|581.1400|44392|2.4700|0.6300|0.4700|BULLISH
NOC|2025-09-03 15:30|580.8000|581.3000|579.8202|580.0000|25574|0.8000|0.5000|0.1798|BEARISH
NOC|2025-09-03 16:30|579.8600|580.0300|577.6900|578.0100|44682|1.8500|0.1700|0.3200|BEARISH
NOC|2025-09-03 17:30|578.2800|580.3300|577.9100|579.7600|42669|1.4800|0.5700|0.3701|BULLISH
NOC|2025-09-03 18:30|579.7700|579.7700|578.5000|578.8100|43492|0.9600|0.0000|0.3100|BEARISH
NOC|2025-09-03 19:30|578.7500|581.5200|578.7500|581.3000|102646|2.5500|0.2200|0.0000|BULLISH
NOC|2025-09-04 13:30|581.7100|581.9400|576.0000|580.1100|62063|1.6000|0.2300|4.1100|BEARISH
NOC|2025-09-04 14:30|580.1950|581.4500|579.3100|579.3100|35226|0.8850|1.2550|0.0000|BEARISH
NOC|2025-09-04 15:30|578.9100|580.3400|577.8500|578.5750|35672|0.3350|1.4301|0.7250|BEARISH
NOC|2025-09-04 16:30|578.2800|579.2400|577.0000|578.8950|52067|0.6150|0.3450|1.2800|BULLISH
NOC|2025-09-04 17:30|578.8800|579.5500|577.5400|578.1100|39923|0.7700|0.6700|0.5700|BEARISH
NOC|2025-09-04 18:30|578.1050|578.8900|577.5100|578.1200|50762|0.0150|0.7700|0.5950|BULLISH
NOC|2025-09-04 19:30|578.0800|579.8850|577.9200|579.6100|133540|1.5300|0.2750|0.1600|BULLISH
NOC|2025-09-05 13:30|579.3400|580.1500|574.8200|576.6600|63340|2.6801|0.8100|1.8400|BEARISH
NOC|2025-09-05 14:30|576.5500|576.6999|574.8300|575.6400|43030|0.9100|0.1499|0.8100|BEARISH
NOC|2025-09-05 15:30|576.0400|577.3400|575.4800|576.1000|72296|0.0600|1.2401|0.5600|BULLISH
NOC|2025-09-05 16:30|576.2824|577.9300|576.2824|577.1400|28016|0.8576|0.7900|0.0000|BULLISH
NOC|2025-09-05 17:30|577.2700|578.3000|576.8250|577.1500|33867|0.1200|1.0300|0.3250|BEARISH
NOC|2025-09-05 18:30|577.8950|580.5900|577.6100|580.5900|55168|2.6950|0.0000|0.2850|BULLISH
NOC|2025-09-05 19:30|580.5100|581.1650|579.5600|580.5900|106456|0.0800|0.5750|0.9500|BULLISH
NOC|2025-09-08 13:30|575.1900|575.1900|571.3650|572.3900|129678|2.8000|0.0000|1.0250|BEARISH
NOC|2025-09-08 14:30|572.4450|578.6500|572.2000|578.4150|84587|5.9700|0.2350|0.2450|BULLISH
NOC|2025-09-08 15:30|578.4800|579.2900|576.2100|576.2300|62101|2.2500|0.8100|0.0200|BEARISH
NOC|2025-09-08 16:30|576.4300|578.6695|575.0500|577.2000|51754|0.7700|1.4695|1.3800|BULLISH
NOC|2025-09-08 17:30|577.4600|579.8800|576.7600|579.8400|60642|2.3800|0.0400|0.7000|BULLISH
NOC|2025-09-08 18:30|580.0000|580.3500|578.3350|579.5500|78789|0.4500|0.3500|1.2150|BEARISH
NOC|2025-09-08 19:30|579.4900|582.1300|579.4900|581.9500|156698|2.4600|0.1800|0.0000|BULLISH
NOC|2025-09-09 13:30|580.4600|580.4900|574.1905|574.7250|52463|5.7350|0.0300|0.5345|BEARISH
NOC|2025-09-09 14:30|574.7900|576.4000|573.2600|573.6150|39389|1.1750|1.6100|0.3550|BEARISH
NOC|2025-09-09 15:30|573.5200|573.5200|571.5950|571.8850|45501|1.6350|0.0000|0.2900|BEARISH
NOC|2025-09-09 16:30|572.1450|573.7600|571.7800|573.7500|32388|1.6050|0.0100|0.3650|BULLISH
NOC|2025-09-09 17:30|574.1300|574.9100|573.3050|573.7000|59415|0.4300|0.7800|0.3950|BEARISH
NOC|2025-09-09 18:30|573.7450|574.5363|573.3400|574.0450|45224|0.3000|0.4913|0.4050|BULLISH
NOC|2025-09-09 19:30|574.0300|574.0300|571.4600|571.4600|116275|2.5700|0.0000|0.0000|BEARISH
NOC|2025-09-10 13:30|571.2400|575.2700|570.0000|575.0101|63629|3.7701|0.2599|1.2400|BULLISH
NOC|2025-09-10 14:30|575.3800|577.2050|574.9300|576.8201|54533|1.4401|0.3849|0.4500|BULLISH
NOC|2025-09-10 15:30|576.9750|580.4300|576.9200|578.9000|82567|1.9250|1.5300|0.0550|BULLISH
NOC|2025-09-10 16:30|579.1512|579.3300|577.4500|577.7000|39179|1.4512|0.1788|0.2500|BEARISH
NOC|2025-09-10 17:30|577.4200|578.9250|577.3500|578.5850|34898|1.1650|0.3400|0.0700|BULLISH
NOC|2025-09-10 18:30|578.4900|580.8400|577.9800|580.2950|37292|1.8050|0.5450|0.5100|BULLISH
NOC|2025-09-10 19:30|580.2100|580.2100|578.8700|579.4800|92171|0.7300|0.0000|0.6100|BEARISH
NOC|2025-09-11 13:30|579.3100|583.7000|578.0000|583.0650|150324|3.7550|0.6350|1.3100|BULLISH
NOC|2025-09-11 14:30|583.0700|583.5000|581.2800|583.2600|74668|0.1900|0.2400|1.7900|BULLISH
NOC|2025-09-11 15:30|584.0100|585.7600|583.2200|585.1050|60986|1.0950|0.6550|0.7900|BULLISH
NOC|2025-09-11 16:30|584.8600|585.0850|581.9100|582.1800|83244|2.6800|0.2250|0.2700|BEARISH
NOC|2025-09-11 17:30|581.7675|583.0950|579.9400|580.8700|82882|0.8975|1.3275|0.9300|BEARISH
NOC|2025-09-11 18:30|581.3600|581.3600|578.4400|579.3450|106487|2.0150|0.0000|0.9050|BEARISH
NOC|2025-09-11 19:30|579.7692|583.0600|579.3400|582.6700|142726|2.9008|0.3900|0.4292|BULLISH
NOC|2025-09-12 13:30|582.3400|583.1300|578.3900|581.4559|33414|0.8841|0.7900|3.0659|BEARISH
NOC|2025-09-12 14:30|581.4150|581.6150|580.0000|580.4650|67007|0.9500|0.2000|0.4650|BEARISH
NOC|2025-09-12 15:30|580.0500|580.0500|577.0000|577.9150|48151|2.1350|0.0000|0.9150|BEARISH
NOC|2025-09-12 16:30|579.0800|579.3600|575.3200|575.7200|36577|3.3600|0.2800|0.4000|BEARISH
NOC|2025-09-12 17:30|576.0400|579.5800|576.0400|579.1950|51528|3.1550|0.3850|0.0000|BULLISH
NOC|2025-09-12 18:30|579.0600|579.6050|577.3200|578.6650|73784|0.3950|0.5450|1.3450|BEARISH
NOC|2025-09-12 19:30|578.6400|578.6400|575.1800|575.9200|153028|2.7200|0.0000|0.7400|BEARISH
NOC|2025-09-15 13:30|574.0000|575.8300|571.3300|571.6200|66577|2.3800|1.8300|0.2900|BEARISH
NOC|2025-09-15 14:30|571.6100|574.8700|571.1150|573.9000|73980|2.2900|0.9700|0.4950|BULLISH
NOC|2025-09-15 15:30|573.8150|575.4899|572.0000|574.2100|55844|0.3950|1.2799|1.8150|BULLISH
NOC|2025-09-15 16:30|574.2100|574.6250|571.7500|572.9800|44355|1.2300|0.4150|1.2300|BEARISH
NOC|2025-09-15 17:30|573.4350|574.6800|573.2500|573.3800|69197|0.0550|1.2450|0.1300|BEARISH
NOC|2025-09-15 18:30|573.7300|576.4700|573.3800|575.9800|92009|2.2500|0.4900|0.3500|BULLISH
NOC|2025-09-15 19:30|575.8300|575.9850|573.8900|574.2400|126618|1.5900|0.1550|0.3500|BEARISH
NOC|2025-09-16 13:30|578.0000|586.3500|575.9500|583.5400|167639|5.5400|2.8100|2.0500|BULLISH
NOC|2025-09-16 14:30|583.5400|585.0600|579.2175|583.5000|95684|0.0400|1.5200|4.2825|BEARISH
NOC|2025-09-16 15:30|583.2200|584.7700|582.5300|583.4050|53604|0.1851|1.3650|0.6899|BULLISH
NOC|2025-09-16 16:30|583.7900|584.9500|582.9400|584.4950|133533|0.7050|0.4550|0.8500|BULLISH
NOC|2025-09-16 17:30|584.5759|586.0900|584.1900|585.3700|85628|0.7941|0.7200|0.3859|BULLISH
NOC|2025-09-16 18:30|585.5600|587.2400|583.3800|584.3200|143695|1.2400|1.6800|0.9400|BEARISH
NOC|2025-09-16 19:30|583.9950|584.4200|579.0000|579.4200|169351|4.5750|0.4250|0.4200|BEARISH
NOC|2025-09-17 13:30|579.1000|585.0000|579.1000|582.3700|49164|3.2700|2.6300|0.0000|BULLISH
NOC|2025-09-17 14:30|581.5200|584.2200|580.6600|582.6400|58096|1.1200|1.5800|0.8600|BULLISH
NOC|2025-09-17 15:30|582.4500|584.0750|580.7900|581.4400|102571|1.0100|1.6250|0.6500|BEARISH
NOC|2025-09-17 16:30|581.4550|582.2100|580.5758|580.8000|39176|0.6550|0.7550|0.2242|BEARISH
NOC|2025-09-17 17:30|580.7200|581.7300|579.5150|580.0350|75924|0.6850|1.0100|0.5200|BEARISH
NOC|2025-09-17 18:30|579.5300|581.0300|579.1100|580.0800|96313|0.5500|0.9500|0.4200|BULLISH
NOC|2025-09-17 19:30|580.0800|580.1800|576.3901|577.2400|154087|2.8400|0.1000|0.8499|BEARISH
NOC|2025-09-18 13:30|572.0000|575.7900|569.8000|570.7400|73723|1.2600|3.7900|0.9400|BEARISH
NOC|2025-09-18 14:30|571.6700|572.5206|568.3200|571.1700|72626|0.5000|0.8506|2.8500|BEARISH
NOC|2025-09-18 15:30|571.7200|572.8150|570.5900|572.5000|77417|0.7800|0.3150|1.1299|BULLISH
NOC|2025-09-18 16:30|572.5050|574.6100|572.5050|573.6950|40384|1.1900|0.9150|0.0000|BULLISH
NOC|2025-09-18 17:30|573.7500|576.9800|573.7500|576.0950|50851|2.3450|0.8850|0.0000|BULLISH
NOC|2025-09-18 18:30|576.0755|576.5000|574.0200|574.0200|76480|2.0555|0.4245|0.0000|BEARISH
NOC|2025-09-18 19:30|573.6800|575.9700|573.2900|573.7000|188430|0.0200|2.2700|0.3900|BULLISH
NOC|2025-09-19 13:30|571.9100|576.1500|565.5000|570.0600|187593|1.8500|4.2401|4.5600|BEARISH
NOC|2025-09-19 14:30|569.7500|570.1900|566.7900|568.6400|57513|1.1100|0.4400|1.8500|BEARISH
NOC|2025-09-19 15:30|568.9100|569.9100|568.3700|569.1000|55582|0.1900|0.8100|0.5400|BULLISH
