Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
NRG|2025-09-02 13:30|142.2700|143.7400|140.7728|142.8750|298274|0.6050|0.8650|1.4972|BULLISH
NRG|2025-09-02 14:30|142.9400|144.7100|142.9250|144.2950|254082|1.3550|0.4150|0.0150|BULLISH
NRG|2025-09-02 15:30|144.2500|144.2700|142.1900|142.8250|293047|1.4250|0.0200|0.6350|BEARISH
NRG|2025-09-02 16:30|142.7700|142.9410|141.9500|142.7450|206335|0.0250|0.1710|0.7950|BEARISH
NRG|2025-09-02 17:30|142.7450|143.5900|142.6300|143.2250|333084|0.4800|0.3650|0.1150|BULLISH
NRG|2025-09-02 18:30|143.2300|144.5250|143.0600|144.3050|278008|1.0750|0.2200|0.1700|BULLISH
NRG|2025-09-02 19:30|144.3425|145.2200|144.3050|145.1200|445650|0.7775|0.1000|0.0375|BULLISH
NRG|2025-09-03 13:30|144.8900|147.7700|144.1920|147.5050|237111|2.6150|0.2650|0.6980|BULLISH
NRG|2025-09-03 14:30|147.5050|148.2100|147.2100|147.2100|209985|0.2950|0.7050|0.0000|BEARISH
NRG|2025-09-03 15:30|147.2900|147.5800|147.0500|147.0950|84689|0.1950|0.2900|0.0450|BEARISH
NRG|2025-09-03 16:30|147.0950|147.3500|146.7101|146.9900|101454|0.1050|0.2550|0.2799|BEARISH
NRG|2025-09-03 17:30|147.0250|147.1100|145.9200|145.9700|136982|1.0550|0.0850|0.0500|BEARISH
NRG|2025-09-03 18:30|145.9300|145.9550|145.5350|145.9500|110131|0.0200|0.0050|0.3950|BULLISH
NRG|2025-09-03 19:30|145.9650|146.9200|145.9000|146.9200|287948|0.9550|0.0000|0.0650|BULLISH
NRG|2025-09-04 13:30|148.0200|148.6200|147.1100|147.3391|143656|0.6809|0.6000|0.2291|BEARISH
NRG|2025-09-04 14:30|147.2900|147.9700|146.7540|147.0550|98643|0.2350|0.6800|0.3010|BEARISH
NRG|2025-09-04 15:30|147.0410|147.0410|146.1700|146.5050|100286|0.5360|0.0000|0.3350|BEARISH
NRG|2025-09-04 16:30|146.4500|146.8800|146.3000|146.7900|80652|0.3400|0.0900|0.1500|BULLISH
NRG|2025-09-04 17:30|146.7802|147.1550|146.6650|147.0150|83027|0.2348|0.1400|0.1152|BULLISH
NRG|2025-09-04 18:30|147.0800|147.7800|146.9950|147.7000|144834|0.6200|0.0800|0.0850|BULLISH
NRG|2025-09-04 19:30|147.6700|148.0700|147.5650|147.9400|261191|0.2700|0.1300|0.1050|BULLISH
NRG|2025-09-05 13:30|148.9500|150.2500|144.2500|144.9300|422375|4.0200|1.3000|0.6800|BEARISH
NRG|2025-09-05 14:30|144.9550|144.9550|142.8729|144.2300|256781|0.7250|0.0000|1.3571|BEARISH
NRG|2025-09-05 15:30|144.2800|145.9400|144.1550|145.7064|134344|1.4264|0.2336|0.1250|BULLISH
