Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
NTRS|2025-09-02 13:30|129.7000|130.5650|127.7300|129.0450|129482|0.6550|0.8650|1.3150|BEARISH
NTRS|2025-09-02 14:30|129.0500|129.3600|128.5100|128.6450|94038|0.4050|0.3100|0.1350|BEARISH
NTRS|2025-09-02 15:30|128.6000|128.6450|128.3050|128.3698|63364|0.2302|0.0450|0.0648|BEARISH
NTRS|2025-09-02 16:30|128.3900|128.7850|128.3900|128.7400|55803|0.3500|0.0450|0.0000|BULLISH
NTRS|2025-09-02 17:30|128.8300|129.1000|128.5650|128.6050|48170|0.2250|0.2700|0.0400|BEARISH
NTRS|2025-09-02 18:30|128.6050|128.9800|128.5050|128.8900|67853|0.2850|0.0900|0.1000|BULLISH
NTRS|2025-09-02 19:30|128.9300|129.8400|128.8800|129.7000|237894|0.7700|0.1400|0.0500|BULLISH
NTRS|2025-09-03 13:30|129.2900|130.7100|127.3049|129.7100|94076|0.4200|1.0000|1.9851|BULLISH
NTRS|2025-09-03 14:30|129.6600|130.1200|129.6200|129.6200|59846|0.0400|0.4600|0.0000|BEARISH
NTRS|2025-09-03 15:30|129.6100|129.6100|128.9700|129.1150|48340|0.4950|0.0000|0.1450|BEARISH
NTRS|2025-09-03 16:30|129.1150|129.1150|128.3200|128.4700|95254|0.6450|0.0000|0.1500|BEARISH
NTRS|2025-09-03 17:30|128.5300|128.9300|127.9700|128.9000|71395|0.3700|0.0300|0.5600|BULLISH
NTRS|2025-09-03 18:30|128.9100|129.2100|128.7700|129.0500|124068|0.1400|0.1600|0.1400|BULLISH
NTRS|2025-09-03 19:30|129.0250|129.8800|129.0250|129.7400|155788|0.7150|0.1400|0.0000|BULLISH
NTRS|2025-09-04 13:30|130.2900|130.8500|129.4181|130.2500|87435|0.0400|0.5600|0.8319|BEARISH
NTRS|2025-09-04 14:30|130.2750|130.2750|129.3800|129.4800|114762|0.7950|0.0000|0.1000|BEARISH
NTRS|2025-09-04 15:30|129.4400|129.7600|129.3300|129.4450|112729|0.0050|0.3150|0.1100|BULLISH
NTRS|2025-09-04 16:30|129.4300|129.5700|129.2300|129.5700|99925|0.1400|0.0000|0.2000|BULLISH
NTRS|2025-09-04 17:30|129.5400|129.8000|129.4050|129.4550|136531|0.0850|0.2600|0.0500|BEARISH
NTRS|2025-09-04 18:30|129.4100|129.6000|129.2100|129.5100|126366|0.1000|0.0900|0.2000|BULLISH
NTRS|2025-09-04 19:30|129.4700|129.6400|129.0600|129.5700|277105|0.1000|0.0700|0.4100|BULLISH
NTRS|2025-09-05 13:30|129.1900|129.7100|126.1400|126.2800|211804|2.9100|0.5200|0.1400|BEARISH
NTRS|2025-09-05 14:30|126.3600|126.3600|125.3050|126.2100|132504|0.1500|0.0000|0.9050|BEARISH
NTRS|2025-09-05 15:30|126.1000|126.6250|126.0150|126.2850|75670|0.1850|0.3400|0.0850|BULLISH
NTRS|2025-09-05 16:30|126.2500|126.9800|126.2500|126.5700|66737|0.3200|0.4100|0.0000|BULLISH
NTRS|2025-09-05 17:30|126.5800|126.7750|126.2000|126.7700|76924|0.1900|0.0050|0.3800|BULLISH
NTRS|2025-09-05 18:30|126.8550|127.3690|126.8400|127.2650|105067|0.4100|0.1040|0.0150|BULLISH
NTRS|2025-09-05 19:30|127.3200|127.4894|126.9800|127.2200|262636|0.1000|0.1694|0.2400|BEARISH
NTRS|2025-09-08 13:30|127.4600|127.5400|126.5000|126.8900|130404|0.5700|0.0800|0.3900|BEARISH
NTRS|2025-09-08 14:30|126.8600|127.9000|126.8400|127.8700|101561|1.0100|0.0300|0.0200|BULLISH
NTRS|2025-09-08 15:30|127.9000|127.9500|126.6800|126.8900|72530|1.0100|0.0500|0.2100|BEARISH
NTRS|2025-09-08 16:30|126.9200|127.0300|126.6500|126.7700|68742|0.1500|0.1100|0.1200|BEARISH
NTRS|2025-09-08 17:30|126.8800|126.9700|126.3700|126.8400|97941|0.0400|0.0900|0.4700|BEARISH
NTRS|2025-09-08 18:30|126.8600|127.2400|126.7800|127.0600|115373|0.2000|0.1800|0.0800|BULLISH
NTRS|2025-09-08 19:30|127.0600|127.4800|126.9650|127.4300|204241|0.3700|0.0500|0.0950|BULLISH
NTRS|2025-09-09 13:30|127.3600|129.0500|126.7910|128.5750|91597|1.2150|0.4750|0.5690|BULLISH
NTRS|2025-09-09 14:30|128.6400|129.4700|128.5000|129.4400|87460|0.8000|0.0300|0.1400|BULLISH
NTRS|2025-09-09 15:30|129.5300|129.5350|128.1800|128.4400|81869|1.0900|0.0050|0.2600|BEARISH
NTRS|2025-09-09 16:30|128.4000|128.8300|128.4000|128.8200|65751|0.4200|0.0100|0.0000|BULLISH
NTRS|2025-09-09 17:30|128.6900|129.1800|128.6500|129.1800|52905|0.4900|0.0000|0.0400|BULLISH
NTRS|2025-09-09 18:30|129.1799|129.3252|128.5200|128.8300|150777|0.3499|0.1453|0.3100|BEARISH
NTRS|2025-09-09 19:30|128.8300|129.1900|128.7200|128.8900|193453|0.0600|0.3000|0.1100|BULLISH
NTRS|2025-09-10 13:30|128.5950|129.1800|127.4450|128.8850|138280|0.2900|0.2950|1.1500|BULLISH
NTRS|2025-09-10 14:30|128.8000|128.8000|127.5800|127.6100|177039|1.1900|0.0000|0.0300|BEARISH
NTRS|2025-09-10 15:30|127.4400|128.3700|127.1900|127.8602|102196|0.4202|0.5098|0.2500|BULLISH
NTRS|2025-09-10 16:30|127.7350|127.8700|127.1100|127.3000|184447|0.4350|0.1350|0.1900|BEARISH
NTRS|2025-09-10 17:30|127.2825|127.6750|126.9000|127.1400|127769|0.1425|0.3925|0.2400|BEARISH
NTRS|2025-09-10 18:30|127.3200|127.4100|126.4900|126.4900|107092|0.8300|0.0900|0.0000|BEARISH
NTRS|2025-09-10 19:30|126.4900|127.2600|126.4300|127.0200|390766|0.5300|0.2400|0.0600|BULLISH
NTRS|2025-09-11 13:30|127.6000|128.8700|125.9800|128.5950|127385|0.9950|0.2750|1.6200|BULLISH
NTRS|2025-09-11 14:30|128.5950|128.9300|128.2100|128.4300|51086|0.1650|0.3350|0.2200|BEARISH
NTRS|2025-09-11 15:30|128.4300|128.7900|128.1900|128.6400|144642|0.2100|0.1500|0.2400|BULLISH
NTRS|2025-09-11 16:30|128.7000|129.0100|128.6050|128.7500|87559|0.0500|0.2600|0.0950|BULLISH
NTRS|2025-09-11 17:30|128.7900|129.2700|128.5550|128.7100|179946|0.0800|0.4800|0.1550|BEARISH
NTRS|2025-09-11 18:30|128.7100|129.2900|128.6600|129.2300|144656|0.5200|0.0600|0.0500|BULLISH
NTRS|2025-09-11 19:30|129.2800|129.9200|129.2500|129.4800|281806|0.2000|0.4400|0.0300|BULLISH
NTRS|2025-09-12 13:30|129.0900|130.4400|128.8200|129.5000|91623|0.4100|0.9400|0.2700|BULLISH
NTRS|2025-09-12 14:30|129.5700|129.9650|129.3350|129.3350|72867|0.2350|0.3950|0.0000|BEARISH
NTRS|2025-09-12 15:30|129.3650|129.4050|128.7350|129.2700|67906|0.0950|0.0400|0.5350|BEARISH
NTRS|2025-09-12 16:30|129.2700|129.7700|129.1950|129.7100|44861|0.4400|0.0600|0.0750|BULLISH
NTRS|2025-09-12 17:30|129.7100|129.7100|129.3800|129.5950|59994|0.1150|0.0000|0.2150|BEARISH
NTRS|2025-09-12 18:30|129.6000|129.7000|129.2100|129.4400|101135|0.1600|0.1000|0.2300|BEARISH
NTRS|2025-09-12 19:30|129.4500|129.7600|129.1130|129.4300|156411|0.0200|0.3100|0.3170|BEARISH
NTRS|2025-09-15 13:30|129.3500|130.9500|129.0950|130.8600|176213|1.5100|0.0900|0.2550|BULLISH
NTRS|2025-09-15 14:30|130.7800|131.5500|130.5500|130.7700|163255|0.0100|0.7700|0.2200|BEARISH
NTRS|2025-09-15 15:30|130.7200|131.2350|130.6900|131.2150|130793|0.4950|0.0200|0.0300|BULLISH
NTRS|2025-09-15 16:30|131.2150|131.4300|130.9200|131.0599|128931|0.1551|0.2150|0.1399|BEARISH
NTRS|2025-09-15 17:30|131.0650|131.5300|131.0100|131.4500|129942|0.3850|0.0800|0.0550|BULLISH
NTRS|2025-09-15 18:30|131.4550|131.4700|130.7500|130.7750|177277|0.6800|0.0150|0.0250|BEARISH
NTRS|2025-09-15 19:30|130.6800|130.8300|130.0800|130.1900|287973|0.4900|0.1500|0.1100|BEARISH
NTRS|2025-09-16 13:30|130.3900|130.3900|128.2300|128.2650|84287|2.1250|0.0000|0.0350|BEARISH
NTRS|2025-09-16 14:30|128.2650|128.8250|128.1200|128.4200|72113|0.1550|0.4050|0.1450|BULLISH
NTRS|2025-09-16 15:30|128.4600|128.6200|128.2000|128.5750|45071|0.1150|0.0450|0.2600|BULLISH
NTRS|2025-09-16 16:30|128.4600|129.1700|128.4600|129.0300|57883|0.5700|0.1400|0.0000|BULLISH
NTRS|2025-09-16 17:30|129.0650|129.3500|129.0025|129.1900|45154|0.1250|0.1600|0.0625|BULLISH
NTRS|2025-09-16 18:30|129.2900|129.6300|128.9850|128.9850|49512|0.3050|0.3400|0.0000|BEARISH
NTRS|2025-09-16 19:30|129.0550|129.5700|128.8900|129.2100|135569|0.1550|0.3600|0.1650|BULLISH
NTRS|2025-09-17 13:30|129.8600|131.0700|129.4675|130.8900|72961|1.0300|0.1800|0.3925|BULLISH
NTRS|2025-09-17 14:30|130.9000|131.1400|130.5200|130.5200|54158|0.3800|0.2400|0.0000|BEARISH
NTRS|2025-09-17 15:30|130.5700|130.6600|129.7300|130.0400|72389|0.5300|0.0900|0.3100|BEARISH
NTRS|2025-09-17 16:30|129.9800|130.0700|129.6400|130.0700|109195|0.0900|0.0000|0.3400|BULLISH
NTRS|2025-09-17 17:30|130.0450|131.3900|129.8501|130.8400|87630|0.7950|0.5500|0.1949|BULLISH
NTRS|2025-09-17 18:30|130.9600|130.9600|128.4348|129.5350|225221|1.4250|0.0000|1.1002|BEARISH
NTRS|2025-09-17 19:30|129.6200|129.7700|129.1600|129.4000|367440|0.2200|0.1500|0.2400|BEARISH
NTRS|2025-09-18 13:30|129.8500|132.5900|129.2100|132.3600|204350|2.5100|0.2300|0.6400|BULLISH
NTRS|2025-09-18 14:30|132.5000|132.6600|131.3100|131.5200|176713|0.9800|0.1600|0.2100|BEARISH
NTRS|2025-09-18 15:30|131.4900|132.0450|131.3400|131.8900|181681|0.4000|0.1550|0.1500|BULLISH
NTRS|2025-09-18 16:30|131.9250|132.6200|131.9250|132.1800|66983|0.2550|0.4400|0.0000|BULLISH
NTRS|2025-09-18 17:30|132.1200|132.2650|131.8400|132.0100|56180|0.1100|0.1450|0.1700|BEARISH
NTRS|2025-09-18 18:30|132.0100|132.6300|131.8050|132.1400|123615|0.1300|0.4900|0.2050|BULLISH
NTRS|2025-09-18 19:30|132.1550|132.5400|131.8900|132.1300|291047|0.0250|0.3850|0.2400|BEARISH
NTRS|2025-09-19 13:30|132.9400|132.9400|131.3900|132.0950|202417|0.8450|0.0000|0.7050|BEARISH
NTRS|2025-09-19 14:30|132.0900|132.0950|131.0300|131.3250|96554|0.7650|0.0050|0.2950|BEARISH
NTRS|2025-09-19 15:30|131.3225|131.8700|131.1000|131.7500|96116|0.4275|0.1200|0.2225|BULLISH
NTRS|2025-09-19 16:30|131.7450|132.1300|131.6036|131.8100|99024|0.0650|0.3200|0.1414|BULLISH
NTRS|2025-09-19 17:30|131.9000|131.9300|131.5645|131.6200|62330|0.2800|0.0300|0.0555|BEARISH
NTRS|2025-09-19 18:30|131.6100|131.9400|131.5300|131.7850|96434|0.1750|0.1550|0.0800|BULLISH
NTRS|2025-09-19 19:30|131.7600|131.8200|131.1100|131.4500|274710|0.3100|0.0600|0.3400|BEARISH
NTRS|2025-09-22 13:30|130.3400|131.8900|130.2300|131.8850|96971|1.5450|0.0050|0.1100|BULLISH
NTRS|2025-09-22 14:30|131.9100|131.9400|131.3500|131.8000|73830|0.1100|0.0300|0.4500|BEARISH
NTRS|2025-09-22 15:30|131.7900|131.8939|131.1500|131.2800|45767|0.5100|0.1039|0.1300|BEARISH
NTRS|2025-09-22 16:30|131.1700|131.3650|130.9650|131.0800|49171|0.0900|0.1950|0.1150|BEARISH
NTRS|2025-09-22 17:30|131.1600|131.3699|130.6900|130.8350|79167|0.3250|0.2099|0.1450|BEARISH
NTRS|2025-09-22 18:30|130.7300|131.2700|130.6400|131.1100|66504|0.3800|0.1600|0.0900|BULLISH
NTRS|2025-09-22 19:30|131.1150|131.8300|131.0600|131.8000|157179|0.6850|0.0300|0.0550|BULLISH
NTRS|2025-09-23 13:30|131.8600|133.6950|130.8225|132.4800|84963|0.6200|1.2150|1.0375|BULLISH
NTRS|2025-09-23 14:30|132.4350|132.6236|131.8600|131.9600|33993|0.4750|0.1886|0.1000|BEARISH
NTRS|2025-09-23 15:30|131.9904|131.9904|131.4000|131.4100|53068|0.5804|0.0000|0.0100|BEARISH
NTRS|2025-09-23 16:30|131.3800|131.5700|130.6700|130.6800|33408|0.7000|0.1900|0.0100|BEARISH
NTRS|2025-09-23 17:30|130.6600|130.7150|129.8700|129.9000|44065|0.7600|0.0550|0.0300|BEARISH
NTRS|2025-09-23 18:30|129.8950|130.4400|129.8950|130.3750|150460|0.4800|0.0650|0.0000|BULLISH
NTRS|2025-09-23 19:30|130.3650|130.6050|130.2400|130.5200|172232|0.1550|0.0850|0.1250|BULLISH
NTRS|2025-09-24 13:30|131.0700|131.7300|130.5101|130.6700|62408|0.4000|0.6600|0.1599|BEARISH
NTRS|2025-09-24 14:30|130.6250|131.0250|130.2300|130.3786|61690|0.2464|0.4000|0.1486|BEARISH
NTRS|2025-09-24 15:30|130.3000|130.3000|129.3200|130.0000|128487|0.3000|0.0000|0.6800|BEARISH
NTRS|2025-09-24 16:30|130.0000|130.3400|129.6600|129.6800|98864|0.3200|0.3400|0.0200|BEARISH
NTRS|2025-09-24 17:30|129.6600|129.8254|129.1500|129.5900|77393|0.0700|0.1654|0.4400|BEARISH
NTRS|2025-09-24 18:30|129.5500|129.8050|129.3700|129.3800|111262|0.1700|0.2550|0.0100|BEARISH
NTRS|2025-09-24 19:30|129.3959|129.8500|129.3100|129.5400|191061|0.1441|0.3100|0.0859|BULLISH
NTRS|2025-09-25 13:30|129.8500|131.5000|129.4530|131.4200|128452|1.5700|0.0800|0.3970|BULLISH
NTRS|2025-09-25 14:30|131.3650|131.6350|130.7600|131.0150|88197|0.3500|0.2700|0.2550|BEARISH
NTRS|2025-09-25 15:30|130.9750|131.4100|130.8700|130.9100|47440|0.0650|0.4350|0.0400|BEARISH
NTRS|2025-09-25 16:30|130.9850|131.3050|130.6000|130.6800|59534|0.3050|0.3200|0.0800|BEARISH
NTRS|2025-09-25 17:30|130.6100|130.7900|130.0200|130.7100|104177|0.1000|0.0800|0.5900|BULLISH
NTRS|2025-09-25 18:30|130.6400|131.0000|130.3950|130.8100|79733|0.1700|0.1900|0.2450|BULLISH
NTRS|2025-09-25 19:30|130.8300|131.4100|130.7800|131.3750|189606|0.5450|0.0350|0.0500|BULLISH
NTRS|2025-09-26 13:30|132.2200|135.0000|131.6950|132.8800|180254|0.6600|2.1200|0.5250|BULLISH
NTRS|2025-09-26 14:30|132.8000|132.8300|131.8500|132.7750|83217|0.0250|0.0300|0.9250|BEARISH
NTRS|2025-09-26 15:30|132.8400|133.0800|132.3700|133.0750|43139|0.2350|0.0050|0.4700|BULLISH
NTRS|2025-09-26 16:30|133.0750|133.5300|132.8800|133.4350|45037|0.3600|0.0950|0.1950|BULLISH
NTRS|2025-09-26 17:30|133.4900|133.7000|133.2100|133.3400|59702|0.1500|0.2100|0.1300|BEARISH
NTRS|2025-09-26 18:30|133.3800|133.7500|133.2200|133.6815|55664|0.3015|0.0685|0.1600|BULLISH
NTRS|2025-09-26 19:30|133.7200|133.7200|132.9700|133.3500|232561|0.3700|0.0000|0.3800|BEARISH
NTRS|2025-09-29 13:30|133.9900|133.9900|132.8450|133.1100|98478|0.8800|0.0000|0.2650|BEARISH
NTRS|2025-09-29 14:30|133.2000|133.4500|132.7901|133.1600|32274|0.0400|0.2500|0.3699|BEARISH
NTRS|2025-09-29 15:30|133.1000|133.4200|132.9050|133.1600|51024|0.0600|0.2600|0.1950|BULLISH
NTRS|2025-09-29 16:30|133.3025|133.3500|132.9900|133.1500|29647|0.1525|0.0475|0.1600|BEARISH
NTRS|2025-09-29 17:30|133.1500|133.5800|133.0800|133.5100|47088|0.3600|0.0700|0.0700|BULLISH
NTRS|2025-09-29 18:30|133.5850|134.1350|133.5800|133.9200|61313|0.3350|0.2150|0.0050|BULLISH
NTRS|2025-09-29 19:30|133.9300|134.1110|133.4600|133.8600|138219|0.0700|0.1810|0.4000|BEARISH
NTRS|2025-09-30 13:30|134.0100|135.3900|133.0600|133.2500|133419|0.7600|1.3800|0.1900|BEARISH
NTRS|2025-09-30 14:30|133.2800|133.3100|131.3000|131.5750|166609|1.7050|0.0300|0.2750|BEARISH
NTRS|2025-09-30 15:30|131.5650|132.5900|131.4945|132.4700|71494|0.9050|0.1200|0.0705|BULLISH
NTRS|2025-09-30 16:30|132.5000|132.6800|132.2000|132.3600|46879|0.1400|0.1800|0.1600|BEARISH
NTRS|2025-09-30 17:30|132.3300|132.7500|132.1350|132.5153|62102|0.1853|0.2347|0.1950|BULLISH
NTRS|2025-09-30 18:30|132.5700|134.0800|132.5400|133.9800|80044|1.4100|0.1000|0.0300|BULLISH
NTRS|2025-09-30 19:30|134.0200|134.9500|133.7150|134.5600|262120|0.5400|0.3900|0.3050|BULLISH
NTRS|2025-10-01 13:30|133.6100|134.5400|131.4200|132.0700|136168|1.5400|0.9300|0.6500|BEARISH
NTRS|2025-10-01 14:30|132.0675|132.0675|131.1600|131.9500|83314|0.1175|0.0000|0.7900|BEARISH
NTRS|2025-10-01 15:30|131.9300|132.0600|131.1300|131.4450|90545|0.4850|0.1300|0.3150|BEARISH
NTRS|2025-10-01 16:30|131.4400|131.5900|130.9400|131.4200|73094|0.0200|0.1500|0.4800|BEARISH
NTRS|2025-10-01 17:30|131.3600|131.4100|130.5600|130.9200|217691|0.4400|0.0500|0.3600|BEARISH
NTRS|2025-10-01 18:30|130.9400|131.4000|130.9200|131.4000|122017|0.4600|0.0000|0.0200|BULLISH
NTRS|2025-10-01 19:30|131.4200|131.7700|131.0900|131.1600|201282|0.2600|0.3500|0.0700|BEARISH
NTRS|2025-10-02 13:30|131.0000|131.6100|130.1900|131.6100|135993|0.6100|0.0000|0.8100|BULLISH
NTRS|2025-10-02 14:30|131.6800|132.3495|131.5850|131.9400|174973|0.2600|0.4095|0.0950|BULLISH
NTRS|2025-10-02 15:30|131.9950|131.9950|131.4400|131.7100|69355|0.2850|0.0000|0.2700|BEARISH
NTRS|2025-10-02 16:30|131.6500|132.0700|131.6150|131.7700|71478|0.1200|0.3000|0.0350|BULLISH
NTRS|2025-10-02 17:30|131.7700|132.4600|131.6000|132.4050|62899|0.6350|0.0550|0.1700|BULLISH
NTRS|2025-10-02 18:30|132.4750|133.4400|132.4750|133.2800|128576|0.8050|0.1600|0.0000|BULLISH
NTRS|2025-10-02 19:30|133.3000|133.5600|133.1400|133.2400|226296|0.0600|0.2600|0.1000|BEARISH
