Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
NUE|2025-09-02 13:30|145.9600|147.0000|144.0499|146.6000|228872|0.6400|0.4000|1.9101|BULLISH
NUE|2025-09-02 14:30|146.6500|146.7200|145.7300|146.0085|90389|0.6415|0.0700|0.2785|BEARISH
NUE|2025-09-02 15:30|146.1000|146.1500|145.6500|145.9500|80356|0.1500|0.0500|0.3000|BEARISH
NUE|2025-09-02 16:30|146.0100|146.4600|145.9200|146.4050|79972|0.3950|0.0550|0.0900|BULLISH
NUE|2025-09-02 17:30|146.4500|146.6400|145.8800|146.0300|58711|0.4200|0.1900|0.1500|BEARISH
NUE|2025-09-02 18:30|146.0600|146.3200|145.7800|146.2400|84046|0.1800|0.0800|0.2800|BULLISH
NUE|2025-09-02 19:30|146.2799|146.4400|145.8400|146.3200|204043|0.0401|0.1200|0.4399|BULLISH
NUE|2025-09-03 13:30|146.1900|146.1900|143.0700|143.0700|173271|3.1200|0.0000|0.0000|BEARISH
NUE|2025-09-03 14:30|143.0700|143.6300|142.7300|143.0100|241075|0.0600|0.5600|0.2800|BEARISH
NUE|2025-09-03 15:30|143.0600|143.5300|142.8900|143.4200|95989|0.3600|0.1100|0.1700|BULLISH
NUE|2025-09-03 16:30|143.4200|144.3600|143.3700|144.3550|78972|0.9350|0.0050|0.0500|BULLISH
NUE|2025-09-03 17:30|144.3551|144.6100|143.8300|144.5850|77449|0.2299|0.0250|0.5251|BULLISH
NUE|2025-09-03 18:30|144.5300|144.6300|144.1050|144.2800|80047|0.2500|0.1000|0.1750|BEARISH
NUE|2025-09-03 19:30|144.3000|145.2000|144.3000|145.1900|170373|0.8900|0.0100|0.0000|BULLISH
NUE|2025-09-04 13:30|144.9000|144.9000|142.3000|143.5000|210420|1.4000|0.0000|1.2000|BEARISH
NUE|2025-09-04 14:30|143.6100|144.5750|143.5422|144.4900|121002|0.8800|0.0850|0.0678|BULLISH
NUE|2025-09-04 15:30|144.5300|145.1600|144.5300|144.9800|76874|0.4500|0.1800|0.0000|BULLISH
NUE|2025-09-04 16:30|144.9600|145.0200|144.4500|144.8200|121058|0.1400|0.0600|0.3700|BEARISH
NUE|2025-09-04 17:30|144.8200|145.0400|144.5850|144.6750|79666|0.1450|0.2200|0.0900|BEARISH
NUE|2025-09-04 18:30|144.5401|145.0523|144.3600|144.8500|115333|0.3099|0.2023|0.1801|BULLISH
NUE|2025-09-04 19:30|144.8400|145.0900|144.4700|144.9400|229542|0.1000|0.1500|0.3700|BULLISH
NUE|2025-09-05 13:30|146.4700|150.2400|146.3950|147.2500|412997|0.7800|2.9900|0.0750|BULLISH
NUE|2025-09-05 14:30|147.3750|147.5400|145.2800|147.0600|197892|0.3150|0.1650|1.7800|BEARISH
NUE|2025-09-05 15:30|147.0900|147.5100|146.6900|146.7500|93572|0.3400|0.4200|0.0600|BEARISH
NUE|2025-09-05 16:30|146.7450|146.9700|146.3800|146.6600|58085|0.0850|0.2250|0.2800|BEARISH
NUE|2025-09-05 17:30|146.6500|146.7916|145.9400|146.5750|85016|0.0750|0.1416|0.6350|BEARISH
NUE|2025-09-05 18:30|146.7300|147.1369|146.6000|147.0765|94523|0.3465|0.0604|0.1300|BULLISH
NUE|2025-09-05 19:30|147.0900|147.4200|146.8300|147.3000|251545|0.2100|0.1200|0.2600|BULLISH
NUE|2025-09-08 13:30|147.5800|147.5800|145.4700|145.8800|199884|1.7000|0.0000|0.4100|BEARISH
NUE|2025-09-08 14:30|146.0200|147.1100|145.9100|146.9200|108685|0.9000|0.1900|0.1100|BULLISH
NUE|2025-09-08 15:30|146.9200|147.1800|145.9000|145.9450|101494|0.9750|0.2600|0.0450|BEARISH
NUE|2025-09-08 16:30|145.9200|146.0100|145.0200|145.4850|203282|0.4350|0.0900|0.4650|BEARISH
NUE|2025-09-08 17:30|145.5350|145.5800|144.2900|144.2900|436249|1.2450|0.0450|0.0000|BEARISH
NUE|2025-09-08 18:30|144.3100|144.6500|143.6900|143.7700|408029|0.5400|0.3400|0.0800|BEARISH
NUE|2025-09-08 19:30|143.7700|144.2000|143.5300|144.0150|559234|0.2450|0.1850|0.2400|BULLISH
NUE|2025-09-09 13:30|144.6750|146.1150|143.5100|143.7950|287889|0.8800|1.4400|0.2850|BEARISH
NUE|2025-09-09 14:30|143.7950|143.7950|142.1400|142.2600|210988|1.5350|0.0000|0.1200|BEARISH
NUE|2025-09-09 15:30|142.2400|142.3700|141.7500|142.1200|120334|0.1200|0.1300|0.3700|BEARISH
NUE|2025-09-09 16:30|142.2100|142.2500|141.9100|142.0900|98331|0.1200|0.0400|0.1800|BEARISH
NUE|2025-09-09 17:30|142.0100|142.6000|141.9000|142.5800|101040|0.5700|0.0200|0.1100|BULLISH
NUE|2025-09-09 18:30|142.5800|142.6400|141.1350|141.2500|197208|1.3300|0.0600|0.1150|BEARISH
NUE|2025-09-09 19:30|141.2500|141.4100|140.9800|141.0400|391101|0.2100|0.1600|0.0600|BEARISH
NUE|2025-09-10 13:30|141.4200|143.7500|141.2300|142.9250|205234|1.5050|0.8250|0.1900|BULLISH
NUE|2025-09-10 14:30|142.9450|142.9450|141.7800|141.8850|105837|1.0600|0.0000|0.1050|BEARISH
NUE|2025-09-10 15:30|141.9100|142.3800|141.8200|141.9100|78382|0.0000|0.4700|0.0900|BULLISH
NUE|2025-09-10 16:30|141.9100|142.2050|141.7300|141.7400|83551|0.1700|0.2950|0.0100|BEARISH
NUE|2025-09-10 17:30|141.7400|142.0950|141.5800|141.8400|93914|0.1000|0.2550|0.1600|BULLISH
NUE|2025-09-10 18:30|141.8500|141.9600|141.1700|141.6850|328129|0.1650|0.1100|0.5150|BEARISH
NUE|2025-09-10 19:30|141.7400|142.0150|141.4400|141.8700|300744|0.1300|0.1450|0.3000|BULLISH
NUE|2025-09-11 13:30|141.7800|145.6650|141.5800|144.3950|324632|2.6150|1.2700|0.2000|BULLISH
NUE|2025-09-11 14:30|144.3500|145.0900|143.9200|144.2900|183710|0.0600|0.7400|0.3700|BEARISH
NUE|2025-09-11 15:30|144.3500|144.5900|143.5000|143.8700|125734|0.4800|0.2400|0.3700|BEARISH
NUE|2025-09-11 16:30|143.9200|144.1700|143.6600|144.0000|89151|0.0800|0.1700|0.2600|BULLISH
NUE|2025-09-11 17:30|144.0900|144.7700|143.8500|143.9100|133980|0.1800|0.6800|0.0600|BEARISH
NUE|2025-09-11 18:30|143.8600|144.4400|143.6500|143.7000|143022|0.1600|0.5800|0.0500|BEARISH
NUE|2025-09-11 19:30|143.7150|144.1200|143.6350|143.7300|281771|0.0150|0.3900|0.0800|BULLISH
NUE|2025-09-12 13:30|143.2800|143.5800|142.1200|142.5327|135127|0.7473|0.3000|0.4127|BEARISH
NUE|2025-09-12 14:30|142.4950|142.6650|142.0000|142.0600|84879|0.4350|0.1700|0.0600|BEARISH
NUE|2025-09-12 15:30|142.0800|142.2400|141.9000|142.1000|72366|0.0200|0.1400|0.1800|BULLISH
NUE|2025-09-12 16:30|142.1000|142.7100|142.0950|142.4500|71526|0.3500|0.2600|0.0050|BULLISH
NUE|2025-09-12 17:30|142.4500|142.4950|142.0300|142.1600|57359|0.2900|0.0450|0.1300|BEARISH
NUE|2025-09-12 18:30|142.1600|142.3700|141.7800|141.7800|95719|0.3800|0.2100|0.0000|BEARISH
NUE|2025-09-12 19:30|141.7800|141.9400|141.2600|141.3300|220647|0.4500|0.1600|0.0700|BEARISH
NUE|2025-09-15 13:30|141.1000|141.4000|139.2200|141.4000|342451|0.3000|0.0000|1.8800|BULLISH
NUE|2025-09-15 14:30|141.3700|141.5600|140.4300|140.6300|189427|0.7400|0.1900|0.2000|BEARISH
NUE|2025-09-15 15:30|140.6700|142.1700|140.5100|141.9900|180097|1.3200|0.1800|0.1600|BULLISH
NUE|2025-09-15 16:30|141.9500|142.1200|140.7500|140.8250|98412|1.1250|0.1700|0.0750|BEARISH
NUE|2025-09-15 17:30|140.8400|141.4500|140.6400|140.9300|101844|0.0900|0.5200|0.2000|BULLISH
NUE|2025-09-15 18:30|140.9100|141.1850|140.6700|141.0300|137483|0.1200|0.1550|0.2400|BULLISH
NUE|2025-09-15 19:30|141.0100|141.7100|140.8500|141.5900|289447|0.5800|0.1200|0.1600|BULLISH
NUE|2025-09-16 13:30|142.6400|144.9200|141.9900|144.1200|744277|1.4800|0.8000|0.6500|BULLISH
NUE|2025-09-16 14:30|144.1150|144.1900|142.3600|142.9100|205509|1.2050|0.0750|0.5500|BEARISH
NUE|2025-09-16 15:30|142.9150|143.5800|142.6150|143.3600|146813|0.4450|0.2200|0.3000|BULLISH
NUE|2025-09-16 16:30|143.3600|144.1150|143.3200|143.8750|166036|0.5150|0.2400|0.0400|BULLISH
NUE|2025-09-16 17:30|143.8700|144.3200|143.4400|143.5400|129850|0.3300|0.4500|0.1000|BEARISH
NUE|2025-09-16 18:30|143.5300|143.9200|143.1800|143.2650|117366|0.2650|0.3900|0.0850|BEARISH
NUE|2025-09-16 19:30|143.3100|143.8400|142.7700|142.9600|278981|0.3500|0.5300|0.1900|BEARISH
NUE|2025-09-17 13:30|141.9900|143.8700|141.0000|143.0899|152625|1.0999|0.7801|0.9900|BULLISH
NUE|2025-09-17 14:30|142.9650|144.2100|142.9650|143.8300|107046|0.8650|0.3800|0.0000|BULLISH
NUE|2025-09-17 15:30|143.8550|144.5200|143.8550|144.0800|77125|0.2250|0.4400|0.0000|BULLISH
NUE|2025-09-17 16:30|144.0800|144.6600|143.8200|144.0000|102237|0.0800|0.5800|0.1800|BEARISH
NUE|2025-09-17 17:30|144.0600|146.4200|143.7068|145.2700|172838|1.2100|1.1500|0.3532|BULLISH
NUE|2025-09-17 18:30|145.2700|145.2700|141.4500|142.9800|207227|2.2900|0.0000|1.5300|BEARISH
NUE|2025-09-17 19:30|142.9600|143.2400|142.6200|142.7900|203159|0.1700|0.2800|0.1700|BEARISH
NUE|2025-09-18 13:30|136.0000|138.1000|134.6600|137.4000|1024591|1.4000|0.7000|1.3400|BULLISH
NUE|2025-09-18 14:30|137.3925|137.6300|136.1400|136.3300|340136|1.0625|0.2375|0.1900|BEARISH
NUE|2025-09-18 15:30|136.3400|136.6400|135.6900|136.1100|245601|0.2300|0.3000|0.4200|BEARISH
NUE|2025-09-18 16:30|136.0650|136.1463|135.0400|135.0540|250021|1.0110|0.0813|0.0140|BEARISH
NUE|2025-09-18 17:30|135.0500|135.0892|134.0400|134.0400|330977|1.0100|0.0392|0.0000|BEARISH
NUE|2025-09-18 18:30|134.0800|134.7499|133.7900|134.1100|318779|0.0300|0.6399|0.2900|BULLISH
NUE|2025-09-18 19:30|134.1450|134.8100|134.0900|134.3000|552131|0.1550|0.5100|0.0550|BULLISH
NUE|2025-09-19 13:30|134.5900|134.7500|132.6500|133.4950|658171|1.0950|0.1600|0.8450|BEARISH
NUE|2025-09-19 14:30|133.4100|134.0500|132.9350|133.6200|217743|0.2100|0.4300|0.4750|BULLISH
NUE|2025-09-19 15:30|133.5100|133.7500|133.2600|133.4900|166474|0.0200|0.2400|0.2300|BEARISH
NUE|2025-09-19 16:30|133.5250|133.9700|133.4800|133.7750|127325|0.2500|0.1950|0.0450|BULLISH
NUE|2025-09-19 17:30|133.7750|134.3600|133.4200|133.4200|179981|0.3550|0.5850|0.0000|BEARISH
NUE|2025-09-19 18:30|133.4100|134.6100|133.4000|134.5600|269266|1.1500|0.0500|0.0100|BULLISH
NUE|2025-09-19 19:30|134.5400|134.5650|132.9800|133.2800|679868|1.2600|0.0250|0.3000|BEARISH
NUE|2025-09-22 13:30|133.0500|133.7300|132.0000|132.2100|253977|0.8400|0.6800|0.2100|BEARISH
NUE|2025-09-22 14:30|132.2100|133.7800|131.9250|133.5200|206835|1.3100|0.2600|0.2850|BULLISH
NUE|2025-09-22 15:30|133.4600|134.0650|133.3100|133.9100|170606|0.4500|0.1550|0.1500|BULLISH
NUE|2025-09-22 16:30|133.9035|134.6900|133.7800|134.6350|186183|0.7315|0.0550|0.1235|BULLISH
NUE|2025-09-22 17:30|134.7200|134.9250|134.3600|134.7600|195359|0.0400|0.1650|0.3600|BULLISH
NUE|2025-09-22 18:30|134.7400|135.6300|134.6800|135.0850|254376|0.3450|0.5450|0.0600|BULLISH
NUE|2025-09-22 19:30|135.1100|135.5200|134.6000|134.6600|323997|0.4500|0.4100|0.0600|BEARISH
NUE|2025-09-23 13:30|135.2800|138.1000|135.1368|136.0250|322646|0.7450|2.0750|0.1432|BULLISH
NUE|2025-09-23 14:30|136.0500|136.7770|135.7900|135.9050|134905|0.1450|0.7270|0.1150|BEARISH
NUE|2025-09-23 15:30|135.9050|135.9979|135.0500|135.1944|134557|0.7106|0.0929|0.1444|BEARISH
NUE|2025-09-23 16:30|135.1400|135.6550|135.0000|135.0200|115860|0.1200|0.5150|0.0200|BEARISH
NUE|2025-09-23 17:30|135.0000|135.2900|134.5800|135.1700|146269|0.1700|0.1200|0.4200|BULLISH
NUE|2025-09-23 18:30|135.1700|135.5000|134.8100|135.1600|121483|0.0100|0.3300|0.3500|BEARISH
NUE|2025-09-23 19:30|135.1085|135.6750|135.0300|135.2400|319119|0.1315|0.4350|0.0785|BULLISH
NUE|2025-09-24 13:30|134.5800|136.5700|134.5800|135.6300|257148|1.0500|0.9400|0.0000|BULLISH
NUE|2025-09-24 14:30|135.6000|136.0000|135.5101|135.8200|118424|0.2200|0.1800|0.0899|BULLISH
NUE|2025-09-24 15:30|135.8600|136.1600|135.5100|136.0750|128374|0.2150|0.0850|0.3500|BULLISH
NUE|2025-09-24 16:30|136.0800|136.3700|135.9550|136.2400|70888|0.1600|0.1300|0.1250|BULLISH
NUE|2025-09-24 17:30|136.1400|136.1400|134.9600|135.0800|94530|1.0600|0.0000|0.1200|BEARISH
NUE|2025-09-24 18:30|135.1500|136.0200|135.1450|135.9300|125765|0.7800|0.0900|0.0050|BULLISH
NUE|2025-09-24 19:30|135.9400|136.3900|135.6200|136.3900|353410|0.4500|0.0000|0.3200|BULLISH
NUE|2025-09-25 13:30|135.8100|136.5900|135.2000|136.4700|180191|0.6600|0.1200|0.6100|BULLISH
NUE|2025-09-25 14:30|136.4700|136.5174|135.3100|135.6900|225056|0.7800|0.0474|0.3800|BEARISH
NUE|2025-09-25 15:30|135.7000|136.3200|135.3900|135.7500|128776|0.0500|0.5700|0.3100|BULLISH
NUE|2025-09-25 16:30|135.8200|136.6600|135.8200|136.1550|101890|0.3350|0.5050|0.0000|BULLISH
NUE|2025-09-25 17:30|136.1550|136.2500|135.3100|135.7500|152033|0.4050|0.0950|0.4400|BEARISH
NUE|2025-09-25 18:30|135.7650|135.9500|135.1300|135.3000|166714|0.4650|0.1850|0.1700|BEARISH
NUE|2025-09-25 19:30|135.2900|135.7400|134.7000|134.7900|394900|0.5000|0.4500|0.0900|BEARISH
NUE|2025-09-26 13:30|135.0600|136.8800|135.0600|136.8800|137185|1.8200|0.0000|0.0000|BULLISH
NUE|2025-09-26 14:30|136.8800|137.2400|136.5800|137.1150|160975|0.2350|0.1250|0.3000|BULLISH
NUE|2025-09-26 15:30|137.0700|137.2400|136.1900|136.7300|89939|0.3400|0.1700|0.5400|BEARISH
NUE|2025-09-26 16:30|136.8500|136.9200|136.5400|136.5650|68964|0.2850|0.0700|0.0250|BEARISH
NUE|2025-09-26 17:30|136.5800|138.2400|136.4050|138.2400|163967|1.6600|0.0000|0.1750|BULLISH
NUE|2025-09-26 18:30|138.1550|138.3400|137.7100|138.2800|116768|0.1250|0.0600|0.4450|BULLISH
NUE|2025-09-26 19:30|138.2800|138.5600|137.9608|138.1200|259320|0.1600|0.2800|0.1592|BEARISH
NUE|2025-09-29 13:30|138.5900|138.6900|134.9100|135.2900|350113|3.3000|0.1000|0.3800|BEARISH
