Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
NVR|2025-09-02 13:30|8027.5298|8122.9551|8027.5298|8101.2524|1392|73.7227|21.7026|0.0000|BULLISH
NVR|2025-09-02 14:30|8122.0098|8146.9800|8101.6401|8132.4902|1101|10.4805|14.4897|20.3696|BULLISH
NVR|2025-09-02 15:30|8133.7700|8178.8398|8133.7700|8169.0000|1394|35.2300|9.8398|0.0000|BULLISH
NVR|2025-09-02 16:30|8169.3599|8171.7202|8131.3501|8171.7202|1426|2.3604|0.0000|38.0098|BULLISH
NVR|2025-09-02 17:30|8188.3315|8190.0000|8166.7998|8175.1748|1258|13.1567|1.6685|8.3750|BEARISH
NVR|2025-09-02 18:30|8175.9600|8195.0000|8155.8301|8166.4351|2275|9.5249|19.0400|10.6050|BEARISH
NVR|2025-09-02 19:30|8176.8301|8177.6851|8137.0298|8171.2202|3238|5.6099|0.8550|34.1904|BEARISH
NVR|2025-09-03 13:30|8148.8799|8218.1055|8148.8799|8199.0703|1061|50.1904|19.0352|0.0000|BULLISH
NVR|2025-09-03 14:30|8190.5000|8224.8848|8190.5000|8223.1201|798|32.6201|1.7646|0.0000|BULLISH
NVR|2025-09-03 15:30|8230.5498|8242.4248|8211.2305|8223.3799|1175|7.1699|11.8750|12.1494|BEARISH
NVR|2025-09-03 16:30|8232.4902|8287.7852|8232.4902|8282.5000|1039|50.0098|5.2852|0.0000|BULLISH
NVR|2025-09-03 17:30|8270.2500|8270.2500|8218.9004|8227.0195|1316|43.2305|0.0000|8.1191|BEARISH
NVR|2025-09-03 18:30|8228.8203|8233.4150|8195.6104|8206.8945|1514|21.9258|4.5947|11.2842|BEARISH
NVR|2025-09-03 19:30|8206.9951|8225.9346|8190.2300|8208.9102|3302|1.9150|17.0244|16.7651|BULLISH
NVR|2025-09-04 13:30|8300.0000|8335.0000|8204.9004|8327.1445|2405|27.1445|7.8555|95.0996|BULLISH
NVR|2025-09-04 14:30|8327.1445|8356.0996|8301.9502|8350.0000|1815|22.8555|6.0996|25.1943|BULLISH
NVR|2025-09-04 15:30|8350.0000|8385.0000|8345.0000|8359.5000|1490|9.5000|25.5000|5.0000|BULLISH
NVR|2025-09-04 16:30|8354.5400|8386.5000|8338.0498|8386.5000|2587|31.9600|0.0000|16.4902|BULLISH
NVR|2025-09-04 17:30|8369.9590|8394.9902|8354.9482|8386.3896|1108|16.4307|8.6006|15.0107|BULLISH
NVR|2025-09-04 18:30|8379.0098|8392.1396|8345.8398|8388.0801|1659|9.0703|4.0596|33.1699|BULLISH
NVR|2025-09-04 19:30|8393.4502|8409.3398|8375.0000|8405.5498|3311|12.0996|3.7900|18.4502|BULLISH
NVR|2025-09-05 13:30|8499.7598|8618.2803|8471.0801|8494.9453|2641|4.8145|118.5205|23.8652|BEARISH
NVR|2025-09-05 14:30|8442.1104|8522.8252|8442.1104|8522.8252|1020|80.7148|0.0000|0.0000|BULLISH
NVR|2025-09-05 15:30|8522.9004|8534.5098|8489.9297|8496.5596|1241|26.3408|11.6094|6.6299|BEARISH
NVR|2025-09-05 16:30|8504.9404|8520.7305|8476.6201|8502.1504|1096|2.7900|15.7900|25.5303|BEARISH
NVR|2025-09-05 17:30|8499.5703|8499.5703|8472.0000|8473.0801|959|26.4902|0.0000|1.0801|BEARISH
NVR|2025-09-05 18:30|8480.0996|8495.0352|8463.5195|8495.0352|964|14.9355|0.0000|16.5801|BULLISH
NVR|2025-09-05 19:30|8483.2852|8513.6699|8463.5303|8509.7305|2522|26.4453|3.9395|19.7549|BULLISH
NVR|2025-09-08 13:30|8509.4004|8562.5000|8420.8945|8500.1396|2382|9.2607|53.0996|79.2451|BEARISH
NVR|2025-09-08 14:30|8510.6445|8546.4199|8505.7900|8546.4199|818|35.7754|0.0000|4.8545|BULLISH
NVR|2025-09-08 15:30|8524.3945|8543.0000|8505.8701|8510.0303|1395|14.3643|18.6055|4.1602|BEARISH
NVR|2025-09-08 16:30|8499.6748|8516.9404|8475.0000|8475.0000|1127|24.6748|17.2656|0.0000|BEARISH
NVR|2025-09-08 17:30|8486.8154|8522.2002|8478.0898|8513.8252|1242|27.0098|8.3750|8.7256|BULLISH
NVR|2025-09-08 18:30|8520.5303|8522.2998|8490.0020|8500.0000|1836|20.5303|1.7695|9.9980|BEARISH
NVR|2025-09-08 19:30|8497.0000|8549.7402|8490.5000|8549.7402|3101|52.7402|0.0000|6.5000|BULLISH
NVR|2025-09-09 13:30|8459.9805|8475.0000|8277.0352|8280.4551|4978|179.5254|15.0195|3.4199|BEARISH
NVR|2025-09-09 14:30|8265.5596|8296.9102|8217.4902|8275.7246|2535|10.1650|21.1855|48.0693|BULLISH
NVR|2025-09-09 15:30|8266.7402|8293.2002|8244.6396|8287.7100|1687|20.9697|5.4902|22.1006|BULLISH
NVR|2025-09-09 16:30|8283.6504|8301.1299|8274.0000|8289.3154|1678|5.6650|11.8145|9.6504|BULLISH
NVR|2025-09-09 17:30|8290.2305|8332.0000|8281.0000|8308.8301|1916|18.5996|23.1699|9.2305|BULLISH
