Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
NWSA|2025-09-02 13:30|29.0900|29.2800|28.9900|29.2050|288578|0.1150|0.0750|0.1000|BULLISH
NWSA|2025-09-02 14:30|29.1950|29.2000|28.9600|28.9600|203725|0.2350|0.0050|0.0000|BEARISH
NWSA|2025-09-02 15:30|28.9550|28.9550|28.7650|28.7700|146145|0.1850|0.0000|0.0050|BEARISH
NWSA|2025-09-02 16:30|28.7700|28.9650|28.7600|28.9650|195735|0.1950|0.0000|0.0100|BULLISH
NWSA|2025-09-02 17:30|28.9650|29.0300|28.8250|28.8250|211569|0.1400|0.0650|0.0000|BEARISH
NWSA|2025-09-02 18:30|28.8300|28.8400|28.7550|28.7900|278492|0.0400|0.0100|0.0350|BEARISH
NWSA|2025-09-02 19:30|28.7950|28.8950|28.7700|28.8400|760108|0.0450|0.0550|0.0250|BULLISH
NWSA|2025-09-03 13:30|28.7300|28.9550|28.4050|28.4100|345677|0.3200|0.2250|0.0050|BEARISH
NWSA|2025-09-03 14:30|28.4100|28.4300|28.1650|28.2550|478413|0.1550|0.0200|0.0900|BEARISH
NWSA|2025-09-03 15:30|28.2600|28.5600|28.0050|28.5350|1093768|0.2750|0.0250|0.2550|BULLISH
NWSA|2025-09-03 16:30|28.5400|28.7700|28.5380|28.7000|600642|0.1600|0.0700|0.0020|BULLISH
NWSA|2025-09-03 17:30|28.6950|28.7550|28.5600|28.7500|214235|0.0550|0.0050|0.1350|BULLISH
NWSA|2025-09-03 18:30|28.7450|28.7700|28.6950|28.7600|411535|0.0150|0.0100|0.0500|BULLISH
NWSA|2025-09-03 19:30|28.7700|28.9750|28.7650|28.9450|813230|0.1750|0.0300|0.0050|BULLISH
NWSA|2025-09-04 13:30|28.9050|29.1000|28.8393|28.9000|740454|0.0050|0.1950|0.0607|BEARISH
NWSA|2025-09-04 14:30|28.9050|29.0500|28.8450|29.0500|241347|0.1450|0.0000|0.0600|BULLISH
NWSA|2025-09-04 15:30|29.0500|29.1550|29.0150|29.1400|230769|0.0900|0.0150|0.0350|BULLISH
NWSA|2025-09-04 16:30|29.1400|29.1600|29.0450|29.1600|272516|0.0200|0.0000|0.0950|BULLISH
NWSA|2025-09-04 17:30|29.1550|29.2450|29.1200|29.2100|246675|0.0550|0.0350|0.0350|BULLISH
NWSA|2025-09-04 18:30|29.2050|29.2050|29.0350|29.1650|455930|0.0400|0.0000|0.1300|BEARISH
NWSA|2025-09-04 19:30|29.1650|29.3150|29.1225|29.3100|849594|0.1450|0.0050|0.0425|BULLISH
NWSA|2025-09-05 13:30|29.3300|29.7550|29.3300|29.4000|441503|0.0700|0.3550|0.0000|BULLISH
NWSA|2025-09-05 14:30|29.4000|29.4050|29.1900|29.3700|265072|0.0300|0.0050|0.1800|BEARISH
NWSA|2025-09-05 15:30|29.3900|29.4100|29.3100|29.3450|169517|0.0450|0.0200|0.0350|BEARISH
NWSA|2025-09-05 16:30|29.3400|29.3650|29.2700|29.3250|153929|0.0150|0.0250|0.0550|BEARISH
NWSA|2025-09-05 17:30|29.3000|29.3800|29.2800|29.3800|184107|0.0800|0.0000|0.0200|BULLISH
NWSA|2025-09-05 18:30|29.3800|29.4600|29.3750|29.4300|286346|0.0500|0.0300|0.0050|BULLISH
NWSA|2025-09-05 19:30|29.4250|29.4900|29.3700|29.4450|762378|0.0200|0.0450|0.0550|BULLISH
NWSA|2025-09-08 13:30|29.5000|29.6800|29.1500|29.5450|500179|0.0450|0.1350|0.3500|BULLISH
NWSA|2025-09-08 14:30|29.5450|29.9200|29.5400|29.9050|346510|0.3600|0.0150|0.0050|BULLISH
NWSA|2025-09-08 15:30|29.9050|29.9050|29.8000|29.8800|285854|0.0250|0.0000|0.0800|BEARISH
NWSA|2025-09-08 16:30|29.8750|29.9600|29.7750|29.7850|242320|0.0900|0.0850|0.0100|BEARISH
NWSA|2025-09-08 17:30|29.7850|29.8400|29.7500|29.8250|163428|0.0400|0.0150|0.0350|BULLISH
NWSA|2025-09-08 18:30|29.8250|29.8800|29.8000|29.8050|275449|0.0200|0.0550|0.0050|BEARISH
NWSA|2025-09-08 19:30|29.8050|30.0350|29.8000|29.9500|739616|0.1450|0.0850|0.0050|BULLISH
NWSA|2025-09-09 13:30|29.3500|29.5050|28.8400|29.4750|2229174|0.1250|0.0300|0.5100|BULLISH
NWSA|2025-09-09 14:30|29.4750|29.6350|29.3750|29.5800|969727|0.1050|0.0550|0.1000|BULLISH
NWSA|2025-09-09 15:30|29.5750|29.6150|29.3450|29.4150|990272|0.1600|0.0400|0.0700|BEARISH
NWSA|2025-09-09 16:30|29.4100|29.4250|29.3100|29.4050|752926|0.0050|0.0150|0.0950|BEARISH
NWSA|2025-09-09 17:30|29.4050|29.5050|29.3000|29.3850|935973|0.0200|0.1000|0.0850|BEARISH
