Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
ON|2025-09-02 13:30|48.1178|48.9100|48.0600|48.3200|1040446|0.2022|0.5900|0.0578|BULLISH
ON|2025-09-02 14:30|48.3200|48.3700|47.7000|47.7450|564530|0.5750|0.0500|0.0450|BEARISH
ON|2025-09-02 15:30|47.7600|48.0300|47.6400|47.8700|470520|0.1100|0.1600|0.1200|BULLISH
ON|2025-09-02 16:30|47.8875|48.3159|47.8875|48.1050|339202|0.2175|0.2109|0.0000|BULLISH
ON|2025-09-02 17:30|48.1100|48.3450|48.0200|48.0500|363159|0.0600|0.2350|0.0300|BEARISH
ON|2025-09-02 18:30|48.0600|48.5100|48.0600|48.4150|524938|0.3550|0.0950|0.0000|BULLISH
ON|2025-09-02 19:30|48.4100|48.9600|48.4000|48.9500|1363105|0.5400|0.0100|0.0100|BULLISH
ON|2025-09-03 13:30|48.9500|49.3900|48.7450|48.8600|882214|0.0900|0.4400|0.1150|BEARISH
ON|2025-09-03 14:30|48.8650|49.0000|46.5100|46.7200|2151020|2.1450|0.1350|0.2100|BEARISH
ON|2025-09-03 15:30|46.7200|47.3000|46.5000|46.9120|1282903|0.1920|0.3880|0.2200|BULLISH
ON|2025-09-03 16:30|46.9300|47.0900|46.7100|46.8700|623217|0.0600|0.1600|0.1600|BEARISH
ON|2025-09-03 17:30|46.8732|47.8895|46.5750|47.1100|1596081|0.2368|0.7795|0.2982|BULLISH
ON|2025-09-03 18:30|47.1000|47.5950|46.9200|47.5750|965265|0.4750|0.0200|0.1800|BULLISH
ON|2025-09-03 19:30|47.5750|47.8300|47.5400|47.7900|1304782|0.2150|0.0400|0.0350|BULLISH
ON|2025-09-04 13:30|47.3100|47.7700|46.6300|47.7150|1640575|0.4050|0.0550|0.6800|BULLISH
ON|2025-09-04 14:30|47.7200|47.9727|47.5000|47.8100|680954|0.0900|0.1627|0.2200|BULLISH
ON|2025-09-04 15:30|47.8200|47.9410|47.6300|47.7400|552290|0.0800|0.1210|0.1100|BEARISH
ON|2025-09-04 16:30|47.7200|47.9500|47.6550|47.7350|444034|0.0150|0.2150|0.0650|BULLISH
ON|2025-09-04 17:30|47.7346|47.9150|47.5450|47.7500|420390|0.0154|0.1650|0.1896|BULLISH
ON|2025-09-04 18:30|47.7600|48.1300|47.7600|48.0850|536498|0.3250|0.0450|0.0000|BULLISH
ON|2025-09-04 19:30|48.0800|48.2200|47.9600|48.0600|1243779|0.0200|0.1400|0.1000|BEARISH
ON|2025-09-05 13:30|48.3400|49.5300|47.9400|48.7300|1140689|0.3900|0.8000|0.4000|BULLISH
ON|2025-09-05 14:30|48.6800|49.7000|48.4900|49.6600|903557|0.9800|0.0400|0.1900|BULLISH
ON|2025-09-05 15:30|49.6600|50.0800|49.3900|49.5150|1043123|0.1450|0.4200|0.1250|BEARISH
ON|2025-09-05 16:30|49.5300|49.6000|49.1000|49.1150|526645|0.4150|0.0700|0.0150|BEARISH
ON|2025-09-05 17:30|49.1000|49.3950|48.9700|49.2500|538859|0.1500|0.1450|0.1300|BULLISH
