Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
ORLY|2025-09-02 13:30|104.0000|104.3500|102.8700|103.7700|725733|0.2300|0.3500|0.9000|BEARISH
ORLY|2025-09-02 14:30|103.7900|104.1350|103.2250|103.3150|379566|0.4750|0.3450|0.0900|BEARISH
ORLY|2025-09-02 15:30|103.2900|103.4600|103.1400|103.2100|241713|0.0800|0.1700|0.0700|BEARISH
ORLY|2025-09-02 16:30|103.2300|103.4197|103.0400|103.3650|255592|0.1350|0.0547|0.1900|BULLISH
ORLY|2025-09-02 17:30|103.3650|103.4300|103.1600|103.4300|339761|0.0650|0.0000|0.2050|BULLISH
ORLY|2025-09-02 18:30|103.4300|103.4700|103.0700|103.0700|272988|0.3600|0.0400|0.0000|BEARISH
ORLY|2025-09-02 19:30|103.0800|103.2800|103.0100|103.1500|578748|0.0700|0.1300|0.0700|BULLISH
ORLY|2025-09-03 13:30|103.1200|103.7500|102.9800|103.4550|406326|0.3350|0.2950|0.1400|BULLISH
ORLY|2025-09-03 14:30|103.4700|103.6450|103.2500|103.6400|220567|0.1700|0.0050|0.2200|BULLISH
ORLY|2025-09-03 15:30|103.6301|103.7800|103.4150|103.7040|307491|0.0739|0.0760|0.2151|BULLISH
ORLY|2025-09-03 16:30|103.7100|103.8400|103.4950|103.8000|203763|0.0900|0.0400|0.2150|BULLISH
ORLY|2025-09-03 17:30|103.7978|103.9500|103.6500|103.8850|257805|0.0872|0.0650|0.1478|BULLISH
ORLY|2025-09-03 18:30|103.8800|103.9490|103.4850|103.4900|338111|0.3900|0.0690|0.0050|BEARISH
ORLY|2025-09-03 19:30|103.4850|103.8950|103.4750|103.8400|622003|0.3550|0.0550|0.0100|BULLISH
ORLY|2025-09-04 13:30|104.0200|104.4700|103.8300|104.3050|475076|0.2850|0.1650|0.1900|BULLISH
ORLY|2025-09-04 14:30|104.3100|104.6950|104.2900|104.5000|334858|0.1900|0.1950|0.0200|BULLISH
ORLY|2025-09-04 15:30|104.5100|104.6400|104.3200|104.4000|297911|0.1100|0.1300|0.0800|BEARISH
ORLY|2025-09-04 16:30|104.4000|104.6250|104.2700|104.5017|354515|0.1017|0.1233|0.1300|BULLISH
ORLY|2025-09-04 17:30|104.5000|104.7450|104.4300|104.5600|265886|0.0600|0.1850|0.0700|BULLISH
ORLY|2025-09-04 18:30|104.5800|104.9499|104.5700|104.7914|388424|0.2114|0.1585|0.0100|BULLISH
ORLY|2025-09-04 19:30|104.7900|105.1300|104.7400|105.0400|609857|0.2500|0.0900|0.0500|BULLISH
ORLY|2025-09-05 13:30|105.2500|105.2500|104.0187|104.2900|835281|0.9600|0.0000|0.2713|BEARISH
ORLY|2025-09-05 14:30|104.2900|104.3000|103.6900|104.0700|545242|0.2200|0.0100|0.3800|BEARISH
ORLY|2025-09-05 15:30|104.0450|104.1400|103.8300|103.9750|408427|0.0700|0.0950|0.1450|BEARISH
ORLY|2025-09-05 16:30|103.9350|104.0200|103.5950|103.9800|316190|0.0450|0.0400|0.3400|BULLISH
ORLY|2025-09-05 17:30|103.9800|104.2050|103.8400|104.0100|363753|0.0300|0.1950|0.1400|BULLISH
ORLY|2025-09-05 18:30|104.0300|104.5700|104.0200|104.4750|390975|0.4450|0.0950|0.0100|BULLISH
ORLY|2025-09-05 19:30|104.4750|104.8400|104.3750|104.8400|587727|0.3650|0.0000|0.1000|BULLISH
ORLY|2025-09-08 13:30|104.9700|106.1300|104.9100|105.7550|706476|0.7850|0.3750|0.0600|BULLISH
ORLY|2025-09-08 14:30|105.7600|106.0300|105.7000|105.8300|263781|0.0700|0.2000|0.0600|BULLISH
ORLY|2025-09-08 15:30|105.8300|105.9650|105.7350|105.7600|228240|0.0700|0.1350|0.0250|BEARISH
ORLY|2025-09-08 16:30|105.7600|106.2800|105.7500|106.2500|240423|0.4900|0.0300|0.0100|BULLISH
ORLY|2025-09-08 17:30|106.2450|106.3500|106.0000|106.3400|392368|0.0950|0.0100|0.2450|BULLISH
ORLY|2025-09-08 18:30|106.3500|106.4700|106.1700|106.4190|455027|0.0690|0.0510|0.1800|BULLISH
ORLY|2025-09-08 19:30|106.4200|106.5450|106.2200|106.3900|787470|0.0300|0.1250|0.1700|BEARISH
ORLY|2025-09-09 13:30|105.8000|106.1761|105.6253|105.6600|453370|0.1400|0.3761|0.0347|BEARISH
ORLY|2025-09-09 14:30|105.6500|105.6600|105.0200|105.3750|336684|0.2750|0.0100|0.3550|BEARISH
ORLY|2025-09-09 15:30|105.3900|105.7300|105.2750|105.6900|385484|0.3000|0.0400|0.1150|BULLISH
ORLY|2025-09-09 16:30|105.6900|105.9700|105.6500|105.7600|194789|0.0700|0.2100|0.0400|BULLISH
ORLY|2025-09-09 17:30|105.7700|106.2800|105.7700|106.2800|202142|0.5100|0.0000|0.0000|BULLISH
ORLY|2025-09-09 18:30|106.2900|106.4650|106.2190|106.4000|353731|0.1100|0.0650|0.0710|BULLISH
ORLY|2025-09-09 19:30|106.4050|107.0800|106.3400|106.9300|835266|0.5250|0.1500|0.0650|BULLISH
ORLY|2025-09-10 13:30|106.6600|107.2000|106.1300|106.2800|550169|0.3800|0.5400|0.1500|BEARISH
ORLY|2025-09-10 14:30|106.2950|106.2950|105.8100|105.9300|487879|0.3650|0.0000|0.1200|BEARISH
ORLY|2025-09-10 15:30|105.9160|106.1650|105.6200|105.6300|293965|0.2860|0.2490|0.0100|BEARISH
ORLY|2025-09-10 16:30|105.6250|105.6650|104.8900|104.9400|459311|0.6850|0.0400|0.0500|BEARISH
ORLY|2025-09-10 17:30|104.9500|105.5650|104.8900|105.2050|412322|0.2550|0.3600|0.0600|BULLISH
ORLY|2025-09-10 18:30|105.1950|105.2700|104.6500|104.6700|651170|0.5250|0.0750|0.0200|BEARISH
ORLY|2025-09-10 19:30|104.6550|105.2300|104.6550|105.1200|1390845|0.4650|0.1100|0.0000|BULLISH
ORLY|2025-09-11 13:30|105.5100|107.2500|105.5100|107.0300|591358|1.5200|0.2200|0.0000|BULLISH
ORLY|2025-09-11 14:30|107.0000|107.5600|106.6500|107.2763|191792|0.2763|0.2837|0.3500|BULLISH
ORLY|2025-09-11 15:30|107.2700|107.9550|107.2700|107.9100|688523|0.6400|0.0450|0.0000|BULLISH
ORLY|2025-09-11 16:30|107.9100|108.0600|107.2300|107.2450|373716|0.6650|0.1500|0.0150|BEARISH
ORLY|2025-09-11 17:30|107.2400|107.5500|107.1400|107.4700|660574|0.2300|0.0800|0.1000|BULLISH
