Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
OTIS|2025-09-02 13:30|86.0000|86.2100|85.3000|85.5850|248727|0.4150|0.2100|0.2850|BEARISH
OTIS|2025-09-02 14:30|85.5850|85.7700|85.3200|85.4400|266652|0.1450|0.1850|0.1200|BEARISH
OTIS|2025-09-02 15:30|85.4200|85.4900|85.2000|85.3300|183016|0.0900|0.0700|0.1300|BEARISH
OTIS|2025-09-02 16:30|85.3100|85.4708|85.1750|85.4600|154960|0.1500|0.0108|0.1350|BULLISH
OTIS|2025-09-02 17:30|85.4600|85.5400|85.4150|85.5150|141311|0.0550|0.0250|0.0450|BULLISH
OTIS|2025-09-02 18:30|85.5100|85.7400|85.4150|85.6850|188155|0.1750|0.0550|0.0950|BULLISH
OTIS|2025-09-02 19:30|85.6800|85.8200|85.6400|85.7250|391401|0.0450|0.0950|0.0400|BULLISH
OTIS|2025-09-03 13:30|85.4700|85.9700|85.3200|85.5300|190038|0.0600|0.4400|0.1500|BULLISH
OTIS|2025-09-03 14:30|85.5700|85.8300|85.5200|85.7300|226504|0.1600|0.1000|0.0500|BULLISH
OTIS|2025-09-03 15:30|85.7300|85.8050|85.4400|85.5800|133704|0.1500|0.0750|0.1400|BEARISH
OTIS|2025-09-03 16:30|85.6000|85.7300|85.5900|85.6450|141880|0.0450|0.0850|0.0100|BULLISH
OTIS|2025-09-03 17:30|85.6450|85.6600|85.3200|85.6400|134304|0.0050|0.0150|0.3200|BEARISH
OTIS|2025-09-03 18:30|85.6400|85.7100|85.2450|85.2550|172489|0.3850|0.0700|0.0100|BEARISH
OTIS|2025-09-03 19:30|85.2600|85.6700|85.2600|85.6700|481247|0.4100|0.0000|0.0000|BULLISH
OTIS|2025-09-04 13:30|85.5000|85.9100|85.1700|85.7000|186018|0.2000|0.2100|0.3300|BULLISH
OTIS|2025-09-04 14:30|85.7000|85.8700|85.6150|85.7700|132130|0.0700|0.1000|0.0850|BULLISH
OTIS|2025-09-04 15:30|85.7750|86.1100|85.7750|86.0300|136615|0.2550|0.0800|0.0000|BULLISH
OTIS|2025-09-04 16:30|86.0200|86.0400|85.7500|85.7800|115686|0.2400|0.0200|0.0300|BEARISH
OTIS|2025-09-04 17:30|85.7800|85.9950|85.7000|85.8800|117294|0.1000|0.1150|0.0800|BULLISH
OTIS|2025-09-04 18:30|85.8900|86.1450|85.8500|86.1250|195074|0.2350|0.0200|0.0400|BULLISH
OTIS|2025-09-04 19:30|86.1250|86.5100|86.1000|86.5000|506588|0.3750|0.0100|0.0250|BULLISH
OTIS|2025-09-05 13:30|87.1900|87.7481|86.9400|87.2300|540384|0.0400|0.5181|0.2500|BULLISH
OTIS|2025-09-05 14:30|87.2200|87.2200|86.8150|87.0300|262451|0.1900|0.0000|0.2150|BEARISH
OTIS|2025-09-05 15:30|87.0600|87.0600|86.6200|86.6500|199224|0.4100|0.0000|0.0300|BEARISH
OTIS|2025-09-05 16:30|86.6650|86.7900|86.5600|86.7200|146835|0.0550|0.0700|0.1050|BULLISH
OTIS|2025-09-05 17:30|86.7400|87.0200|86.6400|86.8900|147805|0.1500|0.1300|0.1000|BULLISH
OTIS|2025-09-05 18:30|86.9050|87.2800|86.9050|87.2050|188552|0.3000|0.0750|0.0000|BULLISH
OTIS|2025-09-05 19:30|87.2100|87.2450|86.9000|87.0000|399743|0.2100|0.0350|0.1000|BEARISH
OTIS|2025-09-08 13:30|86.9100|86.9200|86.3400|86.8200|235703|0.0900|0.0100|0.4800|BEARISH
OTIS|2025-09-08 14:30|86.8400|87.0000|86.7400|86.9600|138215|0.1200|0.0400|0.1000|BULLISH
OTIS|2025-09-08 15:30|86.9550|86.9800|86.6600|86.9350|136037|0.0200|0.0250|0.2750|BEARISH
OTIS|2025-09-08 16:30|86.9200|87.0200|86.6300|86.7300|169282|0.1900|0.1000|0.1000|BEARISH
OTIS|2025-09-08 17:30|86.7400|87.2400|86.7400|87.2250|193102|0.4850|0.0150|0.0000|BULLISH
OTIS|2025-09-08 18:30|87.2250|87.2500|86.9800|87.0100|283101|0.2150|0.0250|0.0300|BEARISH
OTIS|2025-09-08 19:30|87.0100|87.3850|86.9400|87.3700|479441|0.3600|0.0150|0.0700|BULLISH
OTIS|2025-09-09 13:30|87.0800|87.3200|86.9200|87.2300|400477|0.1500|0.0900|0.1600|BULLISH
OTIS|2025-09-09 14:30|87.2300|87.3200|86.8950|87.0700|397636|0.1600|0.0900|0.1750|BEARISH
OTIS|2025-09-09 15:30|87.0800|87.8550|87.0800|87.6600|295087|0.5800|0.1950|0.0000|BULLISH
OTIS|2025-09-09 16:30|87.6450|88.0600|87.5800|88.0200|360832|0.3750|0.0400|0.0650|BULLISH
OTIS|2025-09-09 17:30|88.0200|88.1400|87.8100|88.0600|366536|0.0400|0.0800|0.2100|BULLISH
OTIS|2025-09-09 18:30|88.0800|88.1100|87.7175|87.7350|349206|0.3450|0.0300|0.0175|BEARISH
OTIS|2025-09-09 19:30|87.7500|88.0700|87.6600|88.0100|568961|0.2600|0.0600|0.0900|BULLISH
OTIS|2025-09-10 13:30|87.6600|88.2850|87.6000|87.9400|269045|0.2800|0.3450|0.0600|BULLISH
OTIS|2025-09-10 14:30|87.9400|87.9400|87.3600|87.6350|271783|0.3050|0.0000|0.2750|BEARISH
OTIS|2025-09-10 15:30|87.6500|87.7900|87.5100|87.6550|213984|0.0050|0.1350|0.1400|BULLISH
OTIS|2025-09-10 16:30|87.6550|87.8450|87.4500|87.7000|256643|0.0450|0.1450|0.2050|BULLISH
OTIS|2025-09-10 17:30|87.7050|87.8200|87.5300|87.8050|168663|0.1000|0.0150|0.1750|BULLISH
OTIS|2025-09-10 18:30|87.8100|87.8500|87.5421|87.6300|248934|0.1800|0.0400|0.0879|BEARISH
OTIS|2025-09-10 19:30|87.6300|87.7161|87.5900|87.6300|525044|0.0000|0.0861|0.0400|BULLISH
OTIS|2025-09-11 13:30|87.9500|89.2100|87.7950|88.9500|463640|1.0000|0.2600|0.1550|BULLISH
OTIS|2025-09-11 14:30|88.9500|89.1500|88.8050|89.0400|463823|0.0900|0.1100|0.1450|BULLISH
OTIS|2025-09-11 15:30|89.0400|89.0900|88.8200|88.9000|190336|0.1400|0.0500|0.0800|BEARISH
OTIS|2025-09-11 16:30|88.9400|89.0300|88.7986|88.9900|152665|0.0500|0.0400|0.1414|BULLISH
OTIS|2025-09-11 17:30|89.0000|89.2400|88.9600|89.0850|171759|0.0850|0.1550|0.0400|BULLISH
OTIS|2025-09-11 18:30|89.0850|89.1850|88.9350|89.1000|288066|0.0150|0.0850|0.1500|BULLISH
OTIS|2025-09-11 19:30|89.1100|89.3800|89.0800|89.3750|564529|0.2650|0.0050|0.0300|BULLISH
OTIS|2025-09-12 13:30|89.1000|89.4200|88.7850|88.8000|301905|0.3000|0.3200|0.0150|BEARISH
OTIS|2025-09-12 14:30|88.8000|88.8900|88.5870|88.6100|241918|0.1900|0.0900|0.0230|BEARISH
OTIS|2025-09-12 15:30|88.6300|88.6650|88.4000|88.6400|251048|0.0100|0.0250|0.2300|BULLISH
OTIS|2025-09-12 16:30|88.6500|89.0100|88.5800|88.9500|334339|0.3000|0.0600|0.0700|BULLISH
OTIS|2025-09-12 17:30|88.9500|89.6450|88.7200|89.6200|485236|0.6700|0.0250|0.2300|BULLISH
OTIS|2025-09-12 18:30|89.6200|89.7400|89.1600|89.3600|724233|0.2600|0.1200|0.2000|BEARISH
OTIS|2025-09-12 19:30|89.3750|89.4150|89.0400|89.0800|739533|0.2950|0.0400|0.0400|BEARISH
OTIS|2025-09-15 13:30|89.4200|89.5300|88.9400|89.4700|311785|0.0500|0.0600|0.4800|BULLISH
OTIS|2025-09-15 14:30|89.4600|89.5200|89.3034|89.4600|209412|0.0000|0.0600|0.1566|BULLISH
OTIS|2025-09-15 15:30|89.4400|89.6400|89.3700|89.6200|138477|0.1800|0.0200|0.0700|BULLISH
OTIS|2025-09-15 16:30|89.6150|89.7400|89.4600|89.6200|197670|0.0050|0.1200|0.1550|BULLISH
OTIS|2025-09-15 17:30|89.6250|89.8100|89.4100|89.7662|302128|0.1412|0.0438|0.2150|BULLISH
OTIS|2025-09-15 18:30|89.7600|89.8800|89.6450|89.7350|423890|0.0250|0.1200|0.0900|BEARISH
OTIS|2025-09-15 19:30|89.7400|89.8200|89.6225|89.6300|690657|0.1100|0.0800|0.0075|BEARISH
OTIS|2025-09-16 13:30|89.5500|89.8300|89.4200|89.8050|444184|0.2550|0.0250|0.1300|BULLISH
OTIS|2025-09-16 14:30|89.8050|89.9750|89.5100|89.7900|307698|0.0150|0.1700|0.2800|BEARISH
OTIS|2025-09-16 15:30|89.7900|90.0900|89.5100|89.5100|293900|0.2800|0.3000|0.0000|BEARISH
OTIS|2025-09-16 16:30|89.5000|89.7200|89.0400|89.0600|154013|0.4400|0.2200|0.0200|BEARISH
OTIS|2025-09-16 17:30|89.0410|89.4700|89.0400|89.4700|184390|0.4290|0.0000|0.0010|BULLISH
OTIS|2025-09-16 18:30|89.4700|89.6150|89.3085|89.3800|245180|0.0900|0.1450|0.0715|BEARISH
OTIS|2025-09-16 19:30|89.3700|89.4300|89.1000|89.2350|680278|0.1350|0.0600|0.1350|BEARISH
OTIS|2025-09-17 13:30|89.6800|91.3600|89.0000|90.8100|434966|1.1300|0.5500|0.6800|BULLISH
OTIS|2025-09-17 14:30|90.8000|91.0800|90.6300|90.7200|324829|0.0800|0.2800|0.0900|BEARISH
OTIS|2025-09-17 15:30|90.7300|90.9000|90.6400|90.6700|241853|0.0600|0.1700|0.0300|BEARISH
OTIS|2025-09-17 16:30|90.6800|90.8200|89.9600|90.0650|619206|0.6150|0.1400|0.1050|BEARISH
OTIS|2025-09-17 17:30|90.0650|90.8400|89.8000|90.3900|522480|0.3250|0.4500|0.2650|BULLISH
OTIS|2025-09-17 18:30|90.3900|90.3900|89.2500|89.5750|553556|0.8150|0.0000|0.3250|BEARISH
OTIS|2025-09-17 19:30|89.5900|89.9300|89.5700|89.6900|606013|0.1000|0.2400|0.0200|BULLISH
OTIS|2025-09-18 13:30|89.9100|91.7550|89.7250|91.6400|382645|1.7300|0.1150|0.1850|BULLISH
OTIS|2025-09-18 14:30|91.6150|91.8300|90.8800|91.0000|606481|0.6150|0.2150|0.1200|BEARISH
OTIS|2025-09-18 15:30|91.0000|91.3200|90.8900|91.2200|232674|0.2200|0.1000|0.1100|BULLISH
OTIS|2025-09-18 16:30|91.2200|91.3600|90.7300|90.8400|247113|0.3800|0.1400|0.1100|BEARISH
OTIS|2025-09-18 17:30|90.8350|90.8500|90.4700|90.6500|178817|0.1850|0.0150|0.1800|BEARISH
OTIS|2025-09-18 18:30|90.6500|90.8300|90.1800|90.2500|343836|0.4000|0.1800|0.0700|BEARISH
OTIS|2025-09-18 19:30|90.2450|90.4900|90.1200|90.3450|655227|0.1000|0.1450|0.1250|BULLISH
OTIS|2025-09-19 13:30|90.5000|90.7800|89.4800|89.6000|525865|0.9000|0.2800|0.1200|BEARISH
OTIS|2025-09-19 14:30|89.5950|89.6450|89.3600|89.4300|294117|0.1650|0.0500|0.0700|BEARISH
OTIS|2025-09-19 15:30|89.4250|89.7100|89.3800|89.5700|189526|0.1450|0.1400|0.0450|BULLISH
OTIS|2025-09-19 16:30|89.5700|89.7200|89.4200|89.6550|176852|0.0850|0.0650|0.1500|BULLISH
OTIS|2025-09-19 17:30|89.6500|89.9200|89.5950|89.6100|200869|0.0400|0.2700|0.0150|BEARISH
OTIS|2025-09-19 18:30|89.6100|89.7700|89.5718|89.7400|242476|0.1300|0.0300|0.0382|BULLISH
OTIS|2025-09-19 19:30|89.7500|89.8400|89.1600|89.1700|806714|0.5800|0.0900|0.0100|BEARISH
OTIS|2025-09-22 13:30|89.4100|89.4100|88.6200|88.9600|219659|0.4500|0.0000|0.3400|BEARISH
OTIS|2025-09-22 14:30|88.9700|89.4000|88.8300|89.2900|195899|0.3200|0.1100|0.1400|BULLISH
OTIS|2025-09-22 15:30|89.2800|89.3700|88.9000|89.2750|192088|0.0050|0.0900|0.3750|BEARISH
OTIS|2025-09-22 16:30|89.2750|89.6400|89.2500|89.6350|139092|0.3600|0.0050|0.0250|BULLISH
OTIS|2025-09-22 17:30|89.6350|89.7300|89.3900|89.6050|173216|0.0300|0.0950|0.2150|BEARISH
OTIS|2025-09-22 18:30|89.6050|89.7600|89.5800|89.6400|176737|0.0350|0.1200|0.0250|BULLISH
OTIS|2025-09-22 19:30|89.6300|89.8500|89.3200|89.3200|457523|0.3100|0.2200|0.0000|BEARISH
OTIS|2025-09-23 13:30|89.4700|90.0300|89.3400|89.6100|214918|0.1400|0.4200|0.1300|BULLISH
OTIS|2025-09-23 14:30|89.5900|89.6600|88.9800|89.1300|175090|0.4600|0.0700|0.1500|BEARISH
OTIS|2025-09-23 15:30|89.1200|89.2900|88.8700|88.9300|132739|0.1900|0.1700|0.0600|BEARISH
OTIS|2025-09-23 16:30|88.9000|89.1800|88.8500|88.8900|271260|0.0100|0.2800|0.0400|BEARISH
OTIS|2025-09-23 17:30|88.8900|89.0850|88.8050|88.9500|177189|0.0600|0.1350|0.0850|BULLISH
OTIS|2025-09-23 18:30|88.9450|89.0100|88.7900|88.8350|249179|0.1100|0.0650|0.0450|BEARISH
OTIS|2025-09-23 19:30|88.8400|89.1550|88.8100|89.1150|700395|0.2750|0.0400|0.0300|BULLISH
OTIS|2025-09-24 13:30|88.8400|89.2500|88.6100|88.8100|301163|0.0300|0.4100|0.2000|BEARISH
OTIS|2025-09-24 14:30|88.7900|89.1600|88.7500|88.9250|242699|0.1350|0.2350|0.0400|BULLISH
OTIS|2025-09-24 15:30|88.9250|89.0500|88.7100|88.8400|177971|0.0850|0.1250|0.1300|BEARISH
OTIS|2025-09-24 16:30|88.8350|88.9300|88.6800|88.8300|170613|0.0050|0.0950|0.1500|BEARISH
OTIS|2025-09-24 17:30|88.8205|88.9300|88.5900|88.7250|164486|0.0955|0.1095|0.1350|BEARISH
OTIS|2025-09-24 18:30|88.7100|88.7200|88.4700|88.6650|301503|0.0450|0.0100|0.1950|BEARISH
