Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
OXY|2025-09-02 13:30|47.4500|47.9600|47.0600|47.6450|1608881|0.1950|0.3150|0.3900|BULLISH
OXY|2025-09-02 14:30|47.6450|47.6900|47.4200|47.5300|823312|0.1150|0.0450|0.1100|BEARISH
OXY|2025-09-02 15:30|47.5250|48.0350|47.4900|47.9150|976862|0.3900|0.1200|0.0350|BULLISH
OXY|2025-09-02 16:30|47.9150|48.0354|47.8500|48.0000|507674|0.0850|0.0354|0.0650|BULLISH
OXY|2025-09-02 17:30|48.0100|48.1050|48.0100|48.0400|680764|0.0300|0.0650|0.0000|BULLISH
OXY|2025-09-02 18:30|48.0400|48.0550|47.8950|47.9950|635987|0.0450|0.0150|0.1000|BEARISH
OXY|2025-09-02 19:30|47.9950|48.0750|47.9200|48.0600|998146|0.0650|0.0150|0.0750|BULLISH
OXY|2025-09-03 13:30|47.6400|48.0800|46.3900|46.4135|2384738|1.2265|0.4400|0.0235|BEARISH
OXY|2025-09-03 14:30|46.4200|46.6050|46.0500|46.4550|1465276|0.0350|0.1500|0.3700|BULLISH
OXY|2025-09-03 15:30|46.4550|46.7500|46.4001|46.5650|719684|0.1100|0.1850|0.0549|BULLISH
OXY|2025-09-03 16:30|46.5700|46.6650|46.5350|46.6050|483128|0.0350|0.0600|0.0350|BULLISH
OXY|2025-09-03 17:30|46.6050|46.6400|46.3565|46.5750|508629|0.0300|0.0350|0.2185|BEARISH
OXY|2025-09-03 18:30|46.5800|46.5800|46.1600|46.1750|933386|0.4050|0.0000|0.0150|BEARISH
OXY|2025-09-03 19:30|46.1750|46.3650|46.1400|46.3150|1568964|0.1400|0.0500|0.0350|BULLISH
OXY|2025-09-04 13:30|46.3000|46.3000|45.7900|46.1500|1579053|0.1500|0.0000|0.3600|BEARISH
OXY|2025-09-04 14:30|46.1600|46.4400|45.0000|46.4090|1838245|0.2490|0.0310|1.1600|BULLISH
OXY|2025-09-04 15:30|46.4050|46.7250|46.3558|46.6900|556117|0.2850|0.0350|0.0492|BULLISH
OXY|2025-09-04 16:30|46.6850|46.7954|46.6200|46.7135|420271|0.0285|0.0819|0.0650|BULLISH
OXY|2025-09-04 17:30|46.7150|46.7550|46.6100|46.6600|410095|0.0550|0.0400|0.0500|BEARISH
OXY|2025-09-04 18:30|46.6550|46.7290|46.5600|46.6300|675252|0.0250|0.0740|0.0700|BEARISH
OXY|2025-09-04 19:30|46.6350|46.6500|46.5600|46.6100|1138429|0.0250|0.0150|0.0500|BEARISH
OXY|2025-09-05 13:30|45.7700|46.2400|45.5200|45.8600|2518861|0.0900|0.3800|0.2500|BULLISH
OXY|2025-09-05 14:30|45.8700|45.8800|45.2300|45.2950|1404898|0.5750|0.0100|0.0650|BEARISH
OXY|2025-09-05 15:30|45.2950|45.6700|45.2700|45.5250|1089900|0.2300|0.1450|0.0250|BULLISH
OXY|2025-09-05 16:30|45.5400|45.7200|45.4950|45.5400|640697|0.0000|0.1800|0.0450|BULLISH
OXY|2025-09-05 17:30|45.5500|45.6300|45.4000|45.5464|745790|0.0036|0.0800|0.1464|BEARISH
OXY|2025-09-05 18:30|45.5400|45.7000|45.5350|45.6700|767820|0.1300|0.0300|0.0050|BULLISH
OXY|2025-09-05 19:30|45.6650|45.9300|45.5950|45.9100|1573657|0.2450|0.0200|0.0700|BULLISH
OXY|2025-09-08 13:30|46.1500|46.2250|44.7700|44.9800|2651553|1.1700|0.0750|0.2100|BEARISH
OXY|2025-09-08 14:30|44.9799|45.4100|44.9400|45.2850|980468|0.3051|0.1250|0.0399|BULLISH
OXY|2025-09-08 15:30|45.2850|45.2850|45.0300|45.1200|532017|0.1650|0.0000|0.0900|BEARISH
OXY|2025-09-08 16:30|45.1146|45.1850|45.0850|45.1300|402470|0.0154|0.0550|0.0296|BULLISH
OXY|2025-09-08 17:30|45.1300|45.1800|44.9650|45.1400|516643|0.0100|0.0400|0.1650|BULLISH
OXY|2025-09-08 18:30|45.1450|45.3190|45.1450|45.1750|610098|0.0300|0.1440|0.0000|BULLISH
OXY|2025-09-08 19:30|45.1800|45.4100|45.1650|45.4000|1170851|0.2200|0.0100|0.0150|BULLISH
OXY|2025-09-09 13:30|45.7900|46.2850|45.7400|45.9100|1614304|0.1200|0.3750|0.0500|BULLISH
OXY|2025-09-09 14:30|45.9050|46.0600|45.8100|45.9050|795028|0.0000|0.1550|0.0950|BULLISH
OXY|2025-09-09 15:30|45.9050|45.9050|45.5700|45.6493|617899|0.2557|0.0000|0.0793|BEARISH
