Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
PANW|2025-09-02 13:30|187.6400|191.4600|186.3500|191.0600|1815004|3.4200|0.4000|1.2900|BULLISH
PANW|2025-09-02 14:30|191.0412|191.2100|189.5500|189.8010|720046|1.2402|0.1688|0.2510|BEARISH
PANW|2025-09-02 15:30|189.8053|190.9250|189.0700|190.7600|693432|0.9547|0.1650|0.7353|BULLISH
PANW|2025-09-02 16:30|190.7800|191.1254|190.2750|190.9800|563555|0.2000|0.1454|0.5050|BULLISH
PANW|2025-09-02 17:30|191.0100|191.5900|189.9527|189.9900|604143|1.0200|0.5800|0.0373|BEARISH
PANW|2025-09-02 18:30|190.0000|190.3233|189.4350|190.1550|526646|0.1550|0.1683|0.5650|BULLISH
PANW|2025-09-02 19:30|190.1400|191.0000|189.9900|190.5020|781334|0.3620|0.4980|0.1500|BULLISH
PANW|2025-09-03 13:30|188.9000|191.5600|188.0500|190.2300|1281358|1.3300|1.3300|0.8500|BULLISH
PANW|2025-09-03 14:30|190.1650|191.8400|190.1000|191.2600|657837|1.0950|0.5800|0.0650|BULLISH
PANW|2025-09-03 15:30|191.2050|192.3500|190.8100|191.7400|613843|0.5350|0.6100|0.3950|BULLISH
PANW|2025-09-03 16:30|191.7300|191.9700|191.3250|191.4442|312675|0.2858|0.2400|0.1192|BEARISH
PANW|2025-09-03 17:30|191.4400|191.5720|190.5800|190.9600|477322|0.4800|0.1320|0.3800|BEARISH
PANW|2025-09-03 18:30|190.9500|191.3500|190.6100|191.1600|397283|0.2100|0.1900|0.3400|BULLISH
PANW|2025-09-03 19:30|191.1600|191.8050|191.1600|191.5300|792584|0.3700|0.2750|0.0000|BULLISH
PANW|2025-09-04 13:30|191.5600|191.5600|188.7500|189.7745|768912|1.7855|0.0000|1.0245|BEARISH
PANW|2025-09-04 14:30|189.8677|192.3000|189.8200|191.9650|509193|2.0973|0.3350|0.0477|BULLISH
PANW|2025-09-04 15:30|191.9400|193.2400|191.8100|193.2000|595815|1.2600|0.0400|0.1300|BULLISH
PANW|2025-09-04 16:30|193.1900|194.1100|193.0800|194.0200|577054|0.8300|0.0900|0.1100|BULLISH
PANW|2025-09-04 17:30|194.0000|194.4700|193.2450|193.3500|561277|0.6500|0.4700|0.1050|BEARISH
PANW|2025-09-04 18:30|193.3500|193.4700|191.7800|192.0200|690438|1.3300|0.1200|0.2400|BEARISH
