Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
PAYC|2025-09-02 13:30|224.0200|225.0000|221.4600|221.6750|77195|2.3450|0.9800|0.2150|BEARISH
PAYC|2025-09-02 14:30|221.5800|222.0550|218.7700|218.9000|59492|2.6800|0.4750|0.1300|BEARISH
PAYC|2025-09-02 15:30|218.5400|218.5400|216.2150|217.7850|162367|0.7550|0.0000|1.5700|BEARISH
PAYC|2025-09-02 16:30|217.7850|219.6200|217.7350|219.4269|118411|1.6419|0.1931|0.0500|BULLISH
PAYC|2025-09-02 17:30|219.4950|219.7700|218.7100|219.7300|100424|0.2350|0.0400|0.7850|BULLISH
PAYC|2025-09-02 18:30|219.7450|221.3400|219.1846|221.0500|84639|1.3050|0.2900|0.5604|BULLISH
PAYC|2025-09-02 19:30|221.1200|221.1200|219.9000|219.9300|165078|1.1900|0.0000|0.0300|BEARISH
PAYC|2025-09-03 13:30|218.7300|219.4300|216.6200|219.3100|130759|0.5800|0.1200|2.1100|BULLISH
PAYC|2025-09-03 14:30|219.3200|220.0300|218.8650|219.7010|78134|0.3810|0.3290|0.4550|BULLISH
PAYC|2025-09-03 15:30|219.8750|219.9150|219.3150|219.8100|42699|0.0650|0.0400|0.4950|BEARISH
PAYC|2025-09-03 16:30|219.9150|221.0200|219.8100|220.6600|69673|0.7450|0.3600|0.1050|BULLISH
PAYC|2025-09-03 17:30|220.4300|220.5475|219.4700|220.3050|73000|0.1250|0.1175|0.8350|BEARISH
PAYC|2025-09-03 18:30|220.3200|220.7800|220.1900|220.7600|98502|0.4400|0.0200|0.1300|BULLISH
PAYC|2025-09-03 19:30|220.7300|221.4000|219.9250|221.3200|203056|0.5900|0.0800|0.8050|BULLISH
PAYC|2025-09-04 13:30|221.5400|224.1150|219.5200|223.1650|90850|1.6250|0.9500|2.0200|BULLISH
PAYC|2025-09-04 14:30|223.1850|224.8200|223.0975|224.7900|84823|1.6050|0.0300|0.0875|BULLISH
PAYC|2025-09-04 15:30|224.8200|225.8400|224.6100|224.9250|44251|0.1050|0.9150|0.2100|BULLISH
PAYC|2025-09-04 16:30|224.9250|225.4500|224.0900|224.9350|57336|0.0100|0.5150|0.8350|BULLISH
