Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
PCTY|2025-09-02 13:30|177.4200|178.8450|176.8975|177.7550|70908|0.3350|1.0900|0.5225|BULLISH
PCTY|2025-09-02 14:30|177.7550|177.7550|175.2200|175.2200|45212|2.5350|0.0000|0.0000|BEARISH
PCTY|2025-09-02 15:30|175.1650|175.2150|174.2000|174.8500|30380|0.3150|0.0500|0.6500|BEARISH
PCTY|2025-09-02 16:30|174.6800|175.3650|173.9000|175.3650|26652|0.6850|0.0000|0.7800|BULLISH
PCTY|2025-09-02 17:30|175.2000|175.3900|174.3200|174.4450|50124|0.7550|0.1900|0.1250|BEARISH
PCTY|2025-09-02 18:30|174.5800|175.0600|174.2900|174.6400|61157|0.0600|0.4200|0.2900|BULLISH
PCTY|2025-09-02 19:30|174.7050|174.8300|174.1850|174.5400|79644|0.1650|0.1250|0.3550|BEARISH
PCTY|2025-09-03 13:30|173.6800|176.0650|172.8650|173.0300|89962|0.6500|2.3850|0.1650|BEARISH
PCTY|2025-09-03 14:30|173.1425|173.7175|172.3900|172.9200|48793|0.2225|0.5750|0.5300|BEARISH
PCTY|2025-09-03 15:30|173.1875|173.1875|172.5000|173.0050|29194|0.1825|0.0000|0.5050|BEARISH
PCTY|2025-09-03 16:30|173.0550|173.1200|172.8150|172.9850|55669|0.0700|0.0650|0.1700|BEARISH
PCTY|2025-09-03 17:30|172.7800|173.3850|172.4900|173.3850|52813|0.6050|0.0000|0.2900|BULLISH
PCTY|2025-09-03 18:30|173.3850|173.4300|172.8100|172.8600|82953|0.5250|0.0450|0.0500|BEARISH
PCTY|2025-09-03 19:30|172.7900|174.2400|172.6800|174.1700|175031|1.3800|0.0700|0.1100|BULLISH
PCTY|2025-09-04 13:30|173.3600|173.4250|171.9050|173.0250|71214|0.3350|0.0650|1.1200|BEARISH
PCTY|2025-09-04 14:30|173.0800|175.0750|172.6950|175.0750|62806|1.9950|0.0000|0.3850|BULLISH
PCTY|2025-09-04 15:30|174.9530|176.7300|174.9530|176.4650|37242|1.5120|0.2650|0.0000|BULLISH
PCTY|2025-09-04 16:30|176.4275|176.6300|175.9300|176.2400|22355|0.1875|0.2025|0.3100|BEARISH
