Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
PFG|2025-09-02 13:30|79.5600|79.6200|78.6300|79.6200|190934|0.0600|0.0000|0.9300|BULLISH
PFG|2025-09-02 14:30|79.6300|79.7400|79.1700|79.2900|163652|0.3400|0.1100|0.1200|BEARISH
PFG|2025-09-02 15:30|79.2800|79.3400|79.0100|79.0600|112231|0.2200|0.0600|0.0500|BEARISH
PFG|2025-09-02 16:30|79.0900|79.4450|79.0900|79.3000|120622|0.2100|0.1450|0.0000|BULLISH
PFG|2025-09-02 17:30|79.3100|79.6100|79.3100|79.5000|137808|0.1900|0.1100|0.0000|BULLISH
PFG|2025-09-02 18:30|79.5250|79.7450|79.4050|79.7200|180608|0.1950|0.0250|0.1200|BULLISH
PFG|2025-09-02 19:30|79.7150|79.9800|79.6900|79.9600|401524|0.2450|0.0200|0.0250|BULLISH
PFG|2025-09-03 13:30|79.5100|80.1900|79.4850|79.6500|128895|0.1400|0.5400|0.0250|BULLISH
PFG|2025-09-03 14:30|79.6750|79.8700|79.6550|79.7100|100962|0.0350|0.1600|0.0200|BULLISH
PFG|2025-09-03 15:30|79.7400|79.7900|79.3800|79.4650|135179|0.2750|0.0500|0.0850|BEARISH
PFG|2025-09-03 16:30|79.4800|79.7900|79.4600|79.7900|64814|0.3100|0.0000|0.0200|BULLISH
PFG|2025-09-03 17:30|79.7800|79.8050|79.3875|79.7450|119827|0.0350|0.0250|0.3575|BEARISH
PFG|2025-09-03 18:30|79.7300|79.7800|79.5150|79.5400|94556|0.1900|0.0500|0.0250|BEARISH
PFG|2025-09-03 19:30|79.5250|80.1900|79.5250|80.1900|242504|0.6650|0.0000|0.0000|BULLISH
PFG|2025-09-04 13:30|79.7400|80.8000|79.7400|80.5700|164619|0.8300|0.2300|0.0000|BULLISH
PFG|2025-09-04 14:30|80.5600|80.9090|80.4400|80.7250|74239|0.1650|0.1840|0.1200|BULLISH
PFG|2025-09-04 15:30|80.7600|80.9800|80.7300|80.9350|61275|0.1750|0.0450|0.0300|BULLISH
PFG|2025-09-04 16:30|80.9600|81.0883|80.8300|81.0400|42548|0.0800|0.0483|0.1300|BULLISH
PFG|2025-09-04 17:30|81.0100|81.1800|80.8600|81.0950|75045|0.0850|0.0850|0.1500|BULLISH
PFG|2025-09-04 18:30|81.0950|81.1900|80.9200|81.0650|122258|0.0300|0.0950|0.1450|BEARISH
PFG|2025-09-04 19:30|81.0600|81.3400|81.0600|81.3000|222100|0.2400|0.0400|0.0000|BULLISH
PFG|2025-09-05 13:30|81.3600|82.0000|81.0100|81.0100|106634|0.3500|0.6400|0.0000|BEARISH
PFG|2025-09-05 14:30|81.0000|81.0350|79.9900|80.3300|76634|0.6700|0.0350|0.3400|BEARISH
PFG|2025-09-05 15:30|80.2600|80.3100|79.8850|79.9400|52221|0.3200|0.0500|0.0550|BEARISH
PFG|2025-09-05 16:30|79.9100|79.9300|79.3500|79.3550|54993|0.5550|0.0200|0.0050|BEARISH
PFG|2025-09-05 17:30|79.3600|79.4150|79.0301|79.2900|120159|0.0700|0.0550|0.2599|BEARISH
PFG|2025-09-05 18:30|79.3400|79.9900|79.3400|79.9100|153675|0.5700|0.0800|0.0000|BULLISH
PFG|2025-09-05 19:30|79.9500|80.1100|79.8115|79.9700|244332|0.0200|0.1400|0.1385|BULLISH
PFG|2025-09-08 13:30|79.9100|79.9500|78.1150|78.8900|157378|1.0200|0.0400|0.7750|BEARISH
PFG|2025-09-08 14:30|78.8800|79.6450|78.8800|79.6450|75914|0.7650|0.0000|0.0000|BULLISH
PFG|2025-09-08 15:30|79.6200|79.6200|79.3300|79.4750|60640|0.1450|0.0000|0.1450|BEARISH
PFG|2025-09-08 16:30|79.5200|79.5650|79.3200|79.4400|62599|0.0800|0.0450|0.1200|BEARISH
PFG|2025-09-08 17:30|79.4300|79.4300|79.0775|79.3500|79483|0.0800|0.0000|0.2725|BEARISH
PFG|2025-09-08 18:30|79.3500|79.5750|79.1730|79.2000|97998|0.1500|0.2250|0.0270|BEARISH
PFG|2025-09-08 19:30|79.2100|79.7610|79.1800|79.7200|189695|0.5100|0.0410|0.0300|BULLISH
PFG|2025-09-09 13:30|79.8000|80.6500|79.7259|80.5100|129286|0.7100|0.1400|0.0741|BULLISH
PFG|2025-09-09 14:30|80.4900|80.8200|80.2031|80.8150|97047|0.3250|0.0050|0.2869|BULLISH
PFG|2025-09-09 15:30|80.8300|80.8600|80.1900|80.2900|73250|0.5400|0.0300|0.1000|BEARISH
