Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
PGR|2025-09-02 13:30|247.9100|247.9100|245.4100|247.1650|398509|0.7450|0.0000|1.7550|BEARISH
PGR|2025-09-02 14:30|247.2600|247.6500|246.4100|246.7000|197867|0.5600|0.3900|0.2900|BEARISH
PGR|2025-09-02 15:30|246.7000|246.7000|245.2750|245.3550|203322|1.3450|0.0000|0.0800|BEARISH
PGR|2025-09-02 16:30|245.3000|245.4500|244.8100|245.2500|182842|0.0500|0.1500|0.4400|BEARISH
PGR|2025-09-02 17:30|245.2500|245.7900|245.2500|245.7850|160736|0.5350|0.0050|0.0000|BULLISH
PGR|2025-09-02 18:30|245.8300|246.0546|245.1750|245.6850|257327|0.1450|0.2246|0.5100|BEARISH
PGR|2025-09-02 19:30|245.6528|246.2500|245.4400|245.9200|419460|0.2672|0.3300|0.2128|BULLISH
PGR|2025-09-03 13:30|244.7100|246.3600|243.2500|245.0150|263252|0.3050|1.3450|1.4600|BULLISH
PGR|2025-09-03 14:30|245.0100|245.6100|244.5100|245.5200|287070|0.5100|0.0900|0.5000|BULLISH
PGR|2025-09-03 15:30|245.5900|245.8900|244.2750|244.8100|341429|0.7800|0.3000|0.5350|BEARISH
PGR|2025-09-03 16:30|244.9000|246.0700|244.8500|246.0700|168765|1.1700|0.0000|0.0500|BULLISH
PGR|2025-09-03 17:30|246.0700|246.5200|245.3000|246.2300|206162|0.1600|0.2900|0.7700|BULLISH
PGR|2025-09-03 18:30|246.1800|246.7371|246.1650|246.6500|214754|0.4700|0.0871|0.0150|BULLISH
PGR|2025-09-03 19:30|246.6500|247.6200|246.6100|246.7300|456548|0.0800|0.8900|0.0400|BULLISH
PGR|2025-09-04 13:30|248.3700|249.8300|247.4361|248.7200|251140|0.3500|1.1100|0.9339|BULLISH
PGR|2025-09-04 14:30|248.7200|248.7200|247.7950|248.1250|241739|0.5950|0.0000|0.3300|BEARISH
PGR|2025-09-04 15:30|248.1250|249.4600|248.0500|249.0700|187454|0.9450|0.3900|0.0750|BULLISH
PGR|2025-09-04 16:30|249.0700|249.3700|248.4900|248.7400|114146|0.3300|0.3000|0.2500|BEARISH
PGR|2025-09-04 17:30|248.6300|248.9707|248.3500|248.5900|103515|0.0400|0.3407|0.2400|BEARISH
PGR|2025-09-04 18:30|248.6000|248.9560|248.2100|248.2120|135002|0.3880|0.3560|0.0020|BEARISH
PGR|2025-09-04 19:30|248.2500|249.0800|248.0714|248.9900|268641|0.7400|0.0900|0.1786|BULLISH
PGR|2025-09-05 13:30|248.7400|249.0000|245.3100|245.5450|229504|3.1950|0.2600|0.2350|BEARISH
PGR|2025-09-05 14:30|245.5850|245.5850|243.9900|245.1300|262507|0.4550|0.0000|1.1400|BEARISH
PGR|2025-09-05 15:30|245.2200|245.2200|244.4000|244.5300|113368|0.6900|0.0000|0.1300|BEARISH
PGR|2025-09-05 16:30|244.5750|244.7600|244.2200|244.2200|92315|0.3550|0.1850|0.0000|BEARISH
PGR|2025-09-05 17:30|244.2700|244.3700|242.8700|243.6800|156877|0.5900|0.1000|0.8100|BEARISH
PGR|2025-09-05 18:30|243.7500|243.9800|243.3550|243.9700|170175|0.2200|0.0100|0.3950|BULLISH
PGR|2025-09-05 19:30|243.9600|244.3800|243.4901|243.8600|234221|0.1000|0.4200|0.3699|BEARISH
PGR|2025-09-08 13:30|243.5000|244.5750|240.1500|243.2900|288945|0.2100|1.0750|3.1400|BEARISH
PGR|2025-09-08 14:30|243.1925|243.8200|243.0300|243.4250|249062|0.2325|0.3950|0.1625|BULLISH
PGR|2025-09-08 15:30|243.4000|244.1500|242.6200|244.1500|242543|0.7500|0.0000|0.7800|BULLISH
PGR|2025-09-08 16:30|244.2100|244.4450|243.8766|244.2000|123363|0.0100|0.2350|0.3234|BEARISH
PGR|2025-09-08 17:30|244.2050|244.8150|244.0100|244.5700|195356|0.3650|0.2450|0.1950|BULLISH
