Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
PHM|2025-09-02 13:30|129.9000|132.4400|129.3251|132.2600|234968|2.3600|0.1800|0.5749|BULLISH
PHM|2025-09-02 14:30|132.3300|132.4600|131.5600|131.9600|201513|0.3700|0.1300|0.4000|BEARISH
PHM|2025-09-02 15:30|131.9400|132.2900|131.3600|131.3600|108770|0.5800|0.3500|0.0000|BEARISH
PHM|2025-09-02 16:30|131.4800|131.9800|131.3000|131.9100|90068|0.4300|0.0700|0.1800|BULLISH
PHM|2025-09-02 17:30|131.9450|132.2850|131.8500|131.9000|86270|0.0450|0.3400|0.0500|BEARISH
PHM|2025-09-02 18:30|131.9000|132.0500|131.4901|131.8150|109353|0.0850|0.1500|0.3249|BEARISH
PHM|2025-09-02 19:30|131.7900|132.1550|131.7400|132.0800|195623|0.2900|0.0750|0.0500|BULLISH
PHM|2025-09-03 13:30|131.6100|133.6600|131.2350|133.2000|179451|1.5900|0.4600|0.3750|BULLISH
PHM|2025-09-03 14:30|133.2500|133.5750|133.0100|133.3700|110238|0.1200|0.2050|0.2400|BULLISH
PHM|2025-09-03 15:30|133.4300|133.9300|133.2000|133.7500|100868|0.3200|0.1800|0.2300|BULLISH
PHM|2025-09-03 16:30|133.8200|135.0200|133.8200|134.8548|125682|1.0348|0.1652|0.0000|BULLISH
PHM|2025-09-03 17:30|134.7987|134.8351|133.9400|134.4000|132969|0.3987|0.0364|0.4600|BEARISH
PHM|2025-09-03 18:30|134.3700|134.3850|133.7000|134.1000|250207|0.2700|0.0150|0.4000|BEARISH
PHM|2025-09-03 19:30|134.0968|134.4600|133.1600|133.1900|775548|0.9068|0.3632|0.0300|BEARISH
PHM|2025-09-04 13:30|134.8100|137.0000|134.4000|136.8992|386764|2.0892|0.1008|0.4100|BULLISH
PHM|2025-09-04 14:30|136.9470|137.4250|136.1300|136.5818|257540|0.3652|0.4780|0.4518|BEARISH
PHM|2025-09-04 15:30|136.5400|137.4400|136.5100|137.1700|239708|0.6300|0.2700|0.0300|BULLISH
PHM|2025-09-04 16:30|137.1700|137.1900|136.7350|137.1899|100603|0.0199|0.0001|0.4350|BULLISH
PHM|2025-09-04 17:30|137.1200|138.1050|137.0900|137.9050|134491|0.7850|0.2000|0.0300|BULLISH
PHM|2025-09-04 18:30|137.9050|137.9300|136.8700|137.4650|375454|0.4400|0.0250|0.5950|BEARISH
PHM|2025-09-04 19:30|137.5000|138.1400|137.4400|137.6200|378077|0.1200|0.5200|0.0600|BULLISH
PHM|2025-09-05 13:30|140.4400|142.1100|139.3900|139.5300|490447|0.9100|1.6700|0.1400|BEARISH
PHM|2025-09-05 14:30|139.5500|140.5750|139.1200|140.5600|249774|1.0100|0.0150|0.4300|BULLISH
PHM|2025-09-05 15:30|140.6000|141.1300|140.3400|140.4531|296109|0.1469|0.5300|0.1131|BEARISH
PHM|2025-09-05 16:30|140.5000|141.0800|140.3900|140.8850|168025|0.3850|0.1950|0.1100|BULLISH
PHM|2025-09-05 17:30|140.9400|141.0100|139.8900|140.0800|165434|0.8600|0.0700|0.1900|BEARISH
PHM|2025-09-05 18:30|140.0850|140.9400|140.0850|140.6100|187430|0.5250|0.3300|0.0000|BULLISH
PHM|2025-09-05 19:30|140.6500|140.9500|140.3300|140.5600|290646|0.0900|0.3000|0.2300|BEARISH
PHM|2025-09-08 13:30|139.7500|140.3299|138.6002|139.5950|301413|0.1550|0.5799|0.9948|BEARISH
PHM|2025-09-08 14:30|139.5200|141.2250|139.4728|140.9500|178950|1.4300|0.2750|0.0472|BULLISH
PHM|2025-09-08 15:30|140.9200|140.9600|140.3600|140.7000|176836|0.2200|0.0400|0.3400|BEARISH
PHM|2025-09-08 16:30|140.7000|141.0300|140.4900|140.9050|142574|0.2050|0.1250|0.2100|BULLISH
PHM|2025-09-08 17:30|140.9050|141.4700|140.6300|141.4550|139738|0.5500|0.0150|0.2750|BULLISH
PHM|2025-09-08 18:30|141.4550|141.5650|140.7500|140.8500|229880|0.6050|0.1100|0.1000|BEARISH
PHM|2025-09-08 19:30|140.8650|141.7300|140.7400|141.4000|403660|0.5350|0.3300|0.1250|BULLISH
PHM|2025-09-09 13:30|141.3000|141.7200|136.5000|136.6750|737486|4.6250|0.4200|0.1750|BEARISH
PHM|2025-09-09 14:30|136.6750|136.6750|134.2100|135.7550|548529|0.9200|0.0000|1.5450|BEARISH
PHM|2025-09-09 15:30|135.7550|135.9150|135.0700|135.5300|362914|0.2250|0.1600|0.4600|BEARISH
PHM|2025-09-09 16:30|135.5100|135.7050|135.1900|135.5700|120609|0.0600|0.1350|0.3200|BULLISH
PHM|2025-09-09 17:30|135.5350|136.7400|135.4500|136.7200|169661|1.1850|0.0200|0.0850|BULLISH
PHM|2025-09-09 18:30|136.7200|136.8600|136.3000|136.7950|289244|0.0750|0.0650|0.4200|BULLISH
PHM|2025-09-09 19:30|136.7950|137.1500|136.2200|136.6700|472101|0.1250|0.3550|0.4500|BEARISH
PHM|2025-09-10 13:30|137.2000|137.3000|134.8550|135.3800|523909|1.8200|0.1000|0.5250|BEARISH
PHM|2025-09-10 14:30|135.3300|135.3400|134.3800|134.7600|282221|0.5700|0.0100|0.3800|BEARISH
PHM|2025-09-10 15:30|134.7800|134.9500|134.4700|134.5400|243647|0.2400|0.1700|0.0700|BEARISH
PHM|2025-09-10 16:30|134.5100|134.9350|134.2600|134.6900|119076|0.1800|0.2450|0.2500|BULLISH
PHM|2025-09-10 17:30|134.6400|135.2600|134.3400|135.2200|149680|0.5800|0.0400|0.3000|BULLISH
PHM|2025-09-10 18:30|135.2200|135.9000|135.0300|135.1700|212513|0.0500|0.6800|0.1400|BEARISH
PHM|2025-09-10 19:30|135.1420|135.7750|134.8600|135.4100|341469|0.2680|0.3650|0.2820|BULLISH
PHM|2025-09-11 13:30|136.5500|138.6300|135.9200|138.5900|287442|2.0400|0.0400|0.6300|BULLISH
PHM|2025-09-11 14:30|138.5900|139.6900|138.3000|139.0800|169413|0.4900|0.6100|0.2900|BULLISH
PHM|2025-09-11 15:30|139.1900|139.5200|138.9700|139.0800|185034|0.1100|0.3300|0.1100|BEARISH
PHM|2025-09-11 16:30|139.1700|139.3450|138.8300|139.3000|173015|0.1300|0.0450|0.3400|BULLISH
PHM|2025-09-11 17:30|139.3150|139.3600|138.9000|139.0450|135064|0.2700|0.0450|0.1450|BEARISH
PHM|2025-09-11 18:30|139.0450|139.0450|138.4500|138.9400|185840|0.1050|0.0000|0.4900|BEARISH
PHM|2025-09-11 19:30|138.9350|139.1400|138.3800|138.6200|284707|0.3150|0.2050|0.2400|BEARISH
PHM|2025-09-12 13:30|137.3800|138.8700|136.6150|137.4050|224280|0.0250|1.4650|0.7650|BULLISH
PHM|2025-09-12 14:30|137.3550|137.4600|136.4100|136.5000|115472|0.8550|0.1050|0.0900|BEARISH
PHM|2025-09-12 15:30|136.5100|137.3300|136.4500|137.1550|91087|0.6450|0.1750|0.0600|BULLISH
PHM|2025-09-12 16:30|137.1600|137.6200|137.0500|137.4650|84346|0.3050|0.1550|0.1100|BULLISH
PHM|2025-09-12 17:30|137.4600|137.5500|137.0650|137.4900|115258|0.0300|0.0600|0.3950|BULLISH
PHM|2025-09-12 18:30|137.4710|137.9900|137.3900|137.4300|155096|0.0410|0.5190|0.0400|BEARISH
PHM|2025-09-12 19:30|137.4300|137.5300|136.7550|137.0900|258434|0.3400|0.1000|0.3350|BEARISH
PHM|2025-09-15 13:30|137.8300|137.8300|133.6100|134.9500|369752|2.8800|0.0000|1.3400|BEARISH
PHM|2025-09-15 14:30|134.9400|135.1700|133.8900|134.0150|281124|0.9250|0.2300|0.1250|BEARISH
PHM|2025-09-15 15:30|133.9500|134.7200|133.6900|134.4600|149760|0.5100|0.2600|0.2600|BULLISH
PHM|2025-09-15 16:30|134.4600|134.7115|133.9400|134.5900|102160|0.1300|0.1215|0.5200|BULLISH
PHM|2025-09-15 17:30|134.6700|135.0600|134.2600|134.7000|126634|0.0300|0.3600|0.4100|BULLISH
PHM|2025-09-15 18:30|134.6600|135.0900|134.1700|134.2400|236957|0.4200|0.4300|0.0700|BEARISH
PHM|2025-09-15 19:30|134.2600|135.0100|134.1700|134.8200|421191|0.5600|0.1900|0.0900|BULLISH
PHM|2025-09-16 13:30|134.8600|135.3266|131.4900|131.6250|358193|3.2350|0.4666|0.1350|BEARISH
PHM|2025-09-16 14:30|131.6250|133.0000|131.3800|132.5900|321460|0.9650|0.4100|0.2450|BULLISH
PHM|2025-09-16 15:30|132.5500|133.4152|132.5300|133.0100|125385|0.4600|0.4052|0.0200|BULLISH
PHM|2025-09-16 16:30|133.0100|133.4499|132.6900|133.4499|136201|0.4399|0.0000|0.3200|BULLISH
PHM|2025-09-16 17:30|133.3100|134.1299|133.2350|134.0000|126679|0.6900|0.1299|0.0750|BULLISH
PHM|2025-09-16 18:30|134.0575|134.1500|133.2900|133.4400|318459|0.6175|0.0925|0.1500|BEARISH
PHM|2025-09-16 19:30|133.4800|134.3700|133.0150|133.8900|377351|0.4100|0.4800|0.4650|BULLISH
PHM|2025-09-17 13:30|134.9800|136.2100|134.5150|135.7600|259255|0.7800|0.4500|0.4650|BULLISH
PHM|2025-09-17 14:30|135.7600|136.2200|135.2300|135.2300|168488|0.5300|0.4600|0.0000|BEARISH
PHM|2025-09-17 15:30|135.2800|135.6600|135.1100|135.2400|149046|0.0400|0.3800|0.1300|BEARISH
PHM|2025-09-17 16:30|135.2500|135.5250|134.8800|135.1750|214151|0.0750|0.2750|0.2950|BEARISH
PHM|2025-09-17 17:30|135.1650|139.0500|134.9200|137.2500|354114|2.0850|1.8000|0.2450|BULLISH
PHM|2025-09-17 18:30|137.0500|137.0500|132.1763|133.8450|413613|3.2050|0.0000|1.6687|BEARISH
PHM|2025-09-17 19:30|133.7600|134.5200|133.3400|134.0950|370252|0.3350|0.4250|0.4200|BULLISH
PHM|2025-09-18 13:30|134.3100|134.8500|132.8450|134.6000|273757|0.2900|0.2500|1.4650|BULLISH
PHM|2025-09-18 14:30|134.6000|134.8300|133.3700|134.0600|185116|0.5400|0.2300|0.6900|BEARISH
PHM|2025-09-18 15:30|134.1400|135.1400|134.0650|134.5100|153330|0.3700|0.6300|0.0750|BULLISH
PHM|2025-09-18 16:30|134.5800|134.9400|134.4120|134.5000|84059|0.0800|0.3600|0.0880|BEARISH
PHM|2025-09-18 17:30|134.5000|135.1100|133.2700|133.3000|116730|1.2000|0.6100|0.0300|BEARISH
PHM|2025-09-18 18:30|133.3000|134.1500|133.1600|133.5800|164452|0.2800|0.5700|0.1400|BULLISH
PHM|2025-09-18 19:30|133.5550|134.2600|133.3609|134.0700|265979|0.5150|0.1900|0.1941|BULLISH
PHM|2025-09-19 13:30|132.4200|133.9400|130.4600|133.1500|513679|0.7300|0.7900|1.9600|BULLISH
PHM|2025-09-19 14:30|133.1600|133.5200|132.3300|132.8200|222233|0.3400|0.3600|0.4900|BEARISH
PHM|2025-09-19 15:30|132.8200|132.8700|132.0400|132.3050|209605|0.5150|0.0500|0.2650|BEARISH
PHM|2025-09-19 16:30|132.3050|132.3800|131.7600|132.0700|132743|0.2350|0.0750|0.3100|BEARISH
PHM|2025-09-19 17:30|132.0400|132.3700|131.6511|132.1350|162793|0.0950|0.2350|0.3889|BULLISH
PHM|2025-09-19 18:30|132.1100|133.2400|132.0100|133.1050|219663|0.9950|0.1350|0.1000|BULLISH
PHM|2025-09-19 19:30|133.1050|133.1050|131.7400|131.9300|582220|1.1750|0.0000|0.1900|BEARISH
PHM|2025-09-22 13:30|131.2700|132.2800|128.6400|129.0500|281454|2.2200|1.0100|0.4100|BEARISH
PHM|2025-09-22 14:30|129.0500|129.3300|128.3600|128.8700|238790|0.1800|0.2800|0.5100|BEARISH
PHM|2025-09-22 15:30|128.8750|129.1000|128.4600|128.7265|182311|0.1485|0.2250|0.2665|BEARISH
PHM|2025-09-22 16:30|128.7700|129.3000|128.6500|129.2300|116328|0.4600|0.0700|0.1200|BULLISH
PHM|2025-09-22 17:30|129.2300|129.5400|128.8000|129.4650|143183|0.2350|0.0750|0.4300|BULLISH
PHM|2025-09-22 18:30|129.4300|129.7400|129.0600|129.3600|214222|0.0700|0.3100|0.3000|BEARISH
PHM|2025-09-22 19:30|129.3500|129.7600|129.2100|129.2300|375773|0.1200|0.4100|0.0200|BEARISH
PHM|2025-09-23 13:30|129.8000|130.6700|129.2100|129.3700|200172|0.4300|0.8700|0.1600|BEARISH
PHM|2025-09-23 14:30|129.2900|129.7600|129.0800|129.4700|93636|0.1800|0.2900|0.2100|BULLISH
PHM|2025-09-23 15:30|129.4100|129.4100|128.7900|129.1000|78111|0.3100|0.0000|0.3100|BEARISH
PHM|2025-09-23 16:30|129.1000|129.2700|128.7450|128.7900|82412|0.3100|0.1700|0.0450|BEARISH
