Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
PH|2025-09-02 13:30|746.0900|748.5000|738.8850|744.6500|75714|1.4400|2.4100|5.7650|BEARISH
PH|2025-09-02 14:30|744.8000|747.5200|741.5100|747.3700|54595|2.5700|0.1500|3.2900|BULLISH
PH|2025-09-02 15:30|747.3700|747.4250|744.4700|745.6650|59250|1.7050|0.0550|1.1950|BEARISH
PH|2025-09-02 16:30|746.1300|748.8200|745.7000|748.8200|30680|2.6900|0.0000|0.4300|BULLISH
PH|2025-09-02 17:30|749.0600|750.7700|748.6600|749.3800|45103|0.3200|1.3900|0.4000|BULLISH
PH|2025-09-02 18:30|749.8000|750.8400|748.5550|749.7800|63801|0.0200|1.0400|1.2250|BEARISH
PH|2025-09-02 19:30|750.0600|750.9900|749.2900|749.8600|72935|0.2000|0.9300|0.5700|BEARISH
PH|2025-09-03 13:30|748.8700|752.5350|745.0600|747.2800|46273|1.5900|3.6650|2.2200|BEARISH
PH|2025-09-03 14:30|747.3000|749.1000|746.8500|746.8500|41870|0.4500|1.8000|0.0000|BEARISH
PH|2025-09-03 15:30|746.6400|748.5300|745.3416|745.7500|33261|0.8900|1.8900|0.4084|BEARISH
PH|2025-09-03 16:30|745.8600|746.6200|744.6050|746.1450|21398|0.2850|0.4750|1.2550|BULLISH
PH|2025-09-03 17:30|746.5200|746.7200|743.8400|746.1300|38538|0.3900|0.2000|2.2900|BEARISH
PH|2025-09-03 18:30|745.6200|746.5500|744.6750|745.2000|60787|0.4200|0.9300|0.5250|BEARISH
PH|2025-09-03 19:30|745.3000|748.6300|745.3000|748.2100|83992|2.9100|0.4200|0.0000|BULLISH
PH|2025-09-04 13:30|743.6800|750.4000|742.2100|750.2672|76681|6.5872|0.1328|1.4700|BULLISH
PH|2025-09-04 14:30|750.6800|752.0800|750.0102|752.0800|33578|1.4000|0.0000|0.6698|BULLISH
PH|2025-09-04 15:30|752.0045|752.2100|749.8400|750.2350|35912|1.7695|0.2055|0.3950|BEARISH
PH|2025-09-04 16:30|750.1400|751.3600|748.8250|751.3600|24944|1.2200|0.0000|1.3150|BULLISH
PH|2025-09-04 17:30|750.7800|753.1650|750.7800|751.5300|43763|0.7500|1.6349|0.0000|BULLISH
PH|2025-09-04 18:30|751.7800|754.2100|751.7800|753.8800|38469|2.1000|0.3300|0.0000|BULLISH
PH|2025-09-04 19:30|753.6450|757.0000|753.4300|756.9100|59419|3.2650|0.0900|0.2150|BULLISH
PH|2025-09-05 13:30|760.8100|763.7200|752.5000|752.5600|78185|8.2500|2.9100|0.0600|BEARISH
PH|2025-09-05 14:30|752.5000|753.3575|748.5900|753.3200|56227|0.8200|0.0375|3.9100|BULLISH
PH|2025-09-05 15:30|751.1100|754.4100|751.1100|753.6400|39460|2.5300|0.7700|0.0000|BULLISH
PH|2025-09-05 16:30|753.6500|754.9400|752.7800|753.2850|38271|0.3651|1.2900|0.5049|BEARISH
PH|2025-09-05 17:30|753.6300|755.5400|751.9400|755.5400|40772|1.9100|0.0000|1.6900|BULLISH
PH|2025-09-05 18:30|756.4900|760.5300|756.4900|759.5900|40304|3.1000|0.9400|0.0000|BULLISH
PH|2025-09-05 19:30|758.9250|759.5900|757.6600|758.7000|64470|0.2250|0.6650|1.0400|BEARISH
PH|2025-09-08 13:30|759.6400|759.9050|754.4500|756.1300|47049|3.5100|0.2650|1.6800|BEARISH
PH|2025-09-08 14:30|757.3400|761.4200|757.0000|761.3900|47054|4.0500|0.0300|0.3400|BULLISH
PH|2025-09-08 15:30|761.6800|762.0199|758.8700|760.1600|50145|1.5200|0.3399|1.2900|BEARISH
PH|2025-09-08 16:30|760.1599|760.1599|757.6500|759.1600|34864|0.9999|0.0000|1.5099|BEARISH
PH|2025-09-08 17:30|759.0100|759.6800|756.4800|759.3563|44805|0.3463|0.3237|2.5300|BULLISH
PH|2025-09-08 18:30|759.5450|760.7850|758.3050|758.7700|48460|0.7750|1.2400|0.4650|BEARISH
PH|2025-09-08 19:30|758.8500|760.8300|758.2500|760.6500|115360|1.8000|0.1800|0.6000|BULLISH
PH|2025-09-09 13:30|756.0400|757.0000|750.7600|750.9700|52154|5.0700|0.9600|0.2100|BEARISH
PH|2025-09-09 14:30|751.1800|751.2400|745.3600|751.2150|73111|0.0350|0.0250|5.8200|BULLISH
PH|2025-09-09 15:30|751.1400|753.4700|750.4100|753.4700|44880|2.3300|0.0000|0.7300|BULLISH
PH|2025-09-09 16:30|753.8900|755.4400|753.4600|755.0700|46328|1.1800|0.3700|0.4300|BULLISH
PH|2025-09-09 17:30|754.7700|757.2300|754.7700|756.4200|43536|1.6500|0.8100|0.0000|BULLISH
PH|2025-09-09 18:30|756.2000|756.2475|752.9200|754.2700|34332|1.9300|0.0475|1.3500|BEARISH
PH|2025-09-09 19:30|754.1300|756.8650|753.8200|755.6700|62526|1.5400|1.1950|0.3100|BULLISH
PH|2025-09-10 13:30|756.3300|770.4600|756.3300|769.3350|45459|13.0050|1.1250|0.0000|BULLISH
PH|2025-09-10 14:30|768.2200|769.9400|765.3300|766.1095|78510|2.1105|1.7200|0.7795|BEARISH
PH|2025-09-10 15:30|765.4750|768.4100|765.3600|766.6750|64636|1.2000|1.7350|0.1150|BULLISH
PH|2025-09-10 16:30|766.4950|768.8600|765.6600|766.9300|53197|0.4350|1.9300|0.8350|BULLISH
PH|2025-09-10 17:30|766.7245|766.7500|762.9550|763.2200|41324|3.5045|0.0255|0.2650|BEARISH
PH|2025-09-10 18:30|764.0200|764.7000|760.0847|760.8800|46501|3.1400|0.6800|0.7953|BEARISH
PH|2025-09-10 19:30|760.7050|766.0100|760.7050|765.1200|104622|4.4150|0.8900|0.0000|BULLISH
PH|2025-09-11 13:30|764.4000|776.0685|764.4000|776.0685|53899|11.6685|0.0000|0.0000|BULLISH
PH|2025-09-11 14:30|776.9100|779.0722|774.9300|778.2900|51057|1.3800|0.7822|1.9800|BULLISH
PH|2025-09-11 15:30|778.2900|779.7700|776.8300|776.8300|92668|1.4600|1.4800|0.0000|BEARISH
PH|2025-09-11 16:30|777.9000|779.5200|773.3900|773.3900|78415|4.5100|1.6200|0.0000|BEARISH
PH|2025-09-11 17:30|772.5200|773.0400|769.9447|770.7900|45769|1.7300|0.5200|0.8453|BEARISH
PH|2025-09-11 18:30|770.9250|770.9300|767.1039|769.3000|71363|1.6250|0.0050|2.1961|BEARISH
PH|2025-09-11 19:30|769.4600|771.7000|768.3450|769.1700|149437|0.2900|2.2400|0.8250|BEARISH
PH|2025-09-12 13:30|767.5200|768.6287|760.0700|760.5900|82983|6.9300|1.1087|0.5200|BEARISH
PH|2025-09-12 14:30|760.5400|764.9499|759.1100|764.2250|42427|3.6850|0.7249|1.4300|BULLISH
PH|2025-09-12 15:30|764.2050|764.2050|762.3350|762.8400|35428|1.3650|0.0000|0.5050|BEARISH
PH|2025-09-12 16:30|762.6050|763.5550|761.7601|762.7900|22548|0.1850|0.7650|0.8449|BULLISH
PH|2025-09-12 17:30|762.2500|764.9400|762.0201|764.6300|59711|2.3800|0.3100|0.2299|BULLISH
PH|2025-09-12 18:30|764.7400|766.0400|761.7050|762.0800|51277|2.6600|1.3000|0.3750|BEARISH
PH|2025-09-12 19:30|762.0950|762.1800|758.2850|759.0000|98443|3.0950|0.0850|0.7150|BEARISH
PH|2025-09-15 13:30|759.8700|768.5000|758.5650|767.9850|59804|8.1150|0.5150|1.3050|BULLISH
PH|2025-09-15 14:30|767.9600|769.2031|762.9801|763.1150|66774|4.8450|1.2431|0.1349|BEARISH
PH|2025-09-15 15:30|763.0900|766.4099|761.3150|765.0000|56679|1.9100|1.4099|1.7750|BULLISH
PH|2025-09-15 16:30|765.2000|765.5500|763.1000|763.2750|30138|1.9250|0.3500|0.1750|BEARISH
PH|2025-09-15 17:30|763.8200|765.9450|760.7500|761.5250|58047|2.2950|2.1250|0.7750|BEARISH
PH|2025-09-15 18:30|762.0125|762.8300|760.5000|761.2300|57732|0.7825|0.8175|0.7300|BEARISH
PH|2025-09-15 19:30|760.5800|761.2500|759.1250|759.9800|119544|0.6000|0.6700|0.8550|BEARISH
PH|2025-09-16 13:30|760.0000|760.6000|749.6300|753.2300|132655|6.7700|0.6000|3.6000|BEARISH
PH|2025-09-16 14:30|753.6550|753.8700|749.1700|750.9000|56432|2.7550|0.2150|1.7300|BEARISH
PH|2025-09-16 15:30|751.0450|754.4100|750.7200|753.2000|44770|2.1550|1.2100|0.3250|BULLISH
PH|2025-09-16 16:30|752.5100|754.5900|752.4600|753.5700|33511|1.0600|1.0200|0.0500|BULLISH
PH|2025-09-16 17:30|753.7900|754.2200|751.4400|751.4400|48701|2.3500|0.4300|0.0000|BEARISH
PH|2025-09-16 18:30|752.0350|754.2300|751.0200|752.9100|78750|0.8750|1.3200|1.0150|BULLISH
PH|2025-09-16 19:30|752.3000|755.5600|750.4400|754.0700|126672|1.7700|1.4900|1.8600|BULLISH
PH|2025-09-17 13:30|754.5600|758.0400|749.2400|749.8800|107593|4.6800|3.4800|0.6400|BEARISH
PH|2025-09-17 14:30|749.5100|749.5100|732.4800|742.0700|234705|7.4400|0.0000|9.5900|BEARISH
PH|2025-09-17 15:30|742.7650|749.4600|742.7650|743.7250|113333|0.9600|5.7350|0.0000|BULLISH
PH|2025-09-17 16:30|743.0800|744.1800|740.8300|742.2600|70195|0.8200|1.1000|1.4300|BEARISH
PH|2025-09-17 17:30|742.0500|754.4400|740.5000|745.5650|99796|3.5150|8.8750|1.5500|BULLISH
PH|2025-09-17 18:30|745.5650|745.6200|730.2450|738.5550|166235|7.0100|0.0550|8.3100|BEARISH
PH|2025-09-17 19:30|737.8500|741.4900|736.0600|738.3500|157387|0.5000|3.1400|1.7900|BULLISH
PH|2025-09-18 13:30|744.2800|758.1150|741.3200|757.8800|80436|13.6000|0.2350|2.9600|BULLISH
PH|2025-09-18 14:30|757.8800|758.7150|750.5900|753.9200|80221|3.9600|0.8350|3.3300|BEARISH
PH|2025-09-18 15:30|754.5200|756.8500|751.5200|756.8500|63819|2.3300|0.0000|3.0000|BULLISH
PH|2025-09-18 16:30|757.6800|758.3800|755.1200|755.6000|25609|2.0800|0.7000|0.4800|BEARISH
PH|2025-09-18 17:30|756.3400|756.4800|753.6800|754.3950|47921|1.9450|0.1400|0.7150|BEARISH
PH|2025-09-18 18:30|754.8700|757.1600|754.0182|755.9000|47130|1.0300|1.2599|0.8518|BULLISH
PH|2025-09-18 19:30|755.4100|757.0800|754.3000|756.0700|89281|0.6600|1.0100|1.1100|BULLISH
PH|2025-09-19 13:30|757.9300|758.7200|746.9600|748.3851|132370|9.5449|0.7900|1.4250|BEARISH
PH|2025-09-19 14:30|748.0150|751.5400|746.4400|749.8000|40445|1.7850|1.7400|1.5750|BULLISH
PH|2025-09-19 15:30|749.1800|752.3800|748.3500|752.0900|26583|2.9100|0.2900|0.8300|BULLISH
PH|2025-09-19 16:30|752.1800|755.8450|752.1800|754.5500|37575|2.3700|1.2950|0.0000|BULLISH
PH|2025-09-19 17:30|754.6800|756.3000|754.0371|754.9200|22572|0.2400|1.3800|0.6429|BULLISH
PH|2025-09-19 18:30|754.4100|757.5600|754.1400|757.1200|38416|2.7100|0.4400|0.2700|BULLISH
PH|2025-09-19 19:30|756.9650|758.6000|755.1900|755.1900|94977|1.7750|1.6349|0.0000|BEARISH
PH|2025-09-22 13:30|753.4100|755.0699|750.0950|750.1050|40605|3.3050|1.6599|0.0100|BEARISH
PH|2025-09-22 14:30|750.1050|758.0200|750.1050|755.7600|34047|5.6550|2.2600|0.0000|BULLISH
PH|2025-09-22 15:30|756.0800|758.0500|755.2100|757.5350|38850|1.4550|0.5150|0.8700|BULLISH
PH|2025-09-22 16:30|757.3600|760.6229|756.4400|759.6000|37956|2.2400|1.0229|0.9200|BULLISH
PH|2025-09-22 17:30|759.8047|760.3050|757.4000|759.4400|33074|0.3647|0.5003|2.0400|BEARISH
PH|2025-09-22 18:30|759.4400|760.9700|759.0800|760.3000|39165|0.8600|0.6700|0.3600|BULLISH
PH|2025-09-22 19:30|760.2900|762.9900|759.9100|760.1200|77177|0.1700|2.7000|0.2100|BEARISH
PH|2025-09-23 13:30|761.0100|770.7599|759.0000|766.4300|50292|5.4200|4.3299|2.0100|BULLISH
PH|2025-09-23 14:30|766.4300|769.4950|765.7900|765.7900|35933|0.6400|3.0650|0.0000|BEARISH
PH|2025-09-23 15:30|765.7900|766.2100|758.8598|763.1099|37163|2.6801|0.4200|4.2501|BEARISH
PH|2025-09-23 16:30|762.3500|763.9400|761.1400|762.6100|36732|0.2600|1.3300|1.2100|BULLISH
PH|2025-09-23 17:30|761.4400|761.4400|758.3000|760.6400|37243|0.8000|0.0000|2.3400|BEARISH
PH|2025-09-23 18:30|761.2800|761.4600|758.4250|759.7650|42433|1.5150|0.1800|1.3400|BEARISH
PH|2025-09-23 19:30|759.9450|762.3200|759.5600|761.0200|81497|1.0750|1.3000|0.3850|BULLISH
PH|2025-09-24 13:30|760.8200|763.0100|757.7900|758.9857|42172|1.8343|2.1900|1.1957|BEARISH
PH|2025-09-24 14:30|759.8600|760.1500|755.3235|755.8950|33830|3.9650|0.2900|0.5715|BEARISH
PH|2025-09-24 15:30|755.2372|756.6700|750.7000|752.6800|39277|2.5572|1.4328|1.9800|BEARISH
PH|2025-09-24 16:30|752.4750|753.1000|749.5000|749.5000|29057|2.9750|0.6250|0.0000|BEARISH
PH|2025-09-24 17:30|749.5050|750.0000|746.0000|748.7375|28462|0.7675|0.4950|2.7375|BEARISH
PH|2025-09-24 18:30|748.2700|751.0800|747.7750|750.5090|41685|2.2390|0.5710|0.4950|BULLISH
PH|2025-09-24 19:30|750.7800|751.2200|748.2300|748.7700|80127|2.0100|0.4399|0.5400|BEARISH
PH|2025-09-25 13:30|741.5200|745.7900|738.3800|744.7900|48663|3.2700|1.0000|3.1400|BULLISH
PH|2025-09-25 14:30|744.8400|746.7500|743.9600|744.3785|27074|0.4615|1.9100|0.4185|BEARISH
PH|2025-09-25 15:30|744.3500|746.4699|742.6900|744.0200|29957|0.3300|2.1199|1.3300|BEARISH
PH|2025-09-25 16:30|744.2200|745.3900|742.2200|743.4250|25602|0.7950|1.1700|1.2050|BEARISH
PH|2025-09-25 17:30|743.5400|744.9000|739.4920|744.4100|41326|0.8700|0.4901|4.0480|BULLISH
PH|2025-09-25 18:30|744.4100|745.8500|742.7200|743.0700|46826|1.3400|1.4400|0.3500|BEARISH
PH|2025-09-25 19:30|744.0000|746.0300|743.7000|745.2000|82501|1.2000|0.8300|0.3000|BULLISH
PH|2025-09-26 13:30|748.7800|755.5350|748.0000|752.4600|39762|3.6800|3.0750|0.7800|BULLISH
PH|2025-09-26 14:30|751.7100|751.8850|749.4800|751.8850|27070|0.1750|0.0000|2.2300|BULLISH
PH|2025-09-26 15:30|753.5300|754.2450|752.3700|753.8700|16053|0.3400|0.3750|1.1600|BULLISH
PH|2025-09-26 16:30|753.4850|753.4850|751.5300|752.3500|19100|1.1350|0.0000|0.8199|BEARISH
PH|2025-09-26 17:30|752.0842|753.1100|749.3989|750.9750|28729|1.1093|1.0258|1.5760|BEARISH
PH|2025-09-26 18:30|751.0000|751.9100|750.0700|751.2200|61186|0.2200|0.6900|0.9300|BULLISH
PH|2025-09-26 19:30|751.1100|751.9800|750.1500|751.4200|49355|0.3100|0.5600|0.9600|BULLISH
PH|2025-09-29 13:30|756.0500|762.0900|751.1800|754.8300|45735|1.2200|6.0400|3.6500|BEARISH
PH|2025-09-29 14:30|753.0000|754.0500|751.1200|752.0350|32234|0.9650|1.0500|0.9150|BEARISH
PH|2025-09-29 15:30|751.3500|752.9100|750.3400|752.5500|35684|1.2000|0.3600|1.0099|BULLISH
PH|2025-09-29 16:30|751.7000|751.7000|749.7050|750.4748|24350|1.2252|0.0000|0.7698|BEARISH
PH|2025-09-29 17:30|750.8580|752.3599|750.0276|751.1900|30603|0.3320|1.1699|0.8304|BULLISH
PH|2025-09-29 18:30|751.4600|754.1300|750.7273|753.8050|49662|2.3450|0.3250|0.7327|BULLISH
PH|2025-09-29 19:30|753.8500|755.2200|752.7500|754.0800|73252|0.2300|1.1400|1.1000|BULLISH
PH|2025-09-30 13:30|754.9900|757.1100|752.2000|752.4050|40818|2.5850|2.1200|0.2050|BEARISH
