Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
PINS|2025-09-02 13:30|35.8600|36.4800|35.6056|36.4700|1167650|0.6100|0.0100|0.2544|BULLISH
PINS|2025-09-02 14:30|36.4700|36.4700|35.9650|35.9700|904361|0.5000|0.0000|0.0050|BEARISH
PINS|2025-09-02 15:30|35.9700|36.0400|35.8150|35.9750|456549|0.0050|0.0650|0.1550|BULLISH
PINS|2025-09-02 16:30|35.9750|36.2600|35.9750|36.2500|326436|0.2750|0.0100|0.0000|BULLISH
PINS|2025-09-02 17:30|36.2550|36.4650|36.2550|36.3850|509724|0.1300|0.0800|0.0000|BULLISH
PINS|2025-09-02 18:30|36.3850|36.5500|36.3450|36.5250|589092|0.1400|0.0250|0.0400|BULLISH
PINS|2025-09-02 19:30|36.5250|36.8000|36.5050|36.7200|1341108|0.1950|0.0800|0.0200|BULLISH
PINS|2025-09-03 13:30|36.8800|37.4650|36.6750|36.9350|1018093|0.0550|0.5300|0.2050|BULLISH
PINS|2025-09-03 14:30|36.9400|37.0900|36.8200|36.8250|442410|0.1150|0.1500|0.0050|BEARISH
PINS|2025-09-03 15:30|36.8300|37.0800|36.7800|37.0350|353344|0.2050|0.0450|0.0500|BULLISH
PINS|2025-09-03 16:30|37.0400|37.1100|36.8900|36.9150|277669|0.1250|0.0700|0.0250|BEARISH
PINS|2025-09-03 17:30|36.9150|37.0150|36.7400|36.9951|503871|0.0801|0.0199|0.1750|BULLISH
PINS|2025-09-03 18:30|36.9950|37.0150|36.8150|36.9250|447103|0.0700|0.0200|0.1100|BEARISH
PINS|2025-09-03 19:30|36.9250|37.1600|36.9250|37.1350|866131|0.2100|0.0250|0.0000|BULLISH
PINS|2025-09-04 13:30|37.1500|37.3873|36.4900|36.6565|1388059|0.4935|0.2373|0.1665|BEARISH
PINS|2025-09-04 14:30|36.6550|37.0800|36.6400|37.0350|805365|0.3800|0.0450|0.0150|BULLISH
PINS|2025-09-04 15:30|37.0400|37.1150|36.9850|37.0700|391480|0.0300|0.0450|0.0550|BULLISH
