Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
PLTR|2025-09-02 13:30|151.7500|157.6200|150.2800|157.5800|23653765|5.8300|0.0400|1.4700|BULLISH
PLTR|2025-09-02 14:30|157.5700|158.3900|156.0300|158.0400|12452075|0.4700|0.3500|1.5400|BULLISH
PLTR|2025-09-02 15:30|158.0442|158.1299|155.7800|155.8305|7936900|2.2137|0.0857|0.0505|BEARISH
PLTR|2025-09-02 16:30|155.8300|157.5899|155.7700|157.5499|5213249|1.7199|0.0400|0.0600|BULLISH
PLTR|2025-09-02 17:30|157.5300|158.1300|156.7500|157.0800|5528637|0.4500|0.6000|0.3300|BEARISH
PLTR|2025-09-02 18:30|157.0600|157.6300|156.5500|157.2727|3751134|0.2127|0.3573|0.5100|BULLISH
PLTR|2025-09-02 19:30|157.2500|157.5101|156.8500|157.0900|3754217|0.1600|0.2601|0.2400|BEARISH
PLTR|2025-09-03 13:30|157.9000|160.7200|152.7100|160.5200|20503186|2.6200|0.2000|5.1900|BULLISH
PLTR|2025-09-03 14:30|160.4950|161.1500|159.8630|159.8950|9699098|0.6000|0.6550|0.0320|BEARISH
PLTR|2025-09-03 15:30|159.8801|160.3399|158.4100|158.4800|6142488|1.4001|0.4598|0.0700|BEARISH
PLTR|2025-09-03 16:30|158.4900|158.5800|156.6553|156.8300|7356787|1.6600|0.0900|0.1747|BEARISH
PLTR|2025-09-03 17:30|156.8322|156.9600|154.7800|154.9150|7661617|1.9172|0.1278|0.1350|BEARISH
PLTR|2025-09-03 18:30|154.9100|154.9590|153.1000|154.2500|7151055|0.6600|0.0490|1.1500|BEARISH
PLTR|2025-09-03 19:30|154.2600|155.3400|154.2300|154.8600|4629873|0.6000|0.4800|0.0300|BULLISH
PLTR|2025-09-04 13:30|154.8650|156.4400|153.9900|156.4168|14353989|1.5518|0.0232|0.8750|BULLISH
PLTR|2025-09-04 14:30|156.4100|157.0400|154.5900|155.0133|9236183|1.3967|0.6300|0.4233|BEARISH
PLTR|2025-09-04 15:30|155.0500|155.1533|153.1600|153.3221|7419179|1.7279|0.1033|0.1621|BEARISH
PLTR|2025-09-04 16:30|153.3200|155.4000|153.2350|154.7727|5819474|1.4527|0.6273|0.0850|BULLISH
PLTR|2025-09-04 17:30|154.7701|155.1268|154.0900|154.6025|3768080|0.1676|0.3567|0.5125|BEARISH
PLTR|2025-09-04 18:30|154.5802|155.7200|154.4500|155.5001|5192843|0.9199|0.2199|0.1302|BULLISH
PLTR|2025-09-04 19:30|155.5100|156.2400|155.3234|156.0900|4154579|0.5800|0.1500|0.1866|BULLISH
PLTR|2025-09-05 13:30|157.8600|158.9600|148.4300|148.8400|27003554|9.0200|1.1000|0.4100|BEARISH
PLTR|2025-09-05 14:30|148.7895|150.4800|148.0400|150.0800|18964307|1.2905|0.4000|0.7495|BULLISH
PLTR|2025-09-05 15:30|150.0800|152.9500|150.0000|152.6026|10486644|2.5226|0.3474|0.0800|BULLISH
PLTR|2025-09-05 16:30|152.6050|153.8700|152.0300|153.3300|6300918|0.7250|0.5400|0.5750|BULLISH
PLTR|2025-09-05 17:30|153.3500|154.2100|152.6500|153.9192|5167674|0.5692|0.2908|0.7000|BULLISH
PLTR|2025-09-05 18:30|153.9200|154.2900|153.0900|154.0800|5925467|0.1600|0.2100|0.8300|BULLISH
PLTR|2025-09-05 19:30|154.0800|154.2397|152.8500|153.0900|4769049|0.9900|0.1597|0.2400|BEARISH
PLTR|2025-09-08 13:30|154.8600|158.3000|154.8400|157.5350|18313546|2.6750|0.7650|0.0200|BULLISH
PLTR|2025-09-08 14:30|157.5509|157.9100|156.4000|157.7750|6481154|0.2241|0.1350|1.1509|BULLISH
PLTR|2025-09-08 15:30|157.7750|158.2200|157.0603|157.5916|5106888|0.1834|0.4450|0.5313|BEARISH
PLTR|2025-09-08 16:30|157.5800|157.6199|156.5750|157.2500|3763408|0.3300|0.0399|0.6750|BEARISH
PLTR|2025-09-08 17:30|157.2500|157.3200|156.3000|156.6100|3648002|0.6400|0.0700|0.3100|BEARISH
PLTR|2025-09-08 18:30|156.5900|156.9000|155.7600|156.0800|4267478|0.5100|0.3100|0.3200|BEARISH
PLTR|2025-09-08 19:30|156.0900|156.5300|155.8250|156.0700|3596588|0.0200|0.4400|0.2450|BEARISH
PLTR|2025-09-09 13:30|157.1450|159.6100|156.3700|158.3600|15467930|1.2150|1.2500|0.7750|BULLISH
PLTR|2025-09-09 14:30|158.3200|158.6900|157.1200|158.4075|6356953|0.0875|0.2825|1.2000|BULLISH
PLTR|2025-09-09 15:30|158.4150|162.3700|158.2400|162.3016|13504827|3.8866|0.0684|0.1750|BULLISH
PLTR|2025-09-09 16:30|162.3000|162.7500|161.3400|161.6897|7962868|0.6103|0.4500|0.3497|BEARISH
PLTR|2025-09-09 17:30|161.7200|162.1100|161.0500|161.4174|4428937|0.3026|0.3900|0.3674|BEARISH
PLTR|2025-09-09 18:30|161.4300|162.0525|161.1300|161.5825|4172841|0.1525|0.4700|0.3000|BULLISH
PLTR|2025-09-09 19:30|161.6000|162.5200|161.1601|162.3300|4579321|0.7300|0.1900|0.4399|BULLISH
PLTR|2025-09-10 13:30|166.0100|167.5900|163.4400|167.3900|23717245|1.3800|0.2000|2.5700|BULLISH
PLTR|2025-09-10 14:30|167.3600|168.5100|166.9500|167.8100|10157664|0.4500|0.7000|0.4100|BULLISH
PLTR|2025-09-10 15:30|167.8350|168.1701|165.9200|166.3500|6188701|1.4850|0.3351|0.4300|BEARISH
PLTR|2025-09-10 16:30|166.3500|167.9800|166.0807|167.3800|4708945|1.0300|0.6000|0.2693|BULLISH
PLTR|2025-09-10 17:30|167.3500|168.1200|166.0600|166.3100|3798201|1.0400|0.7700|0.2500|BEARISH
PLTR|2025-09-10 18:30|166.3000|166.7400|164.9207|165.8100|5586459|0.4900|0.4400|0.8893|BEARISH
PLTR|2025-09-10 19:30|165.8400|167.0200|165.6500|166.6900|4351210|0.8500|0.3300|0.1900|BULLISH
PLTR|2025-09-11 13:30|167.2400|167.4580|163.2200|163.6495|14195389|3.5905|0.2180|0.4295|BEARISH
PLTR|2025-09-11 14:30|163.6200|165.7400|163.5450|165.7000|1512635|2.0800|0.0400|0.0750|BULLISH
PLTR|2025-09-11 15:30|165.7300|166.3400|164.8516|165.8900|10498571|0.1600|0.4500|0.8784|BULLISH
PLTR|2025-09-11 16:30|165.9200|166.2399|164.6000|164.6300|3493914|1.2900|0.3199|0.0300|BEARISH
PLTR|2025-09-11 17:30|164.6300|165.3800|164.3900|164.6839|3772023|0.0539|0.6961|0.2400|BULLISH
PLTR|2025-09-11 18:30|164.6850|165.1800|164.5200|165.0507|2744802|0.3657|0.1293|0.1650|BULLISH
PLTR|2025-09-11 19:30|165.0500|165.2100|164.3400|164.3400|3286448|0.7100|0.1600|0.0000|BEARISH
PLTR|2025-09-12 13:30|165.3600|167.7800|164.0100|167.0291|12799362|1.6691|0.7509|1.3500|BULLISH
PLTR|2025-09-12 14:30|167.0400|168.1600|166.3200|167.0900|7409784|0.0500|1.0700|0.7200|BULLISH
PLTR|2025-09-12 15:30|167.1000|167.4400|166.0600|166.8300|3914476|0.2700|0.3400|0.7700|BEARISH
PLTR|2025-09-12 16:30|166.8174|170.2500|166.7700|169.5300|9357260|2.7126|0.7200|0.0474|BULLISH
PLTR|2025-09-12 17:30|169.5297|171.1000|168.8900|170.6150|7212177|1.0853|0.4850|0.6397|BULLISH
PLTR|2025-09-12 18:30|170.6150|171.5300|170.5900|171.5200|5887609|0.9050|0.0100|0.0250|BULLISH
PLTR|2025-09-12 19:30|171.5100|171.5200|170.7600|171.4400|4900200|0.0700|0.0100|0.6800|BEARISH
PLTR|2025-09-15 13:30|169.6300|171.0600|167.7100|168.0600|14739128|1.5700|1.4300|0.3500|BEARISH
PLTR|2025-09-15 14:30|168.0500|168.9600|167.4100|167.9000|8287889|0.1500|0.9100|0.4900|BEARISH
PLTR|2025-09-15 15:30|167.9196|169.7000|167.5100|169.3350|5532039|1.4154|0.3650|0.4096|BULLISH
PLTR|2025-09-15 16:30|169.3600|170.4400|169.2500|170.2200|4290054|0.8600|0.2200|0.1100|BULLISH
PLTR|2025-09-15 17:30|170.2200|170.8600|169.9200|170.1150|3366260|0.1050|0.6400|0.1950|BEARISH
PLTR|2025-09-15 18:30|170.1050|171.3000|170.0800|170.9488|4115764|0.8438|0.3512|0.0250|BULLISH
PLTR|2025-09-15 19:30|170.9300|171.5000|170.5900|171.1800|3142118|0.2500|0.3200|0.3400|BULLISH
PLTR|2025-09-16 13:30|171.1700|171.3000|168.9600|169.8200|11182490|1.3500|0.1300|0.8600|BEARISH
PLTR|2025-09-16 14:30|169.8100|170.6550|169.2400|169.3235|5492883|0.4865|0.8450|0.0835|BEARISH
PLTR|2025-09-16 15:30|169.3101|170.4900|169.0500|170.0400|3928115|0.7299|0.4500|0.2601|BULLISH
PLTR|2025-09-16 16:30|170.0350|170.4699|169.6200|169.8300|2725413|0.2050|0.4349|0.2100|BEARISH
PLTR|2025-09-16 17:30|169.8400|170.4400|169.8400|170.2097|2167027|0.3697|0.2303|0.0000|BULLISH
PLTR|2025-09-16 18:30|170.2036|170.7300|169.9500|170.4200|2980503|0.2164|0.3100|0.2536|BULLISH
