Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
PNR|2025-09-02 13:30|106.1000|106.3150|105.3500|105.9700|98523|0.1300|0.2150|0.6200|BEARISH
PNR|2025-09-02 14:30|105.9500|106.0100|105.4600|106.0000|225207|0.0500|0.0100|0.4900|BULLISH
PNR|2025-09-02 15:30|105.9750|105.9900|105.2550|105.3600|74821|0.6150|0.0150|0.1050|BEARISH
PNR|2025-09-02 16:30|105.3700|105.8100|105.3350|105.8100|66883|0.4400|0.0000|0.0350|BULLISH
PNR|2025-09-02 17:30|105.7950|106.1600|105.7950|105.9550|100754|0.1600|0.2050|0.0000|BULLISH
PNR|2025-09-02 18:30|105.9700|106.2600|105.9700|106.1800|127223|0.2100|0.0800|0.0000|BULLISH
PNR|2025-09-02 19:30|106.1500|106.4300|106.1100|106.2800|219753|0.1300|0.1500|0.0400|BULLISH
PNR|2025-09-03 13:30|106.1500|106.9200|105.4591|106.4500|184116|0.3000|0.4700|0.6909|BULLISH
PNR|2025-09-03 14:30|106.4348|106.8499|106.4348|106.5100|92449|0.0752|0.3399|0.0000|BULLISH
PNR|2025-09-03 15:30|106.5200|106.7900|106.2227|106.4500|56443|0.0700|0.2700|0.2273|BEARISH
PNR|2025-09-03 16:30|106.4200|106.6200|106.3350|106.4654|36409|0.0454|0.1546|0.0850|BULLISH
PNR|2025-09-03 17:30|106.4850|106.5900|105.8685|106.2400|51103|0.2450|0.1050|0.3715|BEARISH
PNR|2025-09-03 18:30|106.2100|106.2900|106.0000|106.0650|46658|0.1450|0.0800|0.0650|BEARISH
PNR|2025-09-03 19:30|106.0900|106.8500|106.0900|106.8400|197228|0.7500|0.0100|0.0000|BULLISH
PNR|2025-09-04 13:30|107.0600|107.8600|106.7550|107.8600|101019|0.8000|0.0000|0.3050|BULLISH
PNR|2025-09-04 14:30|107.8450|108.5900|107.8450|108.5750|52723|0.7300|0.0150|0.0000|BULLISH
