Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
POOL|2025-09-02 13:30|306.4500|307.7700|304.0100|304.7100|57712|1.7400|1.3200|0.7000|BEARISH
POOL|2025-09-02 14:30|304.5850|305.4525|304.2100|304.2100|24047|0.3750|0.8675|0.0000|BEARISH
POOL|2025-09-02 15:30|304.2100|305.3100|303.8600|304.5250|32133|0.3150|0.7850|0.3500|BULLISH
POOL|2025-09-02 16:30|304.9600|305.0350|303.7500|304.6700|31397|0.2900|0.0750|0.9200|BEARISH
POOL|2025-09-02 17:30|304.7250|305.0700|303.9200|304.1800|21259|0.5450|0.3450|0.2600|BEARISH
POOL|2025-09-02 18:30|304.1600|304.9300|303.7500|303.7500|32009|0.4100|0.7700|0.0000|BEARISH
POOL|2025-09-02 19:30|303.9250|305.6900|303.7900|304.8246|77500|0.8996|0.8654|0.1350|BULLISH
POOL|2025-09-03 13:30|303.8500|304.3150|300.0000|300.0000|46146|3.8500|0.4650|0.0000|BEARISH
POOL|2025-09-03 14:30|300.0000|301.8999|300.0000|301.3200|34054|1.3200|0.5799|0.0000|BULLISH
POOL|2025-09-03 15:30|301.6700|302.4050|301.5300|302.3050|37763|0.6350|0.1000|0.1400|BULLISH
POOL|2025-09-03 16:30|302.7400|304.6019|302.7400|304.1500|35776|1.4100|0.4519|0.0000|BULLISH
POOL|2025-09-03 17:30|303.8400|303.9300|302.1700|303.0850|45509|0.7550|0.0900|0.9150|BEARISH
POOL|2025-09-03 18:30|303.0850|303.1800|301.5700|301.9700|44581|1.1150|0.0950|0.4000|BEARISH
POOL|2025-09-03 19:30|302.1200|304.9900|301.9550|304.9300|141253|2.8100|0.0600|0.1650|BULLISH
POOL|2025-09-04 13:30|305.6800|309.5300|304.7600|309.5300|43528|3.8500|0.0000|0.9200|BULLISH
POOL|2025-09-04 14:30|309.2300|312.8150|308.9000|312.7100|65657|3.4800|0.1050|0.3300|BULLISH
POOL|2025-09-04 15:30|312.8600|317.1515|312.8600|314.8900|114176|2.0300|2.2615|0.0000|BULLISH
POOL|2025-09-04 16:30|314.5000|314.9600|313.3650|313.6850|34613|0.8150|0.4600|0.3200|BEARISH
POOL|2025-09-04 17:30|313.4100|314.1000|312.8700|313.0900|31537|0.3200|0.6900|0.2200|BEARISH
POOL|2025-09-04 18:30|313.4700|314.9300|312.9500|314.2400|60654|0.7700|0.6900|0.5200|BULLISH
POOL|2025-09-04 19:30|314.3900|316.3350|314.3000|315.8100|84677|1.4200|0.5250|0.0900|BULLISH
POOL|2025-09-05 13:30|319.2100|330.3700|317.4100|324.5500|131390|5.3400|5.8200|1.8000|BULLISH
POOL|2025-09-05 14:30|324.9700|329.8000|322.5801|329.5650|114378|4.5950|0.2350|2.3899|BULLISH
POOL|2025-09-05 15:30|329.9000|332.2350|329.6000|329.9800|86425|0.0800|2.2550|0.3000|BULLISH
POOL|2025-09-05 16:30|330.0000|331.7200|328.4300|331.7200|91329|1.7200|0.0000|1.5700|BULLISH
POOL|2025-09-05 17:30|331.4000|332.2800|329.9200|329.9200|111621|1.4800|0.8800|0.0000|BEARISH
