Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
PPG|2025-09-02 13:30|109.2400|109.9100|109.0500|109.2500|229039|0.0100|0.6600|0.1900|BULLISH
PPG|2025-09-02 14:30|109.2500|109.3700|108.8500|108.9300|120785|0.3200|0.1200|0.0800|BEARISH
PPG|2025-09-02 15:30|108.9250|109.1800|108.8400|108.8900|107844|0.0350|0.2550|0.0500|BEARISH
PPG|2025-09-02 16:30|108.9100|109.1750|108.8250|109.0850|109327|0.1750|0.0900|0.0850|BULLISH
PPG|2025-09-02 17:30|109.0900|109.4450|109.0850|109.3300|154671|0.2400|0.1150|0.0050|BULLISH
PPG|2025-09-02 18:30|109.3100|109.5900|109.1400|109.5500|165827|0.2400|0.0400|0.1700|BULLISH
PPG|2025-09-02 19:30|109.5500|109.7400|109.4150|109.6100|396176|0.0600|0.1300|0.1350|BULLISH
PPG|2025-09-03 13:30|109.3200|109.9700|108.7400|109.0300|99383|0.2900|0.6500|0.2900|BEARISH
PPG|2025-09-03 14:30|108.9900|109.3100|108.8000|108.8600|80225|0.1300|0.3200|0.0600|BEARISH
PPG|2025-09-03 15:30|108.9300|108.9800|108.6300|108.8800|63373|0.0500|0.0500|0.2500|BEARISH
PPG|2025-09-03 16:30|108.8800|109.2700|108.8800|109.1600|55041|0.2800|0.1100|0.0000|BULLISH
PPG|2025-09-03 17:30|109.1300|109.2300|108.6750|109.2300|62358|0.1000|0.0000|0.4550|BULLISH
PPG|2025-09-03 18:30|109.1850|109.3200|108.6050|108.6700|101343|0.5150|0.1350|0.0650|BEARISH
PPG|2025-09-03 19:30|108.6900|109.1600|108.6900|109.1100|337510|0.4200|0.0500|0.0000|BULLISH
PPG|2025-09-04 13:30|109.7700|109.8600|108.4600|109.0750|214703|0.6950|0.0900|0.6150|BEARISH
PPG|2025-09-04 14:30|109.0750|109.6000|108.9000|109.5350|139048|0.4600|0.0650|0.1750|BULLISH
PPG|2025-09-04 15:30|109.5000|109.7500|109.4950|109.6500|132926|0.1500|0.1000|0.0050|BULLISH
PPG|2025-09-04 16:30|109.6450|109.6850|109.3700|109.4900|93777|0.1550|0.0400|0.1200|BEARISH
PPG|2025-09-04 17:30|109.4600|109.8200|109.3000|109.4000|128862|0.0600|0.3600|0.1000|BEARISH
PPG|2025-09-04 18:30|109.3400|109.6550|109.2600|109.4600|169912|0.1200|0.1950|0.0800|BULLISH
PPG|2025-09-04 19:30|109.4900|109.6400|109.1950|109.6400|351327|0.1500|0.0000|0.2950|BULLISH
PPG|2025-09-05 13:30|110.4300|112.0100|110.3850|110.3850|196013|0.0450|1.5800|0.0000|BEARISH
PPG|2025-09-05 14:30|110.3800|110.3800|109.8200|110.0200|206298|0.3600|0.0000|0.2000|BEARISH
PPG|2025-09-05 15:30|110.0200|110.2250|109.7300|109.7400|130669|0.2800|0.2050|0.0100|BEARISH
PPG|2025-09-05 16:30|109.7000|109.8300|109.4000|109.4000|133424|0.3000|0.1300|0.0000|BEARISH
PPG|2025-09-05 17:30|109.4200|109.5500|109.1100|109.3300|94590|0.0900|0.1300|0.2200|BEARISH
PPG|2025-09-05 18:30|109.3500|109.9490|109.3500|109.7250|154477|0.3750|0.2240|0.0000|BULLISH
PPG|2025-09-05 19:30|109.7400|110.0450|109.5300|109.9900|445238|0.2500|0.0550|0.2100|BULLISH
PPG|2025-09-08 13:30|109.6500|109.6500|108.3450|108.9900|567217|0.6600|0.0000|0.6450|BEARISH
PPG|2025-09-08 14:30|109.0000|110.0600|109.0000|109.9300|92351|0.9300|0.1300|0.0000|BULLISH
PPG|2025-09-08 15:30|109.9350|110.0400|109.6300|109.9300|133685|0.0050|0.1050|0.3000|BEARISH
PPG|2025-09-08 16:30|109.9125|110.4800|109.8400|110.3800|564762|0.4675|0.1000|0.0725|BULLISH
PPG|2025-09-08 17:30|110.3750|110.8186|110.2500|110.7900|402930|0.4150|0.0286|0.1250|BULLISH
PPG|2025-09-08 18:30|110.8100|110.9200|110.5300|110.6300|220006|0.1800|0.1100|0.1000|BEARISH
PPG|2025-09-08 19:30|110.6100|111.6000|110.5900|111.5400|434592|0.9300|0.0600|0.0200|BULLISH
PPG|2025-09-09 13:30|110.3900|110.7650|109.4800|109.5550|248019|0.8350|0.3750|0.0750|BEARISH
PPG|2025-09-09 14:30|109.5550|109.5550|108.8250|109.3200|175594|0.2350|0.0000|0.4950|BEARISH
PPG|2025-09-09 15:30|109.2900|109.4600|108.7875|108.9800|151502|0.3100|0.1700|0.1925|BEARISH
PPG|2025-09-09 16:30|108.9550|109.0800|108.7600|109.0500|152055|0.0950|0.0300|0.1950|BULLISH
PPG|2025-09-09 17:30|109.0350|109.3900|108.9100|109.3900|117406|0.3550|0.0000|0.1250|BULLISH
PPG|2025-09-09 18:30|109.4200|109.4427|108.9000|108.9650|158630|0.4550|0.0227|0.0650|BEARISH
PPG|2025-09-09 19:30|108.9650|109.5750|108.8850|109.3800|396138|0.4150|0.1950|0.0800|BULLISH
PPG|2025-09-10 13:30|108.4400|109.5579|108.1900|109.1800|179288|0.7400|0.3779|0.2500|BULLISH
PPG|2025-09-10 14:30|109.1200|109.3100|108.5000|108.7000|127736|0.4200|0.1900|0.2000|BEARISH
PPG|2025-09-10 15:30|108.7050|109.0450|108.5600|108.7500|129759|0.0450|0.2950|0.1450|BULLISH
PPG|2025-09-10 16:30|108.7650|109.1600|108.5800|108.8900|97962|0.1250|0.2700|0.1850|BULLISH
PPG|2025-09-10 17:30|108.9200|108.9400|108.3700|108.7300|154768|0.1900|0.0200|0.3600|BEARISH
PPG|2025-09-10 18:30|108.7200|109.0350|108.3209|108.3300|174086|0.3900|0.3150|0.0091|BEARISH
PPG|2025-09-10 19:30|108.4100|108.9400|108.3900|108.8100|296627|0.4000|0.1300|0.0200|BULLISH
PPG|2025-09-11 13:30|109.0800|111.0750|108.9950|111.0479|163522|1.9679|0.0271|0.0850|BULLISH
PPG|2025-09-11 14:30|111.1100|111.6300|111.0716|111.4000|147934|0.2900|0.2300|0.0384|BULLISH
PPG|2025-09-11 15:30|111.4600|111.5100|110.9200|111.0800|155036|0.3800|0.0500|0.1600|BEARISH
PPG|2025-09-11 16:30|111.1100|111.4700|110.9900|111.4300|121860|0.3200|0.0400|0.1200|BULLISH
PPG|2025-09-11 17:30|111.4300|111.8200|111.3700|111.7000|166213|0.2700|0.1200|0.0600|BULLISH
PPG|2025-09-11 18:30|111.7600|111.9000|111.4600|111.7600|179764|0.0000|0.1400|0.3000|BULLISH
PPG|2025-09-11 19:30|111.7650|112.1500|111.7500|111.8000|289631|0.0350|0.3500|0.0150|BULLISH
PPG|2025-09-12 13:30|111.1300|111.8000|110.5800|110.7400|192442|0.3900|0.6700|0.1600|BEARISH
PPG|2025-09-12 14:30|110.7900|110.8900|110.3600|110.5200|120157|0.2700|0.1000|0.1600|BEARISH
PPG|2025-09-12 15:30|110.5200|110.7950|110.3850|110.7600|99822|0.2400|0.0350|0.1350|BULLISH
PPG|2025-09-12 16:30|110.7800|111.0700|110.5950|111.0700|71918|0.2900|0.0000|0.1850|BULLISH
PPG|2025-09-12 17:30|110.9965|111.1100|110.7300|110.9900|117161|0.0065|0.1135|0.2600|BEARISH
PPG|2025-09-12 18:30|111.0100|111.1800|110.8100|110.9000|183562|0.1100|0.1700|0.0900|BEARISH
PPG|2025-09-12 19:30|110.9100|111.0500|110.6150|110.7100|360894|0.2000|0.1400|0.0950|BEARISH
PPG|2025-09-15 13:30|111.3300|111.4650|110.2850|110.9650|146866|0.3650|0.1350|0.6800|BEARISH
PPG|2025-09-15 14:30|111.0000|111.0050|109.5900|109.6150|117278|1.3850|0.0050|0.0250|BEARISH
PPG|2025-09-15 15:30|109.6000|109.6400|109.1050|109.6400|107102|0.0400|0.0000|0.4950|BULLISH
PPG|2025-09-15 16:30|109.6400|109.8300|109.4855|109.6800|85267|0.0400|0.1500|0.1545|BULLISH
PPG|2025-09-15 17:30|109.6950|110.1300|109.6700|110.0400|130982|0.3450|0.0900|0.0250|BULLISH
PPG|2025-09-15 18:30|110.0350|110.0700|109.6700|109.7600|138728|0.2750|0.0350|0.0900|BEARISH
PPG|2025-09-15 19:30|109.7100|109.8150|109.3700|109.4800|247594|0.2300|0.1050|0.1100|BEARISH
PPG|2025-09-16 13:30|109.4200|109.9100|108.4000|108.7200|117569|0.7000|0.4900|0.3200|BEARISH
PPG|2025-09-16 14:30|108.7150|109.1850|108.5400|108.5900|116542|0.1250|0.4700|0.0500|BEARISH
PPG|2025-09-16 15:30|108.5900|109.0199|108.4800|108.6300|56353|0.0400|0.3899|0.1100|BULLISH
PPG|2025-09-16 16:30|108.6600|108.9350|108.5500|108.8200|69427|0.1600|0.1150|0.1100|BULLISH
PPG|2025-09-16 17:30|108.8200|108.8800|108.2000|108.3600|97418|0.4600|0.0600|0.1600|BEARISH
PPG|2025-09-16 18:30|108.3800|108.7400|108.1700|108.2400|128910|0.1400|0.3600|0.0700|BEARISH
PPG|2025-09-16 19:30|108.2500|108.7200|107.9150|108.3600|218933|0.1100|0.3600|0.3350|BULLISH
PPG|2025-09-17 13:30|108.8800|110.0800|108.6800|109.8000|119623|0.9200|0.2800|0.2000|BULLISH
PPG|2025-09-17 14:30|109.8000|109.8500|109.3500|109.3800|118448|0.4200|0.0500|0.0300|BEARISH
PPG|2025-09-17 15:30|109.4300|109.8800|109.3600|109.5450|154596|0.1150|0.3350|0.0700|BULLISH
PPG|2025-09-17 16:30|109.5450|109.8150|109.4600|109.6200|79263|0.0750|0.1950|0.0850|BULLISH
PPG|2025-09-17 17:30|109.6200|111.5750|109.3300|110.6900|181388|1.0700|0.8850|0.2900|BULLISH
