Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
PSA|2025-09-02 13:30|292.5200|293.2118|291.3900|291.8500|110679|0.6700|0.6918|0.4600|BEARISH
PSA|2025-09-02 14:30|291.7350|292.0700|290.8700|291.9300|147638|0.1950|0.1400|0.8650|BULLISH
PSA|2025-09-02 15:30|291.8300|292.0800|290.8900|291.0150|154035|0.8150|0.2500|0.1250|BEARISH
PSA|2025-09-02 16:30|291.1100|291.6900|290.7050|291.3200|101381|0.2100|0.3700|0.4050|BULLISH
PSA|2025-09-02 17:30|291.2850|291.3300|289.1800|289.3700|44600|1.9150|0.0450|0.1900|BEARISH
PSA|2025-09-02 18:30|289.2700|289.3500|288.4800|288.5800|61464|0.6900|0.0800|0.1000|BEARISH
PSA|2025-09-02 19:30|288.5600|288.7500|287.8500|288.1000|151070|0.4600|0.1900|0.2500|BEARISH
PSA|2025-09-03 13:30|288.1100|290.2200|287.9200|289.6700|55734|1.5600|0.5500|0.1900|BULLISH
PSA|2025-09-03 14:30|289.8700|291.3700|289.8700|290.6400|51474|0.7700|0.7300|0.0000|BULLISH
PSA|2025-09-03 15:30|290.7800|291.1500|289.7525|290.0800|47442|0.7000|0.3700|0.3275|BEARISH
PSA|2025-09-03 16:30|290.2000|291.4800|289.7200|291.2500|52466|1.0500|0.2300|0.4800|BULLISH
PSA|2025-09-03 17:30|291.2300|292.1700|290.5150|292.0800|69266|0.8500|0.0900|0.7150|BULLISH
PSA|2025-09-03 18:30|292.0600|292.3800|291.0200|291.4556|43831|0.6044|0.3200|0.4356|BEARISH
PSA|2025-09-03 19:30|291.5200|291.9200|291.0100|291.7600|129901|0.2400|0.1600|0.5100|BULLISH
PSA|2025-09-04 13:30|293.2600|294.2400|291.6700|292.3600|44608|0.9000|0.9800|0.6900|BEARISH
PSA|2025-09-04 14:30|292.1950|292.2899|290.3900|290.5100|142411|1.6850|0.0949|0.1200|BEARISH
PSA|2025-09-04 15:30|290.6900|290.9700|289.4050|289.6500|46599|1.0400|0.2800|0.2450|BEARISH
PSA|2025-09-04 16:30|289.6300|289.6550|289.0600|289.5000|38146|0.1300|0.0250|0.4400|BEARISH
PSA|2025-09-04 17:30|289.4750|290.7390|289.2700|290.2725|86045|0.7975|0.4665|0.2050|BULLISH
PSA|2025-09-04 18:30|290.3600|292.1500|290.1645|292.1284|71057|1.7684|0.0216|0.1955|BULLISH
PSA|2025-09-04 19:30|291.9900|292.5200|291.8700|292.1200|133930|0.1300|0.4000|0.1200|BULLISH
PSA|2025-09-05 13:30|295.3200|299.2450|294.5250|296.8400|76822|1.5200|2.4050|0.7950|BULLISH
PSA|2025-09-05 14:30|296.6400|297.3900|295.4300|297.3900|52461|0.7500|0.0000|1.2100|BULLISH
PSA|2025-09-05 15:30|297.5700|297.6300|296.2750|296.6900|37713|0.8800|0.0600|0.4150|BEARISH
PSA|2025-09-05 16:30|296.9100|298.1500|296.7350|298.1050|63079|1.1950|0.0450|0.1750|BULLISH
PSA|2025-09-05 17:30|298.0500|298.2500|296.9800|297.1100|40606|0.9400|0.2000|0.1300|BEARISH
PSA|2025-09-05 18:30|297.1300|298.6000|297.1250|297.9800|62181|0.8500|0.6200|0.0050|BULLISH
PSA|2025-09-05 19:30|298.0700|298.5600|297.2500|297.8900|114369|0.1800|0.4900|0.6400|BEARISH
PSA|2025-09-08 13:30|294.8700|295.6250|291.7000|292.6650|128941|2.2050|0.7550|0.9650|BEARISH
PSA|2025-09-08 14:30|292.8100|295.2400|292.8100|294.9800|54813|2.1700|0.2600|0.0000|BULLISH
PSA|2025-09-08 15:30|294.9450|295.4700|294.0700|294.5800|77171|0.3650|0.5250|0.5100|BEARISH
PSA|2025-09-08 16:30|294.6100|295.0550|294.2800|294.6400|53259|0.0300|0.4150|0.3300|BULLISH
PSA|2025-09-08 17:30|294.8900|294.8900|293.0600|293.5550|53287|1.3350|0.0000|0.4950|BEARISH
PSA|2025-09-08 18:30|293.6500|294.1499|292.3700|292.8300|108121|0.8200|0.4999|0.4600|BEARISH
PSA|2025-09-08 19:30|292.9200|294.9500|292.5200|294.7800|174971|1.8600|0.1700|0.4000|BULLISH
PSA|2025-09-09 13:30|292.6850|294.7800|292.0300|292.3450|84288|0.3400|2.0950|0.3150|BEARISH
PSA|2025-09-09 14:30|292.3450|292.5500|291.1200|291.6800|79511|0.6650|0.2050|0.5600|BEARISH
PSA|2025-09-09 15:30|291.7000|292.8699|290.9500|291.5100|66093|0.1900|1.1699|0.5600|BEARISH
PSA|2025-09-09 16:30|291.1400|291.9800|290.8400|291.9300|57635|0.7900|0.0500|0.3000|BULLISH
PSA|2025-09-09 17:30|292.0200|292.0825|290.9900|291.0200|75281|1.0000|0.0625|0.0300|BEARISH
PSA|2025-09-09 18:30|290.9900|291.3000|289.3800|289.3900|114623|1.6000|0.3100|0.0100|BEARISH
PSA|2025-09-09 19:30|289.3900|290.5900|289.0700|290.1000|189970|0.7100|0.4900|0.3200|BULLISH
PSA|2025-09-10 13:30|289.5700|290.7600|288.8600|289.7900|84495|0.2200|0.9700|0.7100|BULLISH
PSA|2025-09-10 14:30|289.6900|290.9800|289.3600|290.8400|75314|1.1500|0.1400|0.3300|BULLISH
PSA|2025-09-10 15:30|290.8400|291.0400|290.4500|290.4700|62848|0.3700|0.2000|0.0200|BEARISH
PSA|2025-09-10 16:30|290.6173|290.6200|289.1800|289.3750|69973|1.2423|0.0027|0.1950|BEARISH
PSA|2025-09-10 17:30|289.1800|289.9900|289.1800|289.8450|67134|0.6650|0.1450|0.0000|BULLISH
PSA|2025-09-10 18:30|289.7100|290.0900|289.0000|289.0000|61121|0.7100|0.3800|0.0000|BEARISH
PSA|2025-09-10 19:30|288.9850|289.4200|288.5000|288.6700|177479|0.3150|0.4350|0.1700|BEARISH
PSA|2025-09-11 13:30|289.1300|292.5600|289.1300|292.0550|48189|2.9250|0.5050|0.0000|BULLISH
PSA|2025-09-11 14:30|291.7100|293.8099|291.5400|293.5600|47204|1.8500|0.2499|0.1700|BULLISH
PSA|2025-09-11 15:30|293.7400|295.5600|293.7050|294.9658|46340|1.2258|0.5942|0.0350|BULLISH
PSA|2025-09-11 16:30|294.8675|294.9905|294.2300|294.6050|36839|0.2625|0.1230|0.3750|BEARISH
PSA|2025-09-11 17:30|294.6699|295.0450|294.1501|294.5450|38664|0.1249|0.3751|0.3949|BEARISH
PSA|2025-09-11 18:30|294.6700|295.2350|294.1100|295.1100|51451|0.4400|0.1250|0.5600|BULLISH
PSA|2025-09-11 19:30|295.0600|295.6700|294.8500|294.9200|121796|0.1400|0.6100|0.0700|BEARISH
PSA|2025-09-12 13:30|294.3600|295.7700|293.5600|294.5100|162701|0.1500|1.2600|0.8000|BULLISH
PSA|2025-09-12 14:30|294.4000|294.5726|292.4000|292.4500|77915|1.9500|0.1726|0.0500|BEARISH
PSA|2025-09-12 15:30|292.5550|292.8000|291.9350|292.3200|38737|0.2350|0.2450|0.3850|BEARISH
PSA|2025-09-12 16:30|292.3900|292.9700|291.8600|292.7350|32869|0.3450|0.2350|0.5300|BULLISH
PSA|2025-09-12 17:30|292.5500|293.6200|292.1400|293.6200|33102|1.0700|0.0000|0.4100|BULLISH
PSA|2025-09-12 18:30|293.7400|294.0000|293.1400|293.2750|65988|0.4650|0.2600|0.1350|BEARISH
PSA|2025-09-12 19:30|293.2900|293.8000|292.3300|292.3300|99311|0.9600|0.5100|0.0000|BEARISH
PSA|2025-09-15 13:30|291.4500|291.9900|288.9800|289.7100|52736|1.7400|0.5400|0.7300|BEARISH
PSA|2025-09-15 14:30|289.8950|290.2700|288.6500|288.6600|62109|1.2350|0.3750|0.0100|BEARISH
PSA|2025-09-15 15:30|288.5300|288.8389|287.4500|287.8000|48337|0.7300|0.3089|0.3500|BEARISH
