Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
PSX|2025-09-02 13:30|132.7300|133.6400|132.2250|132.7450|232360|0.0150|0.8950|0.5050|BULLISH
PSX|2025-09-02 14:30|132.7400|132.8800|132.0150|132.4750|191003|0.2650|0.1400|0.4600|BEARISH
PSX|2025-09-02 15:30|132.4600|132.7200|132.1600|132.5700|92449|0.1100|0.1500|0.3000|BULLISH
PSX|2025-09-02 16:30|132.6150|133.4200|132.5773|133.0000|163550|0.3850|0.4200|0.0377|BULLISH
PSX|2025-09-02 17:30|132.9950|133.4300|132.7300|132.7600|114669|0.2350|0.4350|0.0300|BEARISH
PSX|2025-09-02 18:30|132.7201|133.3600|132.4600|133.3300|160864|0.6099|0.0300|0.2601|BULLISH
PSX|2025-09-02 19:30|133.3300|133.9500|133.2750|133.8500|431455|0.5200|0.1000|0.0550|BULLISH
PSX|2025-09-03 13:30|131.5000|133.8400|130.0900|130.0900|349957|1.4100|2.3400|0.0000|BEARISH
PSX|2025-09-03 14:30|130.2200|130.8450|129.6700|130.4550|223755|0.2350|0.3900|0.5500|BULLISH
PSX|2025-09-03 15:30|130.5300|131.0800|130.1800|130.6500|191638|0.1200|0.4300|0.3500|BULLISH
PSX|2025-09-03 16:30|130.6100|131.3800|130.5800|131.2850|178843|0.6750|0.0950|0.0300|BULLISH
PSX|2025-09-03 17:30|131.2950|131.4050|130.5200|130.8400|143115|0.4550|0.1100|0.3200|BEARISH
PSX|2025-09-03 18:30|130.7900|130.8800|130.0600|130.3180|209466|0.4720|0.0900|0.2580|BEARISH
PSX|2025-09-03 19:30|130.3300|130.7100|130.3300|130.5500|462370|0.2200|0.1600|0.0000|BULLISH
PSX|2025-09-04 13:30|130.6400|131.2700|129.9300|131.1050|207432|0.4650|0.1650|0.7100|BULLISH
PSX|2025-09-04 14:30|131.1050|131.4650|130.5700|131.3475|118261|0.2425|0.1175|0.5350|BULLISH
PSX|2025-09-04 15:30|131.3900|131.9000|131.2800|131.8500|96663|0.4600|0.0500|0.1100|BULLISH
PSX|2025-09-04 16:30|131.8100|132.0000|131.5500|131.6200|94782|0.1900|0.1900|0.0700|BEARISH
PSX|2025-09-04 17:30|131.5800|132.1800|131.4729|131.6800|158786|0.1000|0.5000|0.1071|BULLISH
PSX|2025-09-04 18:30|131.6300|131.6612|131.2600|131.5300|206963|0.1000|0.0312|0.2700|BEARISH
PSX|2025-09-04 19:30|131.5550|131.9450|131.5500|131.5800|383708|0.0250|0.3650|0.0050|BULLISH
PSX|2025-09-05 13:30|130.7900|132.2500|129.9200|130.9450|183592|0.1550|1.3050|0.8700|BULLISH
PSX|2025-09-05 14:30|131.0700|131.0700|129.8500|130.2375|164347|0.8325|0.0000|0.3875|BEARISH
PSX|2025-09-05 15:30|130.2300|130.6150|129.8700|130.4900|108753|0.2600|0.1250|0.3600|BULLISH
PSX|2025-09-05 16:30|130.4900|130.9400|130.4500|130.4900|97786|0.0000|0.4500|0.0400|BULLISH
PSX|2025-09-05 17:30|130.5000|130.7860|130.1800|130.7000|121799|0.2000|0.0860|0.3200|BULLISH
PSX|2025-09-05 18:30|130.7900|131.5400|130.7900|131.4200|186663|0.6300|0.1200|0.0000|BULLISH
PSX|2025-09-05 19:30|131.4400|131.7650|131.2100|131.5600|403093|0.1200|0.2050|0.2300|BULLISH
PSX|2025-09-08 13:30|132.0400|132.4500|130.3300|130.4050|359189|1.6350|0.4100|0.0750|BEARISH
PSX|2025-09-08 14:30|130.4000|131.5300|129.9350|131.4500|264886|1.0500|0.0800|0.4650|BULLISH
PSX|2025-09-08 15:30|131.4550|131.4550|130.0300|130.5700|154114|0.8850|0.0000|0.5400|BEARISH
PSX|2025-09-08 16:30|130.5700|130.7000|130.4300|130.4793|118770|0.0907|0.1300|0.0493|BEARISH
PSX|2025-09-08 17:30|130.5100|130.6100|129.8450|130.0200|131854|0.4900|0.1000|0.1750|BEARISH
PSX|2025-09-08 18:30|130.0500|130.6100|129.9901|130.0900|247449|0.0400|0.5200|0.0599|BULLISH
PSX|2025-09-08 19:30|130.1000|130.3700|129.8500|130.1300|640385|0.0300|0.2400|0.2500|BULLISH
PSX|2025-09-09 13:30|131.2800|135.2200|131.2350|133.7425|417599|2.4625|1.4775|0.0450|BULLISH
PSX|2025-09-09 14:30|133.7400|133.9900|133.4600|133.5069|158050|0.2331|0.2500|0.0469|BEARISH
PSX|2025-09-09 15:30|133.5700|133.6200|130.1400|133.0600|518450|0.5100|0.0500|2.9200|BEARISH
PSX|2025-09-09 16:30|133.0300|133.4900|133.0150|133.0700|133761|0.0400|0.4200|0.0150|BULLISH
PSX|2025-09-09 17:30|133.1100|133.5500|132.9951|133.3100|130103|0.2000|0.2400|0.1149|BULLISH
PSX|2025-09-09 18:30|133.3400|133.5200|132.8450|133.3800|265160|0.0400|0.1400|0.4950|BULLISH
PSX|2025-09-09 19:30|133.3600|133.4100|132.1600|132.2800|522001|1.0800|0.0500|0.1200|BEARISH
PSX|2025-09-10 13:30|131.9700|133.6900|131.7100|131.8000|232937|0.1700|1.7200|0.0900|BEARISH
PSX|2025-09-10 14:30|131.7800|131.7900|128.3600|128.9450|553389|2.8350|0.0100|0.5850|BEARISH
PSX|2025-09-10 15:30|128.9450|130.8500|128.9000|130.6300|178102|1.6850|0.2200|0.0450|BULLISH
PSX|2025-09-10 16:30|130.6350|130.8799|130.1434|130.3600|138627|0.2750|0.2449|0.2166|BEARISH
PSX|2025-09-10 17:30|130.3600|130.9700|130.2700|130.7850|121701|0.4250|0.1850|0.0900|BULLISH
PSX|2025-09-10 18:30|130.8300|131.1900|130.6740|131.0350|218788|0.2050|0.1550|0.1560|BULLISH
PSX|2025-09-10 19:30|131.0550|131.4900|130.7900|131.4200|486334|0.3650|0.0700|0.2650|BULLISH
PSX|2025-09-11 13:30|131.4400|133.3600|131.1100|132.8500|180473|1.4100|0.5100|0.3300|BULLISH
PSX|2025-09-11 14:30|132.8900|133.1000|131.7900|132.5550|158838|0.3350|0.2100|0.7650|BEARISH
PSX|2025-09-11 15:30|132.6100|132.9725|132.3700|132.4800|126208|0.1300|0.3625|0.1100|BEARISH
PSX|2025-09-11 16:30|132.5100|132.6400|132.0700|132.3700|113570|0.1400|0.1300|0.3000|BEARISH
PSX|2025-09-11 17:30|132.4100|132.5600|131.8000|131.8200|126842|0.5900|0.1500|0.0200|BEARISH
PSX|2025-09-11 18:30|131.8000|132.0700|131.2700|131.7750|220678|0.0250|0.2700|0.5050|BEARISH
PSX|2025-09-11 19:30|131.8000|132.5400|131.7700|132.5200|485747|0.7200|0.0200|0.0300|BULLISH
PSX|2025-09-12 13:30|132.6900|133.3000|132.1100|132.1600|233038|0.5300|0.6100|0.0500|BEARISH
PSX|2025-09-12 14:30|132.1700|132.2100|131.2400|131.4300|124224|0.7400|0.0400|0.1900|BEARISH
PSX|2025-09-12 15:30|131.5000|131.9500|131.4000|131.5700|106378|0.0700|0.3800|0.1000|BULLISH
PSX|2025-09-12 16:30|131.5600|131.6150|131.0600|131.0700|81563|0.4900|0.0550|0.0100|BEARISH
PSX|2025-09-12 17:30|131.1000|131.4750|131.0950|131.2200|95348|0.1200|0.2550|0.0050|BULLISH
PSX|2025-09-12 18:30|131.2100|131.2700|130.7300|131.0900|125896|0.1200|0.0600|0.3600|BEARISH
PSX|2025-09-12 19:30|131.1000|131.1093|130.6900|130.7900|299179|0.3100|0.0093|0.1000|BEARISH
PSX|2025-09-15 13:30|130.7900|131.9600|130.1600|131.9600|127912|1.1700|0.0000|0.6300|BULLISH
PSX|2025-09-15 14:30|131.9900|132.1300|130.9500|131.0100|171958|0.9800|0.1400|0.0600|BEARISH
PSX|2025-09-15 15:30|131.0100|131.6900|130.3800|131.6500|133229|0.6400|0.0400|0.6300|BULLISH
PSX|2025-09-15 16:30|131.6250|131.6900|131.2500|131.3200|113806|0.3050|0.0650|0.0700|BEARISH
PSX|2025-09-15 17:30|131.3150|131.6600|130.8800|131.1700|111238|0.1450|0.3450|0.2900|BEARISH
PSX|2025-09-15 18:30|131.1850|131.3800|130.9650|131.1450|165109|0.0400|0.1950|0.1800|BEARISH
PSX|2025-09-15 19:30|131.1400|131.4200|130.8800|131.1800|335185|0.0400|0.2400|0.2600|BULLISH
PSX|2025-09-16 13:30|132.1500|133.3300|131.5000|133.0200|178990|0.8700|0.3100|0.6500|BULLISH
PSX|2025-09-16 14:30|133.0300|133.3500|132.3010|133.0500|192499|0.0200|0.3000|0.7290|BULLISH
PSX|2025-09-16 15:30|133.1000|133.5850|133.0800|133.1600|132959|0.0600|0.4250|0.0200|BULLISH
PSX|2025-09-16 16:30|133.1900|133.4900|131.8800|133.0850|196479|0.1050|0.3000|1.2050|BEARISH
PSX|2025-09-16 17:30|133.0751|133.3700|133.0100|133.1500|166829|0.0749|0.2200|0.0651|BULLISH
PSX|2025-09-16 18:30|133.1600|133.5500|133.0500|133.2000|174214|0.0400|0.3500|0.1100|BULLISH
PSX|2025-09-16 19:30|133.2400|133.2650|132.8800|133.0500|382141|0.1900|0.0250|0.1700|BEARISH
PSX|2025-09-17 13:30|132.1950|134.6050|132.0000|134.3700|133978|2.1750|0.2350|0.1950|BULLISH
PSX|2025-09-17 14:30|134.5000|134.7550|133.1800|133.2184|124150|1.2816|0.2550|0.0384|BEARISH
PSX|2025-09-17 15:30|133.3000|133.8790|133.1700|133.1850|144825|0.1150|0.5790|0.0150|BEARISH
PSX|2025-09-17 16:30|133.1500|133.7800|133.1050|133.3900|155009|0.2400|0.3900|0.0450|BULLISH
PSX|2025-09-17 17:30|133.3800|134.3600|133.2250|134.2800|219753|0.9000|0.0800|0.1550|BULLISH
PSX|2025-09-17 18:30|134.3600|134.4400|132.0400|133.6300|258037|0.7300|0.0800|1.5900|BEARISH
PSX|2025-09-17 19:30|133.5750|133.7200|132.9510|133.1800|377758|0.3950|0.1450|0.2290|BEARISH
PSX|2025-09-18 13:30|134.1000|134.1000|132.7100|132.8400|133131|1.2600|0.0000|0.1300|BEARISH
PSX|2025-09-18 14:30|132.7700|133.0400|131.0000|131.6600|214262|1.1100|0.2700|0.6600|BEARISH
PSX|2025-09-18 15:30|131.7000|132.4700|131.4700|131.4850|124245|0.2150|0.7700|0.0150|BEARISH
PSX|2025-09-18 16:30|131.4900|131.7850|130.9400|131.0200|137972|0.4700|0.2950|0.0800|BEARISH
PSX|2025-09-18 17:30|130.9800|131.4300|130.9800|131.1400|140573|0.1600|0.2900|0.0000|BULLISH
PSX|2025-09-18 18:30|131.1600|132.0650|131.1400|131.9750|290876|0.8150|0.0900|0.0200|BULLISH
