Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
PVH|2025-09-02 13:30|83.4100|84.3500|82.6045|84.2350|89870|0.8250|0.1150|0.8055|BULLISH
PVH|2025-09-02 14:30|84.2300|84.6000|83.9600|84.5500|115477|0.3200|0.0500|0.2700|BULLISH
PVH|2025-09-02 15:30|84.5900|85.4400|84.4700|85.4400|164811|0.8500|0.0000|0.1200|BULLISH
PVH|2025-09-02 16:30|85.4400|86.3200|85.4400|86.1200|142740|0.6800|0.2000|0.0000|BULLISH
PVH|2025-09-02 17:30|86.1250|86.5100|85.9600|86.0150|105992|0.1100|0.3850|0.0550|BEARISH
PVH|2025-09-02 18:30|86.0600|86.1450|85.7600|86.1300|165863|0.0700|0.0150|0.3000|BULLISH
PVH|2025-09-02 19:30|86.1200|86.5800|85.8000|85.9800|472363|0.1400|0.4600|0.1800|BEARISH
PVH|2025-09-03 13:30|86.5000|87.6100|85.7001|86.1500|138016|0.3500|1.1100|0.4499|BEARISH
PVH|2025-09-03 14:30|86.2000|86.6300|86.0600|86.1450|95545|0.0550|0.4300|0.0850|BEARISH
PVH|2025-09-03 15:30|86.2400|86.3600|85.9300|86.1900|79779|0.0500|0.1200|0.2600|BEARISH
PVH|2025-09-03 16:30|86.2200|86.6550|86.2200|86.3300|121627|0.1100|0.3250|0.0000|BULLISH
PVH|2025-09-03 17:30|86.3350|86.4000|85.8250|85.8750|86739|0.4600|0.0650|0.0500|BEARISH
PVH|2025-09-03 18:30|85.8500|86.0250|85.3500|85.5950|199417|0.2550|0.1750|0.2450|BEARISH
PVH|2025-09-03 19:30|85.6000|85.8000|85.3300|85.3600|251904|0.2400|0.2000|0.0300|BEARISH
PVH|2025-09-04 13:30|85.0400|86.1300|84.6800|86.0850|133288|1.0450|0.0450|0.3600|BULLISH
PVH|2025-09-04 14:30|86.1800|86.6800|85.9500|86.6545|96940|0.4745|0.0255|0.2300|BULLISH
PVH|2025-09-04 15:30|86.6900|87.2950|86.6700|87.2450|87032|0.5550|0.0500|0.0200|BULLISH
PVH|2025-09-04 16:30|87.2700|87.6200|87.1900|87.6200|129486|0.3500|0.0000|0.0800|BULLISH
PVH|2025-09-04 17:30|87.6000|87.9400|87.4600|87.9100|127866|0.3100|0.0300|0.1400|BULLISH
PVH|2025-09-04 18:30|87.9050|88.9200|87.8800|88.7700|183514|0.8650|0.1500|0.0250|BULLISH
PVH|2025-09-04 19:30|88.8100|89.4200|88.7800|89.3200|375582|0.5100|0.1000|0.0300|BULLISH
PVH|2025-09-05 13:30|88.7800|89.7900|88.7475|88.8350|144368|0.0550|0.9550|0.0325|BULLISH
PVH|2025-09-05 14:30|88.8350|88.9200|88.3600|88.6300|100146|0.2050|0.0850|0.2700|BEARISH
PVH|2025-09-05 15:30|88.6300|88.7800|88.2100|88.4900|88607|0.1400|0.1500|0.2800|BEARISH
PVH|2025-09-05 16:30|88.5000|88.8000|87.8900|87.9050|128371|0.5950|0.3000|0.0150|BEARISH
PVH|2025-09-05 17:30|87.9500|87.9600|86.8400|86.9700|140742|0.9800|0.0100|0.1300|BEARISH
PVH|2025-09-05 18:30|87.0100|88.0100|87.0100|87.6100|161422|0.6000|0.4000|0.0000|BULLISH
PVH|2025-09-05 19:30|87.6400|88.0000|87.5000|87.7500|321229|0.1100|0.2500|0.1400|BULLISH
PVH|2025-09-08 13:30|87.8700|87.8800|85.4700|85.7050|124663|2.1650|0.0100|0.2350|BEARISH
PVH|2025-09-08 14:30|85.7050|85.9600|85.1940|85.2500|117565|0.4550|0.2550|0.0560|BEARISH
PVH|2025-09-08 15:30|85.2000|85.5000|85.0650|85.1900|1013810|0.0100|0.3000|0.1250|BEARISH
PVH|2025-09-08 16:30|85.1900|85.2300|84.6300|84.7300|80373|0.4600|0.0400|0.1000|BEARISH
PVH|2025-09-08 17:30|84.7500|84.7900|84.2800|84.6950|98850|0.0550|0.0400|0.4150|BEARISH
PVH|2025-09-08 18:30|84.7300|85.0700|84.3800|84.5000|144330|0.2300|0.3400|0.1200|BEARISH
PVH|2025-09-08 19:30|84.4950|84.6700|84.2100|84.6200|286631|0.1250|0.0500|0.2850|BULLISH
PVH|2025-09-09 13:30|84.6200|84.7200|82.1500|82.2250|157634|2.3950|0.1000|0.0750|BEARISH
PVH|2025-09-09 14:30|82.2000|82.9900|82.1500|82.9450|108625|0.7450|0.0450|0.0500|BULLISH
PVH|2025-09-09 15:30|82.9800|83.2200|82.6000|82.7250|83266|0.2550|0.2400|0.1250|BEARISH
PVH|2025-09-09 16:30|82.7250|82.7640|82.2850|82.6500|90428|0.0750|0.0390|0.3650|BEARISH
PVH|2025-09-09 17:30|82.6400|82.8900|82.5600|82.8900|83452|0.2500|0.0000|0.0800|BULLISH
PVH|2025-09-09 18:30|82.8900|82.9000|81.6400|82.0700|134247|0.8200|0.0100|0.4300|BEARISH
PVH|2025-09-09 19:30|82.0600|82.5700|81.7940|82.2800|338033|0.2200|0.2900|0.2660|BULLISH
PVH|2025-09-10 13:30|81.4800|82.7050|81.4800|81.7900|88939|0.3100|0.9150|0.0000|BULLISH
PVH|2025-09-10 14:30|81.7500|81.7500|81.0500|81.3000|90352|0.4500|0.0000|0.2500|BEARISH
PVH|2025-09-10 15:30|81.2300|81.4400|81.1200|81.1500|63007|0.0800|0.2100|0.0300|BEARISH
PVH|2025-09-10 16:30|81.1850|81.5700|80.9700|81.3800|84539|0.1950|0.1900|0.2150|BULLISH
PVH|2025-09-10 17:30|81.3550|81.5700|81.0250|81.4800|83172|0.1250|0.0900|0.3300|BULLISH
PVH|2025-09-10 18:30|81.4950|81.6400|81.1900|81.2000|96190|0.2950|0.1450|0.0100|BEARISH
PVH|2025-09-10 19:30|81.2000|81.6400|81.0600|81.6200|264774|0.4200|0.0200|0.1400|BULLISH
PVH|2025-09-11 13:30|82.0400|83.5000|81.9850|82.6600|156531|0.6200|0.8400|0.0550|BULLISH
PVH|2025-09-11 14:30|82.6100|83.0400|82.4850|82.8500|87840|0.2400|0.1900|0.1250|BULLISH
PVH|2025-09-11 15:30|82.8500|82.9500|81.8000|81.9550|92622|0.8950|0.1000|0.1550|BEARISH
PVH|2025-09-11 16:30|81.9700|81.9900|81.5100|81.8650|88588|0.1050|0.0200|0.3550|BEARISH
PVH|2025-09-11 17:30|81.8650|81.9800|81.6450|81.6600|91465|0.2050|0.1150|0.0150|BEARISH
PVH|2025-09-11 18:30|81.6400|82.5100|81.4850|82.3900|124108|0.7500|0.1200|0.1550|BULLISH
PVH|2025-09-11 19:30|82.3900|82.3925|81.7700|82.0000|279716|0.3900|0.0025|0.2300|BEARISH
PVH|2025-09-12 13:30|81.7100|82.2200|81.1600|81.3500|130908|0.3600|0.5100|0.1900|BEARISH
PVH|2025-09-12 14:30|81.3500|82.3050|81.2450|82.2000|87914|0.8500|0.1050|0.1050|BULLISH
PVH|2025-09-12 15:30|82.2000|82.2900|81.7400|81.8800|70444|0.3200|0.0900|0.1400|BEARISH
PVH|2025-09-12 16:30|81.9000|82.4400|81.9000|82.3500|94344|0.4500|0.0900|0.0000|BULLISH
PVH|2025-09-12 17:30|82.3300|82.3600|81.5500|81.6150|89434|0.7150|0.0300|0.0650|BEARISH
PVH|2025-09-12 18:30|81.6100|81.6300|81.2000|81.4400|112396|0.1700|0.0200|0.2400|BEARISH
PVH|2025-09-12 19:30|81.4150|81.7000|81.0500|81.0500|227025|0.3650|0.2850|0.0000|BEARISH
PVH|2025-09-15 13:30|81.9500|82.9700|81.1300|82.9700|103859|1.0200|0.0000|0.8200|BULLISH
PVH|2025-09-15 14:30|82.9850|83.0000|82.4200|82.9150|90485|0.0700|0.0150|0.4950|BEARISH
PVH|2025-09-15 15:30|82.9150|83.2100|82.9050|83.0250|55999|0.1100|0.1850|0.0100|BULLISH
PVH|2025-09-15 16:30|83.0400|83.5850|83.0400|83.1150|50770|0.0750|0.4700|0.0000|BULLISH
PVH|2025-09-15 17:30|83.1600|83.6500|83.1600|83.2750|76049|0.1150|0.3750|0.0000|BULLISH
PVH|2025-09-15 18:30|83.2850|83.9200|83.1400|83.7200|111870|0.4350|0.2000|0.1450|BULLISH
PVH|2025-09-15 19:30|83.7300|84.3400|83.6600|84.0300|292968|0.3000|0.3100|0.0700|BULLISH
PVH|2025-09-16 13:30|83.5900|83.9800|81.1600|81.2100|117689|2.3800|0.3900|0.0500|BEARISH
PVH|2025-09-16 14:30|81.2250|81.7200|81.0500|81.7100|78563|0.4850|0.0100|0.1750|BULLISH
PVH|2025-09-16 15:30|81.8100|82.0500|81.5900|81.8900|75470|0.0800|0.1600|0.2200|BULLISH
PVH|2025-09-16 16:30|81.8875|82.2400|81.8800|82.1700|58462|0.2825|0.0700|0.0075|BULLISH
PVH|2025-09-16 17:30|82.1700|82.6300|82.1000|82.3200|68483|0.1500|0.3100|0.0700|BULLISH
PVH|2025-09-16 18:30|82.3500|82.7700|82.3200|82.3850|103758|0.0350|0.3850|0.0300|BULLISH
PVH|2025-09-16 19:30|82.4200|83.2400|82.4200|82.9200|246396|0.5000|0.3200|0.0000|BULLISH
PVH|2025-09-17 13:30|83.2900|84.2900|83.1000|84.1500|134224|0.8600|0.1400|0.1900|BULLISH
PVH|2025-09-17 14:30|84.1300|84.2600|83.6700|83.7300|69092|0.4000|0.1300|0.0600|BEARISH
PVH|2025-09-17 15:30|83.7300|84.1600|83.6800|83.7800|51182|0.0500|0.3800|0.0500|BULLISH
PVH|2025-09-17 16:30|83.7400|83.9300|83.4700|83.4700|45396|0.2700|0.1900|0.0000|BEARISH
PVH|2025-09-17 17:30|83.4600|85.6300|83.4100|84.9700|110868|1.5100|0.6600|0.0500|BULLISH
PVH|2025-09-17 18:30|84.8700|84.9200|83.1200|84.0300|207267|0.8400|0.0500|0.9100|BEARISH
PVH|2025-09-17 19:30|84.0200|84.4600|83.6250|84.1000|181269|0.0800|0.3600|0.3950|BULLISH
PVH|2025-09-18 13:30|84.9400|85.4900|83.8900|85.2300|88968|0.2900|0.2600|1.0500|BULLISH
PVH|2025-09-18 14:30|85.2900|85.3700|84.5500|84.8100|67276|0.4800|0.0800|0.2600|BEARISH
PVH|2025-09-18 15:30|84.8500|85.5300|84.7700|85.5100|70484|0.6600|0.0200|0.0800|BULLISH
PVH|2025-09-18 16:30|85.5100|85.9700|85.4200|85.8400|130875|0.3300|0.1300|0.0900|BULLISH
PVH|2025-09-18 17:30|85.7900|85.8900|85.3800|85.5600|88896|0.2300|0.1000|0.1800|BEARISH
PVH|2025-09-18 18:30|85.5600|86.1600|85.5000|86.0700|122731|0.5100|0.0900|0.0600|BULLISH
PVH|2025-09-18 19:30|86.0300|86.9200|85.7800|86.9000|308175|0.8700|0.0200|0.2500|BULLISH
PVH|2025-09-19 13:30|86.8500|86.9300|85.7900|86.8200|150285|0.0300|0.0800|1.0300|BEARISH
PVH|2025-09-19 14:30|86.8960|87.0100|86.0750|86.1300|191761|0.7660|0.1140|0.0550|BEARISH
PVH|2025-09-19 15:30|86.1650|87.1500|86.1650|87.1000|77817|0.9350|0.0500|0.0000|BULLISH
PVH|2025-09-19 16:30|87.0300|87.0300|86.4400|86.6700|81563|0.3600|0.0000|0.2300|BEARISH
PVH|2025-09-19 17:30|86.6600|86.6600|86.1950|86.3600|91751|0.3000|0.0000|0.1650|BEARISH
PVH|2025-09-19 18:30|86.3250|87.3000|86.2900|87.2400|126192|0.9150|0.0600|0.0350|BULLISH
PVH|2025-09-19 19:30|87.2000|87.2100|86.5000|86.5300|233373|0.6700|0.0100|0.0300|BEARISH
PVH|2025-09-22 13:30|86.2100|86.6200|85.2234|85.3700|109512|0.8400|0.4100|0.1466|BEARISH
PVH|2025-09-22 14:30|85.3975|86.3400|85.0846|86.1400|128482|0.7425|0.2000|0.3129|BULLISH
PVH|2025-09-22 15:30|86.1450|86.3250|85.6500|85.7700|104176|0.3750|0.1800|0.1200|BEARISH
PVH|2025-09-22 16:30|85.6900|86.0250|85.6000|85.7600|91844|0.0700|0.2650|0.0900|BULLISH
PVH|2025-09-22 17:30|85.8000|86.2900|85.7050|85.9500|122790|0.1500|0.3400|0.0950|BULLISH
PVH|2025-09-22 18:30|85.9500|85.9600|85.3300|85.3300|159628|0.6200|0.0100|0.0000|BEARISH
PVH|2025-09-22 19:30|85.3200|85.4900|84.8900|85.0800|255498|0.2400|0.1700|0.1900|BEARISH
PVH|2025-09-23 13:30|85.2500|87.1200|85.2500|86.6100|110295|1.3600|0.5100|0.0000|BULLISH
PVH|2025-09-23 14:30|86.6000|88.4600|86.6000|88.2500|92441|1.6500|0.2100|0.0000|BULLISH
PVH|2025-09-23 15:30|88.2500|88.2900|87.7301|87.9800|71173|0.2700|0.0400|0.2499|BEARISH
PVH|2025-09-23 16:30|87.8800|88.4202|87.8000|88.2000|95421|0.3200|0.2202|0.0800|BULLISH
PVH|2025-09-23 17:30|88.2100|88.2100|87.6900|88.0700|115436|0.1400|0.0000|0.3800|BEARISH
PVH|2025-09-23 18:30|88.0300|88.3500|87.9400|88.2400|149419|0.2100|0.1100|0.0900|BULLISH
PVH|2025-09-23 19:30|88.2400|88.5000|87.7300|87.7700|266801|0.4700|0.2600|0.0400|BEARISH
PVH|2025-09-24 13:30|87.9100|89.0800|87.7750|88.7050|91144|0.7950|0.3750|0.1350|BULLISH
PVH|2025-09-24 14:30|88.7000|89.0600|88.3500|88.4950|136029|0.2050|0.3600|0.1450|BEARISH
PVH|2025-09-24 15:30|88.4750|88.5200|87.9900|88.2100|94795|0.2650|0.0450|0.2200|BEARISH
PVH|2025-09-24 16:30|88.2100|88.5100|87.9900|88.2600|54981|0.0500|0.2500|0.2200|BULLISH
PVH|2025-09-24 17:30|88.2900|88.7600|88.2900|88.6300|62480|0.3400|0.1300|0.0000|BULLISH
PVH|2025-09-24 18:30|88.5900|89.0450|88.4900|89.0100|100384|0.4200|0.0350|0.1000|BULLISH
PVH|2025-09-24 19:30|89.0600|89.6800|89.0600|89.5200|281326|0.4600|0.1600|0.0000|BULLISH
PVH|2025-09-25 13:30|89.0000|89.0000|86.4050|86.4800|132400|2.5200|0.0000|0.0750|BEARISH
