Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
PWR|2025-09-02 13:30|370.0000|374.0400|366.3500|374.0400|153377|4.0400|0.0000|3.6500|BULLISH
PWR|2025-09-02 14:30|374.0300|375.1515|372.7700|374.7950|77577|0.7650|0.3565|1.2600|BULLISH
PWR|2025-09-02 15:30|374.6600|375.1900|372.0400|372.4500|61293|2.2100|0.5300|0.4100|BEARISH
PWR|2025-09-02 16:30|372.7100|372.7800|371.8200|372.7700|44310|0.0600|0.0100|0.8900|BULLISH
PWR|2025-09-02 17:30|372.8700|373.5000|372.7300|373.0350|46756|0.1650|0.4650|0.1400|BULLISH
PWR|2025-09-02 18:30|373.1300|374.1900|373.0100|374.1700|65933|1.0400|0.0200|0.1200|BULLISH
PWR|2025-09-02 19:30|374.1050|375.2400|373.9900|374.7400|134633|0.6350|0.5000|0.1150|BULLISH
PWR|2025-09-03 13:30|376.4900|378.4000|374.1700|375.8000|93002|0.6900|1.9100|1.6300|BEARISH
PWR|2025-09-03 14:30|375.8400|377.5027|375.2000|375.2000|80388|0.6400|1.6627|0.0000|BEARISH
PWR|2025-09-03 15:30|375.5200|376.0363|374.7500|374.9100|78708|0.6100|0.5163|0.1600|BEARISH
PWR|2025-09-03 16:30|374.9150|374.9200|372.4300|372.9450|82380|1.9700|0.0050|0.5150|BEARISH
PWR|2025-09-03 17:30|373.0000|373.2000|371.3850|372.2400|60643|0.7600|0.2000|0.8550|BEARISH
PWR|2025-09-03 18:30|371.9800|373.2458|371.4900|372.5500|85491|0.5700|0.6958|0.4900|BULLISH
PWR|2025-09-03 19:30|372.5000|374.6500|372.2251|374.2800|144480|1.7800|0.3700|0.2749|BULLISH
PWR|2025-09-04 13:30|375.3000|376.0400|370.9300|373.0200|127347|2.2800|0.7400|2.0900|BEARISH
PWR|2025-09-04 14:30|373.3900|377.4600|373.3050|377.2600|129662|3.8700|0.2000|0.0850|BULLISH
PWR|2025-09-04 15:30|377.4948|377.6900|376.6788|377.1000|67073|0.3948|0.1952|0.4212|BEARISH
PWR|2025-09-04 16:30|377.2100|378.2600|376.8500|377.9100|77186|0.7000|0.3500|0.3600|BULLISH
PWR|2025-09-04 17:30|378.1000|378.8000|376.9350|377.0750|88703|1.0250|0.7000|0.1400|BEARISH
PWR|2025-09-04 18:30|377.4000|377.7600|374.9700|375.5700|109816|1.8300|0.3600|0.6000|BEARISH
PWR|2025-09-04 19:30|375.4800|376.2800|375.2300|376.0900|195794|0.6100|0.1900|0.2500|BULLISH
PWR|2025-09-05 13:30|378.4700|379.0900|364.1857|368.1650|228147|10.3050|0.6200|3.9793|BEARISH
PWR|2025-09-05 14:30|368.1650|369.5750|363.0100|365.3400|160478|2.8250|1.4100|2.3300|BEARISH
PWR|2025-09-05 15:30|365.3300|367.7100|365.0700|366.7550|89625|1.4250|0.9550|0.2600|BULLISH
PWR|2025-09-05 16:30|366.7800|371.1700|366.7800|370.5650|97515|3.7850|0.6050|0.0000|BULLISH
PWR|2025-09-05 17:30|370.5700|373.2600|369.7000|372.9750|122609|2.4050|0.2850|0.8700|BULLISH
PWR|2025-09-05 18:30|372.9800|374.1100|372.6000|373.2932|99313|0.3132|0.8168|0.3800|BULLISH
PWR|2025-09-05 19:30|373.1900|373.3800|371.7000|372.4400|186745|0.7500|0.1900|0.7400|BEARISH
PWR|2025-09-08 13:30|377.0100|380.0000|373.4100|377.0050|146122|0.0050|2.9900|3.5950|BEARISH
PWR|2025-09-08 14:30|377.1000|379.4600|377.1000|379.4600|82358|2.3600|0.0000|0.0000|BULLISH
PWR|2025-09-08 15:30|379.3800|379.7900|377.5400|377.9800|111908|1.4000|0.4100|0.4400|BEARISH
