Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
RCL|2025-09-02 13:30|355.5000|358.3050|351.5400|354.8500|357849|0.6500|2.8050|3.3100|BEARISH
RCL|2025-09-02 14:30|354.7150|354.8990|350.4100|351.3600|179278|3.3550|0.1840|0.9500|BEARISH
RCL|2025-09-02 15:30|350.8900|351.0200|348.2659|349.4450|140470|1.4450|0.1300|1.1791|BEARISH
RCL|2025-09-02 16:30|349.4550|353.1900|349.4550|353.1900|122970|3.7350|0.0000|0.0000|BULLISH
RCL|2025-09-02 17:30|353.1900|354.6700|352.8900|354.0900|156945|0.9000|0.5800|0.3000|BULLISH
RCL|2025-09-02 18:30|353.8600|354.7200|352.8750|353.3300|179696|0.5300|0.8600|0.4550|BEARISH
RCL|2025-09-02 19:30|353.2101|354.3500|352.9400|354.0900|290024|0.8799|0.2600|0.2701|BULLISH
RCL|2025-09-03 13:30|354.7200|358.6900|352.8700|358.2000|206854|3.4800|0.4900|1.8500|BULLISH
RCL|2025-09-03 14:30|358.1050|358.7550|355.8850|356.4250|134330|1.6800|0.6500|0.5400|BEARISH
RCL|2025-09-03 15:30|356.4300|356.7511|355.7600|355.8300|77492|0.6000|0.3211|0.0700|BEARISH
RCL|2025-09-03 16:30|355.7608|355.7850|353.7900|354.0700|101791|1.6908|0.0242|0.2800|BEARISH
RCL|2025-09-03 17:30|353.7900|354.1350|352.3716|353.7600|101800|0.0300|0.3450|1.3884|BEARISH
RCL|2025-09-03 18:30|353.8000|354.4400|353.0900|353.4150|140378|0.3850|0.6400|0.3250|BEARISH
RCL|2025-09-03 19:30|353.5300|355.1500|353.4250|354.7500|216640|1.2200|0.4000|0.1050|BULLISH
RCL|2025-09-04 13:30|354.4500|359.5000|353.5500|359.2300|152376|4.7800|0.2700|0.9000|BULLISH
RCL|2025-09-04 14:30|358.6200|361.6200|358.6200|361.4450|117112|2.8250|0.1750|0.0000|BULLISH
RCL|2025-09-04 15:30|360.9955|362.6600|360.4500|360.8272|92564|0.1683|1.6645|0.3772|BEARISH
RCL|2025-09-04 16:30|360.8500|361.2200|359.9750|360.2628|60927|0.5872|0.3700|0.2878|BEARISH
RCL|2025-09-04 17:30|360.2020|360.4100|358.9150|358.9450|69742|1.2570|0.2080|0.0300|BEARISH
RCL|2025-09-04 18:30|358.9100|361.5600|358.4100|361.5600|160468|2.6500|0.0000|0.5000|BULLISH
RCL|2025-09-04 19:30|361.5400|361.9400|360.0200|360.0900|222351|1.4500|0.4000|0.0700|BEARISH
RCL|2025-09-05 13:30|361.2000|362.7900|354.1200|354.7300|251969|6.4700|1.5900|0.6100|BEARISH
RCL|2025-09-05 14:30|354.3700|354.5350|350.5650|353.5441|207358|0.8259|0.1650|2.9791|BEARISH
RCL|2025-09-05 15:30|353.7400|354.1200|352.1300|352.1800|103890|1.5600|0.3800|0.0500|BEARISH
RCL|2025-09-05 16:30|352.2600|352.4300|350.4100|350.5550|117165|1.7050|0.1700|0.1450|BEARISH
RCL|2025-09-05 17:30|350.4600|351.2400|349.3367|351.2400|120115|0.7800|0.0000|1.1233|BULLISH
RCL|2025-09-05 18:30|351.2900|352.8200|351.2900|351.9350|151675|0.6450|0.8850|0.0000|BULLISH
RCL|2025-09-05 19:30|351.9400|352.7900|351.0000|352.4400|255108|0.5000|0.3500|0.9400|BULLISH
RCL|2025-09-08 13:30|354.0000|360.0900|353.3900|357.4900|363115|3.4900|2.6000|0.6100|BULLISH
RCL|2025-09-08 14:30|357.2700|358.3800|349.4100|351.4900|264196|5.7800|1.1100|2.0800|BEARISH
RCL|2025-09-08 15:30|351.8250|352.0950|349.9000|351.2000|149514|0.6250|0.2700|1.3000|BEARISH
RCL|2025-09-08 16:30|351.0250|352.1500|350.2300|352.0150|83695|0.9900|0.1350|0.7950|BULLISH
RCL|2025-09-08 17:30|352.0100|353.1340|350.9643|353.1300|90515|1.1200|0.0040|1.0457|BULLISH
RCL|2025-09-08 18:30|352.9200|353.7900|350.5900|350.8350|162171|2.0850|0.8700|0.2450|BEARISH
RCL|2025-09-08 19:30|350.9300|351.9698|350.3400|350.9400|297715|0.0100|1.0298|0.5900|BULLISH
RCL|2025-09-09 13:30|350.0700|352.5600|347.5720|350.3400|114971|0.2700|2.2200|2.4980|BULLISH
RCL|2025-09-09 14:30|350.2700|352.5200|349.9401|352.4200|76168|2.1500|0.1000|0.3299|BULLISH
RCL|2025-09-09 15:30|352.4900|353.7200|350.8084|351.0300|98058|1.4600|1.2300|0.2216|BEARISH
RCL|2025-09-09 16:30|351.0600|351.5700|349.6350|350.2000|103446|0.8600|0.5100|0.5650|BEARISH
RCL|2025-09-09 17:30|350.2000|350.2400|347.4000|348.8100|180808|1.3900|0.0400|1.4100|BEARISH
RCL|2025-09-09 18:30|348.8100|349.9409|347.8000|347.9250|175337|0.8850|1.1309|0.1250|BEARISH
RCL|2025-09-09 19:30|347.8900|347.9800|345.2100|345.3600|424516|2.5300|0.0900|0.1500|BEARISH
RCL|2025-09-10 13:30|346.8100|347.1000|343.4100|345.6200|216137|1.1900|0.2900|2.2100|BEARISH
RCL|2025-09-10 14:30|345.5400|345.8182|335.6200|336.4100|502525|9.1300|0.2782|0.7900|BEARISH
RCL|2025-09-10 15:30|336.3000|338.0800|331.2200|337.9200|307562|1.6200|0.1600|5.0800|BULLISH
RCL|2025-09-10 16:30|338.0200|339.4050|337.1300|337.1500|133506|0.8700|1.3850|0.0200|BEARISH
RCL|2025-09-10 17:30|337.1900|339.3800|336.0000|339.1000|161161|1.9100|0.2800|1.1900|BULLISH
RCL|2025-09-10 18:30|339.1000|341.0700|339.0050|340.2900|207364|1.1900|0.7800|0.0950|BULLISH
RCL|2025-09-10 19:30|340.3100|342.4100|340.2300|341.4000|312816|1.0900|1.0100|0.0800|BULLISH
RCL|2025-09-11 13:30|343.5600|350.1300|342.5800|348.8900|686954|5.3300|1.2400|0.9800|BULLISH
RCL|2025-09-11 14:30|348.6950|349.6900|345.0100|348.5500|274860|0.1450|0.9950|3.5400|BEARISH
RCL|2025-09-11 15:30|348.7900|354.0900|348.7900|353.1850|261488|4.3950|0.9050|0.0000|BULLISH
RCL|2025-09-11 16:30|352.9500|353.3500|351.9510|352.6300|153835|0.3200|0.4000|0.6790|BEARISH
RCL|2025-09-11 17:30|352.7350|355.5500|352.5000|352.6200|191402|0.1150|2.8150|0.1200|BEARISH
RCL|2025-09-11 18:30|352.6100|352.7799|350.4500|350.9700|205281|1.6400|0.1699|0.5200|BEARISH
RCL|2025-09-11 19:30|350.9300|351.8100|349.7800|349.9400|330538|0.9900|0.8800|0.1600|BEARISH
RCL|2025-09-12 13:30|347.7400|348.8000|343.0000|343.4500|297057|4.2900|1.0600|0.4500|BEARISH
RCL|2025-09-12 14:30|343.4900|345.8500|343.4000|343.6964|208410|0.2064|2.1536|0.0900|BULLISH
RCL|2025-09-12 15:30|343.5900|343.8300|341.7050|342.5400|159535|1.0500|0.2400|0.8350|BEARISH
RCL|2025-09-12 16:30|342.5350|342.5375|339.3900|341.1540|190521|1.3810|0.0025|1.7640|BEARISH
RCL|2025-09-12 17:30|341.2300|342.1700|340.5000|340.8450|133619|0.3850|0.9400|0.3450|BEARISH
RCL|2025-09-12 18:30|340.8450|341.3100|337.9426|338.2300|245060|2.6150|0.4650|0.2874|BEARISH
RCL|2025-09-12 19:30|338.1450|338.7500|336.3700|336.4200|480564|1.7250|0.6050|0.0500|BEARISH
RCL|2025-09-15 13:30|338.0300|339.1500|333.0000|336.1100|405655|1.9200|1.1200|3.1100|BEARISH
RCL|2025-09-15 14:30|336.3400|336.5200|333.5900|333.9825|353181|2.3575|0.1800|0.3925|BEARISH
RCL|2025-09-15 15:30|333.9050|334.9950|333.4450|334.3550|267643|0.4500|0.6400|0.4600|BULLISH
RCL|2025-09-15 16:30|334.3600|334.3850|332.4400|332.7650|169966|1.5950|0.0250|0.3250|BEARISH
RCL|2025-09-15 17:30|332.7650|333.3500|329.6900|330.1750|288459|2.5900|0.5850|0.4850|BEARISH
RCL|2025-09-15 18:30|330.0400|330.8500|328.0850|328.8150|345349|1.2250|0.8100|0.7300|BEARISH
RCL|2025-09-15 19:30|328.8150|330.5700|327.6600|329.7500|472771|0.9350|0.8200|1.1550|BULLISH
RCL|2025-09-16 13:30|328.8700|329.5045|320.2500|321.2050|431707|7.6650|0.6345|0.9550|BEARISH
RCL|2025-09-16 14:30|321.2100|322.2099|319.0800|319.0800|330316|2.1300|0.9999|0.0000|BEARISH
