Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
REGN|2025-09-02 13:30|580.5400|585.4900|574.5000|576.3100|158544|4.2300|4.9500|1.8100|BEARISH
REGN|2025-09-02 14:30|576.3600|577.1000|571.5000|573.9000|106867|2.4600|0.7400|2.4000|BEARISH
REGN|2025-09-02 15:30|573.2900|574.8800|571.0200|571.9450|86589|1.3450|1.5900|0.9250|BEARISH
REGN|2025-09-02 16:30|572.1900|574.4800|570.3500|572.8300|100869|0.6400|1.6500|1.8400|BULLISH
REGN|2025-09-02 17:30|572.9750|577.7750|571.8100|577.1578|109611|4.1828|0.6172|1.1650|BULLISH
REGN|2025-09-02 18:30|577.0500|577.1650|573.8700|575.8400|153009|1.2100|0.1150|1.9700|BEARISH
REGN|2025-09-02 19:30|576.0250|578.4800|574.3550|577.6700|183389|1.6450|0.8100|1.6700|BULLISH
REGN|2025-09-03 13:30|581.9900|588.6999|579.2390|583.6350|171743|1.6450|5.0649|2.7510|BULLISH
REGN|2025-09-03 14:30|584.0225|585.0250|577.3500|577.3500|91289|6.6725|1.0025|0.0000|BEARISH
REGN|2025-09-03 15:30|577.5100|578.5900|574.9750|576.7275|78844|0.7825|1.0800|1.7525|BEARISH
REGN|2025-09-03 16:30|576.1864|578.2200|574.9001|575.8700|59981|0.3164|2.0336|0.9699|BEARISH
REGN|2025-09-03 17:30|575.8600|575.8600|568.5550|569.3050|61324|6.5550|0.0000|0.7500|BEARISH
REGN|2025-09-03 18:30|569.7000|570.0700|564.3801|565.5300|146149|4.1700|0.3700|1.1499|BEARISH
REGN|2025-09-03 19:30|565.5800|566.2286|562.7850|563.8900|290924|1.6900|0.6486|1.1050|BEARISH
REGN|2025-09-04 13:30|568.0100|581.9800|559.6200|573.7375|229617|5.7275|8.2425|8.3900|BULLISH
REGN|2025-09-04 14:30|573.3000|573.6650|568.7900|568.7900|80682|4.5100|0.3650|0.0000|BEARISH
REGN|2025-09-04 15:30|568.8900|569.4800|564.2070|564.7050|90891|4.1850|0.5900|0.4980|BEARISH
REGN|2025-09-04 16:30|564.8750|565.2100|562.4901|563.5286|81348|1.3464|0.3350|1.0385|BEARISH
REGN|2025-09-04 17:30|563.5500|567.8100|563.5400|567.8100|74411|4.2600|0.0000|0.0100|BULLISH
REGN|2025-09-04 18:30|568.0500|570.5400|566.7500|569.5650|89860|1.5150|0.9750|1.3000|BULLISH
REGN|2025-09-04 19:30|569.5650|569.7650|566.8400|567.1100|110435|2.4550|0.2000|0.2700|BEARISH
REGN|2025-09-05 13:30|565.1500|577.7500|565.1500|571.3500|198857|6.2000|6.4000|0.0000|BULLISH
REGN|2025-09-05 14:30|571.5700|571.7850|569.2200|570.0100|77051|1.5600|0.2150|0.7900|BEARISH
REGN|2025-09-05 15:30|570.5450|575.0000|568.5422|573.0400|92862|2.4950|1.9600|2.0028|BULLISH
REGN|2025-09-05 16:30|573.0000|573.0300|568.1300|568.8750|46649|4.1250|0.0300|0.7450|BEARISH
REGN|2025-09-05 17:30|568.4100|570.0800|567.7700|569.4450|59735|1.0350|0.6350|0.6400|BULLISH
REGN|2025-09-05 18:30|569.4450|572.0000|568.7000|571.1300|63172|1.6850|0.8700|0.7450|BULLISH
REGN|2025-09-05 19:30|571.3450|574.0000|570.9050|573.0100|166143|1.6650|0.9900|0.4399|BULLISH
REGN|2025-09-08 13:30|571.2000|571.2000|555.1260|556.6250|200795|14.5750|0.0000|1.4990|BEARISH
REGN|2025-09-08 14:30|556.6250|558.6000|554.2700|556.9200|109879|0.2950|1.6800|2.3550|BULLISH
REGN|2025-09-08 15:30|557.2000|557.4859|554.0600|554.0600|96266|3.1400|0.2859|0.0000|BEARISH
REGN|2025-09-08 16:30|554.5600|556.0200|553.2000|555.7700|95000|1.2100|0.2500|1.3600|BULLISH
REGN|2025-09-08 17:30|554.8700|556.3200|553.4000|556.3200|60413|1.4500|0.0000|1.4700|BULLISH
REGN|2025-09-08 18:30|556.5000|557.2400|552.8100|556.5000|288195|0.0000|0.7400|3.6900|BULLISH
REGN|2025-09-08 19:30|556.3700|559.7800|555.8800|558.0300|259850|1.6600|1.7500|0.4900|BULLISH
REGN|2025-09-09 13:30|557.0000|563.5650|554.8000|560.0450|103402|3.0450|3.5200|2.2000|BULLISH
REGN|2025-09-09 14:30|560.0450|560.5400|556.8300|559.3300|138481|0.7150|0.4950|2.5000|BEARISH
REGN|2025-09-09 15:30|559.3700|559.8950|557.1700|559.1000|61776|0.2700|0.5250|1.9300|BEARISH
REGN|2025-09-09 16:30|559.4800|560.3900|557.0600|557.1300|137813|2.3500|0.9100|0.0700|BEARISH
REGN|2025-09-09 17:30|556.9600|557.8700|556.7400|557.6925|73591|0.7325|0.1775|0.2200|BULLISH
REGN|2025-09-09 18:30|558.1075|558.9200|557.7800|558.1950|71538|0.0875|0.7250|0.3275|BULLISH
REGN|2025-09-09 19:30|558.3300|558.4800|556.1300|556.7400|159416|1.5900|0.1500|0.6100|BEARISH
REGN|2025-09-10 13:30|555.2100|559.0600|552.9950|556.0300|93687|0.8200|3.0300|2.2150|BULLISH
REGN|2025-09-10 14:30|555.7300|558.7900|554.7700|556.3950|102248|0.6650|2.3950|0.9600|BULLISH
REGN|2025-09-10 15:30|556.1750|558.8600|556.0700|556.5100|74135|0.3350|2.3500|0.1050|BULLISH
REGN|2025-09-10 16:30|556.2150|556.6500|553.9800|556.5300|59353|0.3150|0.1200|2.2350|BULLISH
REGN|2025-09-10 17:30|556.5900|557.4900|554.7400|556.0500|64077|0.5400|0.9000|1.3100|BEARISH
REGN|2025-09-10 18:30|556.0400|556.3500|553.6550|554.2300|191260|1.8100|0.3100|0.5750|BEARISH
REGN|2025-09-10 19:30|554.0950|557.3000|553.6900|555.4400|162512|1.3450|1.8600|0.4050|BULLISH
REGN|2025-09-11 13:30|555.8100|568.3300|555.8100|566.7000|172168|10.8900|1.6300|0.0000|BULLISH
REGN|2025-09-11 14:30|566.3200|570.6700|565.6000|569.9900|73249|3.6700|0.6800|0.7200|BULLISH
REGN|2025-09-11 15:30|570.2800|570.4700|565.0650|565.0650|70447|5.2150|0.1899|0.0000|BEARISH
REGN|2025-09-11 16:30|565.5300|566.8100|564.2300|566.2227|78299|0.6927|0.5873|1.3000|BULLISH
REGN|2025-09-11 17:30|566.0000|568.3800|565.4500|567.7500|74247|1.7500|0.6300|0.5500|BULLISH
REGN|2025-09-11 18:30|567.8450|569.4200|567.5801|569.3000|68485|1.4550|0.1200|0.2649|BULLISH
REGN|2025-09-11 19:30|569.2800|569.7200|566.8400|567.8100|123098|1.4700|0.4399|0.9700|BEARISH
REGN|2025-09-12 13:30|567.3400|570.0000|562.8287|568.0500|87230|0.7100|1.9500|4.5114|BULLISH
REGN|2025-09-12 14:30|567.6550|567.7600|563.9650|564.9999|54488|2.6552|0.1050|1.0349|BEARISH
REGN|2025-09-12 15:30|564.1800|564.5099|561.2900|563.3300|56545|0.8500|0.3299|2.0400|BEARISH
REGN|2025-09-12 16:30|563.2800|564.5200|561.9900|564.0900|35555|0.8100|0.4300|1.2900|BULLISH
REGN|2025-09-12 17:30|564.1000|564.7000|562.2510|563.7514|36101|0.3486|0.6000|1.5004|BEARISH
REGN|2025-09-12 18:30|563.9500|564.9000|562.2500|562.2500|65444|1.7000|0.9500|0.0000|BEARISH
REGN|2025-09-12 19:30|562.4000|562.4000|559.4500|559.9700|180749|2.4301|0.0000|0.5200|BEARISH
REGN|2025-09-15 13:30|558.5400|569.7500|558.5400|569.7500|133542|11.2100|0.0000|0.0000|BULLISH
REGN|2025-09-15 14:30|569.2500|570.3700|567.4500|567.9800|107777|1.2700|1.1200|0.5300|BEARISH
REGN|2025-09-15 15:30|568.2500|570.8200|564.4500|565.1300|83587|3.1200|2.5700|0.6800|BEARISH
REGN|2025-09-15 16:30|564.8700|572.9000|564.3402|570.6400|97099|5.7700|2.2600|0.5298|BULLISH
REGN|2025-09-15 17:30|570.6300|572.2999|568.3600|572.2999|84142|1.6699|0.0000|2.2700|BULLISH
REGN|2025-09-15 18:30|571.4200|573.6900|570.3100|571.3100|89422|0.1100|2.2700|1.0000|BEARISH
REGN|2025-09-15 19:30|571.3150|573.6500|571.3150|572.5800|167545|1.2650|1.0700|0.0000|BULLISH
REGN|2025-09-16 13:30|572.5000|577.0000|567.3050|572.6100|88492|0.1100|4.3900|5.1950|BULLISH
REGN|2025-09-16 14:30|572.6100|576.0000|571.5950|575.5400|43446|2.9300|0.4600|1.0150|BULLISH
REGN|2025-09-16 15:30|575.5300|577.8500|573.5450|577.0500|49033|1.5200|0.8000|1.9850|BULLISH
REGN|2025-09-16 16:30|576.6300|579.1417|576.4000|578.1200|45530|1.4900|1.0217|0.2300|BULLISH
REGN|2025-09-16 17:30|578.6800|579.3000|571.8800|573.0500|45678|5.6300|0.6200|1.1700|BEARISH
REGN|2025-09-16 18:30|573.6100|576.1600|573.6100|575.4500|57851|1.8400|0.7100|0.0000|BULLISH
REGN|2025-09-16 19:30|575.0800|576.1050|573.7900|575.0200|80582|0.0600|1.0250|1.2300|BEARISH
REGN|2025-09-17 13:30|576.3100|586.2900|576.3100|585.2500|141182|8.9400|1.0400|0.0000|BULLISH
REGN|2025-09-17 14:30|584.5400|585.9999|583.9200|585.6000|70154|1.0600|0.3999|0.6200|BULLISH
REGN|2025-09-17 15:30|585.6000|586.4299|582.6900|584.0250|66926|1.5750|0.8299|1.3350|BEARISH
REGN|2025-09-17 16:30|584.1875|585.4700|581.1100|581.6750|72110|2.5125|1.2825|0.5650|BEARISH
REGN|2025-09-17 17:30|581.6750|587.6700|580.6400|584.6550|72139|2.9800|3.0150|1.0350|BULLISH
REGN|2025-09-17 18:30|585.4600|585.5400|578.7350|584.5150|125784|0.9450|0.0800|5.7800|BEARISH
REGN|2025-09-17 19:30|584.3000|586.3400|582.8250|585.5600|192328|1.2600|0.7800|1.4750|BULLISH
REGN|2025-09-18 13:30|589.5200|597.9900|587.7500|591.9000|138320|2.3800|6.0900|1.7700|BULLISH
REGN|2025-09-18 14:30|591.4100|592.1900|583.9200|585.1000|167410|6.3100|0.7800|1.1800|BEARISH
REGN|2025-09-18 15:30|585.1000|590.8900|585.1000|590.2450|76802|5.1450|0.6450|0.0000|BULLISH
REGN|2025-09-18 16:30|590.6300|598.1300|590.6300|597.7900|102347|7.1600|0.3400|0.0000|BULLISH
REGN|2025-09-18 17:30|597.7900|598.7200|595.3600|596.5400|104749|1.2500|0.9300|1.1800|BEARISH
REGN|2025-09-18 18:30|596.8400|598.3700|596.0300|597.0400|97251|0.2000|1.3300|0.8100|BULLISH
REGN|2025-09-18 19:30|596.9000|600.0000|595.7560|598.7100|233608|1.8100|1.2900|1.1440|BULLISH
REGN|2025-09-19 13:30|602.5400|603.4650|593.2400|594.7400|297463|7.8000|0.9250|1.5000|BEARISH
REGN|2025-09-19 14:30|594.3500|597.1800|593.3000|596.1100|118015|1.7600|1.0700|1.0500|BULLISH
REGN|2025-09-19 15:30|596.5299|597.1700|593.0900|596.5647|67058|0.0348|0.6053|3.4399|BULLISH
REGN|2025-09-19 16:30|596.2300|596.2300|591.7150|593.8400|75395|2.3900|0.0000|2.1250|BEARISH
REGN|2025-09-19 17:30|593.7650|596.4100|593.7550|595.6800|68676|1.9150|0.7300|0.0100|BULLISH
REGN|2025-09-19 18:30|594.8100|596.4300|594.5200|595.7050|66098|0.8950|0.7250|0.2900|BULLISH
REGN|2025-09-19 19:30|595.9300|595.9900|591.0100|591.9500|172534|3.9800|0.0600|0.9400|BEARISH
REGN|2025-09-22 13:30|592.7000|595.1250|588.6734|592.6600|101673|0.0400|2.4250|3.9866|BEARISH
REGN|2025-09-22 14:30|592.9750|596.7700|591.7750|596.0000|64930|3.0250|0.7700|1.2000|BULLISH
REGN|2025-09-22 15:30|596.0900|597.2100|594.1000|594.9300|69440|1.1600|1.1200|0.8300|BEARISH
REGN|2025-09-22 16:30|595.2600|596.2090|593.5600|595.3400|50776|0.0800|0.8690|1.7000|BULLISH
REGN|2025-09-22 17:30|595.4550|597.4600|595.3200|597.3050|57493|1.8500|0.1550|0.1350|BULLISH
REGN|2025-09-22 18:30|597.3200|600.6200|597.1000|599.4500|93543|2.1300|1.1700|0.2200|BULLISH
REGN|2025-09-22 19:30|599.4400|599.9100|593.7700|595.7700|132088|3.6700|0.4700|2.0000|BEARISH
REGN|2025-09-23 13:30|580.0000|581.6600|571.6947|577.0000|194941|3.0000|1.6600|5.3053|BEARISH
REGN|2025-09-23 14:30|577.1900|580.3500|572.8750|573.5251|102918|3.6649|3.1600|0.6501|BEARISH
REGN|2025-09-23 15:30|574.0500|575.7625|571.8400|572.3900|56986|1.6600|1.7125|0.5500|BEARISH
REGN|2025-09-23 16:30|572.0000|572.1504|568.0000|568.2460|71578|3.7540|0.1504|0.2460|BEARISH
REGN|2025-09-23 17:30|567.7800|568.8800|565.4500|567.5850|331498|0.1950|1.1000|2.1350|BEARISH
REGN|2025-09-23 18:30|567.5850|569.4271|566.5000|566.6000|139139|0.9850|1.8421|0.1000|BEARISH
REGN|2025-09-23 19:30|566.4300|568.7950|565.9900|567.9600|224830|1.5300|0.8350|0.4400|BULLISH
REGN|2025-09-24 13:30|568.0000|571.0000|567.3100|568.3800|80182|0.3800|2.6200|0.6900|BULLISH
REGN|2025-09-24 14:30|568.1900|575.5900|567.1650|574.8700|75799|6.6800|0.7200|1.0250|BULLISH
REGN|2025-09-24 15:30|574.8700|575.5600|570.6750|571.5750|67861|3.2950|0.6900|0.9000|BEARISH
REGN|2025-09-24 16:30|571.5800|572.4000|569.7400|571.9100|40258|0.3300|0.4901|1.8400|BULLISH
REGN|2025-09-24 17:30|571.9050|574.4550|571.6600|573.9900|42414|2.0850|0.4650|0.2451|BULLISH
REGN|2025-09-24 18:30|573.9950|575.5800|573.4800|575.0650|57651|1.0700|0.5150|0.5150|BULLISH
REGN|2025-09-24 19:30|575.2700|577.9700|575.0334|576.5000|101387|1.2300|1.4700|0.2366|BULLISH
REGN|2025-09-25 13:30|577.3000|579.0000|568.1400|568.9075|83304|8.3925|1.7000|0.7675|BEARISH
REGN|2025-09-25 14:30|568.1350|568.6150|554.0700|556.3500|124808|11.7850|0.4800|2.2800|BEARISH
REGN|2025-09-25 15:30|555.9900|556.9099|553.7200|556.3350|174030|0.3450|0.5749|2.2700|BULLISH
REGN|2025-09-25 16:30|556.1950|556.8800|549.2000|554.9575|146046|1.2375|0.6850|5.7575|BEARISH
REGN|2025-09-25 17:30|555.0625|556.8000|553.8200|554.4300|64453|0.6325|1.7375|0.6100|BEARISH
REGN|2025-09-25 18:30|554.7500|556.1300|553.4350|555.6500|83501|0.9000|0.4800|1.3150|BULLISH
REGN|2025-09-25 19:30|555.7000|556.5900|552.4850|555.5800|191753|0.1200|0.8900|3.0950|BEARISH
REGN|2025-09-26 13:30|562.0000|563.6028|550.7101|553.9250|92475|8.0750|1.6028|3.2149|BEARISH
REGN|2025-09-26 14:30|553.7100|556.3399|551.6500|555.2000|45238|1.4900|1.1399|2.0600|BULLISH
REGN|2025-09-26 15:30|555.2000|557.7700|553.5734|557.3750|45762|2.1750|0.3950|1.6266|BULLISH
REGN|2025-09-26 16:30|558.1100|560.6800|557.0127|557.0127|40507|1.0973|2.5700|0.0000|BEARISH
REGN|2025-09-26 17:30|557.8478|560.9450|557.4300|560.3800|45031|2.5322|0.5650|0.4178|BULLISH
REGN|2025-09-26 18:30|560.3700|563.2450|560.1700|562.1700|61122|1.8000|1.0750|0.2000|BULLISH
REGN|2025-09-26 19:30|562.1650|564.6100|560.4900|564.0500|131357|1.8850|0.5600|1.6750|BULLISH
REGN|2025-09-29 13:30|563.2800|564.9100|560.1800|564.0625|84291|0.7825|0.8475|3.1000|BULLISH
REGN|2025-09-29 14:30|564.0000|564.0000|560.2800|561.9700|78661|2.0300|0.0000|1.6899|BEARISH
REGN|2025-09-29 15:30|562.0300|562.5100|558.3400|560.4500|70262|1.5800|0.4800|2.1100|BEARISH
REGN|2025-09-29 16:30|560.4700|561.0150|557.7200|557.8500|45620|2.6200|0.5450|0.1300|BEARISH
REGN|2025-09-29 17:30|557.8500|560.8700|557.3400|560.8700|44205|3.0200|0.0000|0.5099|BULLISH
REGN|2025-09-29 18:30|561.2900|562.5450|558.8150|558.9750|58522|2.3150|1.2550|0.1600|BEARISH
REGN|2025-09-29 19:30|559.8500|560.7700|558.8500|560.6300|88745|0.7800|0.1400|1.0000|BULLISH
REGN|2025-09-30 13:30|560.5800|568.9450|558.8350|562.3697|109896|1.7897|6.5753|1.7450|BULLISH
REGN|2025-09-30 14:30|563.0900|564.4900|555.0001|563.4700|103579|0.3799|1.0200|8.0899|BULLISH
REGN|2025-09-30 15:30|563.5850|564.4500|559.1300|563.1850|99082|0.4000|0.8650|4.0550|BEARISH
REGN|2025-09-30 16:30|563.7900|574.0000|563.4000|568.3400|238276|4.5500|5.6600|0.3900|BULLISH
