Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
REG|2025-09-02 13:30|72.3000|72.6650|71.9300|72.6600|148634|0.3600|0.0050|0.3700|BULLISH
REG|2025-09-02 14:30|72.6800|73.0000|72.6200|72.6750|265685|0.0050|0.3200|0.0550|BEARISH
REG|2025-09-02 15:30|72.6725|72.7600|72.5100|72.5250|161275|0.1475|0.0875|0.0150|BEARISH
REG|2025-09-02 16:30|72.5250|72.6600|72.4300|72.6200|112338|0.0950|0.0400|0.0950|BULLISH
REG|2025-09-02 17:30|72.6100|72.6400|72.0400|72.1300|172847|0.4800|0.0300|0.0900|BEARISH
REG|2025-09-02 18:30|72.1150|72.2000|71.9450|72.1200|166835|0.0050|0.0800|0.1700|BULLISH
REG|2025-09-02 19:30|72.1200|72.4500|72.1150|72.3200|382906|0.2000|0.1300|0.0050|BULLISH
REG|2025-09-03 13:30|71.9500|72.5300|71.9000|71.9100|60027|0.0400|0.5800|0.0100|BEARISH
REG|2025-09-03 14:30|71.8950|72.0700|71.8400|72.0700|47706|0.1750|0.0000|0.0550|BULLISH
REG|2025-09-03 15:30|72.0700|72.1300|71.8400|71.9550|37449|0.1150|0.0600|0.1150|BEARISH
REG|2025-09-03 16:30|71.9550|72.1900|71.9550|72.1700|44357|0.2150|0.0200|0.0000|BULLISH
REG|2025-09-03 17:30|72.1700|72.3700|72.0200|72.3600|91225|0.1900|0.0100|0.1500|BULLISH
REG|2025-09-03 18:30|72.3500|72.3700|72.0700|72.2300|64880|0.1200|0.0200|0.1600|BEARISH
REG|2025-09-03 19:30|72.2300|72.3700|72.1700|72.2300|200292|0.0000|0.1400|0.0600|BULLISH
REG|2025-09-04 13:30|72.5500|73.0400|72.2600|72.3850|119076|0.1650|0.4900|0.1250|BEARISH
REG|2025-09-04 14:30|72.3650|72.4800|72.2000|72.3600|83332|0.0050|0.1150|0.1600|BEARISH
REG|2025-09-04 15:30|72.3500|72.4650|72.1350|72.2450|79937|0.1050|0.1150|0.1100|BEARISH
REG|2025-09-04 16:30|72.2650|72.7000|72.0850|72.6000|177638|0.3350|0.1000|0.1800|BULLISH
REG|2025-09-04 17:30|72.6000|72.7900|72.4400|72.7900|73129|0.1900|0.0000|0.1600|BULLISH
REG|2025-09-04 18:30|72.8000|73.1800|72.7350|73.1800|130914|0.3800|0.0000|0.0650|BULLISH
REG|2025-09-04 19:30|73.1600|73.6000|73.1250|73.5500|272825|0.3900|0.0500|0.0350|BULLISH
REG|2025-09-05 13:30|73.7000|74.4450|72.7100|73.7700|75154|0.0700|0.6750|0.9900|BULLISH
REG|2025-09-05 14:30|73.7800|73.7900|73.4800|73.6250|78802|0.1550|0.0100|0.1450|BEARISH
REG|2025-09-05 15:30|73.6500|73.8150|73.3900|73.3900|70772|0.2600|0.1650|0.0000|BEARISH
REG|2025-09-05 16:30|73.3800|73.4500|73.2300|73.2650|56859|0.1150|0.0700|0.0350|BEARISH
REG|2025-09-05 17:30|73.2800|73.3050|73.0500|73.0500|68604|0.2300|0.0250|0.0000|BEARISH
REG|2025-09-05 18:30|73.0750|73.5700|73.0600|73.5300|125537|0.4550|0.0400|0.0150|BULLISH
REG|2025-09-05 19:30|73.5300|73.6900|73.4900|73.6700|160822|0.1400|0.0200|0.0400|BULLISH
REG|2025-09-08 13:30|73.4400|73.5759|73.0000|73.1000|83178|0.3400|0.1359|0.1000|BEARISH
REG|2025-09-08 14:30|73.1300|73.2500|72.8600|72.9500|87891|0.1800|0.1200|0.0900|BEARISH
REG|2025-09-08 15:30|72.9400|72.9700|72.6450|72.6800|87666|0.2600|0.0300|0.0350|BEARISH
REG|2025-09-08 16:30|72.7000|72.7800|72.6100|72.7650|86685|0.0650|0.0150|0.0900|BULLISH
REG|2025-09-08 17:30|72.7900|72.8100|72.4700|72.6000|143634|0.1900|0.0200|0.1300|BEARISH
