Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
RF|2025-09-02 13:30|26.7700|26.9199|26.5700|26.8600|2439959|0.0900|0.0599|0.2000|BULLISH
RF|2025-09-02 14:30|26.8550|26.8650|26.6250|26.6358|4079286|0.2192|0.0100|0.0108|BEARISH
RF|2025-09-02 15:30|26.6395|26.6700|26.5700|26.5750|3110317|0.0645|0.0305|0.0050|BEARISH
RF|2025-09-02 16:30|26.5800|26.7558|26.5750|26.7250|2612835|0.1450|0.0308|0.0050|BULLISH
RF|2025-09-02 17:30|26.7200|26.8200|26.7150|26.7350|1818544|0.0150|0.0850|0.0050|BULLISH
RF|2025-09-02 18:30|26.7350|26.8300|26.7100|26.8150|2367610|0.0800|0.0150|0.0250|BULLISH
RF|2025-09-02 19:30|26.8150|26.8900|26.7950|26.8900|1728192|0.0750|0.0000|0.0200|BULLISH
RF|2025-09-03 13:30|26.8400|27.1350|26.7600|26.8450|2560294|0.0050|0.2900|0.0800|BULLISH
RF|2025-09-03 14:30|26.8450|26.9254|26.7719|26.7950|2930222|0.0500|0.0804|0.0231|BEARISH
RF|2025-09-03 15:30|26.8000|26.8200|26.6600|26.7100|2557811|0.0900|0.0200|0.0500|BEARISH
RF|2025-09-03 16:30|26.7100|26.7900|26.6750|26.7450|1873622|0.0350|0.0450|0.0350|BULLISH
RF|2025-09-03 17:30|26.7450|26.7700|26.5642|26.6950|3064777|0.0500|0.0250|0.1308|BEARISH
RF|2025-09-03 18:30|26.6950|26.7400|26.6600|26.7300|1978655|0.0350|0.0100|0.0350|BULLISH
RF|2025-09-03 19:30|26.7300|26.9300|26.7250|26.9250|2367804|0.1950|0.0050|0.0050|BULLISH
RF|2025-09-04 13:30|27.0700|27.2000|26.9000|27.1700|1592401|0.1000|0.0300|0.1700|BULLISH
RF|2025-09-04 14:30|27.1600|27.2600|27.1200|27.2250|3825367|0.0650|0.0350|0.0400|BULLISH
RF|2025-09-04 15:30|27.2204|27.2600|27.1200|27.1350|2919171|0.0854|0.0396|0.0150|BEARISH
RF|2025-09-04 16:30|27.1400|27.2200|27.1250|27.2200|1152778|0.0800|0.0000|0.0150|BULLISH
RF|2025-09-04 17:30|27.2146|27.3600|27.1900|27.3101|1955162|0.0955|0.0499|0.0246|BULLISH
RF|2025-09-04 18:30|27.3050|27.3150|27.2200|27.3009|2527664|0.0041|0.0100|0.0809|BEARISH
RF|2025-09-04 19:30|27.3050|27.3650|27.2650|27.3600|2190187|0.0550|0.0050|0.0400|BULLISH
RF|2025-09-05 13:30|27.3900|27.6050|26.9800|27.0058|2188274|0.3842|0.2150|0.0258|BEARISH
RF|2025-09-05 14:30|27.0000|27.0600|26.8400|27.0299|3654942|0.0299|0.0301|0.1600|BULLISH
RF|2025-09-05 15:30|27.0300|27.1033|26.9800|27.0150|2090404|0.0150|0.0733|0.0350|BEARISH
RF|2025-09-05 16:30|27.0101|27.0999|26.9900|27.0050|2343676|0.0051|0.0898|0.0150|BEARISH
RF|2025-09-05 17:30|27.0000|27.0350|26.8400|26.9000|1744770|0.1000|0.0350|0.0600|BEARISH
RF|2025-09-05 18:30|26.8950|27.0450|26.8950|27.0300|2205380|0.1350|0.0150|0.0000|BULLISH
RF|2025-09-05 19:30|27.0350|27.1000|26.9842|27.0300|2284480|0.0050|0.0650|0.0458|BEARISH
RF|2025-09-08 13:30|27.1100|27.1100|26.6750|26.7540|2970864|0.3560|0.0000|0.0790|BEARISH
RF|2025-09-08 14:30|26.7500|27.0157|26.7400|26.9800|3778631|0.2300|0.0357|0.0100|BULLISH
RF|2025-09-08 15:30|26.9800|26.9800|26.7550|26.8300|3355600|0.1500|0.0000|0.0750|BEARISH
RF|2025-09-08 16:30|26.8400|26.9300|26.7950|26.8950|2186542|0.0550|0.0350|0.0450|BULLISH
RF|2025-09-08 17:30|26.8950|26.9150|26.7700|26.8800|2575270|0.0150|0.0200|0.1100|BEARISH
RF|2025-09-08 18:30|26.8800|27.0301|26.8700|26.9500|2267673|0.0700|0.0801|0.0100|BULLISH
RF|2025-09-08 19:30|26.9500|27.0600|26.9400|27.0500|1516739|0.1000|0.0100|0.0100|BULLISH
RF|2025-09-09 13:30|26.9700|27.2500|26.9700|27.1700|1051330|0.2000|0.0800|0.0000|BULLISH
RF|2025-09-09 14:30|27.1600|27.2750|27.0700|27.2600|2821885|0.1000|0.0150|0.0900|BULLISH
RF|2025-09-09 15:30|27.2650|27.2800|26.8300|26.8650|3445815|0.4000|0.0150|0.0350|BEARISH
RF|2025-09-09 16:30|26.8650|26.8900|26.6500|26.7150|3573322|0.1500|0.0250|0.0650|BEARISH
RF|2025-09-09 17:30|26.7150|26.9600|26.7050|26.8950|2516910|0.1800|0.0650|0.0100|BULLISH
RF|2025-09-09 18:30|26.8900|26.9150|26.6950|26.7200|4191205|0.1700|0.0250|0.0250|BEARISH
RF|2025-09-09 19:30|26.7250|26.8400|26.7000|26.8250|2989712|0.1000|0.0150|0.0250|BULLISH
RF|2025-09-10 13:30|26.9800|27.1450|26.7500|27.0659|3374664|0.0859|0.0791|0.2300|BULLISH
RF|2025-09-10 14:30|27.0600|27.0700|26.8674|26.9600|3013672|0.1000|0.0100|0.0926|BEARISH
RF|2025-09-10 15:30|26.9547|27.1400|26.9200|27.0400|2233533|0.0853|0.1000|0.0347|BULLISH
RF|2025-09-10 16:30|27.0450|27.2350|27.0400|27.1244|2068667|0.0794|0.1106|0.0050|BULLISH
RF|2025-09-10 17:30|27.1200|27.1555|26.9950|27.0296|3445835|0.0904|0.0355|0.0346|BEARISH
RF|2025-09-10 18:30|27.0264|27.1400|26.9600|26.9650|2777529|0.0614|0.1136|0.0050|BEARISH
RF|2025-09-10 19:30|26.9958|27.0554|26.9200|27.0400|2217066|0.0442|0.0154|0.0758|BULLISH
RF|2025-09-11 13:30|27.0600|27.1350|26.8650|27.0450|1937159|0.0150|0.0750|0.1800|BEARISH
