Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
RMD|2025-09-02 13:30|270.7700|273.6350|268.9700|273.3650|168241|2.5950|0.2700|1.8000|BULLISH
RMD|2025-09-02 14:30|273.3400|273.3400|271.1700|271.6750|103355|1.6650|0.0000|0.5050|BEARISH
RMD|2025-09-02 15:30|271.6800|272.1146|270.8000|271.0400|77586|0.6400|0.4346|0.2400|BEARISH
RMD|2025-09-02 16:30|270.9200|271.0300|270.5700|271.0100|62573|0.0900|0.0200|0.3500|BULLISH
RMD|2025-09-02 17:30|271.0200|271.8329|270.8900|270.8950|75971|0.1250|0.8129|0.0050|BEARISH
RMD|2025-09-02 18:30|270.8950|271.8950|270.8000|271.6500|87779|0.7550|0.2450|0.0950|BULLISH
RMD|2025-09-02 19:30|271.5750|271.6300|270.8000|270.9100|244127|0.6650|0.0550|0.1100|BEARISH
RMD|2025-09-03 13:30|270.1300|270.4900|266.2800|267.0700|271242|3.0600|0.3600|0.7900|BEARISH
RMD|2025-09-03 14:30|267.2300|267.8500|265.9800|267.3600|142568|0.1300|0.4900|1.2500|BULLISH
RMD|2025-09-03 15:30|267.3500|267.3500|265.4900|266.6400|225624|0.7100|0.0000|1.1500|BEARISH
RMD|2025-09-03 16:30|266.5700|267.6400|266.5700|267.2400|117313|0.6700|0.4000|0.0000|BULLISH
RMD|2025-09-03 17:30|267.2400|269.0399|267.1200|268.7400|139100|1.5000|0.2999|0.1200|BULLISH
RMD|2025-09-03 18:30|268.7200|268.8200|267.6900|267.8100|109250|0.9100|0.1000|0.1200|BEARISH
RMD|2025-09-03 19:30|267.8000|269.2900|267.6000|269.1000|390602|1.3000|0.1900|0.2000|BULLISH
RMD|2025-09-04 13:30|270.3000|270.6600|267.5700|270.6600|184284|0.3600|0.0000|2.7300|BULLISH
RMD|2025-09-04 14:30|270.7000|271.2600|270.3625|271.1650|51242|0.4650|0.0950|0.3375|BULLISH
RMD|2025-09-04 15:30|271.1650|273.1050|271.0500|273.1050|102003|1.9400|0.0000|0.1150|BULLISH
RMD|2025-09-04 16:30|273.0500|273.5650|272.6900|273.5200|78114|0.4700|0.0450|0.3600|BULLISH
RMD|2025-09-04 17:30|273.5100|273.7200|272.2054|273.2300|84967|0.2800|0.2100|1.0246|BEARISH
RMD|2025-09-04 18:30|273.2100|273.6300|272.9200|272.9250|82227|0.2850|0.4200|0.0050|BEARISH
RMD|2025-09-04 19:30|272.9250|274.2400|272.8001|273.7700|204498|0.8450|0.4700|0.1249|BULLISH
RMD|2025-09-05 13:30|274.2700|277.3050|274.0450|275.2040|127039|0.9340|2.1010|0.2250|BULLISH
RMD|2025-09-05 14:30|275.0300|276.5000|274.2400|276.1900|79458|1.1600|0.3100|0.7900|BULLISH
RMD|2025-09-05 15:30|276.0200|276.5600|275.6500|275.9050|55456|0.1150|0.5400|0.2550|BEARISH
RMD|2025-09-05 16:30|275.7850|276.9000|274.9500|276.9000|123184|1.1150|0.0000|0.8350|BULLISH
RMD|2025-09-05 17:30|276.9100|277.6200|276.2050|277.5180|91214|0.6080|0.1020|0.7050|BULLISH
RMD|2025-09-05 18:30|277.4250|277.8950|277.1201|277.6500|101629|0.2250|0.2450|0.3049|BULLISH
RMD|2025-09-05 19:30|277.6950|278.0600|276.8700|277.1800|229601|0.5150|0.3650|0.3100|BEARISH
RMD|2025-09-08 13:30|276.4700|277.9700|273.3700|277.4300|139913|0.9600|0.5400|3.1000|BULLISH
RMD|2025-09-08 14:30|277.6800|278.8700|277.2900|278.7800|58176|1.1000|0.0900|0.3900|BULLISH
RMD|2025-09-08 15:30|278.6300|278.6800|278.0400|278.1150|48068|0.5150|0.0500|0.0750|BEARISH
RMD|2025-09-08 16:30|278.1000|278.1000|277.3200|277.6200|40838|0.4800|0.0000|0.3000|BEARISH
RMD|2025-09-08 17:30|277.6200|278.1700|277.2200|278.1700|46462|0.5500|0.0000|0.4000|BULLISH
RMD|2025-09-08 18:30|278.2000|278.4300|277.8600|278.0800|74849|0.1200|0.2300|0.2200|BEARISH
RMD|2025-09-08 19:30|278.1700|279.7300|278.1500|279.5800|165173|1.4100|0.1500|0.0200|BULLISH
RMD|2025-09-09 13:30|280.2500|281.3200|279.2700|279.3850|63456|0.8650|1.0700|0.1150|BEARISH
RMD|2025-09-09 14:30|279.1700|279.8700|278.6600|279.7900|45499|0.6200|0.0800|0.5100|BULLISH
RMD|2025-09-09 15:30|279.8000|280.3750|279.2800|279.9400|44235|0.1400|0.4350|0.5200|BULLISH
RMD|2025-09-09 16:30|279.9500|280.4100|279.5650|280.4100|38224|0.4600|0.0000|0.3850|BULLISH
