Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
ROL|2025-09-02 13:30|56.4100|56.8350|56.3600|56.7400|199592|0.3300|0.0950|0.0500|BULLISH
ROL|2025-09-02 14:30|56.7450|56.9200|56.7300|56.8250|133868|0.0800|0.0950|0.0150|BULLISH
ROL|2025-09-02 15:30|56.8400|56.8550|56.5200|56.5500|161715|0.2900|0.0150|0.0300|BEARISH
ROL|2025-09-02 16:30|56.5400|56.6500|56.4600|56.5600|129432|0.0200|0.0900|0.0800|BULLISH
ROL|2025-09-02 17:30|56.5600|56.7400|56.5600|56.6400|92126|0.0800|0.1000|0.0000|BULLISH
ROL|2025-09-02 18:30|56.6500|56.6700|56.5100|56.5210|136494|0.1290|0.0200|0.0110|BEARISH
ROL|2025-09-02 19:30|56.5300|56.6800|56.5000|56.6700|258436|0.1400|0.0100|0.0300|BULLISH
ROL|2025-09-03 13:30|56.5700|56.6500|56.2250|56.4700|123388|0.1000|0.0800|0.2450|BEARISH
ROL|2025-09-03 14:30|56.4500|56.7150|56.4000|56.6800|78305|0.2300|0.0350|0.0500|BULLISH
ROL|2025-09-03 15:30|56.6700|56.6850|56.2500|56.2650|101133|0.4050|0.0150|0.0150|BEARISH
ROL|2025-09-03 16:30|56.2700|56.3100|56.0700|56.1000|89899|0.1700|0.0400|0.0300|BEARISH
ROL|2025-09-03 17:30|56.1000|56.4400|56.0450|56.3900|115502|0.2900|0.0500|0.0550|BULLISH
ROL|2025-09-03 18:30|56.3800|56.4000|56.2000|56.2100|126717|0.1700|0.0200|0.0100|BEARISH
ROL|2025-09-03 19:30|56.2100|56.3300|56.1600|56.2900|272421|0.0800|0.0400|0.0500|BULLISH
ROL|2025-09-04 13:30|56.3200|56.8650|56.3200|56.6375|99052|0.3175|0.2275|0.0000|BULLISH
ROL|2025-09-04 14:30|56.6600|56.7000|56.5250|56.6350|72726|0.0250|0.0400|0.1100|BEARISH
