Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
ROP|2025-09-02 13:30|524.0900|525.0050|521.5050|521.7900|55630|2.3000|0.9150|0.2850|BEARISH
ROP|2025-09-02 14:30|521.6100|521.7300|517.6900|517.7200|64714|3.8900|0.1200|0.0300|BEARISH
ROP|2025-09-02 15:30|516.9000|518.1900|516.4450|517.1200|65114|0.2200|1.0700|0.4550|BULLISH
ROP|2025-09-02 16:30|516.9300|518.2650|516.2800|518.0000|47113|1.0700|0.2650|0.6500|BULLISH
ROP|2025-09-02 17:30|518.0400|518.9800|517.9600|518.2050|43128|0.1650|0.7750|0.0800|BULLISH
ROP|2025-09-02 18:30|517.9470|518.4300|516.9801|517.2250|73673|0.7220|0.4830|0.2449|BEARISH
ROP|2025-09-02 19:30|517.4200|519.1400|517.3000|518.8200|157855|1.4000|0.3200|0.1200|BULLISH
ROP|2025-09-03 13:30|517.2800|520.2800|517.2800|517.4450|62824|0.1650|2.8350|0.0000|BULLISH
ROP|2025-09-03 14:30|517.6550|521.6500|517.6550|520.9700|102817|3.3149|0.6801|0.0000|BULLISH
ROP|2025-09-03 15:30|520.8350|520.8600|517.5700|518.2600|59580|2.5750|0.0250|0.6900|BEARISH
ROP|2025-09-03 16:30|518.2900|519.2350|518.0000|519.2350|47101|0.9450|0.0000|0.2900|BULLISH
ROP|2025-09-03 17:30|519.2650|521.0600|518.9200|520.6600|102896|1.3950|0.4000|0.3450|BULLISH
ROP|2025-09-03 18:30|520.6550|521.9000|520.6550|521.9000|72089|1.2450|0.0000|0.0000|BULLISH
ROP|2025-09-03 19:30|521.8800|524.6800|521.8800|524.1300|127944|2.2500|0.5500|0.0000|BULLISH
ROP|2025-09-04 13:30|523.0900|524.7700|521.3300|524.4900|64575|1.4000|0.2800|1.7600|BULLISH
ROP|2025-09-04 14:30|524.8850|526.2599|523.6100|526.0400|33978|1.1550|0.2199|1.2750|BULLISH
ROP|2025-09-04 15:30|526.3300|526.3900|525.7000|525.7400|21808|0.5900|0.0600|0.0400|BEARISH
ROP|2025-09-04 16:30|525.9000|526.8700|525.3700|526.8700|19159|0.9700|0.0000|0.5300|BULLISH
ROP|2025-09-04 17:30|526.5300|527.0900|525.9178|526.4200|23026|0.1100|0.5600|0.5022|BEARISH
ROP|2025-09-04 18:30|526.5380|526.6900|525.0550|525.0850|40163|1.4530|0.1520|0.0300|BEARISH
ROP|2025-09-04 19:30|525.1700|527.2250|524.8400|527.1200|115935|1.9500|0.1050|0.3300|BULLISH
ROP|2025-09-05 13:30|530.0000|530.0000|523.6013|523.6013|115179|6.3987|0.0000|0.0000|BEARISH
ROP|2025-09-05 14:30|523.9250|523.9250|520.9000|521.3000|53819|2.6250|0.0000|0.4000|BEARISH
ROP|2025-09-05 15:30|521.3400|521.3599|518.9100|520.2153|54994|1.1248|0.0199|1.3053|BEARISH
ROP|2025-09-05 16:30|520.4900|520.4900|518.0000|518.0000|34731|2.4900|0.0000|0.0000|BEARISH
ROP|2025-09-05 17:30|517.7469|518.7100|516.7800|518.4000|47698|0.6531|0.3100|0.9669|BULLISH
ROP|2025-09-05 18:30|518.2900|519.4300|518.0100|519.0500|83683|0.7600|0.3800|0.2800|BULLISH
ROP|2025-09-05 19:30|519.0100|519.0100|517.2300|518.5200|164862|0.4900|0.0000|1.2900|BEARISH
