Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
ROST|2025-09-02 13:30|146.3700|149.6800|146.3700|149.6800|370918|3.3100|0.0000|0.0000|BULLISH
ROST|2025-09-02 14:30|149.6400|150.6000|149.4300|150.3000|280483|0.6600|0.3000|0.2100|BULLISH
ROST|2025-09-02 15:30|150.2600|151.1500|150.1444|150.6200|238184|0.3600|0.5300|0.1156|BULLISH
ROST|2025-09-02 16:30|150.6400|150.7900|150.2900|150.6500|211813|0.0100|0.1400|0.3500|BULLISH
ROST|2025-09-02 17:30|150.6300|151.4000|150.6300|151.4000|230311|0.7700|0.0000|0.0000|BULLISH
ROST|2025-09-02 18:30|151.4000|151.4300|150.8500|151.1550|346181|0.2450|0.0300|0.3050|BEARISH
ROST|2025-09-02 19:30|151.1300|151.3500|150.8500|151.2720|530190|0.1420|0.0780|0.2800|BULLISH
ROST|2025-09-03 13:30|151.0000|152.0000|150.2350|151.0350|267156|0.0350|0.9650|0.7650|BULLISH
ROST|2025-09-03 14:30|151.0350|151.3100|150.8050|150.9400|202648|0.0950|0.2750|0.1350|BEARISH
ROST|2025-09-03 15:30|150.9400|151.1000|150.6800|151.0050|167837|0.0650|0.0950|0.2600|BULLISH
ROST|2025-09-03 16:30|151.0050|151.4100|151.0050|151.2850|132788|0.2800|0.1250|0.0000|BULLISH
ROST|2025-09-03 17:30|151.2600|151.2600|150.7400|150.9200|169539|0.3400|0.0000|0.1800|BEARISH
ROST|2025-09-03 18:30|150.8900|151.0200|150.3900|150.4750|373935|0.4150|0.1300|0.0850|BEARISH
ROST|2025-09-03 19:30|150.4750|150.7900|150.4000|150.7300|573110|0.2550|0.0600|0.0750|BULLISH
ROST|2025-09-04 13:30|151.1700|152.5600|151.0750|152.0800|294347|0.9100|0.4800|0.0950|BULLISH
ROST|2025-09-04 14:30|152.1300|152.3950|151.5450|151.6450|139056|0.4850|0.2650|0.1000|BEARISH
ROST|2025-09-04 15:30|151.5900|152.7300|151.5400|152.4500|244988|0.8600|0.2800|0.0500|BULLISH
ROST|2025-09-04 16:30|152.4800|153.1400|152.4100|152.7800|239224|0.3000|0.3600|0.0700|BULLISH
ROST|2025-09-04 17:30|152.7800|153.5400|152.5800|153.5150|162364|0.7350|0.0250|0.2000|BULLISH
ROST|2025-09-04 18:30|153.5200|153.5200|152.7300|152.9200|380614|0.6000|0.0000|0.1900|BEARISH
ROST|2025-09-04 19:30|152.9000|153.3600|152.7400|152.7700|619960|0.1300|0.4600|0.0300|BEARISH
ROST|2025-09-05 13:30|152.7700|153.4200|151.7807|151.9200|245414|0.8500|0.6500|0.1393|BEARISH
ROST|2025-09-05 14:30|151.8300|152.2100|151.5400|151.8700|206822|0.0400|0.3400|0.2900|BULLISH
ROST|2025-09-05 15:30|151.8450|151.8500|151.4600|151.6150|153059|0.2300|0.0050|0.1550|BEARISH
ROST|2025-09-05 16:30|151.6600|151.6600|150.9350|151.0000|130971|0.6600|0.0000|0.0650|BEARISH
ROST|2025-09-05 17:30|150.9900|151.0800|150.5906|150.6500|220424|0.3400|0.0900|0.0594|BEARISH
ROST|2025-09-05 18:30|150.6600|151.0050|150.4600|150.7400|253317|0.0800|0.2650|0.2000|BULLISH
ROST|2025-09-05 19:30|150.7800|151.1400|150.6500|150.9800|434267|0.2000|0.1600|0.1300|BULLISH
ROST|2025-09-08 13:30|150.9400|151.3899|150.4700|151.3899|303200|0.4499|0.0000|0.4700|BULLISH
ROST|2025-09-08 14:30|151.3300|152.1300|151.2500|151.8400|276029|0.5100|0.2900|0.0800|BULLISH
ROST|2025-09-08 15:30|151.8200|151.9200|151.1800|151.2200|121722|0.6000|0.1000|0.0400|BEARISH
ROST|2025-09-08 16:30|151.1900|151.4331|150.9600|151.3600|134121|0.1700|0.0731|0.2300|BULLISH
ROST|2025-09-08 17:30|151.3300|152.3300|151.3150|152.3100|179898|0.9800|0.0200|0.0150|BULLISH
ROST|2025-09-08 18:30|152.2850|152.4500|151.8400|151.8450|194391|0.4400|0.1650|0.0050|BEARISH
ROST|2025-09-08 19:30|151.8400|152.0350|151.1800|151.5800|608689|0.2600|0.1950|0.4000|BEARISH
ROST|2025-09-09 13:30|150.3000|150.6450|148.8700|149.5400|206185|0.7600|0.3450|0.6700|BEARISH
ROST|2025-09-09 14:30|149.5900|149.7100|148.7700|148.8600|228795|0.7300|0.1200|0.0900|BEARISH
ROST|2025-09-09 15:30|148.8493|149.1900|148.6400|148.6900|197547|0.1593|0.3407|0.0500|BEARISH
ROST|2025-09-09 16:30|148.6300|148.9300|148.3700|148.9100|135280|0.2800|0.0200|0.2600|BULLISH
ROST|2025-09-09 17:30|148.9100|149.1500|148.6200|149.1400|140900|0.2300|0.0100|0.2900|BULLISH
ROST|2025-09-09 18:30|149.1300|149.2125|148.6950|148.8100|210961|0.3200|0.0825|0.1150|BEARISH
ROST|2025-09-09 19:30|148.8100|149.3400|148.5300|149.0300|366087|0.2200|0.3100|0.2800|BULLISH
ROST|2025-09-10 13:30|148.2000|149.7400|147.6400|149.0200|269028|0.8200|0.7200|0.5600|BULLISH
