Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
RPM|2025-09-02 13:30|122.6000|123.9450|122.6000|122.9100|65401|0.3100|1.0350|0.0000|BULLISH
RPM|2025-09-02 14:30|122.8600|122.9000|122.0600|122.4300|59654|0.4300|0.0400|0.3700|BEARISH
RPM|2025-09-02 15:30|122.3300|122.4200|122.0150|122.0550|30957|0.2750|0.0900|0.0400|BEARISH
RPM|2025-09-02 16:30|122.0200|122.4835|121.7200|122.4400|35975|0.4200|0.0435|0.3000|BULLISH
RPM|2025-09-02 17:30|122.4050|122.7400|122.4050|122.5500|44001|0.1450|0.1900|0.0000|BULLISH
RPM|2025-09-02 18:30|122.4825|122.5500|122.2400|122.4550|60306|0.0275|0.0675|0.2150|BEARISH
RPM|2025-09-02 19:30|122.4550|122.8800|122.1800|122.8700|140694|0.4150|0.0100|0.2750|BULLISH
RPM|2025-09-03 13:30|122.2100|123.0750|121.9500|121.9600|22980|0.2500|0.8650|0.0100|BEARISH
RPM|2025-09-03 14:30|122.1050|122.5800|121.9600|122.3200|31513|0.2150|0.2600|0.1450|BULLISH
RPM|2025-09-03 15:30|122.2700|122.6500|122.0100|122.2000|53152|0.0700|0.3800|0.1900|BEARISH
RPM|2025-09-03 16:30|122.0801|122.5750|122.0801|122.4400|29961|0.3599|0.1350|0.0000|BULLISH
RPM|2025-09-03 17:30|122.4550|122.8150|122.1100|122.8150|46840|0.3600|0.0000|0.3450|BULLISH
RPM|2025-09-03 18:30|122.8100|122.9000|122.1300|122.2050|74389|0.6050|0.0900|0.0750|BEARISH
RPM|2025-09-03 19:30|122.2400|122.8900|122.2000|122.8600|133848|0.6200|0.0300|0.0400|BULLISH
RPM|2025-09-04 13:30|123.5000|123.5000|122.2800|122.8400|46250|0.6600|0.0000|0.5600|BEARISH
RPM|2025-09-04 14:30|122.8100|123.8100|122.7700|123.7400|59282|0.9300|0.0700|0.0400|BULLISH
RPM|2025-09-04 15:30|123.8000|124.1500|123.7300|124.0500|38596|0.2500|0.1000|0.0700|BULLISH
RPM|2025-09-04 16:30|124.0800|124.2400|123.9000|124.1700|44542|0.0900|0.0700|0.1800|BULLISH
RPM|2025-09-04 17:30|124.1700|124.5500|124.0900|124.4150|51917|0.2450|0.1350|0.0800|BULLISH
RPM|2025-09-04 18:30|124.4300|124.8300|124.2254|124.7600|89127|0.3300|0.0700|0.2046|BULLISH
RPM|2025-09-04 19:30|124.7500|125.2700|124.7500|125.2700|162682|0.5200|0.0000|0.0000|BULLISH
RPM|2025-09-05 13:30|125.9400|127.5000|125.9400|126.3750|53991|0.4350|1.1250|0.0000|BULLISH
RPM|2025-09-05 14:30|126.1900|126.2400|125.7400|126.0500|70268|0.1400|0.0500|0.3100|BEARISH
RPM|2025-09-05 15:30|126.0850|126.4300|125.9383|126.1500|52109|0.0650|0.2800|0.1467|BULLISH
RPM|2025-09-05 16:30|126.1400|126.1600|125.8300|126.0450|85089|0.0950|0.0200|0.2150|BEARISH
RPM|2025-09-05 17:30|126.0000|126.5400|125.7500|126.3500|140265|0.3500|0.1900|0.2500|BULLISH
RPM|2025-09-05 18:30|126.3363|126.8550|126.3363|126.8000|128198|0.4637|0.0550|0.0000|BULLISH
RPM|2025-09-05 19:30|126.7700|126.8000|126.3800|126.6200|145594|0.1500|0.0300|0.2400|BEARISH
RPM|2025-09-08 13:30|125.9000|127.0650|125.5700|126.5700|153253|0.6700|0.4950|0.3300|BULLISH
RPM|2025-09-08 14:30|126.6800|127.7600|126.6600|127.6900|39038|1.0100|0.0700|0.0200|BULLISH
RPM|2025-09-08 15:30|127.7800|127.7800|127.2500|127.3050|32797|0.4750|0.0000|0.0550|BEARISH
RPM|2025-09-08 16:30|127.3050|127.7400|127.1500|127.6450|58115|0.3400|0.0950|0.1550|BULLISH
RPM|2025-09-08 17:30|127.6900|127.8900|127.3000|127.8900|72783|0.2000|0.0000|0.3900|BULLISH
RPM|2025-09-08 18:30|127.9100|128.1800|127.6800|127.6900|73424|0.2200|0.2700|0.0100|BEARISH
RPM|2025-09-08 19:30|127.7700|128.3700|127.5150|128.0900|166552|0.3200|0.2800|0.2550|BULLISH
RPM|2025-09-09 13:30|127.3300|127.5394|125.7475|125.7475|419923|1.5825|0.2094|0.0000|BEARISH
RPM|2025-09-09 14:30|125.6825|125.8200|125.1600|125.5750|145088|0.1075|0.1375|0.4150|BEARISH
RPM|2025-09-09 15:30|125.5600|125.6300|124.9600|125.6000|187021|0.0400|0.0300|0.6000|BULLISH
RPM|2025-09-09 16:30|125.5150|125.6000|125.2350|125.5725|108837|0.0575|0.0275|0.2800|BULLISH
RPM|2025-09-09 17:30|125.5600|125.8750|125.4600|125.7200|44845|0.1600|0.1550|0.1000|BULLISH
RPM|2025-09-09 18:30|125.6650|125.7800|125.1601|125.4700|44413|0.1950|0.1150|0.3099|BEARISH
RPM|2025-09-09 19:30|125.4650|126.0600|125.3000|125.6000|130730|0.1350|0.4600|0.1650|BULLISH
RPM|2025-09-10 13:30|124.8600|126.0000|124.5000|125.3300|43268|0.4700|0.6700|0.3600|BULLISH
RPM|2025-09-10 14:30|125.3225|125.4900|124.7750|125.0600|40340|0.2625|0.1675|0.2850|BEARISH
