Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
RSG|2025-09-02 13:30|233.8200|234.5800|232.4300|234.2200|139210|0.4000|0.3600|1.3900|BULLISH
RSG|2025-09-02 14:30|234.2200|234.3100|232.5700|232.5700|89743|1.6500|0.0900|0.0000|BEARISH
RSG|2025-09-02 15:30|232.5700|232.8900|231.8000|231.8350|51294|0.7350|0.3200|0.0350|BEARISH
RSG|2025-09-02 16:30|231.7800|232.2225|231.3000|232.2000|50283|0.4200|0.0225|0.4800|BULLISH
RSG|2025-09-02 17:30|232.1950|232.7300|232.1500|232.7300|54305|0.5350|0.0000|0.0450|BULLISH
RSG|2025-09-02 18:30|232.6400|232.8750|232.4826|232.5600|81503|0.0800|0.2350|0.0774|BEARISH
RSG|2025-09-02 19:30|232.5700|233.1700|232.4800|233.1600|235986|0.5900|0.0100|0.0900|BULLISH
RSG|2025-09-03 13:30|232.8300|233.3200|231.1500|231.7900|127877|1.0400|0.4900|0.6400|BEARISH
RSG|2025-09-03 14:30|231.8700|233.1400|231.5300|232.7600|73807|0.8900|0.3800|0.3400|BULLISH
RSG|2025-09-03 15:30|232.6700|232.8800|232.1900|232.3600|50756|0.3100|0.2100|0.1700|BEARISH
RSG|2025-09-03 16:30|232.2800|232.4100|231.3900|231.6000|43177|0.6800|0.1300|0.2100|BEARISH
RSG|2025-09-03 17:30|231.5900|232.2420|231.2850|232.1900|60326|0.6000|0.0520|0.3050|BULLISH
RSG|2025-09-03 18:30|232.0800|232.3900|231.9150|232.1600|71368|0.0800|0.2300|0.1650|BULLISH
RSG|2025-09-03 19:30|232.1650|232.7400|232.0950|232.4900|143039|0.3250|0.2500|0.0700|BULLISH
RSG|2025-09-04 13:30|233.6700|234.7300|232.5000|234.6600|68688|0.9900|0.0700|1.1700|BULLISH
RSG|2025-09-04 14:30|234.6800|235.1750|234.5750|234.9250|60521|0.2450|0.2500|0.1050|BULLISH
RSG|2025-09-04 15:30|235.0200|235.1700|234.3300|234.4200|50462|0.6000|0.1500|0.0900|BEARISH
RSG|2025-09-04 16:30|234.3550|234.3550|233.9100|234.1800|39217|0.1750|0.0000|0.2700|BEARISH
RSG|2025-09-04 17:30|234.0300|234.5500|233.8350|233.9300|83254|0.1000|0.5200|0.0950|BEARISH
RSG|2025-09-04 18:30|233.9400|234.2000|233.7700|233.8900|57261|0.0500|0.2600|0.1200|BEARISH
RSG|2025-09-04 19:30|233.8400|234.1950|233.6600|233.8500|170368|0.0100|0.3450|0.1800|BULLISH
RSG|2025-09-05 13:30|233.6300|233.6550|231.6700|231.7500|130812|1.8800|0.0250|0.0800|BEARISH
RSG|2025-09-05 14:30|231.7500|231.7500|229.3700|229.7700|122711|1.9800|0.0000|0.4000|BEARISH
RSG|2025-09-05 15:30|229.8300|229.9000|228.2950|228.4500|119724|1.3800|0.0700|0.1550|BEARISH
RSG|2025-09-05 16:30|228.3600|229.2200|228.3500|229.1800|114185|0.8200|0.0400|0.0100|BULLISH
RSG|2025-09-05 17:30|229.2300|229.4500|228.6050|228.9800|109498|0.2500|0.2200|0.3750|BEARISH
RSG|2025-09-05 18:30|229.0600|230.1800|229.0500|230.0000|115309|0.9400|0.1800|0.0100|BULLISH
RSG|2025-09-05 19:30|230.1000|230.1100|229.2544|229.7300|183005|0.3700|0.0100|0.4756|BEARISH
