Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
SBAC|2025-09-02 13:30|202.6500|205.7800|202.3700|205.0500|185374|2.4000|0.7300|0.2800|BULLISH
SBAC|2025-09-02 14:30|205.1800|206.2000|204.8300|206.1000|151302|0.9200|0.1000|0.3500|BULLISH
SBAC|2025-09-02 15:30|206.0100|206.0100|204.4150|204.5300|93358|1.4800|0.0000|0.1150|BEARISH
SBAC|2025-09-02 16:30|204.4600|204.6400|203.4600|203.4600|61694|1.0000|0.1800|0.0000|BEARISH
SBAC|2025-09-02 17:30|203.5300|203.5590|202.0700|202.5300|60886|1.0000|0.0290|0.4600|BEARISH
SBAC|2025-09-02 18:30|202.4750|202.9400|201.9650|202.2500|162721|0.2250|0.4650|0.2850|BEARISH
SBAC|2025-09-02 19:30|202.2900|202.7700|201.7050|201.9400|308680|0.3500|0.4800|0.2350|BEARISH
SBAC|2025-09-03 13:30|201.9300|204.5800|200.6500|203.2900|218717|1.3600|1.2900|1.2800|BULLISH
SBAC|2025-09-03 14:30|203.3000|203.5200|201.8700|202.1200|123490|1.1800|0.2200|0.2500|BEARISH
SBAC|2025-09-03 15:30|202.1750|202.3000|201.5100|202.0000|275612|0.1750|0.1250|0.4900|BEARISH
SBAC|2025-09-03 16:30|202.0600|202.1900|199.5000|199.8400|78705|2.2200|0.1300|0.3400|BEARISH
SBAC|2025-09-03 17:30|199.6600|200.5000|198.6000|200.2400|102759|0.5800|0.2600|1.0600|BULLISH
SBAC|2025-09-03 18:30|200.3600|200.6600|199.5150|199.5700|121778|0.7900|0.3000|0.0550|BEARISH
SBAC|2025-09-03 19:30|199.6550|200.0800|199.1900|199.3100|243785|0.3450|0.4250|0.1200|BEARISH
SBAC|2025-09-04 13:30|200.6900|201.3350|198.0600|198.3200|191377|2.3700|0.6450|0.2600|BEARISH
SBAC|2025-09-04 14:30|198.2400|199.0400|197.2200|197.8900|356627|0.3500|0.8000|0.6700|BEARISH
SBAC|2025-09-04 15:30|198.0050|198.1300|196.2529|196.2900|128706|1.7150|0.1250|0.0371|BEARISH
SBAC|2025-09-04 16:30|196.2400|196.5000|194.2300|194.9100|202377|1.3300|0.2600|0.6800|BEARISH
SBAC|2025-09-04 17:30|194.9000|195.4700|193.2050|193.3300|231407|1.5700|0.5700|0.1250|BEARISH
SBAC|2025-09-04 18:30|193.2700|194.4600|193.1050|193.7750|382375|0.5050|0.6850|0.1650|BULLISH
SBAC|2025-09-04 19:30|193.7800|195.5350|192.9500|195.1200|500908|1.3400|0.4150|0.8300|BULLISH
SBAC|2025-09-05 13:30|198.1500|198.7750|196.5100|197.9550|295073|0.1950|0.6250|1.4450|BEARISH
SBAC|2025-09-05 14:30|197.9550|199.3800|197.2150|198.9500|332068|0.9950|0.4300|0.7400|BULLISH
SBAC|2025-09-05 15:30|198.9200|199.6400|198.3924|198.5700|133625|0.3500|0.7200|0.1776|BEARISH
SBAC|2025-09-05 16:30|198.5850|198.9600|198.3100|198.6150|200964|0.0300|0.3450|0.2750|BULLISH
SBAC|2025-09-05 17:30|198.6150|199.1822|198.5000|198.5200|100224|0.0950|0.5672|0.0200|BEARISH
SBAC|2025-09-05 18:30|198.4500|198.7500|197.9300|198.2150|209112|0.2350|0.3000|0.2850|BEARISH
SBAC|2025-09-05 19:30|198.2100|198.3750|197.2400|197.6890|384528|0.5210|0.1650|0.4490|BEARISH
SBAC|2025-09-08 13:30|193.6600|193.9000|186.8900|190.1850|403862|3.4750|0.2400|3.2950|BEARISH
SBAC|2025-09-08 14:30|190.0900|190.0900|187.3500|187.9900|373829|2.1000|0.0000|0.6400|BEARISH
SBAC|2025-09-08 15:30|188.2800|190.3650|187.1800|190.1400|319304|1.8600|0.2250|1.1000|BULLISH
SBAC|2025-09-08 16:30|190.2800|191.7500|190.2500|191.5700|145612|1.2900|0.1800|0.0300|BULLISH
SBAC|2025-09-08 17:30|191.5700|191.7100|190.3100|190.5542|148399|1.0158|0.1400|0.2442|BEARISH
SBAC|2025-09-08 18:30|190.5500|191.8300|190.5300|190.9000|359654|0.3500|0.9300|0.0200|BULLISH
SBAC|2025-09-08 19:30|190.8900|191.6450|190.3200|191.3600|462197|0.4700|0.2850|0.5700|BULLISH
SBAC|2025-09-09 13:30|191.3500|192.1900|189.0000|191.2500|354790|0.1000|0.8400|2.2500|BEARISH
SBAC|2025-09-09 14:30|191.1000|191.2900|189.5200|189.6400|129240|1.4600|0.1900|0.1200|BEARISH
SBAC|2025-09-09 15:30|189.7850|190.4000|188.8000|190.1975|250650|0.4125|0.2025|0.9850|BULLISH
SBAC|2025-09-09 16:30|190.1800|191.0700|189.6700|191.0700|112563|0.8900|0.0000|0.5100|BULLISH
SBAC|2025-09-09 17:30|191.0800|191.9925|190.9750|191.7500|231274|0.6700|0.2425|0.1050|BULLISH
SBAC|2025-09-09 18:30|191.7750|192.1000|191.0550|191.6200|457343|0.1550|0.3250|0.5650|BEARISH
SBAC|2025-09-09 19:30|191.6300|191.7700|191.3000|191.4800|384164|0.1500|0.1400|0.1800|BEARISH
SBAC|2025-09-10 13:30|191.1800|193.2000|190.6300|192.6350|90333|1.4550|0.5650|0.5500|BULLISH
SBAC|2025-09-10 14:30|192.6350|194.3400|192.4800|192.6701|155187|0.0351|1.6699|0.1550|BULLISH
SBAC|2025-09-10 15:30|192.5500|193.2900|192.4300|193.0750|243859|0.5250|0.2150|0.1200|BULLISH
SBAC|2025-09-10 16:30|193.0250|193.1800|191.7800|192.8800|204873|0.1450|0.1550|1.1000|BEARISH
SBAC|2025-09-10 17:30|192.9100|193.4000|192.7000|193.3600|112642|0.4500|0.0400|0.2100|BULLISH
SBAC|2025-09-10 18:30|193.4000|194.3400|193.2400|193.2500|176615|0.1500|0.9400|0.0100|BEARISH
SBAC|2025-09-10 19:30|193.2600|193.8300|192.8200|193.5700|329562|0.3100|0.2600|0.4400|BULLISH
SBAC|2025-09-11 13:30|195.0000|195.5200|193.2900|193.4650|173373|1.5350|0.5200|0.1750|BEARISH
SBAC|2025-09-11 14:30|193.4700|194.6400|193.4600|194.5400|63785|1.0700|0.1000|0.0100|BULLISH
SBAC|2025-09-11 15:30|194.5650|194.8200|193.8900|194.7300|243313|0.1650|0.0900|0.6750|BULLISH
SBAC|2025-09-11 16:30|194.6500|195.1500|194.3700|194.7000|128347|0.0500|0.4500|0.2800|BULLISH
SBAC|2025-09-11 17:30|194.7000|196.7900|194.7000|196.7700|182948|2.0700|0.0200|0.0000|BULLISH
SBAC|2025-09-11 18:30|196.8400|198.5200|196.7100|197.6600|240563|0.8200|0.8600|0.1300|BULLISH
SBAC|2025-09-11 19:30|197.7800|199.8200|197.7700|199.4950|398402|1.7150|0.3250|0.0100|BULLISH
SBAC|2025-09-12 13:30|198.1300|199.8400|197.8705|198.6650|142559|0.5350|1.1750|0.2595|BULLISH
SBAC|2025-09-12 14:30|198.6900|199.1800|198.2200|198.7650|101949|0.0750|0.4150|0.4700|BULLISH
SBAC|2025-09-12 15:30|198.8600|199.6950|198.6500|199.6300|97267|0.7700|0.0650|0.2100|BULLISH
SBAC|2025-09-12 16:30|199.7500|200.5700|199.5200|200.0250|176772|0.2750|0.5450|0.2300|BULLISH
SBAC|2025-09-12 17:30|200.0400|200.0800|199.3100|199.8070|107101|0.2330|0.0400|0.4970|BEARISH
SBAC|2025-09-12 18:30|199.8075|200.6500|199.7400|200.0600|173064|0.2525|0.5900|0.0675|BULLISH
SBAC|2025-09-12 19:30|200.1100|200.7500|199.5900|199.9700|362338|0.1400|0.6400|0.3800|BEARISH
SBAC|2025-09-15 13:30|200.0400|200.8800|198.3500|198.5600|130126|1.4800|0.8400|0.2100|BEARISH
SBAC|2025-09-15 14:30|198.7400|200.2700|198.3000|198.4850|286005|0.2550|1.5300|0.1850|BEARISH
