Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
SJM|2025-09-02 13:30|110.4600|111.7100|108.9900|108.9900|239940|1.4700|1.2500|0.0000|BEARISH
SJM|2025-09-02 14:30|108.9800|109.0800|108.1400|108.2800|144654|0.7000|0.1000|0.1400|BEARISH
SJM|2025-09-02 15:30|108.2800|109.1600|108.2600|108.9600|149247|0.6800|0.2000|0.0200|BULLISH
SJM|2025-09-02 16:30|108.9600|109.2600|108.7700|109.2150|242354|0.2550|0.0450|0.1900|BULLISH
SJM|2025-09-02 17:30|109.2400|109.6200|109.1700|109.3800|175994|0.1400|0.2400|0.0700|BULLISH
SJM|2025-09-02 18:30|109.3850|109.4000|108.9900|109.1400|178991|0.2450|0.0150|0.1500|BEARISH
SJM|2025-09-02 19:30|109.1600|109.7300|109.1500|109.3400|451951|0.1800|0.3900|0.0100|BULLISH
SJM|2025-09-03 13:30|109.3100|111.5400|109.1950|110.5400|275502|1.2300|1.0000|0.1150|BULLISH
SJM|2025-09-03 14:30|110.5600|111.6100|110.5500|111.4907|268203|0.9307|0.1193|0.0100|BULLISH
SJM|2025-09-03 15:30|111.5400|111.5500|110.7300|110.8200|106534|0.7200|0.0100|0.0900|BEARISH
SJM|2025-09-03 16:30|110.8250|110.9900|110.6400|110.9800|114754|0.1550|0.0100|0.1850|BULLISH
SJM|2025-09-03 17:30|111.0100|111.8300|110.9200|111.7300|128706|0.7200|0.1000|0.0900|BULLISH
SJM|2025-09-03 18:30|111.7200|111.9150|111.4400|111.4600|248231|0.2600|0.1950|0.0200|BEARISH
SJM|2025-09-03 19:30|111.4400|112.0700|111.3850|112.0500|498937|0.6100|0.0200|0.0550|BULLISH
SJM|2025-09-04 13:30|112.3400|112.7000|111.6900|111.8330|141764|0.5070|0.3600|0.1430|BEARISH
SJM|2025-09-04 14:30|111.8300|112.0300|111.5300|111.8900|135197|0.0600|0.1400|0.3000|BULLISH
SJM|2025-09-04 15:30|111.8400|112.1200|111.7100|111.9400|110532|0.1000|0.1800|0.1300|BULLISH
SJM|2025-09-04 16:30|111.9500|112.0600|111.6650|111.9500|89876|0.0000|0.1100|0.2850|BULLISH
SJM|2025-09-04 17:30|111.9100|112.1500|111.8000|112.1200|96271|0.2100|0.0300|0.1100|BULLISH
SJM|2025-09-04 18:30|112.1250|112.2200|111.8250|111.9800|242091|0.1450|0.0950|0.1550|BEARISH
SJM|2025-09-04 19:30|111.9600|112.3400|111.8600|112.3300|333140|0.3700|0.0100|0.1000|BULLISH
SJM|2025-09-05 13:30|112.6800|114.1100|112.4200|112.8500|334464|0.1700|1.2600|0.2600|BULLISH
SJM|2025-09-05 14:30|112.8600|113.2875|112.5200|112.9100|156964|0.0500|0.3775|0.3400|BULLISH
SJM|2025-09-05 15:30|112.9150|113.0000|112.3300|112.4400|112561|0.4750|0.0850|0.1100|BEARISH
SJM|2025-09-05 16:30|112.4300|112.5200|112.0700|112.1700|66677|0.2600|0.0900|0.1000|BEARISH
SJM|2025-09-05 17:30|112.2300|112.4500|112.0000|112.0500|100994|0.1800|0.2200|0.0500|BEARISH
SJM|2025-09-05 18:30|112.0841|112.6600|112.0841|112.4600|143900|0.3759|0.2000|0.0000|BULLISH
SJM|2025-09-05 19:30|112.4500|112.6150|112.3100|112.5200|278690|0.0700|0.0950|0.1400|BULLISH
SJM|2025-09-08 13:30|111.7900|111.7900|110.0700|110.9750|251994|0.8150|0.0000|0.9050|BEARISH
