Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
SLB|2025-09-02 13:30|36.6800|36.7600|35.9100|36.4400|2420014|0.2400|0.0800|0.5300|BEARISH
SLB|2025-09-02 14:30|36.4300|36.4300|35.8100|35.8500|2479419|0.5800|0.0000|0.0400|BEARISH
SLB|2025-09-02 15:30|35.8600|35.9700|35.7500|35.8200|1526185|0.0400|0.1100|0.0700|BEARISH
SLB|2025-09-02 16:30|35.8150|35.9600|35.7700|35.8542|1307556|0.0392|0.1058|0.0450|BULLISH
SLB|2025-09-02 17:30|35.8600|36.0200|35.7750|35.8050|1841516|0.0550|0.1600|0.0300|BEARISH
SLB|2025-09-02 18:30|35.8100|35.8800|35.6550|35.8800|2202617|0.0700|0.0000|0.1550|BULLISH
SLB|2025-09-02 19:30|35.8800|35.9400|35.7900|35.9100|2652320|0.0300|0.0300|0.0900|BULLISH
SLB|2025-09-03 13:30|35.3300|35.7600|35.0000|35.0600|1962012|0.2700|0.4300|0.0600|BEARISH
SLB|2025-09-03 14:30|35.0750|35.2254|34.9300|34.9750|1234218|0.1000|0.1504|0.0450|BEARISH
SLB|2025-09-03 15:30|34.9800|35.2800|34.9550|35.1200|727278|0.1400|0.1600|0.0250|BULLISH
SLB|2025-09-03 16:30|35.1250|35.1950|35.0800|35.1200|889857|0.0050|0.0700|0.0400|BEARISH
SLB|2025-09-03 17:30|35.1250|35.2750|35.0128|35.2600|1050416|0.1350|0.0150|0.1122|BULLISH
SLB|2025-09-03 18:30|35.2550|35.2900|34.9850|35.0000|1083286|0.2550|0.0350|0.0150|BEARISH
SLB|2025-09-03 19:30|35.0050|35.0800|34.9100|35.0100|2793166|0.0050|0.0700|0.0950|BULLISH
SLB|2025-09-04 13:30|35.0000|35.3000|34.5500|35.2400|1889061|0.2400|0.0600|0.4500|BULLISH
SLB|2025-09-04 14:30|35.2400|35.7400|35.1900|35.6700|1398022|0.4300|0.0700|0.0500|BULLISH
SLB|2025-09-04 15:30|35.6700|36.0000|35.6300|35.9500|1285163|0.2800|0.0500|0.0400|BULLISH
SLB|2025-09-04 16:30|35.9500|35.9800|35.8300|35.9000|737801|0.0500|0.0300|0.0700|BEARISH
SLB|2025-09-04 17:30|35.9100|35.9650|35.7750|35.8150|780943|0.0950|0.0550|0.0400|BEARISH
SLB|2025-09-04 18:30|35.8150|35.9050|35.7500|35.9000|3213906|0.0850|0.0050|0.0650|BULLISH
SLB|2025-09-04 19:30|35.8950|36.0200|35.8400|35.9950|1804227|0.1000|0.0250|0.0550|BULLISH
SLB|2025-09-05 13:30|35.6100|36.2950|35.4300|35.9000|3036512|0.2900|0.3950|0.1800|BULLISH
SLB|2025-09-05 14:30|35.9000|35.9100|35.4750|35.6850|1898156|0.2150|0.0100|0.2100|BEARISH
SLB|2025-09-05 15:30|35.6900|35.9500|35.6700|35.8900|1243722|0.2000|0.0600|0.0200|BULLISH
SLB|2025-09-05 16:30|35.8900|36.0300|35.8100|35.8600|1179405|0.0300|0.1400|0.0500|BEARISH
SLB|2025-09-05 17:30|35.8600|35.9700|35.6900|35.8000|1385043|0.0600|0.1100|0.1100|BEARISH
SLB|2025-09-05 18:30|35.8000|35.9100|35.6900|35.8700|1186718|0.0700|0.0400|0.1100|BULLISH
SLB|2025-09-05 19:30|35.8650|35.8800|35.7250|35.8300|1690571|0.0350|0.0150|0.1050|BEARISH
SLB|2025-09-08 13:30|36.1100|36.3400|35.4050|35.5200|10161289|0.5900|0.2300|0.1150|BEARISH
SLB|2025-09-08 14:30|35.5150|35.9350|35.4500|35.9000|1148664|0.3850|0.0350|0.0650|BULLISH
SLB|2025-09-08 15:30|35.9000|35.9700|35.7750|35.9050|1184150|0.0050|0.0650|0.1250|BULLISH
SLB|2025-09-08 16:30|35.9100|36.0052|35.8200|35.9850|1279410|0.0750|0.0202|0.0900|BULLISH
SLB|2025-09-08 17:30|35.9900|36.0250|35.4400|35.5350|2102452|0.4550|0.0350|0.0950|BEARISH
SLB|2025-09-08 18:30|35.5350|35.7400|35.5300|35.6400|1319395|0.1050|0.1000|0.0050|BULLISH
SLB|2025-09-08 19:30|35.6450|35.8100|35.6150|35.7950|2315529|0.1500|0.0150|0.0300|BULLISH
SLB|2025-09-09 13:30|36.0750|36.5700|36.0100|36.3300|1843234|0.2550|0.2400|0.0650|BULLISH
SLB|2025-09-09 14:30|36.3250|36.5300|36.3200|36.4650|816028|0.1400|0.0650|0.0050|BULLISH
SLB|2025-09-09 15:30|36.4600|36.4650|36.1050|36.1300|764163|0.3300|0.0050|0.0250|BEARISH
SLB|2025-09-09 16:30|36.1350|36.2400|36.0831|36.1500|556433|0.0150|0.0900|0.0519|BULLISH
SLB|2025-09-09 17:30|36.1600|36.2300|36.1010|36.1650|402775|0.0050|0.0650|0.0590|BULLISH
SLB|2025-09-09 18:30|36.1700|36.1850|35.9700|35.9700|905120|0.2000|0.0150|0.0000|BEARISH
SLB|2025-09-09 19:30|35.9750|35.9750|35.7700|35.7800|1724200|0.1950|0.0000|0.0100|BEARISH
SLB|2025-09-10 13:30|35.7200|36.3700|35.3800|35.7850|3187364|0.0650|0.5850|0.3400|BULLISH
