Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
SNA|2025-09-02 13:30|323.0200|323.3700|321.0500|323.3700|19768|0.3500|0.0000|1.9700|BULLISH
SNA|2025-09-02 14:30|323.0900|323.7550|322.5600|322.5600|13085|0.5300|0.6650|0.0000|BEARISH
SNA|2025-09-02 15:30|322.5800|322.6900|321.8400|321.8400|11699|0.7400|0.1100|0.0000|BEARISH
SNA|2025-09-02 16:30|321.7600|322.4800|321.2400|322.4800|15643|0.7200|0.0000|0.5200|BULLISH
SNA|2025-09-02 17:30|322.5500|323.4700|322.5500|323.0100|33646|0.4600|0.4600|0.0000|BULLISH
SNA|2025-09-02 18:30|323.3599|323.9800|322.7400|323.8300|28480|0.4701|0.1500|0.6199|BULLISH
SNA|2025-09-02 19:30|323.7100|324.1400|323.2450|323.7000|66847|0.0100|0.4300|0.4550|BEARISH
SNA|2025-09-03 13:30|322.6400|323.4100|320.9800|321.0750|21451|1.5650|0.7700|0.0950|BEARISH
SNA|2025-09-03 14:30|321.1900|322.3500|321.1900|321.3400|19867|0.1500|1.0100|0.0000|BULLISH
SNA|2025-09-03 15:30|321.6800|321.6800|319.2000|320.4652|12992|1.2148|0.0000|1.2652|BEARISH
SNA|2025-09-03 16:30|319.7128|321.1000|319.7128|320.6200|17073|0.9072|0.4800|0.0000|BULLISH
SNA|2025-09-03 17:30|320.6200|321.5800|320.0000|321.5800|52567|0.9600|0.0000|0.6200|BULLISH
SNA|2025-09-03 18:30|321.4700|321.5177|320.2700|320.3800|16573|1.0900|0.0477|0.1100|BEARISH
SNA|2025-09-03 19:30|320.4600|322.1900|320.4600|321.8500|51779|1.3900|0.3400|0.0000|BULLISH
SNA|2025-09-04 13:30|322.5000|325.0600|321.8500|325.0600|14210|2.5600|0.0000|0.6500|BULLISH
SNA|2025-09-04 14:30|325.8100|327.5600|325.7700|327.4500|16439|1.6400|0.1100|0.0400|BULLISH
SNA|2025-09-04 15:30|327.6900|327.8950|325.9900|326.2375|21446|1.4525|0.2050|0.2475|BEARISH
SNA|2025-09-04 16:30|326.2600|326.9000|325.5300|325.6500|41503|0.6100|0.6400|0.1200|BEARISH
SNA|2025-09-04 17:30|324.9750|327.2750|324.7701|327.0000|23131|2.0250|0.2750|0.2049|BULLISH
SNA|2025-09-04 18:30|327.0400|327.3200|326.5100|327.3200|26857|0.2800|0.0000|0.5300|BULLISH
SNA|2025-09-04 19:30|327.2000|328.8600|327.0500|328.6850|57329|1.4850|0.1750|0.1500|BULLISH
SNA|2025-09-05 13:30|330.4100|331.4800|329.2650|330.1950|17566|0.2150|1.0700|0.9300|BEARISH
SNA|2025-09-05 14:30|328.6300|328.6300|327.3700|328.1900|10115|0.4400|0.0000|0.8200|BEARISH
SNA|2025-09-05 15:30|327.8100|328.9000|327.8100|327.8200|9148|0.0100|1.0800|0.0000|BULLISH
SNA|2025-09-05 16:30|327.9350|328.1500|327.2900|327.4800|7841|0.4550|0.2150|0.1900|BEARISH
SNA|2025-09-05 17:30|327.3900|328.0000|327.0600|327.9100|6264|0.5200|0.0900|0.3300|BULLISH
SNA|2025-09-05 18:30|328.2700|329.6900|328.2100|329.6285|21983|1.3585|0.0615|0.0600|BULLISH
SNA|2025-09-05 19:30|329.1700|329.6300|328.4900|328.8800|39492|0.2900|0.4600|0.3900|BEARISH
SNA|2025-09-08 13:30|328.7000|328.7000|324.7500|326.7200|10411|1.9800|0.0000|1.9700|BEARISH
SNA|2025-09-08 14:30|326.6500|329.1350|326.6500|329.0500|13591|2.4000|0.0850|0.0000|BULLISH
SNA|2025-09-08 15:30|329.2150|329.5000|327.5400|327.5400|12293|1.6750|0.2850|0.0000|BEARISH
SNA|2025-09-08 16:30|327.5500|327.5500|326.8400|327.0650|15125|0.4850|0.0000|0.2250|BEARISH
SNA|2025-09-08 17:30|327.0750|327.0750|325.6950|326.6200|9605|0.4550|0.0000|0.9250|BEARISH
SNA|2025-09-08 18:30|326.7150|326.9450|325.4900|325.7650|18804|0.9500|0.2300|0.2750|BEARISH
SNA|2025-09-08 19:30|325.6400|327.0300|325.1500|326.9900|44437|1.3500|0.0400|0.4900|BULLISH
